更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,上場市場名,代表者
2024-07-01,株式会社丸水長野県水,水産・農林・鉱業,1,■事業内容： 水産物および青果物の販売加工食品、冷凍食品、畜産品その他加工食料品の販売食料品の製造、加工、販売米穀、日用雑貨品の販売上記商品の通信販売冷蔵倉庫業貨物利用運送事業,長野県長野市市場3-43,2017,42.4,166,98百万円,https://marusui-21.com/,,
2024-08-01,株式会社グリーンポートリー,水産・農林・鉱業,3,■事業概要：生鳥の飼育、鶏肉の生産、加工、販売、フランチャイズチェーンの本部として加盟する農家の経営指導及び運転資金の貸付自社で餌から飼育方法までを徹底管理して飼育した、新鮮で上質なブロイラーを加工し、鶏肉本来のおいしさを知っていただくために、新鮮なうちに安全・安心をのせてお客様へお届けいたします。,岡山県苫田郡鏡野町下原1647-1,2011,,,6百万円,http://www.green-poultry.co.jp/index.html,,
2024-08-01,株式会社日本農業,水産・農林・鉱業,21,■事業内容：（1）輸出・農産物輸出・品種知財輸出・輸出コンサルティング（2）販売・ブランディング・海外での販売（3）生産・自社園地の運営／生産指導の提供・資材輸入,東京都品川区西五反田1-13-7マルキビル101,2016,,80,"1,850百万円",http://nihon-agri.com/,,
2024-06-01,名北魚市場株式会社,水産・農林・鉱業,2,＜企業概要＞■沿革 昭和３０年１月 名古屋市西区に開設した旧枇杷島市場（青果専門市場）が狭隘になるとともに、名古屋市北部及び愛知県北部地区の生鮮食料品流通の基幹市場としての総合市場化の強力な要請が高まり、市当局と業界との協議により、大都市集散市場としての立地機能を最大限に発揮できる、市北部隣接地区の豊山町地内に広大な土地（約４万坪）を取得し、昭和５８年３月に名古屋市中央卸売市場北部市場として開場しました。,愛知県西春日井郡豊山町大字豊場字八反107,1983,42.0,71,100百万円,http://www.meihoku-uoichiba.co.jp/kaisyajyouhou.html,,
2024-07-01,株式会社神明ホールディングス,水産・農林・鉱業,3,【事業内容】1.米・砂糖・穀物・小麦粉・その他食料品の卸売並びに加工2.食料品の売買3.倉庫業4.不動産の賃貸5.上記に付帯する一切の業務※神明ホールディングスについては、その他これに準ずる事業体の事業活動の支配、管理業務を担っています。,兵庫県神戸市中央区栄町通6‐1‐21神明ビル,1950,,53,100百万円,https://www.shinmei-holdings.co.jp/,,
2024-08-01,株式会社ブロリード,水産・農林・鉱業,1,■事業内容： ブロッコリーの品種改良、ブロッコリー種子の生産及び販売,三重県津市安濃町田端上野1138,1988,44.0,16,50百万円,https://brolead.co.jp/index.html,,
2024-07-01,シーアイマテックス株式会社,水産・農林・鉱業,3,【事業内容】■農業資材（農業用ハウス資材、農作物栽培に使用する資材などの販売）栽培に関わる様々な資材を販売しており、近年では、畜産や林業などの新たな領域へのチャレンジも行っています。■肥 料（植物の栄養となる肥料や、より豊かな土壌を作るための改良材、農薬等の販売）肥料や土壌改良材などを取り扱い、より豊かな土壌を作ること。そして、環境に優しい肥料の開発にも携わっています。,東京都港区港南2-15-1,1971,,129,250百万円,https://www.ci-matex.co.jp/,,
2024-06-01,株式会社大水,水産・農林・鉱業,1,■事業内容： 生鮮並びに冷凍・加工水産物、加工食品等の卸売業、水産物の売買および販売の受託を行っております。■詳細：同社は国・農林水産大臣の許可を受け、地方公共団体が開設する大阪市中央卸売市場、大阪府中央卸売市場、京都市中央卸売市場、神戸市中央卸売市場及び明石市公設地方卸売市場において、水産物の卸売業を営んでいます。,大阪府大阪市福島区野田1-1-86大阪市中央卸売市場内,1939,43.0,456,"2,352百万円",なし,スタンダード市場,
2024-06-01,住吉漁業株式会社,水産・農林・鉱業,1,■事業内容：遠洋まぐろ延縄漁船（10隻）、海外まき網漁船（2隻）を保有し、水揚されたマグロ・カツオ類の販売（輸出含む）と漁船のサポートを行っています。,神奈川県三浦市三崎3-8-7,1947,56.0,14,10百万円,http://www.sumiyoshi-f.com/,,
2024-08-01,サイトウ種苗株式会社,水産・農林・鉱業,1,■事業内容： ・パイプハウス設計、施工（鉄骨屋根型ハウス、パイプハウス）・農業資材、園芸資材の販売（農ポリ、農マルチ、被覆材、保温材）・農薬、肥料の販売（殺虫剤、殺菌剤、除草剤、化成肥料、腐葉土、赤玉土、鹿沼土、たねまき用培土育苗用培土発酵鶏糞、完熟堆肥、有機肥料、苦土石灰、石灰窒素、その他）・野菜、花卉の種子及び苗の販売,群馬県前橋市小屋原町665,1959,46.1,26,50百万円,http://www.saitousyubyou.co.jp/,,
