更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,株式会社森の環,水産・農林・鉱業,求人なし,富山県高岡市葦附1239-55,1967,代表取締役 春日 勝芳,48 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アグレス,水産・農林・鉱業,求人なし,長野県南佐久郡南牧村大字野辺山176-9,2006,代表取締役社長 土屋 梓,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社ゴトーアグリ,水産・農林・鉱業,求人なし,愛知県丹羽郡扶桑町大字南山名字西寺子44-1,2004,代表取締役 後藤 健太,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社徳之島恵実菜園,水産・農林・鉱業,求人なし,鹿児島県大島郡伊仙町大字犬田布425,2009,代表取締役 前久 司,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社津別ファーム,水産・農林・鉱業,求人なし,北海道網走郡津別町字栄58-2,2011,代表取締役 上野 信之,9 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社丸中中根園,水産・農林・鉱業,求人なし,長野県飯田市鼎中平2885-1,1979,代表取締役 中根 正佳,13 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社荻原農園,水産・農林・鉱業,求人なし,長野県長野市豊野町大倉2508-3,2008,代表取締役 荻原 大,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社藤原ファーム,水産・農林・鉱業,求人なし,三重県いなべ市藤原町古田1162,1996,代表取締役 近藤 正治,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社アラトデイリーファーム,水産・農林・鉱業,求人なし,群馬県前橋市荒口町222-2,1997,代表取締役 藤生 功一,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社オンリーワン,水産・農林・鉱業,求人なし,福島県喜多方市松山町大飯坂字黒沢川端1636-5,1998,代表取締役 新田 章,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アタリヤ農園,水産・農林・鉱業,求人なし,千葉県香取市阿玉川1103,1960,代表取締役 増田 俊哉,28 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社千田農園,水産・農林・鉱業,求人なし,北海道江別市西野幌620-6,2004,代表取締役 千田 正志,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ビードハーブ,水産・農林・鉱業,求人なし,愛知県蒲郡市清田町小栗見1-93,2006,代表取締役 本多 宏亘,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,かなわ水産株式会社,水産・農林・鉱業,求人なし,広島県江田島市大柿町深江1453-20,1981,代表取締役 三保 弘太郎,35 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社なめがたしろはとファーム,水産・農林・鉱業,求人なし,茨城県行方市宇崎1561,2012,代表取締役 永尾 俊一,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
