更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,上場市場名,代表者,お問い合わせ先URL,代表電話番号
2024-05-01,ヒューマンスターチャイルド株式会社,公社・官公庁・学校・研究施設,1,■事業内容： 認可保育園・学童保育施設の整備、運営※現在35園を運営（2024年4月より新園が3園開園予定）,神奈川県横浜市神奈川区鶴屋町3-29-1第6安田ビル5F,1994,801,90百万円,,http://www.starchild.jp/,,,https://www.starchild.jp/form/hsc_toiawase/,"['045-276-3244', '045-272-5394']"
2024-07-01,株式会社ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,公社・官公庁・学校・研究施設,29,■事業内容： アルゴリズムライセンス事業～2つのソフトウエア事業の相乗効果で企業のビジネス支援や社会の課題解決を目指します～PKSHA Technologyは、主に自然言語処理、画像認識、機械学習/深層学習技術に関わるアルゴリズムソリューションを展開しています。「PKSHA Product」で蓄積した知見・データを「PKSHA ReSearch」に活用、2つの事業の循環を生むことで、さらなる研究・製品品質の向上を図ります。,東京都文京区本郷2-35-10本郷瀬川ビル4F,2012,388,,,https://www.pkshatech.com/,スタンダード市場,,https://www.pkshatech.com/ir/information/,['03-6801-6718']
2024-06-01,ユーロフィン日本総研株式会社,公社・官公庁・学校・研究施設,2,"■ユーロフィンについてユーロフィン（Eurofins Scientific）は、食品・製品・環境・アグロ・ジェノミクス・クリニカルダイアグノスティック・医薬品・材料等、幅広い分野に関わる分析及び検査サービスをグローバルに展開しています。 世界59カ国に940以上のグループラボがあり（2022年7月現在）、グループ法人数は1,000社を超え、200,000通りに及ぶ分析項目・手法を採用、年間4億5,000万件を超える試験を実施しています。",静岡県浜松市中央区西島町1325,1971,180,20百万円,,https://www.eurofins.co.jp/,,,https://www.eurofins.co.jp/お問い合わせ-総合/,"['080401003803', '053-425-7533']"
2024-07-01,株式会社四国総合研究所,公社・官公庁・学校・研究施設,7,■事業内容： 電気事業への貢献と電気事業で培った技術の提供による地域振興を目的に、1987年10月、四国電力株式会社の技術研究所を母体として分離・独立しました。以降、電力・エネルギーをはじめとして、土木・地質、情報通信、エレクトロニクス、化学、バイオテクノロジーなどの分野にわたって研究開発を行っています。四国の民間研究開発機関として、大学・自治体・地元企業との共同研究などを通じて、地域社会の振興発展に役立つ研究開発にも取り組んでいます。,香川県高松市屋島西町2109-8,1987,120,100百万円,,https://www.ssken.co.jp/,,,なし,"['0878438111', '843-8111087']"
2024-06-01,コンビウィズ株式会社,公社・官公庁・学校・研究施設,3,■事業内容： ・コンビウィズ株式会社は、お子さま連れでのお出かけを多面的にサポートしている会社です。■事業詳細：1.ベビーケアシステム製品の開発・販売2.保育環境の開発・販売3.保育園の運営4.ベビーシッターサービス事業5.託児施設の企画・提案及び託児施設の運営,東京都台東区元浅草2-6-7,1982,343,30百万円,,http://www.combiwith.co.jp/,,,https://www.combiwith.co.jp/biz/qa/,"['03-6231-6301', '03-5828-7481', '03-5828-7631', '03-5828-7630', '03-5828-7666', '0120-67-3177', '03-5828-7632', '06-6942-0384']"
2024-07-01,学校法人藤田学園,公社・官公庁・学校・研究施設,7,■藤田学園について1964年9月、「よき医療人の育成」のための医療系総合病院を目指して、創設者総長藤田啓介医学博士の「人生究極の事業とは教育である」との確固たる信念のもと設立認可されました。創立より50年以上の歴史を持つ、地域連携医療を牽引する東海地域最大規模の医療系総合大学です。単一の病院としては国内最大の病床数1376床を誇る藤田医科大学病院を始め、愛知県内にばんたね病院、岡崎医療センター、三重県に七栗記念病院の4つの教育病院を有し、実践力のある高度な医療人育成に取り組んでいます。,愛知県豊明市沓掛町田楽ヶ窪1-98,1964,6896,,,https://academy.fujita-hu.ac.jp/,,,https://academy.fujita-hu.ac.jp/about/inquiry.html,"['0562-93-2920', '0562-93-2800', '0562-93-3666', '0562-93-2111']"
2024-06-01,学校法人大阪電気通信大学,公社・官公庁・学校・研究施設,1,1941年に当時の先端技術領域であった電子工学や通信工学といった電気通信技術の学校として発足し、1951年に高等学校を、1961年には大学を設立しました。高等学校のスタートは電子工業科でしたが、その後、普通科を加えてコース選択の幅を広げ、大阪電気通信大学の学びに直結したコースも備えています。また、大学においては工学部電子工学科を設置後、1962年には同学部通信工学科を設置、その後も領域を広げつつ、2024年4月には5学部（工学部、情報通信工学部、建築・デザイン学部、医療健康科学部、総合情報学部）13学科4専攻、大学院3研究科3専攻からなる「技術系総合大学」に成長しました。,大阪府寝屋川市初町18-8,1941,300,,,http://www.osakac.ac.jp/,,,https://www.osakac.ac.jp/inquiry/,"['072-824-0014', '072-824-1131']"
2024-07-01,学校法人関西学院,公社・官公庁・学校・研究施設,1,関西学院はキリスト教主義による教育を理念として生まれ、現在は兵庫県西宮市と三田市、宝塚市、大阪府箕面市、大阪梅田、東京丸の内にキャンパスを設け、幼稚園から大学院までを擁する総合学園です。,兵庫県西宮市上ケ原一番町 1番155号,1889,1204,,,https://www.kwansei.ac.jp/index.html,,理事長 村上 一平,https://www.kwansei.ac.jp/contact,"['0798-51-0915', '0798-54-6135', '0798-54-6013', '0798-54-6883']"
2024-06-01,警察庁,公社・官公庁・学校・研究施設,1,警察は、個人の生命、身体及び財産の保護に任じ、犯罪の予防、鎮圧及び捜査、被疑者の逮捕、交通の取締その他公共の安全と秩序の維持に当たることをその責務としています。,東京都千代田区霞が関2丁目1番2号,1954,,,,https://www.npa.go.jp,,警察 庁 長官,なし,"['03-3581-0141', '03-3581-4321']"
2024-07-01,一般財団法人日本自動車研究所,公社・官公庁・学校・研究施設,10,■事業内容：一般財団法人 日本自動車研究所（JARI：Japan Automobile Research Institute）は、自動車に関する総合的な研究を行い、クルマ社会の健全な進展に貢献することを使命とした試験研究機関です。自動車技術は高度化し、自動車技術に関する研究分野は拡大をしています。それらに対応すべく、従来の自動車の安全や環境の改善の課題に加えて、地球温暖化防止のための省エネルギー化、自動車事故を未然に防ぐための予防安全、石油燃料に替わる新たなエネルギーの探索などに関する研究を実施しています。,東京都港区芝大門1-1-30,1969,370,"1,410百万円",47,http://www.jari.or.jp/,,,https://www.jari.or.jp/contacts/,['5733-7924']
