COMPANY_NAME,JOB_TITTLE,JOB_DESCRIPTION,LOCATION
ヒューマンスターチャイルド株式会社,【横浜】人事（マネージャー）◆人事戦略・制度企画／フルフレックス／年休124／福利厚生◎／40代活躍,～東証スタンダード上場ヒューマンHDで安定／CSR活動にてこども食堂や保育士体験プログラム実施／年間休日124日／フレックス・福利厚生◎～ ■業務内容： 人材開発課のマネージャー候補として、下記業務をご担当いただきます。 ・人事戦略立案、人事制度の企画／設計、評価運用 ・社員向けサーベイ企画、運用（異動意向調査、ES 調査、定着施策立案、各種社員面談など） ・社員育成企画、運用（新卒入社研修、次世代管理職研修、全施設横断研修、人材育成会議運営など） ・障がい者雇用戦略立案 ・人事KPI策定、運用 ・その他重要な施策等の企画立案 ・採用面接業務 ■当社の魅力： （1）事業安定性：当社は売り上げ高800億円を越えるヒューマンホールディングスが手掛ける保育事業です。 （2）充実した教育制度：ヒューマングループで最初にスタートされた、教育・研修を専門とするヒューマンアカデミーと共に共同開発を行った研修プログラム＜SCP（スターチャイルドケアプログラム）研修＞を提供しています。 ■アフタースクール＜みなとみらい校＞について：海に近く、潮風香る心地のよい開放的な空間は子どもにとっても、のびのびと過ごせる環境。当校では、英会話クラスを軸にロボット・サイエンスゲーツ・プログラミング・習字・アートなどお子様の知的好奇心を刺激するSTEAM習い事カリキュラムを提供しております。貴重な放課後時間をただ預かるのではなく、多彩な環境を提供することによって、子ども達の探求心、表現力、そしてグローバルスキルを身に付けていただきます。異年齢・異学年のお友達と楽しく過ごす環境は、お子さまにとって社会性や協調性を学ぶよい場所となり、また教育経験豊かな英語の先生やスタッフと楽しく学べる環境は、子どもにとってかけがえのない思い出となるでしょう。,['神奈川']
株式会社ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,【在宅可】インサイドセールス／大手企業向けシステムソリューションの顧客発掘・深耕／AISaaS,～業界トップシェアのToB向けFAQ総合ソリューション/働き方◎企業/残業20h未満/リモート可～ 【当社について】 当社は、エンタープライズ企業のコールセンターに向けた自然言語処理/機械学習/ディープラーニングを活用したテキスト・音声対話エンジン、及び昨今の働き方の変化に合わせて職場コミュニケーションの課題を支援するためのプロダクトをSaaS形式で提供しています。 【具体的な業務内容】 このポジションでは、大手企業向けの自然言語処理技術・機械学習を用いたシステムソリューションの顧客発掘や顧客深耕を担当頂きます。 社内の様々なメンバーと密接に連携し、PKSHA AI SaaS製品のブランディング、リードジェネレーション、リードナーチャリングに関する様々な計画立案、実行が業務範囲になります。特に、マーケティング、セールスと連携し、インサイドセールス業務における実行と改善に注力頂きます。 【当ポジションの魅力】 ・次世代型営業組織の組成経験を得ることができる。 旧来の営業組織のような、企業の代表電話にコールドコールをし、受注確度が不明なアポを量産するやり方だけでは通用しない時代になってきていることは誰しも感じていることだと思われます。BEDOREでは国内外の有名企業からのメンバーが非常に多く集まっており、製品力もあり【強いベンチャー】と自負しております。 このポジションでは、強い製品力/組織力を生かした、新しいマーケティング/営業の型を作り上げていく経験が出来ます。必要に応じ、最先端テクノロジーを駆使したツールやルールの導入も可能です。 これから更に拡大する自然言語処理技術 × SaaSプロダクトという市場で、責任に準ずる広い裁量を元に、これまでの経験を活かしたさらなる成長機会をご提供出来ます。,['東京']
株式会社ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,【法人営業】AI×SaaS市場でキャリア形成/新規事業の推進も担える/リモート可,"～導入社数2,354社/上場企業グループ/成長市場のAI×SaaS領域でキャリア形成/働き方◎企業/月残業時間10～20時間/リモート可～ 【当社・業務内容について】 PKSHA Technologyは、エンタープライズ企業のコールセンターに向けた自然言語処理/機械学習/ディープラーニングを活用したテキスト・音声対話エンジン、及び昨今の働き方の変化に合わせて職場コミュニケーションの課題を支援するためのプロダクトをSaaS形式で提供しています。 このポジションでは、深層学習と自然言語処理技術による構文解析を組み合わせた自動対話エンジン等のAI SaaS製品の新規クライアント獲得に向けて、トップラインの推進を担っていただきます。 【当ポジションの魅力】 （1）「AI」×「BtoB SaaSプロダクト」のキャリア まだまだ成長市場であるAI領域+SaaS領域にて、キャリアを積むことが可能です。 （2）「DX」×「コミュニケーション」という領域のため、幅広い知見を得ることが可能 コミュニケーション領域のため、ホリゾンタル×エンタープライズで全業界がターゲットとなります。 また、全社で利用するツールのため、情報システム部門、AI部門、DX部門、営業企画、人事部門等、多数の部署と相対するため、広い知見を得ることも可能です。 （3）松尾研究室出身者企業 × AIベンチャー上場企業での、幅広い機械学習への知見の取得 BEDOREは、PKSHA Technologyのグループ企業で、オフィスも同じです。 PKSHAチームと一緒にPJを推進することも多々あるため、自然言語等にとどまらず、幅広いアルゴリズムにふれる機会があります。 （4）新規事業の推進経験 本募集のWorkplace事業部は、コロナの影響をうけ、急速に拡大している「社内DX × コミュニケーション」という領域にて、事業を展開しています。その中で、新プロダクトのリリースを迎えています。そちらの推進も担うことになるため、新規事業開発の経験、新しいプロダクトを育てていく経験が積むことができます。",['東京']
株式会社ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,採用担当（エンジニア新卒採用）◆母集団形成～内定承諾まで◆仕組み構築フェーズ◆AI×SaaS提供企業,"～2,000社を超える企業に160以上のアルゴリズム・AI SaaSを導入・ユーザー数1日930万人以上／配属部門にはそれぞれの分野に精通したメンバーが多数在籍／仕組み構築フェーズから参画できる～ ■業務内容：【変更の範囲：無】 採用拡大に伴い、当社グループを含めた採用人事（新卒）として、エンジニア採用に関する戦略／戦術／実行をご担当いただきます。 ・アルゴリズムエンジニア（機械学習エンジニア／データサイエンティスト）およびソフトウェアエンジニアの採用を担当していただきます。 ・学生との面談に留まらず、母集団形成～内定承諾に至るまでのすべてのプロセスを担当していただきます。 ■業務詳細： ・採用イベントや会社説明会の立案・企画・実行 ・現場開発メンバーとの連携 ・人材紹介エージェント様とのリレーション確立 ・候補者との面談 ■ポジションの魅力： ◎人事担当者としての成長 近年急務となっているAIに関心のあるエンジニア採用に取り組むことができます。 ◎仕組みを構築するフェーズから携われる エンジニア採用を本格化して3年目という若いフェーズで仕組みを構築する部分から取り組めます。また、データを駆使して現状を分析しPDCAを回す経験が得られます。 ◎多くの優秀なメンバー 社内には、深層学習技術の各分野やソフトウェア開発等それぞれの分野に精通したメンバーがおり、刺激も学びも多い環境です。また、日々のコミュニケーションを大切にしており雑談も多く、お互いのメンバーが気軽になんでも聞くことができる関係性を築いています。 ※例：Forbes 30 Under 30 ・Asia、IPA未踏、トップカンファレンス採択者、助教、博士、CTO経験者、元GAFAエンジニアなど",['東京']
株式会社ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,【BizDev/事業開発】次世代のビジネスを開発/導入社数2354社 /リモート・フレックス可,"【次世代のビジネスを開発/大手企業を中心に導入社数2,354社】 ■業務内容 大手クライアントを中心に、コンピュータビジョン技術・深層学習技術を用いた、自然言語処理、画像・動画解析アルゴリズムの提供に携わっていただきます。 客先へのソリューション提案/プロジェクトマネジメントのみならず、収益構造まで想定したサービス設計から、社内のソフトエンジニアやアルゴリズムエンジニアを巻き込んだプロジェクトの牽引など、自身の裁量のもとに幅広い役割が求められます。 【プロジェクト例】 ・LINEや資生堂、飲食・小売など幅広い領域で100社以上に取り入れられ、カスタマーサポートや社内問い合わせの自動化を支援するチャット型対話エンジン ・国内クレジットカード決済流通網のうち約10兆円の規模を支える不正利用検知 ・MaaS時代の自動車移動を支える駐車場業界のDXを推進する精算機とAPI ■ポジションの魅力 ・業界・業種を問わず多岐にわたるクライアントに対して提案を行うことが できる ・機械学習の各種技術や独自の技術の開発などにより、様々な角度からクラ イアントの課題解決に挑み、次世代のビジネスを作り出すことができる(事 業開発) ・機械学習に精通したエンジニアとのコミュニケーションが多く、プロジェ クトを通して機械学習や深層学習などの先端技術についての知見を得られ るため、AIコンサルのスペシャリストを目指すことができる。 <参考：社員のバックグラウンド> ・ビジネス：外資系戦略コンサルタント出身者、起業・経営経験者が多数 ・エンジニア：Forbes 30 Under 30 - Asia、IPA未踏、トップカンファレンス採択者、助教、博士、CTO経験者、GAFA出身者など ■求める人物像 ・機械学習への関心・熱意をお持ちの方 ・長期スパン(数ヶ月～１年以上)のプロジェクトや困難な状況でも投げ出さない、粘り強さをお持ちの方",['東京']
株式会社ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,【経営企画（IR）】東大発AI×Saas事業／スタンダード上場／導入2300社以上／フレックス／在宅,"～業界トップシェアのToB向けFAQ総合ソリューション展開／働き方◎企業／残業20h未満／リモート可～ ■業務概要： 当社のIR業務を主担当としてリードしていただきます。 ■具体的な業務： ・IR戦略の立案 ・株主や国内外の機関投資家、個人投資家、アナリスト向けのプレゼンテーションや個別面談対応 ・外部向けエクイティーやストーリーの立案およびプレゼンテーション作成 ・適時開示、任意開示対応 ・投資先企業管理、評価対応 ・経営戦略、事業計画の策定サポート ・KPIモニタリングその他社内データ分析および取りまとめ ・その他、経営全般に関わる企画管理 ■働き方： リモート＆フレックス制度を導入している為、働きやすい環境です。 ■教育制度： ・ジョブローテーション…キャリア開発の機会を提供する制度 ・公募ミッション…社内横断的なプロジェクトへの参画を経験できる制度 ・役職チャレンジ…EM、PM、パートナー、執行役員などの役職への挑戦経験を提供する制度 ・海外研修…海外カンファレンスへの参加、当社の投資先の海外企業視察やインターンなどに同行できる制度 ・書籍購入、貸し出し制度…技術本など業務に関わる書籍の購入、貸し出し制度 ■提供サービスの導入実績（2022年12月時点）： ・導入企業…2,354社 ・アルゴリズム導入数…165個 ・1日の利用ユーザー…930万人以上 ■当社について： ・当社は、エンタープライズ企業のコールセンターに向けた自然言語処理/機械学習/ディープラーニングを活用したテキスト・音声対話エンジン、および昨今の働き方の変化に合わせて職場コミュニケーションの課題を支援するためのプロダクトをSaaS形式で提供しています。 ・「未来のソフトウエアを形にする」をミッションに掲げています。2012年の創業以来、ミッションの達成に向けて2000を超える企業に160以上のアルゴリズムやAI SaaSを導入し、1日930万人以上のユーザーに利用されています。",['東京']
株式会社ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,"【フレックス】カスタマーサクセス部長候補◆導入社数2,354社の実績／上場企業グループ／リモート可",自然言語処理／機械学習／ディープラーニングを活用したテキスト・音声対話エンジン、ヘルプデスク等のプロダクトをSaaS形式で提供する当社にて、カスタマーサクセス部長候補を募集します。 ※株式会社PKSHA Technologyの正社員として採用し、グループ会社の株式会社PKSHA Workplace（自然言語処理の技術を活かし、対話エンジンの開発推進を提供）へ在籍出向として業務に携わっていただきます。 ■業務内容： このポジションでは、大手クライアントを中心に、自然言語処理技術・機械学習を用いたAI-SaaSソリューションの提供及びカスタマーサクセスチームのマネジメントを担っていただきます。製品の導入支援、導入後のカスタマーサクセスコンサルティング、改善サポート等だけでなく、クライアント企業からのフィードバックを元に、エンジニアと協力しながらプロダクトを改善し、品質保証も行う、カスタマーサクセスチームをマネジメントし、チームとしての出力を最大化させるなど、事業部のコアバリューとなる領域に貢献いただきます。 ■具体的な業務内容： ・カスタマーサクセスチームの戦略・戦術の決定と推進 ・カスタマーサクセスチームのマネジメント ・カスタマーサクセス業務全般 (オンボーディング業務やのUpsell／Crosssellの提案) ・カスタマーサクセスチームの評価、採用 ・執行役員へのレポーティング ・PdM、エンジニアと協働しプロダクト改善 など ■ポジションの魅力： 1）まだまだ成長市場であるAI領域+SaaS領域にて、キャリアを積むことが可能です。 2）全社のコミュニケーションの変革を提案、推進するため、追い風の中で業務推進が可能です。 3）全社で利用するツールのため、情報システム部門、AI部門、DX部門、営業企画、人事部門等、多数の部署と相対するため、広い知見を得ることが可能です。 4）PKSHA Workplaceは、PKSHA Technologyのグループ企業で、オフィスも同じです。PKSHAチームと一緒にPJを推進することも多々あるため、自然言語等にとどまらず、幅広いアルゴリズムにふれる機会があります。 5）新規事業開発の経験、新しいプロダクトを育てていく経験が積むことができます。,['東京']
株式会社ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,"【フレックス】採用人事◆導入社数2,354社の実績／上場企業グループ／リモート可",主に自然言語処理、画像認識、機械学習／深層学習技術に関わるアルゴリズムソリューションを展開する当社にて、採用人事を募集します。 ■概要： ～人とソフトウエアが共進化する社会へ～ PKSHA Technologyは「未来のソフトウエアを形にする」をミッションに掲げています。2012年の創業以来、ミッションの達成に向けて2000を超える企業に160以上のアルゴリズム・AI SaaSを導入し、1日930万人以上のユーザーに利用されています。私達と一緒に、未来のソフトウエアを形にして、人とソフトウエアの共進化を進めていきたい、そのような方をお待ちしています。 ■業務内容： 当社グループを含めた採用人事（中途）として、採用・HRに関する戦略／戦術／実行を担当いただきます。 【業務詳細】 ・採用戦略、戦術の立案・実行 ・採用ブランディング活動 ・事業、開発メンバーとの連携 ・人材紹介エージェント様とのリレーション確立 ・選考管理 ■事業内容： アルゴリズムライセンス事業 ～2つのソフトウエア事業の相乗効果で企業のビジネス支援や社会の課題解決を目指します～ PKSHA Technologyは、主に自然言語処理、画像認識、機械学習／深層学習技術に関わるアルゴリズムソリューションを展開しています。「PKSHA Product」で蓄積した知見・データを「PKSHA ReSearch」に活用、2つの事業の循環を生むことで、さらなる研究・製品品質の向上を図ります。 ■歓迎条件：別枠記載の必須条件と併せて以下経験などをお持ちの方は歓迎します。 ・エンジニア採用のご経験 ・コンサルのご経験 ・マーケティングに関する理解とデータ分析等実務のご経験 ・サービス開発のご経験,['東京']
株式会社ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,"【フレックス】アルゴリズムエンジニア◆導入社数2,354社の実績／上場企業グループ／リモート可",主に自然言語処理、画像認識、機械学習／深層学習技術に関わるアルゴリズムソリューションを展開する当社にて、アルゴリズムエンジニア（オープンポジション）を募集します。 ■概要： PKSHA Technologyは「未来のソフトウエアを形にする」をミッションに掲げています。 2012年の創業以来、ミッションの達成に向けて2000を超える企業に160以上のアルゴリズム・AI SaaSを導入し、1日930万人以上のユーザーに利用されています。私達と一緒に、未来のソフトウエアを形にして、人とソフトウエアの共進化を進めていきたい、そのような方をお待ちしています。 ■業務内容： 深層学習を中心とした機械学習、自然言語処理の知識を活かして、大手クライアントの抱える自然言語処理分野の問題解決に携わっていただくチーム。ビジネス上の課題、制約条件に適した予測推論アルゴリズムの提案を行うチームがあり、いずれかのチームで業務頂く形になります ◎ポジション ＜NLPチーム＞ 深層学習を中心とした機械学習、自然言語処理の知識を活かして、大手クライアントの抱える自然言語処理分野の問題解決に携わっていただきます。金融、小売、製造業など、幅広いクライアントの案件を扱うため、深層学習を中心として機械学習の幅広い分野に対する知識が要求されます。自然言語処理／機械学習への深い理解を有し、クライアントの課題をアルゴリズムで解決しながら、次世代のビジネスを作り出していきたいエンジニアを募集します。 ＜予測モジュールチーム＞ ・ビジネス上の課題、制約条件に適したアルゴリズムの提案 ・ユースケースに合わせた機械学習エンジンの設計、実装、分析結果等のレポーティング ・Web API等へのアルゴリズムの組み込み ※過去事例：個人与信推定、金融機関向けの不正取引検知、小売や流通における需要予測とオペレーションの最適化、故障検知、レコメンドエンジン等 ■当社の特徴： 当社は「未来のソフトウェアを形にする」をミッションに掲げています。2012年の創業以来、ミッションの達成に向けて2000を超える企業に160以上のアルゴリズムやAI SaaSを導入し、1日930万人以上のユーザーに利用されています。,['東京']
株式会社ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,"【フレックス】オープンポジション（ビジネス系職種）◆導入社数2,354社の実績を誇る上場企業グループ",主に自然言語処理、画像認識、機械学習／深層学習技術に関わるアルゴリズムソリューションを展開する当社にて、オープンポジションを募集します。 ■募集概要： ～人とソフトウエアが共進化する社会へ～ PKSHA Technologyは「未来のソフトウエアを形にする」をミッションに掲げています。 2012年の創業以来、ミッションの達成に向けて2000を超える企業に160以上のアルゴリズム・AI SaaSを導入し、1日930万人以上のユーザーに利用されています。私達と一緒に、未来のソフトウエアを形にして、人とソフトウエアの共進化を進めていきたい、そのような方をお待ちしています。 ■仕事内容： 下記以外のロールもあるためお気軽にご応募ください。 ・BizDev ・マーケター ・セールス ・インサイドセールス ・カスタマーサクセス ・パートナーアライアンス ■事業内容： アルゴリズムライセンス事業 ～2つのソフトウエア事業の相乗効果で企業のビジネス支援や社会の課題解決を目指します～ PKSHA Technologyは、主に自然言語処理、画像認識、機械学習／深層学習技術に関わるアルゴリズムソリューションを展開しています。「PKSHA Product」で蓄積した知見・データを「PKSHA ReSearch」に活用、2つの事業の循環を生むことで、さらなる研究・製品品質の向上を図ります。,['東京']
