更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,従業員数,資本金,平均年齢,企業URL,代表者
2024-07-01,株式会社西武ホールディングス,その他,2,■企業概要：当社は、西武グループの持株会社として2006年に設立し、グループの中核事業を担う「西武鉄道」「西武・プリンスホテルズワールドワイド」「西武リアルティソリューションズ」など80社の事業会社を統括するグループガバナンス体制を構築、運用しています。また、健全なガバナンス体制のもと、グループ各社がそれぞれ事業価値を高めることにより、グループ価値の極大化に最大限努力してまいります。■事業概要：・グループ全体の経営戦略策定・グループ事業会社の経営管理・グループ全体の資金管理・調達・グループ全体の広報・グループコンプライアンスの推進,東京都豊島区南池袋1-16-15,2006,プライム市場,378,"50,000百万円",,https://www.seibuholdings.co.jp/,
2024-08-01,太陽建機レンタル株式会社,その他,1,■事業内容：土木・建設機械器具、各種トラック・高所作業車、電気機械器具、プレハブ・コンテナハウス・トイレ・事務所備品等のレンタル業務■業界について建設業界においては、工事に付随する重機、車両、機械器具、備品は自社保有からレンタルで調達することが主流となってきました。現在では70％以上が、レンタルで賄われ、当社も10年以上の間、前年を上回る業績を上げています。今後は国の最重要課題でもある、老朽化した「インフラ整備」などの需要拡大が見込まれています。,静岡県静岡市駿河区大坪町2-26,1986,,3092,"1,140百万円",,http://www.taiyokenki.co.jp/,
2024-08-01,大分キヤノン株式会社,その他,1,■大分キヤノンのものづくり：大分キヤノンのものづくりは今日も進化しています。大分キヤノンは、キヤノン本体の開発部門と連携し、最先端のカメラ生産技術を生み出す総合技術拠点という役割を担っています。カメラ生産の完全自動化を目指し、約130億円を投資した新研究開発拠点「テクノ棟」も２０１６年12月より稼働し、より高性能で高品質な製品づくりを実現する環境を強化・充実しています。自動機の設計やカメラの試作・評価など、キヤノンカメラの主管企業として、MADE IN JAPANのものづくりを徹底強化・推進、進化し続けています。,大分県国東市安岐町下原710,1982,,3010,80百万円,34.0,http://www.oita-canon.co.jp/,
2024-08-01,パナソニックエンターテインメント＆コミュニケーション株式会社,その他,17,■ミッション：エンターテインメントとコミュニケーションの力で人々に新しい「感動と安らぎ」を提供する■ビジョン：世界最高の映像・音響・通信で人と人をつなぎ、明日を創造し続けるプロフェッショナル■事業領域：AV機器（テレビ、オーディオ機器、ビデオ機器等）、デジタルカメラ機器、コミュニケーション機器（ヘッドホン、インターホン、電話機、ファクス、ホームネットワーク等）の開発・製造・販売,大阪府守口市八雲東町1-10-12,2022,,11000,,,なし,
2024-05-01,株式会社セキ薬品,その他,1,～成長フェーズの地元密着型ドラッグストア～■事業内容医薬品・要指導医薬品、一般用医薬品、医療機器、衛生用品などの販売 調剤・調剤薬局 化粧品の販売 健康食品、健康器具および、日用品などの販売,埼玉県南埼玉郡宮代町百間4-2-22,1984,,1442,83百万円,30.1,http://www.sekiyakuhin.co.jp/outline/outline.html,
2024-06-01,四電エンジニアリング株式会社,その他,10,■事業内容： ・電気、機械、原子力、通信、土木、建築、環境保全関係施設の調査、設計、製作、施工、保守・前号に関係するシステム設計、ソフトウェア開発、販売・電気、機械、土木、建築その他の諸機械器具の販売および賃貸・貨物利用運送事業・ごみ処理施設や上下水道施設等の設計、建設、運営ならびに当該施設等の設備の維持管理および運転・清涼飲料水の製造および販売・労働者派遣事業・再生可能エネルギーによる発電事業・経営上必要と認める他の会社への投資・前各号に付帯関連する事業,香川県高松市上之町3-1-4,1970,,1128,360百万円,,http://www.yon-e.co.jp/,
2024-07-01,株式会社アサンテ(東証プライム市場上場),その他,8,■概要総合的なHA(ハウスアメニティ）事業を推進。創業からシロアリの発生予防および駆除を主力事業として展開。一般家屋に対し、お客様の家屋の状況を把握した上でお客様の財産である「家」を守るためのシロアリ防除・湿気対策・地震対策をご提案し、メンテナンスを含む住環境の改善を行なう。その他、オフィス、ホテル、飲食店、病院などの空間の快適な環境を管理を行なうTS(トータルサニテーション）事業、住まいのリフォームを中心に環境衛生の視点を取り入れた快適な増改築を行う住宅事業がある。,東京都新宿区新宿1-33-15,1973,プライム市場,998,"1,100百万円",41.0,http://www.asante.co.jp,
2024-08-01,株式会社デンソーユニティサービス,その他,1,■概要：株式会社デンソーを中心にグループ各社に対して保安・警備業務、車両運行・社有車管理業務などのプロフェッショナル・サービスの提供を目指しています。1999年4月に株式会社デンソーの総務機能分社として設立されました。,愛知県刈谷市昭和町1-1株式会社デンソー保安センター内,1999,,823,45百万円,50.7,https://www.denso-unity.co.jp/,
2024-07-01,たんぽぽ薬局株式会社,その他,3,■事業内容：・保険調剤薬局の経営・医療機器、医療用具、衛生材料の販売、介護用品の販売・在宅関連事業,岐阜県岐阜市若宮町9-16トーカイビル9F,1995,,1407,693百万円,34.4,https://www.tanpopo-ph.co.jp/,
2024-08-01,ＳＯＭＰＯコーポレートサービス株式会社,その他,4,■事業内容： ・建物・設備等不動産の管理・シェアードサービス業務・不動産の賃貸、賃借・事務用物品の購入、管理、発送および配送・自動車の運行管理・印刷物発注、印刷物物流管理等の事務代行、印刷物等の管理、保管、軽印刷および製本業務・物品販売 ・上記に付随する業務,東京都新宿区西新宿1-26-1損保ジャパン本社ビル31F,1953,,576,94百万円,48.0,https://www.sompo-cs.co.jp/,
