更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,事業内容,上場市場名
2024-08-01,ＪＡＬ　Ａｇｒｉｐｏｒｔ株式会社,その他,求人なし,千葉県成田市古込1-1,2018,代表取締役 花桝 健一,3,100 百万円,,,,
2024-08-01,株式会社ｃａｐａｂｌｅ,その他,求人なし,東京都目黒区上目黒2-1-1,2019,代表取締役 髙橋 祐希,3,100 百万円,,,,
2024-08-01,大信東京合同会社,その他,求人なし,東京都港区西新橋2-39-3,2020,,3,5 百万円,,,,
2024-08-01,ＴＳＴジャパン株式会社,その他,求人なし,大阪府大阪市中央区南本町2-1-1,2020,代表取締役 古田 兼三,3,8 百万円,,,,
2024-08-01,コンバーターテックジャパン合同会社,その他,求人なし,千葉県千葉市美浜区中瀬2-6-1ＷＢＧマリブイースト14Ｆ,2020,,3,10 百万円,,,,
2024-08-01,株式会社ＴＥＩ　Ｊａｐａｎ,その他,求人なし,東京都中央区京橋1-1-5,2021,代表取締役 伊福 澄哉,3,50 百万円,,,,
2024-08-01,リフトマネジメント株式会社,その他,求人なし,東京都中央区日本橋3-4-10,2021,代表取締役 國井 大,3,80 百万円,,,,
2024-08-01,ペンタマスターオートメーションジャパン合同会社,その他,求人なし,神奈川県横浜市神奈川区鶴屋町2-25-1ＹＳ横浜西口ビル7Ｆ,2021,,3,3 百万円,,,,
2024-08-01,株式会社ＭＤ＆アソシエイツ,その他,求人なし,香川県高松市林町2217-15香川産業頭脳化センタービル 316,2022,代表取締役 間 敬三,3,10 百万円,,,,
2024-08-01,ＱｕｒｅＤＡ　Ｒｅｓｅａｒｃｈ株式会社,その他,求人なし,兵庫県三田市学園上ケ原1,2023,代表取締役 金子 忠昭,3,450 百万円,,,,
2024-08-01,株式会社地域冷暖房千葉,その他,求人なし,千葉県千葉市中央区新町1000センシティビルディングセンシティタワー 19Ｆ,1989,代表取締役 指田 孝雄,2,"1,000 百万円",,,,
2024-08-01,デザイナーフーズ株式会社,その他,求人なし,東京都足立区六町4-12-12,1999,代表取締役 市野 真理子,2,20 百万円,,,,
2024-08-01,株式会社神戸港国際流通センター,その他,求人なし,兵庫県神戸市中央区港島8-2-1,1996,代表取締役 長田 行弘,2,30 百万円,,,,
2024-08-01,エロフ・ハンソン株式会社,その他,求人なし,東京都港区東新橋1-5-2汐留シティセンター5Ｆ,1979,代表取締役 岡田 誠,2,20 百万円,,,,
2024-08-01,センコーフーズ株式会社,その他,求人なし,大阪府大阪市北区大淀中1-1-30,1992,代表取締役 浦野 雅夫,2,90 百万円,,,,
2024-08-01,サンケンビジネスサービス株式会社,その他,求人なし,埼玉県新座市北野3-6-3,1982,代表取締役 佐々木 学,2,90 百万円,,,,
2024-08-01,加賀コミュニティプラザ株式会社,その他,求人なし,石川県加賀市作見町ル25-1,1995,代表取締役 杉崎 邦彦,2,200 百万円,,,,
2024-08-01,名工商事株式会社,その他,求人なし,愛知県清須市枇杷島駅前東1-1-1,1966,代表取締役 小林 淳祐,2,20 百万円,,,,
2024-08-01,ヴァイスハルト・インターナショナル,その他,求人なし,東京都千代田区神田神保町1-13-16神保町ＴＫビル 3Ｆ,,日本における代表者 Ｄ．ジェレール,2,,,,,
2024-08-01,アリアンスペース社　東京事務所,その他,求人なし,東京都千代田区霞が関3-2-5霞ヶ関ビル 31Ｆ,,東京事務所代表 高松 聖司,2,,,,,
2024-08-01,株式会社サテライトイメージマーケティング,その他,求人なし,東京都目黒区青葉台4-9-6日本地図センタービル 5Ｆ,2002,代表取締役 田村 洋子,2,60 百万円,,,,
2024-08-01,株式会社カリブ,その他,求人なし,東京都足立区梅田6-9-16,2004,代表取締役 瀬出井 恒,2,10 百万円,,,,
2024-08-01,近鉄バスホールディングス株式会社,その他,求人なし,大阪府大阪市天王寺区上本町6-5-13上本町新歌舞伎座ビル上本町ＹＵＦＵＲＡ 7Ｆ,2007,代表取締役 田中 耕造,2,100 百万円,,,,
2024-08-01,株式会社コンステ,その他,求人なし,東京都千代田区神田美土代町3-2神田アベビル 7Ｆ,2008,代表取締役 河野 勝平,2,9 百万円,,,,
2024-08-01,ソニックステクノロジー株式会社,その他,求人なし,東京都千代田区九段南4-8-27小林ビル 2Ｆ,2011,代表取締役 江東 亮,2,80 百万円,,,,
2024-08-01,株式会社エブリシングジャパン,その他,求人なし,東京都港区六本木3-2-1六本木グランドタワー 21Ｆ,2014,代表取締役 南 昭英,2,85 百万円,,,,
2024-08-01,一般社団法人ＳＮＳエキスパート協会,特殊法人・財団法人・その他団体・連合会,求人なし,東京都港区虎ノ門4-1-13プライムテラス神谷町 9Ｆ,2016,代表理事 後藤 真理恵,2,,,,,
2024-08-01,セレンディップ・ロボクロスマーケティング株式会社,その他,求人なし,愛知県名古屋市中区錦1-5-11名古屋伊藤忠ビル 3Ｆ,2018,代表取締役社長 和田 正信,2,50 百万円,,,,
2024-08-01,ＭａａＳ　Ｇｌｏｂａｌ　Ｊａｐａｎ株式会社,その他,求人なし,東京都渋谷区渋谷2-19-15宮益坂ビルディング609,2019,代表取締役 嶋田 智之,2,,,,,
2024-08-01,株式会社ファンケルラボ,その他,無,神奈川県横浜市中区山下町89-1,2020,代表取締役 稲葉 豊和,2,10 百万円,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 日本国内における化粧品や医薬部外品、健康食品の受託製造および販売 2021年12月doda掲載求人より引用,
2024-08-01,株式会社シー・エス・リアルエステート,その他,求人なし,千葉県千葉市花見川区幕張本郷1-11-26リビエール本郷 203,2020,代表取締役 中井 千代助,2,10 百万円,,,,
2024-08-01,大豊不動産株式会社,その他,求人なし,東京都中央区新川1-24-4大豊ビル 7Ｆ,1969,代表取締役 釘本 実,1,10 百万円,,,,
2024-08-01,四港サイロ株式会社,その他,求人なし,三重県四日市市千歳町34,1967,代表取締役 福永 隆,1,250 百万円,,,,
2024-08-01,徳島電工有限会社,その他,求人なし,徳島県徳島市応神町応神産業団地4-1,1966,代表取締役 向井 郁男,1,4 百万円,,,,
2024-08-01,株式会社エリアクエスト店舗＆オフィス,その他,求人なし,東京都新宿区西新宿6-5-1新宿アイランドタワー 7Ｆ,2000,代表取締役 清原 雅人,1,30 百万円,,,,
2024-08-01,室町海運株式会社,その他,求人なし,東京都千代田区大手町1-5-1大手町ファーストスクエアウエストタワー 22Ｆ,1951,代表取締役 山野井 敦寛,1,10 百万円,,,,
2024-08-01,エムケー興産株式会社,その他,求人なし,長野県長野市大字鶴賀南千歳町975,1969,代表取締役 宮澤 喜宏,1,475 百万円,,,,
2024-08-01,サンワロジスティック株式会社,その他,求人なし,東京都中央区京橋3-1-1,1990,代表取締役 玉木 克也,1,10 百万円,,,,
2024-08-01,中電ビジネスサポート株式会社,その他,求人なし,愛知県名古屋市東区東新町1,2001,代表取締役 度會 俊宏,1,100 百万円,,,,
2024-08-01,日中商品検査株式会社,その他,求人なし,東京都中央区日本橋茅場町2-7-1アソルティ日本橋茅場町,1991,代表取締役 劉 彦賓,1,30 百万円,,,,
2024-08-01,ソーラーパワー西条株式会社,その他,求人なし,愛媛県西条市北条962-14,2012,代表取締役 坂井 洋一,1,10 百万円,,,,
2024-08-01,株式会社パンパシフィックホテルズアンドリゾーツジャパン,その他,求人なし,東京都新宿区新宿4-1-6新宿ミライナタワー18Ｆ,1985,代表取締役 チョウペンサム,1,10 百万円,,,,
2024-08-01,ＳＩＥ株式会社,その他,求人なし,兵庫県神戸市中央区三宮町3-9-20南泰ビルディング 6Ｆ,2014,代表取締役 ジョ カナン,1,80 百万円,,,,
2024-08-01,株式会社ケア２１不動産,その他,求人なし,大阪府大阪市北区堂島2-2-2近鉄堂島ビル 10Ｆ,1999,代表取締役 依田 雅,1,5 百万円,,,,
2024-08-01,Ｙ　Ｓｏｆｔ　Ｊａｐａｎ株式会社,その他,求人なし,兵庫県神戸市東灘区向洋町中6-9,2008,代表取締役 ミラン・フジタ,1,85 百万円,,,,
2024-08-01,Ｏ＆Ｃペーパーバッグホールディングス株式会社,その他,求人なし,東京都中央区銀座5-12-8王子ホールディングス1号館 9Ｆ,2016,代表取締役 長谷部 明夫,1,100 百万円,,,,
2024-08-01,株式会社ＣＥｓｐａｃｅ,その他,求人なし,東京都新宿区西新宿6-5-1,2019,代表取締役社長 若泉 大輔,1,45 百万円,,,,
2024-08-01,原本株式会社,その他,求人なし,東京都千代田区麹町1-4-42Ｆ,2019,代表取締役 王 楊天,1,9 百万円,,,,
2024-08-01,紅忠黒田ラミネーション株式会社,その他,求人なし,茨城県那珂市向山字笠松1227-1,2023,代表取締役 佐々木 忠幸,1,250 百万円,,,,
2024-08-01,Ｔ＆Ｄリスクソリューションズ株式会社,その他,求人なし,東京都中央区日本橋兜町5-1兜町第1平和ビル3Ｆ,2023,代表取締役 儀賀 信利,1,50 百万円,,,,
2024-08-01,株式会社ＯＰｈｒｓ,その他,求人なし,大阪府大阪市中央区久太郎町1-8-2,2023,代表取締役 髙宮 充洋,1,10 百万円,,,,
2024-08-01,グローム・インターナショナル株式会社,その他,求人なし,東京都港区赤坂1-12-32,2023,代表取締役 菅原 正純,1,80 百万円,,,,
2024-08-01,丸金浅野商事株式会社,その他,求人なし,北海道札幌市中央区北八条西18-1-7フレクスビル,1951,代表取締役 浅野 正之,,45 百万円,,,,
2024-08-01,石狩開発株式会社,その他,求人なし,北海道石狩市新港西1-721-11石狩新港卸センター組合会館 2Ｆ,1964,代表取締役 豊岡 孝章,,33 百万円,,,,
2024-08-01,株式会社和泉組,その他,求人なし,北海道札幌市豊平区豊平四条8-1-25,1953,代表取締役 金戸 淳一,,70 百万円,,,,
