更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,平均年齢,従業員数,企業URL,資本金,事業内容,上場市場名
2024-08-01,一般社団法人全国銀行協会,特殊法人・財団法人・その他団体・連合会,求人なし,東京都千代田区丸の内1-3-1銀行会館,1910,会長 三毛 兼承,,,,,,
2024-08-01,一般社団法人科学技術と経済の会,特殊法人・財団法人・その他団体・連合会,求人なし,東京都千代田区飯田橋3-3-1飯田橋三笠ビル 2Ｆ,1967,代表理事 遠藤 信博,,,,,,
2024-08-01,地方公務員災害補償基金,特殊法人・財団法人・その他団体・連合会,求人なし,東京都千代田区平河町2-16-1平河町森タワー 8Ｆ,1967,理事長 佐藤 啓太郎,,,,,,
2024-08-01,メディア株式会社,その他,求人なし,熊本県八代市西松江城町11-27,1977,代表取締役 吉武 卓哉,,,,10 百万円,,
2024-08-01,岡野興業株式会社,その他,求人なし,岡山県倉敷市上富井509-3,1941,代表取締役 岡野 光作,,,,10 百万円,,
2024-08-01,株式会社大成製作所,その他,求人なし,愛知県名古屋市瑞穂区大喜町6-24,1986,代表取締役 坂野 浩章,,,,10 百万円,,
2024-08-01,有限会社シー・エー・アイ,その他,求人なし,京都府京都市伏見区加賀屋町731ノーブル伏見 1Ｆ,1994,代表取締役 内山 英雄,,,,3 百万円,,
2024-08-01,有限会社近藤防災,その他,求人なし,京都府京都市伏見区醍醐和泉町8-5,1995,代表取締役 近藤 佳臣,,,,3 百万円,,
2024-08-01,公益財団法人ひょうご産業活性化センター,特殊法人・財団法人・その他団体・連合会,求人なし,兵庫県神戸市中央区東川崎町1-8-4神戸市産業振興センター 1Ｆ・2Ｆ・7Ｆ,1966,代表理事 谷口 賢行,,,,,,
2024-08-01,兵庫県信用保証協会,特殊法人・財団法人・その他団体・連合会,求人なし,兵庫県神戸市中央区浪花町62-1,1948,理事長 杉本 明文,,,,"80,152 百万円",,
2024-08-01,独立行政法人農林漁業信用基金,特殊法人・財団法人・その他団体・連合会,求人なし,東京都港区愛宕2-5-1愛宕グリーンヒルズＭＯＲＩタワー 28Ｆ,2003,理事長 牧元 幸司,,,,"183,562 百万円",,
2024-08-01,一般社団法人全国地方銀行協会,特殊法人・財団法人・その他団体・連合会,求人なし,東京都千代田区内神田3-1-2地方銀行会館,1950,代表理事 西原 政雄,,,,,,
2024-08-01,公益財団法人東京都中小企業振興公社,その他,求人なし,東京都千代田区神田佐久間町1-9,1966,代表理事 中西 充,,,,,,
2024-08-01,株式会社アール・エイチ・サービス,その他,求人なし,群馬県太田市東長岡町1643-1,1974,代表取締役 佐藤 吉信,,,,20 百万円,,
2024-08-01,一般財団法人日本土壌協会,特殊法人・財団法人・その他団体・連合会,求人なし,東京都千代田区神田神保町1-54,1951,代表理事 松本 聰,,,,,,
2024-08-01,舶用計器サービス株式会社,その他,求人なし,東京都千代田区九段北1-10-1九段勧業ビル 1Ｆ,1970,代表取締役 丸山 光子,,,,10 百万円,,
2024-08-01,有限会社今井商会,その他,求人なし,兵庫県姫路市砥堀876-14,2000,代表取締役 今井 真司,,,,3 百万円,,
2024-08-01,日本小型船舶検査機構,特殊法人・財団法人・その他団体・連合会,求人なし,東京都千代田区九段北4-1-3飛栄九段北ビル 5Ｆ,1974,,,,,,,
2024-08-01,株式会社ふじい百貨,その他,求人なし,兵庫県姫路市網干区新在家1296-1,1950,代表取締役 藤井 夏子,,,,10 百万円,,
2024-08-01,ハマダ株式会社,その他,求人なし,大阪府大阪市住之江区泉1-1-82,1987,代表取締役 濵田修吾,,,,50 百万円,,
2024-08-01,株式会社日幸電設,その他,無,埼玉県戸田市戸田公園5-11,1971,代表取締役 菅原 学,,,,15 百万円,,
2024-08-01,一般社団法人日本海事検定協会,特殊法人・財団法人・その他団体・連合会,求人なし,東京都中央区八丁堀1-9-7,1914,代表理事会長 石田 正明,,,,,,
2024-08-01,中央職業能力開発協会,特殊法人・財団法人・その他団体・連合会,求人なし,東京都新宿区西新宿7-5-25西新宿プライムスクエア 11Ｆ,1979,会長 釡和明,,,,,,
