更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,株式会社井上政商店,その他,求人なし,福岡県福岡市早良区昭代1-2-11,1953,代表取締役 井上 亮太,10 百万円,,,,,
2024-08-01,株式会社ドーケン,その他,求人なし,福岡県飯塚市筑穂元吉686-1,1974,代表取締役 多胡 建伺,35 百万円,,,,,
2024-08-01,株式会社浜田工業,その他,求人なし,埼玉県さいたま市桜区南元宿1-1-20,1970,代表取締役 浜田 良明,10 百万円,,,,,
2024-08-01,株式会社アーキ・クリエイト,その他,求人なし,岡山県岡山市中区原尾島3-8-27,1988,代表取締役 星川 文伯,10 百万円,,,,,
2024-08-01,岡山トヨタ車体株式会社,その他,求人なし,岡山県岡山市北区野田4-15-61,1948,代表取締役 梶谷 俊介,10 百万円,,,,,
2024-08-01,株式会社長良川ボウリングセンター,その他,求人なし,岐阜県岐阜市早田大通1-11,1971,代表取締役 大野 春光,10 百万円,,,,,
2024-08-01,株式会社スリーアイイー,その他,求人なし,福岡県福岡市早良区原6-5-1リバーサイド松原 1Ｆ,1971,代表取締役 松原 国浩,80 百万円,,,,,
2024-08-01,有限会社ナカ電器,その他,求人なし,福岡県福岡市早良区飯倉7-2-6,1973,代表取締役 中園 正嗣,10 百万円,,,,,
2024-08-01,株式会社北立技建,その他,求人なし,北海道札幌市北区東茨戸三条1-17-11,2001,代表取締役 結城 安文,20 百万円,,,,,
2024-08-01,株式会社飯笹工業,その他,求人なし,福岡県福岡市早良区西入部4-22-5,1991,代表取締役 飯笹 茂幸,20 百万円,,,,,
2024-08-01,公益財団法人岡山文化芸術創造,特殊法人・財団法人・その他団体・連合会,求人なし,岡山県岡山市北区表町1-5-1,1984,代表理事 越宗 孝昌,,,,,,
2024-08-01,学校法人福岡学園,特殊法人・財団法人・その他団体・連合会,求人なし,福岡県福岡市早良区田村2-15-1,1972,理事長 水田 祥代,"57,107 百万円",,,,,
2024-08-01,株式会社福岡薬工社,その他,求人なし,千葉県木更津市かずさ鎌足1-1-1,1946,代表取締役 林 麗銓,10 百万円,,,,,
2024-08-01,株式会社タスコーポレーション,その他,求人なし,岡山県岡山市北区白石東新町14-101,1984,代表取締役 神崎 郁夫,8 百万円,,,,,
2024-08-01,株式会社大輝,その他,求人なし,福岡県福岡市早良区城西1-8-30リバティ西新 2Ｆ,1982,代表取締役 禅院 健司,10 百万円,,,,,
2024-08-01,株式会社ファルト,その他,求人なし,岡山県岡山市東区竹原218-9,1982,代表取締役 岡本 輝明,15 百万円,,,,,
2024-08-01,株式会社西部硝子工業,その他,求人なし,福岡県福岡市早良区田村1-18-29,2001,代表取締役 平塚 要子,10 百万円,,,,,
2024-08-01,三栄工業株式会社,その他,求人なし,福岡県福岡市早良区次郎丸2-15-1,1985,代表取締役 不動寺 政隆,10 百万円,,,,,
2024-08-01,株式会社ウイングトゥーワン,その他,求人なし,福岡県福岡市早良区野芥6-52-21-1,2000,代表取締役 波多 江博,10 百万円,,,,,
2024-08-01,経済流通サービス協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,岡山県岡山市北区桑田町7-22ＦＫビル 2Ｆ,1991,代表理事 前川 芳久,32 百万円,,,,,
2024-08-01,有限会社建匠,その他,求人なし,岡山県岡山市北区門前399-1,1993,代表取締役 佐々井 敬子,3 百万円,,,,,
2024-08-01,株式会社トヨタレンタリース岐阜,その他,求人なし,岐阜県岐阜市金園町9-2,1967,代表取締役 加藤 展之,25 百万円,,,,,
2024-08-01,有限会社マサト通商,その他,求人なし,岡山県岡山市北区加茂94-5,1991,代表取締役 市原 昌人,3 百万円,,,,,
2024-08-01,株式会社常川グリーン,その他,求人なし,岐阜県羽島郡岐南町上印食8-40,1976,代表取締役 常川 隆,10 百万円,,,,,
2024-08-01,有限会社相互運輸,その他,求人なし,岡山県岡山市南区中畦889-1,1991,代表取締役 松岡 茂昭,10 百万円,,,,,
2024-08-01,丸田青果株式会社,その他,求人なし,岐阜県岐阜市茜部新所2-5岐阜市中央卸売市場内,1971,代表取締役 木村 信明,10 百万円,,,,,
2024-08-01,株式会社ＳＥＩＷＡ,その他,求人なし,岐阜県岐阜市上土居3-3-2,1989,代表取締役 戸星 章民,20 百万円,,,,,
2024-08-01,岐阜工業株式会社,その他,求人なし,岐阜県岐阜市東中島3-14-3,1972,代表取締役 石榑 光雄,10 百万円,,,,,
2024-08-01,株式会社コマツ,その他,求人なし,埼玉県さいたま市浦和区前地1-4-5,1973,代表取締役 小松 高行,51 百万円,,,,,
2024-08-01,ＦＤシステム株式会社,その他,求人なし,福岡県福岡市西区福重3-5-6,1972,代表取締役 猿渡 諭,30 百万円,,,,,
2024-08-01,株式会社正直屋,その他,求人なし,埼玉県さいたま市浦和区高砂2-12-12,1948,代表取締役 山﨑 誠司,90 百万円,,,,,
2024-08-01,欧亜貿易株式会社,その他,求人なし,福岡県福岡市早良区城西3-2-6,1973,代表取締役 山本 総一郎,10 百万円,,,,,
2024-08-01,円山建設株式会社,その他,求人なし,北海道札幌市手稲区曙七条3-4-10,1975,代表取締役 青山 正義,10 百万円,,,,,
2024-08-01,飯村建設株式会社,その他,求人なし,埼玉県さいたま市浦和区岸町1-9-17,1973,代表取締役 飯村 市郎,25 百万円,,,,,
2024-08-01,株式会社セルメ,その他,求人なし,岐阜県岐阜市菅生5-3-5,1986,代表取締役 杉山 稔章,10 百万円,,,,,
2024-08-01,株式会社ベル・ブランシェ,その他,求人なし,岡山県岡山市中区門田屋敷3-5-6,1982,代表取締役 河手 美枝子,14 百万円,,,,,
2024-08-01,株式会社岡葬,その他,求人なし,岡山県岡山市中区平井5-7-60,1950,代表取締役 松原 弘,20 百万円,,,,,
2024-08-01,光生産研株式会社,その他,求人なし,埼玉県さいたま市浦和区大原5-12-1,1967,代表取締役 齋藤 實,30 百万円,,,,,
2024-08-01,株式会社Ａｓｓｉｓｔ,その他,求人なし,岡山県岡山市中区神下524,1994,代表取締役 井上 芳浩,3 百万円,,,,,
2024-08-01,クイント企画株式会社,その他,求人なし,岡山県岡山市北区今4-9-23大本今ビル 2Ｆ,1985,代表取締役 谷本 安弘,10 百万円,,,,,
2024-08-01,有限会社久保工業,その他,求人なし,岡山県岡山市北区加茂471-1,1994,代表取締役 久保 克己,3 百万円,,,,,
2024-08-01,株式会社栄家本店,その他,求人なし,岡山県岡山市北区今2-1-1,1978,代表取締役 板野 誠二,3 百万円,,,,,
2024-08-01,イオテック有限会社,その他,求人なし,岡山県岡山市南区内尾319-6,1990,代表取締役 髙橋 幸嗣,3 百万円,,,,,
2024-08-01,有限会社明永ガス商会,その他,求人なし,福岡県福岡市早良区田隈2-8-23,1976,代表取締役 明永 信夫,3 百万円,,,,,
2024-08-01,株式会社ビーディーエス,その他,無,千葉県柏市金山770,1983,代表取締役 徳山勇秀,80 百万円,,,,,
2024-08-01,株式会社エス・アール,その他,求人なし,福岡県福岡市西区西の丘2-2-15,1970,代表取締役 火山 貴仁,26 百万円,,,,,
2024-08-01,株式会社富士総業,その他,求人なし,埼玉県さいたま市浦和区本太4-9-4,1975,代表取締役 金子 肇,10 百万円,,,,,
2024-08-01,岐阜県民共済生活協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,岐阜県岐阜市茜部菱野2-82-1,1983,代表理事 林 直美,"1,099 百万円",,,,,
2024-08-01,株式会社大都建設,その他,求人なし,岡山県岡山市北区万成東町12-29,1970,代表取締役 竹内 美代子,33 百万円,,,,,
2024-08-01,株式会社グリーン企画社,その他,求人なし,埼玉県さいたま市浦和区針ヶ谷3-5-5,1976,代表取締役 田中 豊,30 百万円,,,,,
2024-08-01,株式会社拓研コンサルタント,その他,求人なし,福岡県福岡市早良区荒江2-6-37第2渡辺ビル 1Ｆ,1976,代表取締役 田中 正也,10 百万円,,,,,
2024-08-01,株式会社リフォーム三光サービス,その他,求人なし,福岡県福岡市早良区田隈3-67-2,1994,代表取締役 宮﨑 高志,3 百万円,,,,,
2024-08-01,医療法人竜操整形,その他,求人なし,岡山県岡山市中区高屋17-2,1996,理事長 中島衡,,,,,,
2024-08-01,株式会社セブン,その他,求人なし,岐阜県岐阜市八代1-4-11,1995,代表取締役 後藤 太一,10 百万円,,,,,
2024-08-01,有限会社真子自動車販売,その他,求人なし,福岡県福岡市早良区四箇1-1-38,1981,,5 百万円,,,,,
2024-08-01,株式会社ジェーシーエス,その他,求人なし,埼玉県さいたま市浦和区仲町1-12-1カタヤマビル 7Ｆ,1995,代表取締役 鳴海 秀典,10 百万円,,,,,
2024-08-01,有限会社石山板金,その他,求人なし,福岡県福岡市早良区小田部1-29-53,1974,代表取締役 石山隆一,3 百万円,,,,,
2024-08-01,株式会社ディー・アイ・コンサルタンツ,その他,無,東京都港区虎ノ門4-1-1神谷町トラストタワー23Ｆ,1991,代表取締役 榎本 篤史,50 百万円,,,,,
2024-08-01,日本国際人材開発支援協同組合,その他,求人なし,岐阜県岐阜市加納清野町20,1981,代表理事 桐山 誠士,,,,,,
2024-08-01,藤江商事株式会社,その他,求人なし,岐阜県岐阜市大菅南20-7,1975,代表取締役 藤江 巨人,20 百万円,,,,,
2024-08-01,西福岡宇部コンクリート株式会社,その他,求人なし,福岡県福岡市早良区早良2-1-1,1993,代表取締役 福岡 桂,30 百万円,,,,,
2024-08-01,さいたま商工会議所,特殊法人・財団法人・その他団体・連合会,求人なし,埼玉県さいたま市浦和区高砂3-17-15さいたま商工会議所会館,1946,会頭 池田 一義,,,,,,
2024-08-01,株式会社田中興発,その他,求人なし,福岡県福岡市早良区西入部2-1-3,1991,代表取締役 田中 智紀,20 百万円,,,,,
2024-08-01,一般社団法人埼玉県銀行協会,特殊法人・財団法人・その他団体・連合会,求人なし,埼玉県さいたま市浦和区高砂2-6-5浦和大栄ビル,1977,,,,,,,
2024-08-01,有限会社板谷,その他,求人なし,岡山県岡山市北区今3-24-10,1980,代表取締役 板谷啓正,3 百万円,,,,,
2024-08-01,有限会社飯田工事,その他,求人なし,岡山県岡山市北区白石東新町5-110,1979,代表取締役 飯田 徹則,5 百万円,,,,,
2024-08-01,医療法人社団やまが整形外科,特殊法人・財団法人・その他団体・連合会,求人なし,岐阜県岐阜市真砂町9-15,1994,理事長 山賀 寛,,,,,,
2024-08-01,株式会社メイデン,その他,求人なし,福岡県福岡市早良区賀茂2-4-33,1975,代表取締役 井上 和旗,10 百万円,,,,,
2024-08-01,有限会社八木工業,その他,求人なし,福岡県福岡市早良区四箇2-7-11,1984,代表取締役 八木 廣光,20 百万円,,,,,
2024-08-01,北海道ピーエス株式会社,その他,求人なし,北海道札幌市手稲区手稲山口205,1991,代表取締役 金田一 辰也,20 百万円,,,,,
2024-08-01,株式会社ナルセ設備,その他,求人なし,福岡県福岡市早良区重留1-22-13,1988,代表取締役 神田 久寿,10 百万円,,,,,
2024-08-01,株式会社伊藤食品,その他,求人なし,岐阜県岐阜市安良田町6-55,1997,代表取締役 伊藤 貴信,10 百万円,,,,,
2024-08-01,大高建設株式会社,その他,求人なし,岡山県岡山市北区今1-1-10今ビル 2Ｆ,1990,代表取締役 神原 雅弘,49 百万円,,,,,
2024-08-01,株式会社伸斉,その他,求人なし,福岡県福岡市中央区天神3-1-12北天神ビル 8Ｆ,1992,代表取締役 兒嶋 伸二,10 百万円,,,,,
2024-08-01,有限会社島田屋ビルデイング,その他,求人なし,埼玉県さいたま市浦和区高砂2-6-4,1974,代表取締役 湯澤 美保,3 百万円,,,,,
2024-08-01,株式会社ホッコー資材,その他,求人なし,北海道札幌市手稲区新発寒七条10-3-20,1988,代表取締役 佐藤 悠平,13 百万円,,,,,
2024-08-01,医療法人社団瑞鳳会,特殊法人・財団法人・その他団体・連合会,求人なし,岐阜県岐阜市東金宝町2-12-6,1995,理事長 松岡 正治,110 百万円,,,,,
2024-08-01,有限会社山栄緑化,その他,求人なし,福岡県福岡市早良区野芥3-19-10,2002,代表取締役 宮﨑 譲,3 百万円,,,,,
2024-08-01,株式会社ガレージスピードライン,その他,求人なし,岡山県岡山市南区松浜町16-5,1993,代表取締役 田村 宏樹,27 百万円,,,,,
2024-08-01,株式会社アドキットインフォケーション,その他,求人なし,岐阜県岐阜市下奈良1-1-8,1997,代表取締役 家田 里香,40 百万円,,,,,
2024-08-01,株式会社オカビ,その他,求人なし,岡山県岡山市北区中仙道56-121,1989,代表取締役 髙山 林太郎,10 百万円,,,,,
2024-08-01,ミューシステム株式会社,その他,求人なし,福岡県福岡市早良区賀茂2-5-35,2002,代表取締役 馬場 修一,10 百万円,,,,,
2024-08-01,有限会社明和工業,その他,求人なし,福岡県福岡市早良区梅林6-6-14,2001,取締役 池 弘文,3 百万円,,,,,
2024-08-01,株式会社福岡ヨシダ,その他,求人なし,福岡県福岡市早良区次郎丸2-24-8,2001,代表取締役 吉田 和幸,10 百万円,,,,,
2024-08-01,埼玉県医師信用組合,特殊法人・財団法人・その他団体・連合会,求人なし,埼玉県さいたま市浦和区仲町3-5-1,1963,代表理事 金井 忠男,72 百万円,,,,,
2024-08-01,東通産業株式会社,その他,求人なし,埼玉県さいたま市南区根岸5-9-14ヴィラコヤス弐番館 803,1969,代表取締役 藤原 由美,10 百万円,,,,,
2024-08-01,株式会社大牟田商会,その他,求人なし,福岡県大牟田市天領町1-291,1963,代表取締役 石橋 知久,10 百万円,,,,,
2024-08-01,株式会社尾崎工務店,その他,求人なし,岐阜県岐阜市鏡島2080-5,1991,代表取締役 尾﨑 哲明,10 百万円,,,,,
2024-08-01,有限会社森藤塗装店,その他,求人なし,岡山県岡山市南区福富中1-15-36,1976,代表取締役社長 森藤 豊,3 百万円,,,,,
2024-08-01,株式会社三和,その他,求人なし,埼玉県さいたま市南区沼影1-17-10,1958,代表取締役 細淵 雅邦,10 百万円,,,,,
2024-08-01,株式会社田中農園,その他,求人なし,福岡県大牟田市大字田隈840,1951,代表取締役 田中 茂,10 百万円,,,,,
2024-08-01,有限会社新星工業,その他,求人なし,北海道札幌市手稲区星置南3-2-10,2000,代表取締役 池田 哲也,8 百万円,,,,,
2024-08-01,株式会社丸十商店,その他,求人なし,埼玉県さいたま市見沼区大字中川267-7,1965,代表取締役 石賀 大介,40 百万円,,,,,
2024-08-01,双葉産業株式会社,その他,求人なし,福岡県大牟田市北磯町70-7,1961,代表取締役 江頭 大吾,20 百万円,,,,,
2024-08-01,有限会社市川,その他,求人なし,埼玉県さいたま市浦和区仲町2-2-7市川ビル,1954,取締役 市川 浩正,5 百万円,,,,,
2024-08-01,株式会社加藤商店,その他,求人なし,北海道札幌市清田区北野二条3-1-30,1967,代表取締役社長 山﨑 巌,50 百万円,,,,,
2024-08-01,株式会社スカツト,その他,求人なし,埼玉県さいたま市南区辻7-1-2,1962,代表取締役 望月 弘之,35 百万円,,,,,
2024-08-01,晃亜興業株式会社,その他,求人なし,北海道札幌市清田区美しが丘二条4-18-3,1968,代表取締役 乳井 文夫,20 百万円,,,,,
2024-08-01,アリックス株式会社,その他,求人なし,埼玉県さいたま市緑区大字三室989-9,1985,代表取締役 田口 禎子,10 百万円,,,,,
2024-08-01,清水産業株式会社,その他,求人なし,福岡県大牟田市船津町1-2-9,1983,代表取締役 清水 孝一郎,10 百万円,,,,,
2024-08-01,株式会社丸恵原田商会,その他,求人なし,北海道札幌市清田区里塚二条7-2-20,1970,代表取締役 清水 恵,10 百万円,,,,,
2024-08-01,東和ユニゾン株式会社,その他,求人なし,岡山県岡山市北区田益1695-1,1996,代表取締役 古原 篤史,45 百万円,,,,,
2024-08-01,昭和技研株式会社,その他,求人なし,埼玉県さいたま市南区太田窪2-6-8高野ビル 2Ｆ,1985,代表取締役 髙野 吉章,10 百万円,,,,,
2024-08-01,北海スターチツク株式会社,その他,求人なし,北海道札幌市中央区北三条東11-338Ａ2007,1971,代表取締役 大森 友子,42 百万円,,,,,
2024-08-01,株式会社ハヤサカ電気,その他,求人なし,埼玉県さいたま市南区内谷6-1-7,1979,代表取締役 早坂 竹也,20 百万円,,,,,
2024-08-01,株式会社アキテック,その他,求人なし,岐阜県岐阜市茜部本郷1-43-2,1991,代表取締役 鹿野 雅人,10 百万円,,,,,
2024-08-01,レスク株式会社,その他,求人なし,岡山県岡山市北区今7-6-18,1996,代表取締役 堀川 正次,40 百万円,,,,,
2024-08-01,株式会社芳総業,その他,求人なし,埼玉県さいたま市南区南浦和2-40-1第2愛興ビル 3Ｆ,1981,代表取締役 美留町 浩章,10 百万円,,,,,
2024-08-01,コープデリ生活協同組合連合会,特殊法人・財団法人・その他団体・連合会,無,埼玉県さいたま市南区根岸1-4-13,1992,代表理事 熊﨑 伸,"26,800 百万円",,,,,
2024-08-01,株式会社システムタイズ,その他,無,岡山県岡山市北区下中野318-110,1997,代表取締役 根木 克己,30 百万円,,,,,
2024-08-01,株式会社地工建設,その他,求人なし,福岡県大牟田市健老町91-6,1995,代表取締役 下川 周作,30 百万円,,,,,
2024-08-01,有限会社有明乳業,その他,求人なし,福岡県大牟田市入船町97-22,1980,代表取締役 下原 信幸,5 百万円,,,,,
2024-08-01,株式会社フジタトレーディング,その他,求人なし,岡山県岡山市南区妹尾2618,1997,代表取締役 藤田 哲司,20 百万円,,,,,
2024-08-01,三司馬物産株式会社,その他,求人なし,北海道札幌市清田区真栄648-5,1973,代表取締役 佐野 好治,30 百万円,,,,,
2024-08-01,株式会社ラムザ都市開発,その他,求人なし,埼玉県さいたま市南区沼影1-10-1ラムザＡ棟 4Ｆ,1997,代表取締役 伊藤 義和,30 百万円,,,,,
2024-08-01,株式会社岡山ランゲージセンター,学習塾・予備校・専門学校,求人なし,岡山県岡山市北区駅元町15-1リットシティビル 2Ｆ 208,1997,代表取締役 高橋 正勝,50 百万円,,,,,
2024-08-01,株式会社青山プリザーブ,その他,求人なし,北海道札幌市清田区平岡三条3-1-5,1981,代表取締役 青山 達哉,12 百万円,,,,,
2024-08-01,山陽インテック株式会社,その他,求人なし,岡山県岡山市北区平野765-15,1966,代表取締役 阿部真也,10 百万円,,,,,
2024-08-01,株式会社コープデリサービス,その他,求人なし,埼玉県さいたま市南区根岸1-5-3,1991,代表取締役 大里 弘志,50 百万円,,,,,
2024-08-01,北日本燃料株式会社,その他,求人なし,北海道札幌市清田区北野二条3-11-7,1973,代表取締役 佐藤 和孝,20 百万円,,,,,
2024-08-01,株式会社中山開発,その他,求人なし,岡山県岡山市東区西大寺中野本町11-24,1986,代表取締役 坂本 孔二,40 百万円,,,,,
2024-08-01,株式会社ビックノーブル,その他,求人なし,埼玉県さいたま市南区文蔵2-22-2,1999,代表取締役 飯田 嘉翁,10 百万円,,,,,
2024-08-01,株式会社岬,その他,求人なし,福岡県大牟田市大字手鎌1300,1984,代表取締役 松尾 重幸,10 百万円,,,,,
2024-08-01,株式会社春近製作所,その他,求人なし,岐阜県岐阜市三輪大竹野962-140,1998,代表取締役 洞田 信之,10 百万円,,,,,
2024-08-01,株式会社アースレンタル,その他,求人なし,岐阜県瑞穂市別府1731-5,1991,代表取締役 石原 正寛,10 百万円,,,,,
2024-08-01,株式会社東京マテリアルス,その他,求人なし,埼玉県さいたま市南区南浦和2-20-19,1958,代表取締役 柴山 理央,46 百万円,,,,,
2024-08-01,株式会社Ａ．Ｄ．Ｍ．,その他,求人なし,岐阜県岐阜市中鶉1-61-2,1987,代表取締役 水野 志保,10 百万円,,,,,
2024-08-01,有限会社江崎工業,その他,求人なし,福岡県大牟田市宮原町2-225-2,1978,代表取締役 藤本 裕治,3 百万円,,,,,
2024-08-01,株式会社幼少児体育振興会,その他,求人なし,埼玉県さいたま市南区太田窪5-9-12ラックスポーツセンター,1985,代表取締役 太田 雅裕,10 百万円,,,,,
2024-08-01,医療法人社団エス・エス・ジェイ,特殊法人・財団法人・その他団体・連合会,求人なし,北海道札幌市清田区北野一条2-11-30,1988,理事長 中下 健,949 百万円,,,,,
2024-08-01,株式会社新生堂,その他,求人なし,埼玉県さいたま市南区大字太田窪3515-2,1975,代表取締役 吉留 和己,10 百万円,,,,,
2024-08-01,山口機工株式会社,その他,求人なし,福岡県大牟田市四山町80-24,1986,代表取締役 松岡 健一,10 百万円,,,,,
2024-08-01,一般社団法人岐阜県経営者協会,特殊法人・財団法人・その他団体・連合会,求人なし,岐阜県岐阜市神田町2-2岐阜商工会議所 3Ｆ,1997,代表理事 山口 嘉彦,,,,,,
2024-08-01,岐阜大学消費生活協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,岐阜県岐阜市柳戸1-1,1958,代表理事 高木 利彰,186 百万円,,,,,
2024-08-01,社会医療法人札幌清田病院,特殊法人・財団法人・その他団体・連合会,求人なし,北海道札幌市清田区真栄一条1-1-1,1992,理事長 西里 卓次,50 百万円,,,,,
2024-08-01,黒田印刷株式会社,その他,求人なし,岐阜県岐阜市天池2-6-28,1983,代表取締役 黒田 寿明,10 百万円,,,,,
2024-08-01,株式会社サンオー建設,その他,求人なし,北海道札幌市清田区清田六条3-1-10,1992,代表取締役 五島 典幸,16 百万円,,,,,
2024-08-01,株式会社大成設備,その他,求人なし,北海道札幌市清田区北野一条2-6-10,1991,代表取締役 髙橋 彰,10 百万円,,,,,
2024-08-01,有限会社サタケ産業,その他,求人なし,岐阜県岐阜市六条江東1-13-3,1987,代表取締役 佐竹 美代子,5 百万円,,,,,
2024-08-01,三陽商事株式会社,その他,求人なし,岐阜県岐阜市鏡島南2-8-27,1956,代表取締役 遠藤 晃範,10 百万円,,,,,
2024-08-01,情報通信システム協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,北海道札幌市清田区清田二条1-1-35,1990,代表理事 甲斐 啓二,76 百万円,,,,,
2024-08-01,有限会社元山自動車,その他,求人なし,岡山県岡山市南区中畦895-3,1988,代表取締役 元山 晴雄,5 百万円,,,,,
2024-08-01,株式会社ＧＴ,その他,求人なし,岐阜県岐阜市加納水野町3-12,1978,代表取締役 若井 泰文,10 百万円,,,,,
2024-08-01,有限会社三共タイヤ,その他,求人なし,北海道札幌市清田区里塚一条1-1-20,1980,代表取締役 石井 淳,5 百万円,,,,,
2024-08-01,有限会社大洋舎,その他,無,岐阜県岐阜市金宝町3-15,1956,代表取締役社長 桑原 一臣,6 百万円,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■一般衣料クリーニング■カーペットクリーニング■業務用クリーニング 2022年2月doda掲載求人より引用,
2024-08-01,ティーズプランニング株式会社,その他,求人なし,北海道札幌市清田区真栄一条2-1-55,1991,代表取締役 鎌田 孝,10 百万円,,,,,
2024-08-01,武蔵浦和商業開発株式会社,その他,求人なし,埼玉県さいたま市南区白幡5-19-19,1994,代表取締役 長森 宏,10 百万円,,,,,
2024-08-01,中電設工業株式会社,その他,求人なし,北海道北広島市大曲幸町1-3-12,1979,代表取締役 中達 圭介,10 百万円,,,,,
2024-08-01,株式会社マルミヤグループ,専門店・その他小売,求人なし,岡山県岡山市北区奉還町3-2-5,1987,代表取締役 岩本 雅俊,10 百万円,,,,,
2024-08-01,福田電興株式会社,その他,求人なし,埼玉県戸田市美女木3-5-1,1978,代表取締役 宇井 孝治,10 百万円,,,,,
2024-08-01,株式会社ミル設計事務所,その他,求人なし,岡山県岡山市北区西崎1-10-1ビルＡ 2Ｆ,1974,代表取締役 山﨑 信和,25 百万円,,,,,
2024-08-01,株式会社ニシマサ,その他,求人なし,福岡県大牟田市大字久福木448,1996,代表取締役 西田 祐二,15 百万円,,,,,
2024-08-01,株式会社須崎,その他,求人なし,埼玉県さいたま市南区別所3-13-17,1949,代表取締役 須崎 正隆,21 百万円,,,,,
2024-08-01,株式会社三愛,その他,求人なし,岡山県岡山市北区大元2-7-25,1977,代表取締役社長 岸本 茂樹,10 百万円,,,,,
2024-08-01,有限会社古林ロードサービス,その他,求人なし,北海道札幌市清田区北野二条2-14-18,1998,代表取締役 古林 弘将,3 百万円,,,,,
2024-08-01,日本資源技術株式会社,その他,求人なし,北海道北広島市大曲工業団地3-6-1,1998,代表取締役 宮本 政博,85 百万円,,,,,
2024-08-01,有限会社難波研削所,その他,求人なし,岡山県岡山市南区妹尾883-2,1983,代表取締役 難波 徳一,10 百万円,,,,,
2024-08-01,有限会社ナンビモータース,その他,求人なし,岡山県岡山市中区高屋164-8,1984,取締役 則本 浩之,3 百万円,,,,,
2024-08-01,株式会社鈴や商事,その他,求人なし,埼玉県さいたま市緑区山崎1-10-20,1963,代表取締役 秋葉 勇夫,15 百万円,,,,,
2024-08-01,株式会社大浦商店,その他,求人なし,福岡県久留米市梅満町1596-1,1965,代表取締役 大浦 信吾,10 百万円,,,,,
2024-08-01,株式会社イーエム九州,その他,求人なし,福岡県糟屋郡須惠町大字植木181-1,1970,代表取締役 平井 清二,30 百万円,,,,,
2024-08-01,株式会社木原ハイテック,その他,求人なし,福岡県久留米市荒木町荒木1964-11,1971,代表取締役 木原 愼一郎,30 百万円,,,,,
2024-08-01,埼玉保育教販株式会社,その他,求人なし,埼玉県さいたま市緑区大字中尾1507-1,1970,代表取締役 若宮 政子,10 百万円,,,,,
2024-08-01,株式会社北海道ワコーズ,その他,求人なし,北海道札幌市白石区米里三条2-1-33,1993,代表取締役 鈴木 仁,10 百万円,,,,,
2024-08-01,ジェービーエフ株式会社,その他,求人なし,岐阜県岐阜市小野1-77-2,1995,代表取締役 前田 研二,48 百万円,,,,,
2024-08-01,タイコー自動車株式会社,その他,求人なし,岡山県岡山市北区牟佐452-1,1987,代表取締役 安東 昭典,10 百万円,,,,,
2024-08-01,山田電設株式会社,その他,求人なし,埼玉県さいたま市緑区宮本2-23-9,1984,代表取締役 山田 実,10 百万円,,,,,
2024-08-01,大東電気工事株式会社,その他,求人なし,福岡県久留米市津福本町1656-5,1968,代表取締役 家永 雅文,20 百万円,,,,,
2024-08-01,株式会社出倉商店,その他,求人なし,岐阜県岐阜市日置江2-63,1973,代表取締役 井伊典央,10 百万円,,,,,
2024-08-01,株式会社全農林,その他,無,愛知県名古屋市中村区名駅南2-8-26,1996,代表取締役 渡辺 幸雄,98 百万円,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ＜不動産事業＞■デベロップ部門：自社ブランド（PURE STAGE SERIES）の宅地開発・販売／商業施設の誘致■賃貸管理部門：自社物件および管理物件の受託業務■仲介部門：住宅、マンション等の仲介業務＜建築事業＞■分譲住宅・注文住宅・コンフォートZシリーズの販売＜メガソーラー事業＞■太陽光発電システムによるソーラー事業 2022年11月doda掲載求人より引用,
2024-08-01,株式会社エムシーエム,その他,求人なし,岡山県岡山市南区築港新町1-15-20,1995,代表取締役 三宅 信次郎,10 百万円,,,,,
