更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者,上場市場名
2024-08-01,ＬＩＮＥ　Ｄｉｇｉｔａｌ　Ｆｒｏｎｔｉｅｒ株式会社,Webサービス・Webメディア（EC・ポータル・ソーシャル）,3,私たちは単なる「マンガサービスを運営する会社」ではなく、新たなコンテンツを生み出しているストーリーテックカンパニーです。今後も、全てのクリエイター(作家)とユーザーを繋げ、さらにはパートナー企業とも協業しながら新たなエコシステムを作り、最高のプラットフォームをお届けするよう努めていきます。,東京都品川区西品川1-1-1住友不動産大崎ガーデンタワー22F,2018,39.0,376,100百万円,https://ldfcorp.com/ja,,
2024-08-01,株式会社ＮＡＶＩＣＵＳ,Webマーケティング（広告代理店・コンサルティング・制作）,4,■事業概要：NAVICUSは専門領域であるSNSを通じて企業様のコミュニケーション支援をしています。企業様の目的に合わせ、SNSを起点とした戦略コンサルティングや社内担当の育成、運用代行、アカウント分析、SNS広告運用など幅広くサポートしています。■事業内容： ・コミュニケーション戦略設計・キャンペーン企画運営・SNS運用代行・SNS広告運用・マーケティングセミナー実施・コミュニーション施策の効果分析・地方自治体SNSプロモーション・IT Webサービスのコンサルティング全般,東京都千代田区神田練塀町73プロミエ秋葉原801,2018,,52,,https://www.navicus.info/,,
2024-08-01,株式会社ナハト,Webマーケティング（広告代理店・コンサルティング・制作）,28,■事業内容： ・広告プロデュース事業 (動画企画制作、インフルエンサーキャスティング）・広告代理事業 (web広告全般)・webメディア制作事業 (オウンドメディア制作運用・システム開発）・メディア事業・プロダクション事業,東京都渋谷区道玄坂1-12-1渋谷マークシティウエスト 15F,2018,26.7,200,10百万円,https://nahato.co.jp/,,
2024-06-01,株式会社Ｇｏａｌｓ,Webサービス・Webメディア（EC・ポータル・ソーシャル）,1,■事業内容： 外食企業向け業務支援クラウドサービスの開発・販売・運用支援当社は、”フードビジネスの利益率とスケーラビリティを最高水準に”をミッションに掲げ、日本が世界に誇る産業の一つである「食」に関わる企業の生産性・持続性を向上させるSaaSの開発、販売、運用支援を行っている会社です。日本の食品企業は毎年352万トンの可食食品を廃棄しています。その損失額は年間で11兆円にものぼると試算されており、各事業者の利益を圧迫しています。外食産業の食品ロスのうち「調理場での過剰発注による廃棄などのロス」が74.4％を占めており、これはテクノロジーで解決できる領域であると当社は考えます。,東京都港区芝5-3-2+SHIFT MITA3F,2018,,70,90百万円,https://goals.co.jp/,,
2024-08-01,株式会社グランネット,Webマーケティング（広告代理店・コンサルティング・制作）,13,■事業内容：・デジタルマーケティング事業（SEO対策、MEO対策、リスティング広告、ホームページ導線改善）・Webサイト制作事業（ホームページ制作、ランディングページ制作）・セミナー事業（Webマーケティングセミナー）,大阪府大阪市北区西天満5-1-9大和地所南森町ビル7F,2012,,57,50百万円,https://grannet.co.jp/,,
2024-07-01,株式会社サイバーセキュリティバンク,PR会社・代理店,2,・サイバーセキュリティ事業部標的型メール訓練サービス「情報漏えい防ぐくん」の開発、サービス提供を行っています。・デジタルマーケティングコンサルティングPR代理店のノウハウも活かしつつ、各種企業のデジタルマーケティングコンサルティングを行っています。,東京都港区赤坂4-15-1,2018,39.0,12,15百万円,https://csbank.co.jp/,,
2024-07-01,株式会社Ｂｌｏｏｍ　Ａｃｔ,Webサービス・Webメディア（EC・ポータル・ソーシャル）,5,【事業内容】■オンラインコミュニケーション事業 BtoC向け商談システム「ROOMS」 電子契約サービス「REMOTE SIGN」■動画ソリューション事業 資料動画化サービス「SPOKES」,茨城県つくば市竹園1‐6‐1つくば三井ビルディング,2018,,,50百万円,"Failed to retrieve page, status code: 503",,
2024-06-01,株式会社Ｒｅｓｆｉｖｅ,Webサービス・Webメディア（EC・ポータル・ソーシャル）,1,■事業内容： ・YouTubeチャンネルの委託運営および動画編集（取り扱いサービス：取扱い商品・サービスPremireProを使いた動画編集、セミナー動画、インタビュー動画、研修動画、YouTube動画、商品紹介動画など）・携帯電話販売、営業,沖縄県浦添市伊祖2-18-2-103マンションロイヤルグリーン,,,,,なし,,
2024-08-01,株式会社ＳＯＤＡ,Webサービス・Webメディア（EC・ポータル・ソーシャル）,23,■事業内容： ・インターネットサービスの企画・開発・運営：国内No1スニーカー・ハイブランドフリマアプリ「スニーカーダンク」を展開。,東京都渋谷区渋谷1-3-15BIZCORE渋谷 2F,2018,29.1,244,90百万円,https://soda-inc.jp/,,
2024-08-01,株式会社カイゴメディア,Webサービス・Webメディア（EC・ポータル・ソーシャル）,24,■事業内容： ・動画配信・SNSメディア運営事業・採用支援事業■ビジョン： 高齢化社会を取り巻く課題を解決し「前向き」で「持続可能な」社会の構築を目指します。■特徴： 当社はカイゴ系動画＆SNSメディア・コミュニティの運営を行っています。介護施設や芸能人等のタイアップ案件や、新規クライアント獲得、広告戦略などをはじめ、クライアントや代理店との長期的なお付き合いにつながるようなリレーション構築に取り組んでおります。,東京都渋谷区千駄ケ谷5-27-5リンクスクエア新宿16F,2018,,25,100百万円,https://kaigomedia.co.jp/,,
