更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,上場市場名,代表者
2024-07-01,東京電力パワーグリッド株式会社,電力,8,■事業について：電力の送配電ネットワークは、エネルギーの安定的な供給を担保するとともに、エネルギー利用に関する様々な技術革新の母胎となる社会インフラと言えます。日本の経済・産業の中心である首都圏をエリアの供給責任を確実に果たしていきます。,東京都千代田区内幸町1-1-3,2015,20132,"80,000百万円",,http://www.tepco.co.jp/pg/index-j.html,,
2024-08-01,出光興産株式会社,石油・資源,29,■事業内容：◎燃料油…原油調達、石油製品の製造など◎基礎化学品…ミックスキシレン・ベンゼン・プロピレンの生産販売◎高機能材…自動車エンジン油、工業用潤滑油、有機EL材料など◎電力・再生可能エネルギー…太陽光・風力・バイオマス・地熱発電など◎資源…石炭鉱山の保有・生産・販売,東京都千代田区大手町1-2-1,1940,14209,"168,351百万円",42.0,https://www.idemitsu.com/jp/,プライム市場,
2024-08-01,ＥＮＥＯＳ株式会社,石油・資源,82,■事業内容：（1）石油製品（ガソリン・灯油・潤滑油など）の精製および販売（2）ガス・石炭の輸入および販売（3）石油化学製品等の製造および販売（4）電気・水素の供給エネルギー業界のリーディングカンパニーとして、日本のエネルギートランジションをリードする為に、再生可能エネルギー・脱炭素分野への積極的な先行投資を行い、事業領域の拡大を推進しております。具体的には、カーボンニュートラル社会の主力エネルギー候補である再生可能エネルギー・水素・バイオ燃料・SAF・合成燃料について、支援制度や戦略的パートナーシップを活用しながら、社会への供給開始に向けて推進していきます。,東京都千代田区大手町1-1-2,1888,8981,"30,000百万円",42.1,https://www.eneos.co.jp/,,
2024-08-01,株式会社ＴＯＫＡＩホールディングス,ガス,7,■事業概要：・エネルギー事業、情報通信事業等を行う子会社等の経営管理、及びそれに付帯又は関連する業務■企業補足：同社は、株式会社TOKAI、株式会社TOKAIコミュニケーションズ、株式会社TOKAIケーブルネットワーク、東海ガス株式会社をはじめとする41社の連結子会社と11社の持分法適用関連会社を傘下に持つ、TOKAIグループの持株会社です。2011年4月に、グループ間での統合シナジーの創出を目的として経営統合し、持株会社体制に移行しております。,静岡県静岡市葵区常磐町2-6-8,2011,4732,"14,000百万円",,http://tokaiholdings.co.jp/,プライム市場,
2024-08-01,株式会社JERA,電力,25,～「CO2が出ない火をつくる」世界最大級のエネルギー会社／総資産約8.7兆円／売上高約4.4兆円／国内の発電力の3割相当を担う／洋上風力発電や水素・アンモニア混焼技術を駆使した火力発電などの技術開発で世界を牽引しています～,東京都中央区日本橋2-5-1日本橋髙島屋三井ビルディング25F,2015,4601,"100,000百万円",,https://www.jera.co.jp/,,
2024-08-01,株式会社ＩＮＰＥＸ（旧 国際石油開発帝石株式会社）,石油・資源,35,■事業概要：石油・天然ガスの鉱区の取得から、探鉱、開発、生産、販売まで、グローバルな規模でエネルギーの供給を担っています。また、再生可能エネルギー事業を始めとした低炭素社会への新事業分野にも積極的に取り組んでいます。,東京都港区赤坂5-3-1赤坂Bizタワー,2006,3189,"290,809百万円",39.8,http://www.inpex.co.jp/,プライム市場,
2024-08-01,東京電力エナジーパートナー株式会社,電力,21,※2019年1月より本社移転しております。■概要：2016年4月1日に電力の全面自由化がスタートし、これまでにない「エネルギーの新たな競争時代」に突入しました。このような状況の中、私たち東京電力エナジーパートナーは、“顧客価値”を高めることに全力を注ぎ、エネルギー事業の領域やサービスを提供するエリアを全国に広げ、一挑戦者として邁進します。,東京都中央区銀座8-13-1銀座三井ビルディング,2016,3985,"10,000百万円",,http://www.tepco.co.jp/ep/index-j.html,,
2024-08-01,日本原燃株式会社,石油・資源,6,■事業内容： 1､ウランの濃縮2､原子力発電所等から生ずる使用済燃料の再処理3､前記2.に関する海外再処理に伴う回収燃料物質および廃棄物の一時保管4､低レベル放射性廃棄物の埋設5､混合酸化物燃料の製造6､ウラン、低レベル放射性廃棄物および使用済燃料等の輸送7､前各号に付帯関連する事業,青森県上北郡六ヶ所村大字尾駮字沖付4-108,1992,3075,"400,000百万円",39.0,http://www.jnfl.co.jp/,,
2024-08-01,株式会社かんでんエンジニアリング,石油・資源,46,■事業概要：関西電力グループの一員として、80年以上の歴史で培った幅広い技術力を結集・提供している会社です。コア事業は、関西電力の電力インフラ設備をあらゆる方面からサポートすること。電気の源である発電所、電力供給の拠点となる変電所、それらをつなぐ送電設備、ビルや工場・各家庭に電気を供給する配電設備などの建設・保守・点検・補修までをトータルに手がけています。さらに、このコア技術で培ったノウハウをもとに、総合設備・情報通信・石油・環境など、多様な分野で人々の安全・安心な暮らしを支えています。,大阪府大阪市北区中之島6-2-27中之島センタービル,1940,2138,786百万円,41.6,http://www.kanden-eng.co.jp/,,
2024-07-01,大阪ガス・カスタマーリレーションズ株式会社,石油・資源,2,■事業概要：（1）ガス・電気・熱供給事業の検針、料金回収、事務業務（2）法令に基づくガス設備・機器等の検査、保守点検業務（3）その他、関連する業務,大阪府大阪市西区千代崎3-南2-37,2004,2198,50百万円,45.0,https://www.ogcr.jp/,,
