更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,株式会社神奈川県エルピーガス保安センター,ガス,求人なし,神奈川県横浜市中区北仲通3-33,2005,代表取締役 山口 浩文,57 百万円,,,,,
2024-08-01,日本水機調査株式会社,石油・資源,求人なし,兵庫県神戸市中央区磯辺通3-2-11三宮ファーストビル7Ｆ 702,2004,代表取締役 山本 政和,57 百万円,,,,,
2024-08-01,東京ガスライフバル西むさし株式会社,ガス,無,東京都小金井市前原町5-6-9,1976,代表取締役社長 若山 圭太郎,50 百万円,,,,,
2024-08-01,株式会社フューチャー・リレーション,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,東京都中央区日本橋人形町2-25-15ＭＳ日本橋ビル 2Ｆ,2006,代表取締役 古川 雅純,6 百万円,,,,,
2024-08-01,南洋ホールディングス株式会社,ガス,求人なし,東京都中央区銀座6-6-1,2013,代表取締役 甲斐 明夫,,,,,,
2024-08-01,東武商事株式会社,石油・資源,無,東京都墨田区向島1-33-9第3東武館 6Ｆ,1992,代表取締役 宮﨑 裕,10 百万円,,,,,
2024-08-01,株式会社西日本宇佐美,石油・資源,無,愛知県津島市埋田町1-8,2004,代表取締役 田中 喜浩,50 百万円,,,,,
2024-08-01,丸任ジャパン株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,福岡県福岡市博多区博多駅中央街8-1,2000,代表取締役 時任 毅,20 百万円,,,,,
2024-08-01,菱和テクノサービス株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,東京都新宿区西新宿1-26-2新宿野村ビル 32Ｆ,2005,代表取締役 武蔵 孝昌,100 百万円,,,,,
2024-08-01,株式会社前田電工,石油・資源,求人なし,広島県広島市安佐南区山本5-35-10,2001,代表取締役 前田 正光,20 百万円,,,,,
2024-08-01,東京エコサービス株式会社,石油・資源,無,東京都港区浜松町1-10-17ＫＯＹＯＢＵＩＬＤＩＮＧ 2Ｆ、3Ｆ,2006,代表取締役 深井 祐子,200 百万円,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■清掃工場の運転管理■電気販売事業■清掃事業に関わるコンサルティング業務■焼却灰の資源リサイクル事業■上記事業に付帯する業務 2022年5月doda掲載求人より引用,
2024-08-01,株式会社グローアップ,電力,無,東京都豊島区南大塚2-45-8,1995,代表取締役 古田 高浩,50 百万円,,,,“製パン製菓を元気に”する会社です。■電気小売事業（GU電力）■ガス小売事業（GUガス）■ガス紹介事業■電子ブレーカー販売■業界紙「ベーカリーパートナー」発行■モバイルオーダー「ベイクモール」■融資無料コンサルサービス■エアコン清掃■他（店舗系サービス） 2024年4月doda掲載求人より引用,
2024-08-01,茂田石油株式会社,ガス,求人なし,北海道旭川市住吉四条2-8-13,2004,代表取締役 茂田 貴範,38 百万円,,,,,
2024-08-01,川崎スチームネット株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,神奈川県川崎市川崎区千鳥町5-1,2006,代表取締役 曽根 英文,160 百万円,,,,,
2024-08-01,ガスワンサービス株式会社,ガス,無,埼玉県上尾市大字平方領々家639,1974,代表取締役 落合 崇宏,50 百万円,,,,,
2024-08-01,イーアシスト株式会社,石油・資源,求人なし,神奈川県横浜市神奈川区神奈川2-9-1,2006,代表取締役 能戸 光代,1 百万円,,,,,
2024-08-01,フタバ興産株式会社,石油・資源,求人なし,愛知県名古屋市南区本地通7-6-1,1955,代表取締役 竹尾 武比古,18 百万円,,,,,
2024-08-01,クイニョン植林株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,東京都中央区銀座4-7-5,1995,代表取締役 坂下 勲,495 百万円,,,,,
2024-08-01,株式会社静岡マテリアル,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,静岡県静岡市清水区山切646-2,2005,代表取締役 国本 忍,16 百万円,,,,,
2024-08-01,株式会社アクアプロワン,石油・資源,求人なし,神奈川県中郡大磯町国府本郷1077-19,2007,代表取締役 吉田 朗,3 百万円,,,,,
2024-08-01,豊岡エネルギー株式会社,ガス,求人なし,兵庫県豊岡市三坂町6-57,2004,代表取締役 難波 正,100 百万円,,,,,
2024-08-01,黒滝設備株式会社,石油・資源,求人なし,神奈川県座間市小松原1-24-6,2007,代表取締役 黒瀧 讓二,9 百万円,,,,,
2024-08-01,エネジン株式会社,ガス,無,静岡県浜松市中央区高林5-6-31,2004,代表取締役 藤田 源右衛門,90 百万円,,,,,
2024-08-01,株式会社クラッセル大阪,ガス,求人なし,大阪府大阪市淀川区十三元今里1-13-2,2007,代表取締役 古本 義光,9 百万円,,,,,
2024-08-01,福井石油備蓄株式会社,石油・資源,求人なし,東京都千代田区内幸町2-2-3日比谷国際ビル 9Ｆ,1970,代表取締役 浴田 孝司,100 百万円,,,,,
2024-08-01,ブルックハルトジャパン株式会社,石油・資源,求人なし,神奈川県横浜市西区みなとみらい4-4-2,2002,代表取締役 パトリック・チョン,50 百万円,,,,,
2024-08-01,株式会社自動計測センター,石油・資源,求人なし,広島県広島市西区楠木町4-9-6,1975,代表取締役 青山 秀雄,10 百万円,,,,,
2024-08-01,株式会社ＪＡエネルギー千葉,ガス,求人なし,千葉県千葉市美浜区新港70-3ＪＡ全農ちば 2Ｆ,1972,代表取締役 吉田 光,120 百万円,,,,,
2024-08-01,東日本イワタニガス株式会社,ガス,無,千葉県市川市塩浜2-17東京ガスセンター 2Ｆ,2005,代表取締役 山本 裕,100 百万円,,,,■産業用ガスの販売・供給および切断機器・溶接機器・ガス関連機器・環境機器の販売・各種工事 2024年3月doda掲載求人より引用,
2024-08-01,株式会社カンポホールディングス,新エネルギー（太陽光・風力・地熱・バイオなど）,無,京都府京都市伏見区羽束師古川町233,2007,代表取締役 山田 実,100 百万円,,,,,
2024-08-01,エネロップ株式会社,ガス,求人なし,愛知県西尾市法光寺町流6-12,2002,代表取締役 久村 淨,99 百万円,,,,,
2024-08-01,株式会社動真建設,石油・資源,求人なし,東京都品川区西五反田5-3-5セブンスターマンション第8五反田 202,2007,代表取締役 伊藤 大紀,10 百万円,,,,,
2024-08-01,株式会社ＪＡエネルギー兵庫,ガス,求人なし,兵庫県神戸市西区玉津町居住88,1986,代表取締役 玉田 和浩,50 百万円,,,,,
2024-08-01,東京ガスすまいるサポート株式会社,ガス,求人なし,埼玉県さいたま市南区別所7-1-1,2008,代表取締役 真田 吉幸,87 百万円,,,,,
2024-08-01,エア・ウォーター・ライフソリューション株式会社,ガス,無,北海道札幌市豊平区月寒東二条16-1-6,2006,代表取締役 庄子 賢一,20 百万円,,,,■LPガス、石油製品、住設機器、各種燃料器具の販売 2024年4月doda掲載求人より引用,
2024-08-01,株式会社ＪＡ香川県オートエナジー,石油・資源,求人なし,香川県高松市一宮町1431-1ＪＡ香川県一宮別館 3Ｆ,1967,代表取締役 香川 重規,95 百万円,,,,,
2024-08-01,鶴原液化ガス株式会社,ガス,求人なし,福岡県飯塚市楽市140,1962,代表取締役 鶴原 和人,10 百万円,,,,,
2024-08-01,株式会社日本エコライフ,石油・資源,無,宮城県仙台市青葉区本町2-2-3鹿島広業ビル 9Ｆ,2008,,5 百万円,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■太陽光発電システム・蓄電池・オール電化システムの販売、設備及び保守管理■冷・暖房機器の販売、設備及び保守管理■システムキッチン、システムバスの販売、設備及び保守管理■住宅リフォーム業 2022年7月doda掲載求人より引用,
2024-08-01,株式会社ＫＡＫＥＮ,石油・資源,求人なし,静岡県浜松市中央区中郡町985-1,2008,代表取締役 夏目 憲秀,10 百万円,,,,,
2024-08-01,御殿場液化有限会社,ガス,求人なし,静岡県御殿場市川島田600,1979,取締役 池上 司,3 百万円,,,,,
2024-08-01,ＮＸエネルギー九州株式会社,ガス,求人なし,福岡県宗像市栄町165-1,1990,代表取締役 仲道 康晴,33 百万円,,,,,
2024-08-01,株式会社エネサンス関東,ガス,求人なし,東京都港区海岸1-2-20汐留ビルディング,2008,代表取締役 紺野 貴寛,100 百万円,,,,,
2024-08-01,カネハラ通信株式会社,石油・資源,求人なし,大阪府東大阪市新庄西7-29,1994,代表取締役社長 北側 範哲,10 百万円,,,,,
