更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,平均年齢,従業員数,企業URL,資本金,事業内容,上場市場名
2024-08-01,社会保険労務士法人坪川事務所,社会保険労務士事務所,求人なし,福井県福井市日之出3-9-3京福日之出ビル 2Ｆ,2012,代表社員 坪川 貞子,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,社会保険労務士法人ミライズ,社会保険労務士事務所,求人なし,福岡県福岡市中央区高砂1-11-1,2016,代表社員 山口 恒憲,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,社会保険労務士法人赤坂経営労務事務所,社会保険労務士事務所,求人なし,福岡県福岡市中央区赤坂1-14-15,2016,社員 大澤 彰,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,社会保険労務士法人Ｔ２パートナーズ,社会保険労務士事務所,求人なし,福岡県福岡市南区向野2-14-1森藤不動産ビル 201,2015,代表社員 吉田 俊郎,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,社会保険労務士法人牧江＆パートナーズ,その他専門コンサルティング,求人なし,兵庫県西宮市和上町5-9西宮ビル,2013,代表社員 牧江 重徳,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,ベンチャーパートナーズ社会保険労務士法人,社会保険労務士事務所,求人なし,北海道札幌市中央区大通西17-1-2ＶＰセンタービル 3Ｆ,2012,代表取締役 山本 祐一郎,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,5 百万円,,
2024-08-01,社会保険労務士法人Ａｉ　ｗｏｒｋｓ,社会保険労務士事務所,求人なし,北海道札幌市中央区南一条東3-10-1,2015,社員 今村 恒雄,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,御堂筋監査法人,監査法人,求人なし,大阪府豊中市寺内2-4-1,2016,代表社員 迫口 博之,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,株式会社Ｆｒｅｅ　Ｌｉｆｅ　Ｃｏｎｓｕｌｔｉｎｇ,その他専門コンサルティング,無,東京都港区芝浦3-9-1芝浦ルネサイトタワー 2Ｆ,2016,代表取締役 武冨 友里,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,40 百万円,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■投資スクール事業■資産運用コンサルティング事業 2022年12月doda掲載求人より引用,
2024-08-01,株式会社美通広告社,その他専門コンサルティング,求人なし,東京都渋谷区神宮前6-5-6サンポウ綜合ビル 804,2016,代表取締役 山縣 飛鳥,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,3 百万円,,
2024-08-01,オンザリアル株式会社,経営・戦略コンサルティング,無,愛知県名古屋市中村区名駅南1-16-25第3森ビル 8Ｆ,2016,代表取締役 可児 靖夫,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,1 百万円,,
2024-08-01,上游株式会社,総合コンサルティング,求人なし,東京都港区麻布台1-11-10,2016,代表取締役 富永 哲銘,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,46 百万円,,
2024-08-01,株式会社スマートエーイー,その他専門コンサルティング,求人なし,東京都調布市調布ケ丘1-5-1西11号館 411,2016,代表取締役 鎌倉 友男,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,2 百万円,,
2024-08-01,株式会社ＸＥＣＲＯＳＳ,その他専門コンサルティング,無,東京都墨田区東墨田2-13-29,2016,代表取締役 森岡 広光,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,9 百万円,,
2024-08-01,株式会社ａｎｄＯＮＥ,組織人事コンサルティング,求人なし,東京都中央区京橋3-3-11ＶＯＲＴ京橋 2Ｆ,2016,代表取締役社長 長尾 成浩,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,20 百万円,,
2024-08-01,税理士法人共明会計,税理士法人,求人なし,北海道帯広市西五条南27-2-6,2016,代表社員 野田 和宏,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,株式会社Ｆｌａｉｒ　Ｃｏｎｓｕｌｔｉｎｇ,その他専門コンサルティング,求人なし,北海道函館市松陰町12-19ガーデニア松陰 1Ｆ,2011,代表取締役 上杉 奈央（橋口 奈央）,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,10 百万円,,
2024-08-01,株式会社ｍｅｄｉａ　ｒｅｓｏｒｔ,マーケティング・リサーチ,求人なし,茨城県土浦市田中3-8-32,2011,代表取締役 島田 宏之,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,3 百万円,,
2024-08-01,株式会社ファーム・アンド・ファーム・カンパニー,その他専門コンサルティング,求人なし,栃木県宇都宮市下戸祭2-3-2,2009,代表取締役 藤井 大介,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,4 百万円,,
2024-08-01,株式会社Ｐａｓｔｏｒａｌ　Ｄｏｇ,その他専門コンサルティング,求人なし,東京都中央区東日本橋3-9-15,2011,代表取締役 江端 一将,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,10 百万円,,
2024-08-01,株式会社Ｃｏｃｏｒｏ　ｄｉｎｉｎｇ,経営・戦略コンサルティング,求人なし,千葉県市川市南八幡4-3-1,2012,代表取締役 松岡 保浩,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,3 百万円,,
2024-08-01,スタンダード・アンド・アドバンスド・コンサルティング株式会社,その他専門コンサルティング,求人なし,東京都港区海岸1-2-20,2010,代表取締役 唐木 昌一,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,10 百万円,,
2024-08-01,ＰＲＯＪＥＣＴ　ＧＲＯＵＰ株式会社,その他専門コンサルティング,求人なし,東京都千代田区外神田4-7-5,2012,代表取締役 田内 広平,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,2 百万円,,
2024-08-01,Ｗｉｓｄｏｍ　Ｅｘｃｈａｎｇｅ株式会社,経営・戦略コンサルティング,求人なし,東京都中央区八重洲2-11-7,2007,代表取締役 大森 誠司,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,10 百万円,,
2024-08-01,株式会社Ｋ’ｓ　Ａｃｃｏｕｎｔｉｎｇ,会計事務所,求人なし,東京都新宿区西新宿7-21-9,2012,代表取締役 中川 宏介,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,6 百万円,,
2024-08-01,株式会社Ｃｒｅａｔｉｖｅ２,マーケティング・リサーチ,求人なし,東京都目黒区東山2-3-2ＣＯＭ’ＳＦＯＲＵＭ 5Ｆ,2013,代表取締役 清水 友博,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,1 百万円,,
2024-08-01,株式会社プロクモ,マーケティング・リサーチ,無,東京都渋谷区渋谷3-5-16渋谷三丁目スクエアビル 2Ｆ,2013,代表取締役 川村 健,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,9 百万円,■マーケティング戦略トータルコンサルティング■Webサイト運用・改善・向上コンサルティング■Webサイト構築サービス■広告運用代行■広報活動支援■販促ツール制作 等＜主な取引先＞・東証一部上場企業様・中小のBtoC事業会社様・コンサルティング会社・医療法人 など多数 2024年4月doda掲載求人より引用,
2024-08-01,株式会社Ｍｅｒｃｕｒｙ　ａｎｄ　Ｅａｒｔｈ,総合コンサルティング,求人なし,東京都中央区日本橋茅場町2-7-3イーストインタービル5Ｆ,2012,代表取締役 宮﨑 匠巳,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,20 百万円,,
2024-08-01,株式会社ウエルストンマネージメント,マーケティング・リサーチ,求人なし,東京都台東区台東1-21-7,2002,代表取締役 石井 一成,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,10 百万円,,
2024-08-01,株式会社Ｉｎｓｉｇｈｔ　Ｔｅｃｈ,マーケティング・リサーチ,求人なし,東京都新宿区西新宿6-5-1新宿アイランドタワー,2012,代表取締役 伊藤 友博,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,10 百万円,,
2024-08-01,ＩＯＮ　Ａｎａｌｙｔｉｃｓ　Ｊａｐａｎ株式会社,マーケティング・リサーチ,求人なし,東京都千代田区丸の内2-1-1明治安田生命ビル 6Ｆ,2012,代表取締役 ジャック・ジャービス・クロード,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,10 百万円,,
2024-08-01,株式会社ＮＳＧキャピタルコンサルティング,その他専門コンサルティング,求人なし,新潟県新潟市中央区古町通2番町495,1987,代表取締役 佐久間 俊也,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,20 百万円,,
2024-08-01,株式会社ジャパン・アグリーカルチュア・マーケティング＆マネジメント,マーケティング・リサーチ,求人なし,東京都台東区谷中1-1-31,2003,代表取締役 齊藤 幸男,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,12 百万円,,
2024-08-01,株式会社アスク総合研究所,経営・戦略コンサルティング,求人なし,東京都中央区銀座1-3-3Ｇ1ビル7Ｆ158,2010,代表取締役 窪田 整,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,20 百万円,,
