更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,平均年齢,従業員数,企業URL,資本金,上場市場名
2024-07-01,代官山社会保険労務士法人,社会保険労務士事務所,1,■社会保険・労働保険の手続代行■顧問契約および給与計算■社会保険・労働保険の給付申請■就業規則の作成・改定■助成金の相談・申請■その他労務サポート,東京都港区六本木七丁目15番7号新六本木ビル6階,2021,社員代表 橋本 修一,35.0,,https://blp-roumu.com/,,
2024-07-01,株式会社ｃｌｕｔｃｈ　ｃｏｍｍｕｎｉｃａｔｉｏｎ,その他専門コンサルティング,2,■事業内容：・経営/組織コンサルティング・人材コンサルティング・人材紹介業（有料職業紹介事業許可：13－ユ－313832）人材の調達（人材紹介）・組織/制度設計（人事コンサルティング）・事業コンサルティングまでワンストップで医療・介護業界の事業グロースに必要なサービスを提供しています。事業・人材・組織、３つの視点で、クライアントの成長/発展に寄与します。設立3年で、売上高は約6億円を達成。その後も勢いに乗って成長を加速しています。,東京都港区元麻布3-1-35VORT元麻布5F,2021,,,40,https://www.clutch-communication.jp,5百万円,
2024-07-01,株式会社Ｒｅｖｉｖｅ,マーケティング・リサーチ,1,■採用支援事業■マーケティング支援事業■動画制作事業■Web制作事業,東京都中央区日本橋人形町1-11-12 リガーレ日本橋人形町ANNEX201,2021,代表取締役社長 熊野 拓人,28.0,15,https://www.revive.gift/,,
2024-07-01,株式会社ファーストパートナーズ・キャピタル,その他専門コンサルティング,1,■事業内容、商品、販売先等：・事業承継、M&A、不動産などの金融コンサルティング事業■主な事業内容：・不動産コンサルティング業務・企業の買収、合併、提携、事業譲渡、業務提携及び組織再編等に関するアドバイザリー業務・企業の資金調達の支援及びアドバイザリー業務・財務戦略に関するアドバイザリー業務・スタートアップ企業に対する支援及びコンサルティング・不動産ファイナンス、ブリッジファイナンスのアレンジング・オペレーティング・リースの紹介■メンバー：・M&Aアドバイザー、他,東京都港区赤坂3-11-3,2021,,43.2,6,https://fp-cp.jp/,9百万円,
2024-07-01,スタートアップ税理士法人,税理士法人,4,■概要：会社設立から節税対策まで、税務に関するご相談を解決しております。会社設立を考えている方も、会社を経営している方も、気軽に頼れる税務パートナーとして、皆さまをサポートしています。2017年には、社労士部門を設立し、お客様に税務・会計だけでなく、労務分野でもサービスを提供できるように整えています。,東京都新宿区新宿4-3-17FORECAST新宿SOUTH 7F,2015,,31.0,57,なし,,
2024-06-01,ダイムラー・トラック・ファイナンシャルサービス・アジア株式会社,経営・戦略コンサルティング,2,■事業内容： ・三菱ふそうトラック、バス株式会社の商用車向け金融サービス（オートリース、オートローン）・経営コンサルティング業務,東京都港区六本木1-6-1泉ガーデンタワー28F,2021,,,100,https://www.mitsubishi-fuso.com/ja/financial-services/company/,"1,700百万円",
2024-06-01,アルフレッド株式会社,その他専門コンサルティング,1,■事業内容： 環境事業戦略コンサルタント（アドバイザリー業務）・アスベスト分析・アスベスト調査/分析コンサルティング・アスベストに関する製品/機器販売,静岡県浜松市中央区和地山3-1-7浜松イノベーションキューブ307,2021,,30.0,18,https://alfred-lab.co.jp/,5百万円,
2024-08-01,オーナーズ株式会社,経営・戦略コンサルティング,2,■事業内容： ・専属M&Aエージェントサービス・資産運用支援サービス・金融商品仲介業,東京都港区六本木6-2-31六本木ヒルズノースタワー,,,,,https://owners-ma.jp/,"1,417百万円",
2024-08-01,株式会社Ｌｅａｐａｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ／Ｌｅａｐａｌ会計事務所,財務・会計アドバイザリー（FAS）,1,税務会計・M&A・節税コンサルティングを行うLeapal会計事務所の運営,兵庫県明石市本町 1-1-24 大日明石本町ビル 503号,2022,代表者 鳥羽 卓朗,,,https://leapal.jp/,,
2024-07-01,浜松セントラル税理士法人,税理士法人,2,■事業内容：浜松付近の地場に根付いた税理士法人です。事務所は浜松駅付近で立地がよく、顧客からの通いやすさも魅力です。・税務会計コンサルティング・相続税申告■ビジョン：現代表が2005年に設立、2021年に税理士法人化しました。地域経済の活性化に尽力しています。また相続税専門チームでは多くの申告サポート実績（年間100件以上）があります。■同社社風：未経験でも充実した研修制度があり、働きやすい環境を整備しています。私たちと共に、生涯やりがいのある仕事に挑戦しませんか。,静岡県浜松市中央区中央1-3-6-210,2021,,,12,なし,3百万円,
