更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,株式会社シナジー,経営・戦略コンサルティング,求人なし,広島県東広島市西条町寺家6840-1アロフトユーカリ 1Ｆ,1995,代表取締役 大武 良彦,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,ＳＴＳ法務司法書士法人,司法書士事務所・行政書士事務所,求人なし,東京都豊島区北大塚2-2-5晴和ビル 7Ｆ,2009,,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,弁護士法人東京フロンティア基金法律事務所,法律事務所,求人なし,東京都新宿区左門町2-6ワコービル 8Ｆ,2002,社員 幣 原廣,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,税理士法人イースリーパートナーズ,税理士法人,求人なし,大阪府高槻市高槻町14-13丸西ビル 4Ｆ,2004,代表社員 三原 康則,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ギブ・スパイラル・ジャパン,経営・戦略コンサルティング,無,大阪府大阪市北区西天満2-6-8堂島ビルヂング 9Ｆ,2010,代表取締役 鷹尾 豪,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,1. 賃貸借ビッグデータ提供によるアドバイザリー事業2. 不動産マッチング業務3. 不動産管理業務4. 合意形成に関する企業研修事業（営業力強化・マネジメント力強化）5. 経営原資の創出に関する戦略的コンサルテーション事業6. 教育研修並びに人材育成支援コンサルティング7. 採用活動並びに組織改善支援コンサルティング＜関連会社＞株式会社WeGA 2024年4月doda掲載求人より引用
2024-08-01,インテックナレッジマネジメント株式会社,その他専門コンサルティング,求人なし,大阪府吹田市南吹田1-9-21,2006,代表取締役 池端 洋平,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ファミリーオフィス,その他専門コンサルティング,求人なし,大阪府茨木市別院町4-15別院町・掛谷第6ビル3Ｆ,2011,代表取締役 鈴木 一正,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,大国屋ビジネスコンサルティング株式会社,経営・戦略コンサルティング,求人なし,神奈川県横浜市鶴見区鶴見中央2-3-13ジョイフル一番館鶴見中央 401,2008,代表取締役 青田 勝秀,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,エックスアイティー株式会社,その他専門コンサルティング,求人なし,東京都品川区北品川5-12-5御殿山101ビル501号室,2010,代表取締役 本間 文也,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,イノマルケティノ株式会社,経営・戦略コンサルティング,求人なし,東京都渋谷区神泉町13-13ヒルズ渋谷,2011,代表取締役 田代 大介,87 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,シュハリ株式会社,経営・戦略コンサルティング,求人なし,東京都中央区日本橋浜町2-30-6花の東京ビル 4Ｆ,2010,代表取締役 栗岡仁,13 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社エンデバー・エス・ビー・シー,経営・戦略コンサルティング,求人なし,東京都港区東麻布3-7-3東麻布久永ビル 4Ｆ,2005,代表取締役 ビアラ・ウォルフガング,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社リエート,その他専門コンサルティング,求人なし,東京都渋谷区千駄ヶ谷3-3-8第5スカイビル 305,2011,代表取締役 大森 鉄平,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
