更新日,名称,業界(小分類),求人有無,所在地,設立,平均年齢,従業員数,企業URL,代表者,資本金,事業内容
2024-08-01,愛和税理士法人,税理士法人,求人なし,大阪府大阪市中央区北浜3-1-22あいおいニッセイ同和損保・淀屋橋ビル 7Ｆ,2014,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,弁護士法人ＫＭ総合,法律事務所,求人なし,大阪府大阪市北区西天満4-1-20ＬＥＥＰＬＡＺＡ 4Ｆ,2013,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,Ｒｅｓｏｒｙ株式会社,経営・戦略コンサルティング,求人なし,大阪府大阪市中央区難波5-1-60なんばスカイオ 27Ｆ,2015,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 永井 剛,1 百万円,
2024-08-01,株式会社ＮＣコンサルティング,組織人事コンサルティング,求人なし,大阪府大阪市北区東天満2-2-5第二新興ビル 6Ｆ,2015,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 大橋 高広,2 百万円,
2024-08-01,株式会社ｅ－ｆａｃｅ　ｇｒｏｕｐ,その他専門コンサルティング,無,福岡県福岡市博多区美野島1-9-3,2015,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 細川 祥吾,3 百万円,
2024-08-01,朝日産業株式会社,その他専門コンサルティング,求人なし,福岡県福岡市博多区博多駅南3-22-2第5大西ビルクレアトール大西5 2Ｆ,2015,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 袁浩翔,8 百万円,
2024-08-01,社会保険労務士法人ＨＲビジネスマネジメント,社会保険労務士事務所,無,東京都港区芝公園1-2-4ＳＴビル,2015,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表社員 平澤 貞三,,
2024-08-01,株式会社川越コンサルタント,その他専門コンサルティング,求人なし,埼玉県入間郡毛呂山町目白台2-9-4,2015,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小川 哲也,1 百万円,
2024-08-01,株式会社就農・離農コンサルティング,経営・戦略コンサルティング,求人なし,京都府京都市中京区夷川通室町西入冷泉町52-2,2015,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 原田 佑嗣,1 百万円,
2024-08-01,Ｉ＆Ｍ税理士法人,税理士法人,無,愛知県名古屋市中村区太閤1-1-2ＹＮビル,2013,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 税務・会計コンサルティング業務■会社設立及び起業支援■記帳代行、申告書の作成を始めとする税務全般■資産管理・将来の資産構築の設計運用・節税及び贈与税・相続税対策■決算書・申告書診断サービス(セカンドオピニオンサービス) 2021年9月doda掲載求人より引用
2024-08-01,株式会社エスアンドシー,経営・戦略コンサルティング,求人なし,福島県郡山市富田町字稲川原69-2,2005,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 谷 洋,47 百万円,
2024-08-01,株式会社Ｒｉｎｏ,その他専門コンサルティング,求人なし,大阪府大阪市淀川区西宮原1-8-33日宝新大阪第2ビル203号室,2015,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 木村範利,5 百万円,
2024-08-01,株式会社ＰＳＰ,経営・戦略コンサルティング,求人なし,京都府京都市中京区寺町通御池上る上本能寺前町474日宝御池ビル3Ｆ3号,2015,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 北澤 達夫,10 百万円,
2024-08-01,株式会社ＬＯＧＺ,経営・戦略コンサルティング,求人なし,東京都新宿区四谷三栄町11-22Ｆビル 5Ｆ,2015,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 古德一暁,5 百万円,
2024-08-01,株式会社教育ネット,その他専門コンサルティング,求人なし,神奈川県横浜市都筑区川和町1236-1ガーデンプラザ川和ＷＥＳＴ2Ｆ,2014,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 大笹 いづみ,7 百万円,
2024-08-01,弁護士法人すずたか総合法律事務所,法律事務所,無,愛知県名古屋市中区丸の内3-5-40ロイヤルセッションズ 2Ｆ、3Ｆ、5Ｆ,2003,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表社員 鈴木 隆弘,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■離婚・交通事故などの解決■労務問題・債権回収■遺産分割・相続などのサポート■債務整理■企業法務【愛知県弁護士会会員】 2023年2月doda掲載求人より引用
2024-08-01,株式会社ヒューマン・フューチャー,組織人事コンサルティング,求人なし,東京都港区六本木7-7-7,2015,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 劉 偉,11 百万円,
2024-08-01,サイドライン株式会社,その他専門コンサルティング,求人なし,東京都豊島区南大塚3-44-13クレスト南大塚ビル 3Ｆ,2011,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 金山 龍吾,10 百万円,
2024-08-01,ワンプレイス株式会社,その他専門コンサルティング,求人なし,神奈川県横浜市中区桜木町1-101-1,2012,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 岡崎 泰旦,12 百万円,
2024-08-01,株式会社Ｇｌｏｗｉｎｇ,その他専門コンサルティング,求人なし,東京都中野区中央4-1-3ボニータ新中野301,2015,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 植松 成将,45 百万円,
2024-08-01,株式会社イーディアス,組織人事コンサルティング,求人なし,東京都千代田区飯田橋3-2-2飯田橋3丁目ビル 3Ｆ,2014,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 羽根 剛,,
2024-08-01,トータル人事ソリューションズ株式会社,組織人事コンサルティング,求人なし,東京都港区芝大門2-3-7ＤＯ芝大門ビル 402,2015,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 中野 剛,3 百万円,
2024-08-01,株式会社グラフィックホールディングス,経営・戦略コンサルティング,無,北海道札幌市中央区南三条西5-1-1,2015,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 山本 壮一,205 百万円,
2024-08-01,サンコムラード株式会社,その他専門コンサルティング,求人なし,静岡県浜松市中央区船越町22-13,2015,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 市川 昌代,1 百万円,
2024-08-01,株式会社ビーライトグループ,その他専門コンサルティング,無,愛知県名古屋市熱田区白鳥3-10-19,2015,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 若尾 光伸,29 百万円,■グループ企業7社の経理・人事・総務に関する業務の受託 等 2024年2月doda掲載求人より引用
