更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,上場市場名,代表者
2024-07-01,イハラサイエンス株式会社,機械部品・金型メーカー,4,■企業概要：当社は、自社製品を用いた配管システムの提供を行っています。当社は「継手」「バルブ」「配管部材」「配管システム」の製造を行っており、当社製品は、エネルギー関連、半導体・液晶関連、船舶関連、化学・石油精製関連、食品・医療関連の装置、工作機械、焼却炉、ゴミ収集車、水処理装置、鉄道車両、分析・計測機器関連、産業機械関連など、世界中の様々な産業設備に使われています。配管のソリューションメーカーとして世界No.１を目指しています。,東京都港区高輪3-11-3イハラ高輪ビル,1947,37.2,584,"1,564百万円",https://www.ihara-sc.co.jp,,
2024-08-01,株式会社オリジン,半導体メーカー,4,■事業内容：・電源機器、半導体デバイス、精密機構部品、システム機器及び合成樹脂塗料の製造販売・各事業に関連する研究及びその他のサービス等,埼玉県さいたま市桜区栄和3-3-27,1938,45.6,632,"6,103百万円",https://www.origin.co.jp/,スタンダード市場,
2024-08-01,オリンパス株式会社,計測機器・光学機器・精密機器・分析機器メーカー,46,（1）内視鏡事業診断そして低侵襲治療において、より良い臨床結果を生み、医療経済にベネフィットをもたらし、世界の人々の健康やQOL向上に貢献しています。現在では、軟性内視鏡、硬性鏡、ビデオイメージングシステムから、システムインテグレーション、修理サービスに至るまで、様々な製品・サービスで医療に貢献しています。（2）治療機器事業ポリープ切除用のスネア開発に始まり、外科用デバイスの開発や処置具のラインアップ拡充などを経て、様々な製品が疾患の予防、診断、治療に役立っています。,東京都八王子市石川町2951,1919,41.6,32844,"124,600百万円",http://www.olympus.co.jp/,プライム市場,
2024-07-01,大崎電気工業株式会社,計測機器・光学機器・精密機器・分析機器メーカー,1,■事業内容：電力量計、計器用変成器、配電自動化機器、タイムスイッチ、デマンドコントロール装置、エネルギーマネジメントシステム、自動検針システム、スマートホーム関連機器、光通信関連機器、配・分電盤、電力量計の取替工事、その他電気機械器具の製造販売および工事等,東京都品川区東五反田2-10-2東五反田スクエア,1937,43.0,541,"7,965百万円",http://www.osaki.co.jp/,プライム市場,
2024-08-01,株式会社大岩マシナリー,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,8,空調・給排水・冷熱機器の多種建築設備機器、産業設備機器、環境設備機器の販売、製造・設計・施工管理・保守のトータルエンジニアリングを手掛けています。,東京都大田区大森南3-10-18,1948,46.1,260,90百万円,http://www.oiwa.co.jp/,,
2024-06-01,大野ベロー工業株式会社,機械部品・金型メーカー,1,■事業内容：ベローズバルブ、ダイヤフラムバルブ、特殊バルブの設計・製造・販売,東京都港区芝5-3-4,1950,43.0,85,50百万円,https://www.ohnobellows.co.jp/,,
2024-08-01,株式会社押野電気製作所,電子部品メーカー,4,◆企業概要：創業89年を誇る、自動車・航空機業界の「光」を創る老舗優良メーカーです。◆事業詳細：（1）自動車用室内照明装置の設計・製造・販売 (2) 航空機各種用ランプ、自動車サブミニチュアランプの設計・製造・販売（3）NDIRセンサー用ランプ、高圧ガス入りランプの設計・製造・販売,東京都品川区南品川2-5-2,1960,40.0,101,50百万円,http://www.oshinolamps.co.jp/,,
2024-07-01,株式会社小野測器,計測機器・光学機器・精密機器・分析機器メーカー,24,■概要：計測制御解析分野において、「お客様視点で新価値商品を」開発し社会に貢献する、独立系メーカーです。■詳細：主に自動車分野、エレクトロニクス分野、センシング分野、音響・振動分野の4つのフィールドに対する下記事業を行います。(1)電子計測機器の製造、販売 (2)電子応用機器の製造、販売 (3)電子制御装置およびその関連機器の製造、販売 (4)前各号に係る情報処理システムのソフトウェア販売およびエンジニアリングサ―ビス事業 (5)前各号に附帯または関連する―切の事業,神奈川県横浜市西区みなとみらい3-3-3横浜コネクトスクエア12F,1954,42.0,604,"7,134百万円",http://www.onosokki.co.jp,スタンダード市場,
2024-08-01,岡谷電機産業株式会社,電子部品メーカー,10,■事業内容： 電子部品の製造及び販売 ■ビジョン： 【未来に向かってお客様と共に成長し発展していくノイズ・サージ対策のパートナーをめざします】産業構造や市場が大きく変化していくなかで、当社グループは、ノイズ・サージ対策で培った技術力を軸に、デバイスの更なる拡充とモジュール製品の多様化を進めるとともに、生産能力の強化と生産性向上に取り組んでおります。また、当社の製品群を活かした提案力を高め、お客様の多様なニーズに応えてまいります。,東京都世田谷区等々力6-16-9,1939,43.0,176,"2,295百万円",https://www.okayaelec.co.jp/,スタンダード市場,
2024-08-01,カヤバ株式会社,自動車部品メーカー,19,■事業概要：自動車・オートバイ用ショックアブソーバー、パワーステアリング、油圧ショベルに代表される建設機械やフォークリフト用各種油圧機器、コンクリートミキサー車など様々な製品を生み出す総合油圧機器メーカーです。また、近年では環境、防災、福祉関連製品にも注力しておりスタジアムや劇場にも同社製品が用いられています。,東京都港区浜松町2-4-1世界貿易センタービルディング南館28F,1948,40.8,4032,"27,647百万円",http://www.kyb.co.jp/index.html,プライム市場,
