更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,上場市場名,代表者
2024-08-01,大鳥機工株式会社,機械部品・金型メーカー,9,■事業内容：建築金物、工作機械、専用機、繊維機械の製造・販売,鳥取県鳥取市南栄町19,1948,170,100百万円,,http://www.ohtori-kiko.co.jp/,,
2024-07-01,アスリートＦＡ株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,4,■事業内容： 自動化設備の設計・製造・販売■経営理念私たち、ＡｔｈｌｅｔｅＦＡはＦｕｔｕｒｅ Ａｒｔｓを創造します,長野県諏訪市四賀2970-1,1988,99,85百万円,43.2,http://www.athlete-fa.jp/,,
2024-08-01,日本サーモテック株式会社,計測機器・光学機器・精密機器・分析機器メーカー,2,"■事業概要：・1991年11月創業し、一般的な温度センサーでは計測が難しい溶解金属の温度を連続的に計測するセンサーの製造販売を行っています。・溶解金属に接触して温度を計測する同社のセンサーは、1,500℃の誤差は±5℃以内です。非接触のものに比べ精度が高く、全国各地の高炉や電炉に採用されています。■事業詳細：・連続測温プローブの製造、販売・連続測温プローブ周辺機器の製造、販売・消耗型熱電対、CEカップの製造、販売・消耗型熱電対、CEカップ周辺機器の製造、販売・測温関連商品及び周辺機器の販売、補修",福岡県北九州市八幡西区森下町26-89,1991,18,98百万円,37.0,https://jtt1991.co.jp,,
2024-07-01,株式会社クリンビー,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,2,■事業内容： ・代替フロン洗浄機、乾燥機、蒸留機、精密機械の設計、製造、販売・汎用機器、産業機械の販売,長野県諏訪市四賀3011-3,1995,78,47百万円,,https://www.cleanvy.co.jp/,,
2024-07-01,大黒自工株式会社,自動車部品メーカー,2,■事業内容：各種自動車整備（車検・定期点検・一般整備）、自動車板金・塗装、フレーム修正、冷凍機修理、コンピュータ診断、石油類の販売（軽油・重油・灯油・オイル等）、新車・中古車販売、クレーン等自動車関連及び自動車用品（タイヤ、バッテリー、ホイール他）の販売、車両リース、損害保険代理店,北海道札幌市中央区南二条西12-323-18,1963,40,30百万円,,http://daikoku-web.com/content/zikou/,,
2024-07-01,株式会社ライト光機製作所,計測機器・光学機器・精密機器・分析機器メーカー,16,【競技用ライフルスコープで高評価をされている、光学機器メーカー／顧客は海外比率が高く、日本における参入障壁が高い安定企業です】■事業内容：同社は1956年に設立され、ライフルスコープ、双眼鏡、望遠鏡、その他光学機器の開発製造・輸出を展開しています。,長野県諏訪市中洲3637,1956,300,25百万円,,http://www.light-op.co.jp/,,
2024-07-01,カクショウ工業株式会社,機械部品・金型メーカー,1,■事業内容：空圧・空調機器用部品、消防機器用部品、ガス・コネクター機器用部品、自動車部品、文具用部品など、精密部品の加工及びアッセンブリー,長野県諏訪市大字中洲4589-1,1964,30,40百万円,,http://park2.wakwak.com/~kks-1/index.html,,
2024-06-01,日本精機工業株式会社,機械部品・金型メーカー,5,■事業内容：超精密切削部品の製造・販売,長野県諏訪市中洲4750,1950,70,90百万円,,http://nihonseiki.net/,,
2024-08-01,シントク株式会社,自動車部品メーカー,13,■会社情報シントクは、信州の自然に囲まれた工場で大型製缶機械加工を主体に組立までを一貫生産しています。マシンベースをはじめとし、大型機械や優れた設備を整え社内一貫加工を実現。特に品質管理、短納期を遵守しています。製造実績も12業種を超え、常に多種多様なリクエストに24時間体制でお応えします。創業から一貫し「ものづくり」にこだわり、常に付加価値のある製品とサービスをご提供できるよう技術向上に努めています。■事業内容半導体、液晶、有機EL、IT、工作機械、自動車、食品、医療、電池、物流、検査、繊維業界などの部品製造、組立,長野県諏訪市中洲566-7,1975,65,15百万円,44.0,https://shintoku.co.jp/,,
2024-07-01,株式会社ケーアンドケー,計測機器・光学機器・精密機器・分析機器メーカー,1,■事業内容：「ものづくり」をトータルサポートする工業製品商社です。■業務内容:電機・電子部品・精密加工部品の商社事業,長野県諏訪市豊田文出456-2,1987,20,35百万円,,https://www.j-kandk.co.jp/index.html,,
2024-05-01,株式会社鈴木,電子部品メーカー,2,■事業内容： 精密プレス金型、精密モールド金型コネクタコンタクト、コネクタハウジング、自動車電装部品ＳＭＴ関連装置、半導体関連装置、専用機医療器具組立,長野県須坂市大字小河原町2150-1,1933,1062,"2,442百万円",,https://www.suzukinet.co.jp/,プライム市場,
2024-06-01,株式会社後島精工,受託加工業（各種加工・表面処理）,1,■あいさつ： 後島精工は精密金型や治工具等で培った精密加工技術を更に発展させるべく硬質被膜処理設備、微細加工設備を導入し、電子部品業界向けの特殊治具の製造販売を展開して参りました。挑戦と発想の転換を基に、絶えずIT産業のニーズに即応できる企業として一層の努力をして参りたいと思っております。代表取締役社長 後島 剛■基本方針： 一、私達は、「和」と「挑戦」と「創造力」をもって、お客様に信頼される品質と技術を提供し、特殊治具トップメーカーを目指します。 一、私達は、環境保全を重要経営課題に位置付け、モノ作りの中に、積極的に取り入れ、豊かな社会作りに貢献いたします。,長野県須坂市大字小河原2171-5,1972,24,20百万円,,http://www.gotoseiko.jp,,
2024-07-01,日通工エレクトロニクス株式会社,電子部品メーカー,2,■企業概要：同社は1999年に日通工株式会社（現：NECプラットフォームズ株式会社）の80年以上にわたる電子コンポーネント事業が分離、独立し、「日通工エレクトロニクス」として設立しました。同社はフィルムコンデンサの開発から、製造、販売までの一貫した体制を実現しております。商品開発のスピードアップとコスト競争力の強化を図り、国内、海外のお客様にさらにご満足頂ける商品の提供を目指していきます。フィルムコンデンサとは、数ある電子部品のうち、ノイズを押さえたり、電荷を溜めたりする受動部品です。,長野県須坂市小河原2031-1,1999,106,100百万円,,http://www.nitsuko-ele.co.jp/,,
2024-08-01,株式会社坂本電機製作所,機械部品・金型メーカー,5,■事業内容：電気機械器具の製造・自社製品…産業用制御機器、電子応用機器（デジタル水準器、傾斜計など）・他社製品…精密機械加工部品（半導体製造装置、医療機器、工作機械向け）、半導体製造装置および食品（おにぎり成型機）機器など各種ユニット組み立て・国からの委託試験研究…高度木材生産機械開発,福岡県福岡市東区和白3-27-55,1951,102,30百万円,44.0,http://www.sem-sakamoto.co.jp/,,
2024-08-01,株式会社九州テラオカ,計測機器・光学機器・精密機器・分析機器メーカー,17,【POSシステムやセルフレジで有名！業界シェアトップで大正創業の歴史を有する老舗の寺岡精工グループ】■事業内容：寺岡精工のグループ会社として同製品の営業や保守を中心に展開しています。電子はかり、電子計量値付システム、自動計量包装値付機、POSシステム、POP作製システム、仕分けシステム、カウンティングスケール、自動倉庫管理システム、店舗総合情報管理システム、浄水システム、廃棄物管理システム、飲食店向けPOSシステム、クリーニング店向けPOSシステムなどの販売、保守,福岡県福岡市東区多の津4-24-31,1968,140,30百万円,43.7,https://www.teraokaseiko.com/jp/kyushu-teraoka/,,
2024-07-01,株式会社レアックス,計測機器・光学機器・精密機器・分析機器メーカー,2,■事業内容： ・地質、土質、水文、環境に関する調査解析業務・土木設計施工管理・コンピューターシステムの運用に関するコンサルティング及び関連ソフトの開発販売業務・地質調査機器の研究開発と販売業務・損害保険代理店業務・不動産賃貸及び管理業に関する業務■経営理念：「社会とお客様のニーズを的確に捉え、最新テクノロジー（剃刀）と地球科学（斧）の融合により、ニーズに的確にお答えし、満足できる技術サービス・製品を提供します」,北海道札幌市東区北二十四条東17-1-12,1988,28,10百万円,,https://www.raax.jp/,,
