更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者,上場市場名
2024-08-01,株式会社セック,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,7,■事業内容： 同社は機械装置・プラント設備・鉄構装置の開発・設計・製作・据付・試運転・運転保守およびアフターサービスを行う、トータルエンジニアリング会社です。仕様の打ち合わせから納品まで一括で受注しているため、構想から仕様打ち合わせ～設計までの上流工程に関わっていただくことができ、実際の製作まで自社内で一貫して担当することができます。,兵庫県明石市大久保町江井島蟹池1635,1988,42.0,76,99百万円,http://www.sec-ltd.co.jp/,,
2024-06-01,株式会社ニッピ機械,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■事業内容：靴、カバン等の加工機械、ウレタン・ゴム加工用機械、部品製造、販売,兵庫県加西市下宮木町767-1,1976,,28,18百万円,http://www.nippy.jp/,,
2024-07-01,播磨機械工業株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,4,■事業内容：油圧、空圧機械器具製造業で主製品はトンネル掘削機用油圧シリンダー、製鉄機械用油圧シリンダー、建設機械用油圧シリンダー、一般産業機械用油圧シリンダー。,兵庫県加西市鶉野町東大下80,1971,,65,15百万円,http://www.harima-kikai.co.jp/,,
2024-08-01,三和機工株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■建築・土木工事の基礎工事の際に使用される機械や装置、部材の製造・販売事業を展開しています。 ■つねに「優秀な機械をつくる」ことをモットーに、土木機械や産業機械の製造において、その技術の一端を担い、今日まで日本産業界にその役割を果たしてきました。 《資格取得者》 ■技能検定 普通旋盤 1級 1名、技能検定 金属熱処理 1級 1名、ＪＩＳ溶接 10名■事業内容： 建築・土木工事の基礎工事の際に使用される機械や装置、部材の製造・販売,兵庫県加東市河高355-19,1946,,104,25百万円,"Failed to retrieve page, status code: 410",,
2024-08-01,パナソニックエナジー南淡株式会社,電子部品メーカー,2,■事業内容： ◆リチウムイオン電池の製造/自動自動組立装置による円筒および角形のリチウムイオン電池セルの製造◆電池パックの製造/電池セルと制御用回路を組合せ、完成品となる電池パックの製造◆部品の製造/電池用、EV用の金属プレス部品の製造・高精密なプレス加工用金型の設計開発および製作パナソニックのグループ会社として、電池の製造を主とした事業を展開。約700名の社員と50年以上の事業活動の中で培った技術力と高品質なモノづくりで、安全・安心な製品を提供します。,兵庫県南あわじ市賀集野田407,1966,,758,40百万円,なし,,
2024-07-01,東洋プラント工業株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,2,■営業品目：集塵装置プラント／公害防止機器プラント／塗装・乾燥プラント／炭化装置プラント／排気装置プラント／コンベヤー搬送装置プラント／ステンレス加工／焼却炉・ボイラー／蒸気温水ボイラー,広島県広島市安佐北区安佐町大字久地146,1974,,13,15百万円,https://www.topura.com/,,
2024-07-01,株式会社レニアス,機械部品・金型メーカー,4,■企業概要：PC（ポリカーボネート）樹脂並びにアルミサッシ加工製品で高いシェアを誇っています。 強い・透明・軽いPC樹脂製品は主要顧客である建機メーカーに加え、ゴルフカート、鉄道車両、バス・自動車など参入分野を広げています。レニアスではPC樹脂一貫生産システムを保有しており他社ではできないような大型の樹脂窓の製造を得意としており、国内メーカーのみならずグローバルに展開しており北米、欧州、韓国、中国への営業活動も活発に行い世界中で採用されています。,広島県三原市沼田西町小原200-76,1976,36.0,160,70百万円,https://www.renias.co.jp/,,
2024-07-01,株式会社ファースト技研,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■事業内容： ・各種省力、工作専用機械の設計・製作・マイクロコンピューター機器の設計・装着・製作・空油圧機器の装着設計・製作・前各号に附帯関連する一切の業務,広島県福山市箕島町南丘6570-1,1976,,,25百万円,http://first-giken.co.jp/,,
2024-07-01,向島造機株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■事業内容： （1）船舶の修繕（2）舶用内燃機関の修理（3）線材圧延装置・ギャップシャー・燃料機械・産業機械・その他の陸上諸機器の設計・製作（4）製缶工事一式,広島県尾道市向島町外新開9954-3,1939,,54,48百万円,http://www.m-zoki.ecnet.jp/,,
2024-07-01,三和産業株式会社,受託加工業（各種加工・表面処理）,2,■バフ研磨、ヘアーライン仕上げ、その他の物理的表面処理■電解研磨、化学研磨、複合研磨、酸洗い■グラインダー仕上げ■各種製缶、組立、溶接などの請負■艤装、車両内装業務の請負■洗浄業務・検査業務■文字描き・看板製作などの請負■貸倉庫、貸駐車場・運搬その他に付随する業務■人材派遣とこれに付随する業務,山口県下松市末武下西沖680-16,1918,40.0,70,1800万円,http://www.sanwa21.co.jp/,代表取締役 弘中 大久,
2024-07-01,株式会社アスカ,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■事業内容：・産業機械部品製造・半導体製造装置部品製造・CFRPなど、新素材部品製造・小径工具による微細加工部品製造■同社の製品：（1）一般産業機械部品…同社加工製品の最も一般的なものです。主要材料はステンレス鋼、アルミ、鉄、各種鋳物、プラスチック材料などで主に工作機械、食品関連機械、半導体製造装置、産業用ロボットなどの各種部品を製造しています。ただ単に部品製造を行うだけではなく、加工方法、材料、設計などでアイデアを提示し、更なるコストダウン、製品の高度化にも取り組んでいます。など,徳島県板野郡上板町上六條字南開410-5,1981,37.0,61,70百万円,http://www.asukaco.co.jp/index.htm,,
2024-06-01,株式会社村上製作所,機械部品・金型メーカー,1,■事業内容：・自動堰、水門、除塵機、水処理施設、橋梁、建設機械関連及び工作機械関連油圧機器・環境関連設備、その他一般産業機器、印刷機械、巻替装置、スリッター装置設計製作据付,香川県高松市新田町甲297-1,1952,,214,40百万円,http://www.murakamiss.co.jp/,,
2024-08-01,鶴島自動車整備株式会社,自動車（四輪・二輪）メーカー,2,■事業内容：・自動車車検、整備・クレーン等特殊車両の販売、整備・タクシーメーターの検査、整備・ETCセットアップ・新車（ダイハツ）中古車の販売・自重計測定・損害保険代理店・オートリース、レンタカー事業,愛媛県宇和島市伊吹町字下井関1547,1944,,20,50百万円,http://tsurushima-seibi.com/index.htm,,
2024-07-01,三光機械工業株式会社,建設機械・その他輸送機器メーカー,2,■事業内容： 各種天井クレーン、ジブクレーン、各種産業機械、各種建設機械、大型機械加工部品などの製造 （小野興業を中核とするグループの一員）当社は昭和43年に住友重機械工業の協力会社として創業以来、常に「和の精神でものづくり」を行なってきました。現在は天井クレーンを中心とする運搬荷役機械の製造等を生業とし、製鋼所向けの「レードルクレーン」をはじめ、電力メーカーや造船所向けのジブクレーン、門型クレーン等、いわゆる重量級クレーンの製造を得意分野としています。,愛媛県新居浜市多喜浜6-6-50,1967,,40,50百万円,http://www.akagane.net/sankokikai/index.html,,
2024-07-01,大八工業株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,2,■事業内容： 当社は高炉メーカー向けの半導体工場向けのプラント機器、またクレーン装置メーカー向けの機器を製作納入しております。鉄工業務のうち、組立塗装と機械加工をしています。,愛媛県新居浜市黒島1-6-55,1972,43.0,24,12百万円,http://www.daihachi-kogyo.co.jp/,,
