更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-08-01,光和電工株式会社,機械部品・金型メーカー,7,■事業内容： 電線、ケーブル製造母体となる新光電気工業株式会社は1951年に創業しました。グループで尼崎、三木、中国に工場を構えおり、同社は吉川工場（三木市）を運営し主に銅線を加工しケーブルにする工程を担当しています。■顧客について：新光電気工業株式会社を通し、全国有名企業の産業用ロボット・工作機械・家電等のメーカー110社へ直接納入しております。,兵庫県三木市吉川町大字大沢43,1951,94,35百万円,,http://www.shinko-electric.com/#,,
2024-08-01,株式会社ヨシエンジニアリングサービス,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■事業内容： ・EV用電池、モータ、医療関係の生産設備、ラインの設計、製造、生産管理・上記設備の専門メーカーに対するエンジニアリング業務・上記以外の取引先からの設備の設計から製造までに関する業務・引合からの仕様まとめ、構想、見積と取引基本契約の締結、工程管理、客先交渉等補助サポート業務※当社の製品はパートナー企業や商社を通じて、大手の電機メーカーや自動車メーカーに納品されています,滋賀県草津市野路東7-3-46テクノファクトリー10号棟,2018,13,5百万円,,"Failed to retrieve page, status code: 410",,
2024-06-01,ＤＡＲＥジャパン株式会社,半導体メーカー,3,■事業内容： DARE JAPANは、中国有数の技術系企業グループ「DAREグループ」の、中核企業「DARE AUTO」の日本の研究開発拠点として2018年5月に設設されました。全固体電池を中心に、燃料電池の開発を進めています。日本の優れた技術を活かした製品を、DAREグループの活動する中国、欧州、北米での市場展開につなげることを目的としております。自社研究開発センターによる開発実務と、日本企業や大学との連携プロジェクトのマネジメントを行っております。,神奈川県川崎市川崎区南渡田町1-1京浜ビル2F,2018,15,223百万円,,http://dare-jp.com/,,
2024-08-01,株式会社ＩＡＣ,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,4,■事業内容：航空宇宙用機械加工部品及び航空機用組立品の製造航空機関連地上支援器材の設計・開発及び製造,岐阜県各務原市金属団地128,1947,247,96百万円,38.0,http://www.imaiaero.co.jp/,,
2024-07-01,株式会社ユイナス,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,5,【電気設計を得意とするFA装置メーカー】■FA装置設計・製作■制御設計■制御盤製作■配線工事■各種装置改造■ロボットティーチング【関連会社】■株式会社メカメイト,愛知県西尾市平坂町中奥36-3,2018,7,600万円,,https://www.yuinas.co.jp/,代表取締役 山中 啓次,
2024-07-01,ＤＭＴ　Ｓｏｌｕｔｉｏｎｓ　Ｊａｐａｎ株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,"■事業内容： 封書発送関連のメーリングソリューションを米国本社をはじめ世界19ヵ国に展開する従業員1,500人のグローバルカンパニーの日本法人です。元は100年の歴史を持つピツニー・ボウズ社のドキュメント・メッセージング・テクノロジーズ部門であったBlueCrestは、グローバルなリーダーシップの伝統を、フレッシュでダイナミックなアプローチと融合させ新会社として2018年に新たなスタートを切りました。家庭に届く請求書や明細書、納税通知書などの封書の多くは弊社の機械で作成されております。弊社は販売だけでなく、それら製品の保守サービスも提供しております。",東京都品川区南大井6-24-10カドヤ第10ビル6F,2018,29,96百万円,53.0,https://www.bluecrestinc.jp/,,
2024-06-01,株式会社アークエッジ・スペース,計測機器・光学機器・精密機器・分析機器メーカー,2,■事業内容： ・宇宙機（超小型衛星）、地上局、関連部品の設計・製作及び運用サービスの提供・関連するソフトウェア開発、・教育・コンサルティング業務等,東京都江東区有明1-3-33ドーム有明ヘッドクォーター3FA,2018,60,410百万円,,https://arkedgespace.com/#,,
2024-06-01,ＰＡＩＧ　Ｊａｐａｎ　Ａｕｔｏｍｏｂｉｌｅ　Ｉｎｖｅｓｔｍｅｎｔ合同会社,自動車部品メーカー,1,■事業内容： 欧州で最大のフォルクスワーゲングループの自動車販売会社で、現在では、欧州やアジア、南米地域など世界中で営業（卸売及び小売）しているポルシェ ホールディングGmbHが親会社です。販売事業のノウハウを活用し、日本におけるアウディを含むフォルクスワーゲングループの自動車販売事業の統括をしています。,東京都世田谷区尾山台2-30-8,2018,,5百万円,,https://paig.co.jp/,,
2024-05-01,株式会社ＥＯＲＩＣ,計測機器・光学機器・精密機器・分析機器メーカー,1,■会社概要： EORIC（イオリック）は、産業向けの先進的な光学技術を核とする会社として、2018年8月に設立されました。その後、光学技術に加え、ソフトウェア、ハードウェア、画像処理技術、光源技術、ダイレクト描画技術等 複合的な技術を確立し、半導体・液晶・電子回路等の分野に大きく貢献をしております。,東京都新宿区市谷八幡町2-1DS市ヶ谷ビル5F,2018,30,209百万円,,"Failed to retrieve page, status code: 410",,
2024-06-01,エムアイ電機株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■事業内容： ＜制御設計・製造・アフターサービス＞打合せから試運転まで一貫して専門のスタッフが担当いたしますので、様々なご要望や技術面など様々な角度からご提案させていただきます。当社では主にご要望に合わせたシステム構成で工場向けの配電設備・制御設備を設計・製造を行っております。確かな納入実績とノウハウでお客様のニーズに合わせた高品質のサービスをご提供させていただいております。,静岡県浜松市浜名区小松2367-1,2018,2,5百万円,,https://mi-denki.co.jp/,,
2024-08-01,株式会社ＳＫ,機械部品・金型メーカー,1,■主に自動車関連部品を丸棒からNC旋盤で切削加工・試作部品（自動車機能部品、その他試作部品）・量産部品（自動車機能部品、工業用、）産業機器■主に産業機器関連部品を板材からマシニングセンタで切削加工・リニアサーボモータ用部品・回転型サーボモータ用部品※2024年4月コクボHDより社名変更し、千路工業株式会社と株式会社エスケイテクニカを吸収合併しました。,愛知県豊川市小田渕町三丁目47番地,2024,,,,https://kokubo-hd.jimdofree.com/,代表者 鈴木 貴博,
2024-06-01,株式会社ソルフェージュ,アミューズメント・エンタメ・ゲームメーカー,6,■事業内容： デジタルエンタテイメントコンテンツの企画、制作・グラフィックデザイン事業・サウンドデザイン事業・アプリケーションデザイン事業,東京都豊島区南大塚2-38-1,2018,16,10百万円,,https://solfe-ge.com/company.html,,
2024-08-01,ナビタスマシナリー株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,8,■事業内容：特殊印刷機とその周辺関連機器及び資材の製造並びに販売■事業の特徴：（1）1966年の創業した、特殊印刷機の製造販売事業を行うナビタス株式会社の特殊印刷事業を継承したのがナビタスマシナリー株式会社です。この業界のリーディングカンパニーとして加飾技術で多くのお客様のニイズにお応えしています。（2）「オンリーワン加飾技術で世界の製品に彩を与え生活に豊かさと幸福をもたらす」というミッションを掲げ、顧客ニーズ・社会的ニーズを捉えた製品に加え、最近では作業の合理化を図る自動搬送、排出装置や印刷の不具合をチェックする画像検査装置、印刷後の製品の箱詰め等の工程の自動化の提案も行っています。,大阪府堺市堺区石津北町9-1,2018,63,20百万円,,https://navitas-mc.co.jp/,,
2024-08-01,株式会社バンダイナムコアミューズメントラボ,アミューズメント・エンタメ・ゲームメーカー,4,■事業概要： リアルエンターテインメント施設向けコンテンツおよびアミューズメント機器関連の研究、企画開発に関する業務,東京都江東区永代2-37-28澁澤シティプレイス永代8F,2018,160,10百万円,,https://lab.bandainamco-am.co.jp/,,
2024-06-01,株式会社micro-AMS,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■事業内容：＜マイクロ波を用いた樹脂の特殊成形加工技術の開発、及び、当該技術を搭載した成形装置の開発および販売＞、射出成形に代表される樹脂成形加工技術は長い年月をかけ、成熟された技術となりました。一方、近年での技術的なブレイクスルーはなく、成熟された技術の小改善に留まっています。弊社は当該分野での技術革新を行い、樹脂成形品の高付加価値化を目指し技術開発を行っております。＜マイクロ波成形とは＞ 低圧力で流動させない成形方法であるため、他の成形方法では成し得ない形状・構造・材料を実用レベルで達成することが出来ます。,神奈川県川崎市幸区新川崎7-7AIRBIC A-09,2018,10,100百万円,49.3,https://www.micro-ams.co.jp/,,
2024-08-01,株式会社ササクラ・エーイー,計測機器・光学機器・精密機器・分析機器メーカー,1,■事業内容：サイレンサー・防音ルーバー・遮音壁などの営業・騒音対策装置の開発・製造・施工,大阪府大阪市西淀川区竹島4-7-32,2018,60,20百万円,43.0,"Failed to retrieve page, status code: 410",,
2024-08-01,株式会社プラゴ,新エネルギー（太陽光・風力・地熱・バイオなど）,9,■事業内容： 株式会社プラゴは、EVの充電インフラ問題に取り組む企業です。しかし、私たちのやっていることは充電器を作ることにはとどまりません。モビリティ、エネルギー、地域社会の真ん中を事業領域に、来るべきEV社会に向けた社会インフラのデザインに取り組んでいます。 ・EV充電器及びIoTサービスの企画・開発・販売・販売製品の保守・メンテナンス・EV普及に関連する情報発信 ・コンソーシアムの事業戦略策定・統括およびそれに付帯する業務,東京都品川区北品川5-5-15大崎ブライトコア12F,2018,60,25百万円,32.7,https://plugo.co.jp/,,
2024-08-01,ＨＭＳ株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,4,■事業内容： スマートデバイス事業└エッジAIスマートカメラ『SiNGRAY』の開発・提供└エッジARスマートグラス製品の開発・提供└AIクラウドトレーニング・検証・デプロイサービスの提供スマートクラウドサービス事業└AI画像処理プラットフォーム『SiNGRAY NET』の開発・提供└小売・サービス業向け客流解析サービス『StoreSense』の開発・提供,福岡県福岡市博多区博多駅前2-12-12第5グリーンビル4F,2018,37,100百万円,,"Failed to retrieve page, status code: 410",,
2024-08-01,パワースピン株式会社,半導体メーカー,2,当社は、東北大学が生み出した革新技術をベースに最先端のスピントロニクス/パワーデバイス半導体技術を提供する東北大学発スタートアップ企業です。特に次世代半導体メモリとして注目されるMRAMを使用したスピントロニクス技術は、LSIの演算性能向上に比例して増加する消費電力を1/100に下げる技術として、省電力化を望む業界から熱い期待が寄せられています。また、経済産業省が推進するスタートアップ企業の育成支援プログラム「J-Startup」では、2023年選定企業の１社に選ばれました。,宮城県仙台市青葉区荒巻字青葉468-1,2018,24,100百万円,56.0,https://powerspin.co.jp/,,
2024-08-01,株式会社日立インダストリアルプロダクツ,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,21,【日立インダストリアルプロダクツについて】(株)日立インダストリアルプロダクツでは日立グループの大型産業機器事業を担う会社として、電機システム事業・機械システム事業の2事業を行っています。オーダーメイドの大型産業機器分野において、日立の社会イノベーション事業を支える、モノづくりのプロ集団です。,東京都千代田区外神田1-5-1住友不動産秋葉原ファーストビル,2018,,"10,000百万円",,https://www.hitachi-ip.co.jp/,,
