更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,事業内容,上場市場名
2024-08-01,建機サポート千葉株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,千葉県千葉市稲毛区長沼原町731-1,1998,代表取締役 本間 響,80,10 百万円,,,,
2024-08-01,エムエスアイコンピュータージャパン株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,求人なし,東京都台東区秋葉原1-8ＴＯＷＡ秋葉原ビル 6Ｆ,1999,代表取締役 林 文通,80,20 百万円,,,,
2024-08-01,リタール株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,神奈川県横浜市港北区新横浜2-5-11金子第1ビル 7Ｆ,1988,代表取締役 新岡 卓,80,99 百万円,,,,
2024-08-01,株式会社ピンテック,機械部品・金型メーカー,求人なし,東京都品川区南大井6-22-7,2002,代表取締役 森久保 哲司,80,10 百万円,,,,
2024-08-01,新熱工業株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,茨城県ひたちなか市山崎141-5第2山崎工業団地内,1982,代表取締役 大谷 直子,80,30 百万円,,,,
2024-08-01,福島アビオニクス株式会社,電子部品メーカー,求人なし,福島県郡山市待池台1-20,1989,代表取締役 池田 健,79,450 百万円,,,,
2024-08-01,三国商事株式会社,電子部品メーカー,求人なし,東京都港区浜松町1-10-7,1941,代表取締役社長 兼 営業本部長 今野 博文,79,350 百万円,,,,
2024-08-01,株式会社デンソーＥＭＣエンジニアリングサービス,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,愛知県刈谷市昭和町1-1,2000,代表取締役 藤井 天午,79,50 百万円,,,,
2024-08-01,株式会社ヨロズサステナブルマニュファクチャリングセンター,自動車部品メーカー,求人なし,愛知県名古屋市港区当知1-1304,2005,代表取締役 伊藤 直明,79,100 百万円,,,,
2024-08-01,株式会社フジサワ・マルゼン,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,東京都台東区根岸2-19-18,2003,代表取締役 渡辺 恵一,79,10 百万円,,,,
