更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,従業員数,資本金,平均年齢,企業URL,代表者
2024-08-01,株式会社マツオカコーポレーション,繊維メーカー,8,■企業概要：メンズ・レディースのフォーマルウェアからカジュアルウェア、スポーツウェア、ユニフォームウェアまでの縫製、洗い加工、生地開発と生産、及び貿易業務までを手掛ける総合アパレルメーカーです。製品企画から受注、資材調達、生産、納品まで全ての工程を自社でワンストップで行うことが可能、その年間の取扱い点数は3000万点以上にも及びます。これだけの点数を扱える企業は国内でも極めて稀です。,広島県福山市宝町4-14,1956,スタンダード市場,17729,584百万円,,http://www.matuoka.co.jp/index.html,
2024-08-01,日本製紙株式会社,製紙・パルプメーカー,17,紙、板紙、パルプ、液体用紙容器、溶解パルプ・機能性化成品、機能性フィルムの生産・販売、およびエネルギー事業,東京都千代田区神田駿河台4-6（御茶ノ水ソラシティ）,1949,プライム市場,4938,"1,048億73百万円",,http://www.nipponpapergroup.com/,代表取締役社長 野沢 徹
2024-08-01,ＪＦＥスチール株式会社,金属・製綱・鉱業・非鉄金属メーカー,61,■企業概要鉄鉱石等を原料として最終製品の鋼材の生産までを一貫して行っている国内有数の鉄鋼メーカーです。JFEグループ内でも中核企業として位置し、グループ全体の売上高のうち約65%を占める鉄鋼事業を担当しています。粗鋼の年間生産量は2400万トンを越え、日本国内ではトップクラスの生産量を誇ります。また、世界的に見ても上位に位置する鉄鋼メーカーとして、あらゆる産業を支える日本を代表する企業です。,東京都千代田区内幸町2-2-3日比谷国際ビル,2003,,15185,"239,644百万円",,http://www.jfe-steel.co.jp/index.html,
2024-08-01,三菱ケミカル株式会社,総合化学メーカー,97,"■同社について：同社は、国内において業界最大手の総合化学メーカーである三菱ケミカルグループ※の一員です。広くモノづくりの基礎となる化成品・素材、特徴ある各種機能商品を中心に製造しています。国内外問わず今後更なる成長意欲を見せる同社にてスキルを発揮することが可能です。また、三菱ケミカルグループ※は連結従業員数は約69,607名、連結売上収益（IFRS）32,575億円（2021年3月期）、の規模感を誇っており、世界的に影響力のあるグループの一員と言えます。",東京都千代田区丸の内1-1-1パレスビル,1933,,42660,"53,229百万円",,https://www.m-chemical.co.jp/index.html,
2024-08-01,マルハニチロ株式会社,食品・飲料メーカー（原料含む）,11,【水産資源セグメント】 ●漁業ユニット ●養殖ユニット ●水産商事ユニット ●海外ユニット【加工食品セグメント】 ●加工食品ユニット ●ファインケミカルユニット【食材流通セグメント】 ●食材流通ユニット ●畜産ユニット【物流セグメント】 ●物流ユニット,東京都江東区豊洲3-2-20豊洲フロント,1943,プライム市場,12352,"20,000百万円",41.8,https://www.maruha-nichiro.co.jp/home.html,
2024-07-01,株式会社ＵＡＣＪ,金属・製綱・鉱業・非鉄金属メーカー,6,■事業概要：アルミニウム等の非鉄金属及びその合金の圧延製品・鋳物製品・鍛造製品並びに加工品の製造・販売等をグローバルに展開している素材メーカーです。,東京都千代田区大手町1-7-2,2013,プライム市場,9510,"52,277百万円",40.7,http://www.uacj.co.jp/index.htm,
2024-08-01,株式会社SUMCO,金属・製綱・鉱業・非鉄金属メーカー,47,■概要：同社は世界シェア約3割、海外売上高比率約8割の半導体用シリコンウェーハメーカーです。（東証プライム上場）,東京都港区芝浦1-2-1シーバンスN館,1999,プライム市場,9847,"199,000百万円",42.4,http://www.sumcosi.com/,
2024-08-01,コカ・コーラ　ボトラーズジャパン株式会社,食品・飲料メーカー（原料含む）,85,■事業内容清涼飲料の製造、加工および販売※同社は1都2府35県に及び、国内最大のコカ・コーラボトラーであるとともに、売上高でアジア最大級、世界でも有数の規模を誇ります。社員一人ひとりが製品・サービスを通じて、すべての人の日々の生活に寄り添い、幸せな時間や人生の場面につながる価値を生み出し、未来につないでいく、という思いで、「ハッピーなひとときを、ボトルから。」をコーポレートメッセージとしています。,東京都港区赤坂9-7-1,2001,,14010,100百万円,,https://www.ccbji.co.jp/,
2024-08-01,株式会社ワールド,ファッション・アパレル・アクセサリーメーカー,6,■事業内容：事業持株会社として、傘下のブランド事業、投資事業、デジタル事業、プラットフォーム事業を営むグループ全体の経営管理、及びそれに付帯する業務を行っています。■ワールドグループの事業内容：・ブランド事業…国内小売事業、国内卸売事業・投資事業…M＆A事業＋ポートフォリオマネジメント事業、バリューアップ事業・デジタル事業…EC事業＋デジタルソリューション事業・プラットフォーム事業…販売代行、店舗開発、催事、企画運営事業、空間創造事業、生産事業、調達、貿易事業、事務業務支援事業,兵庫県神戸市中央区港島中町6-8-1,1959,プライム市場,8388,"6,000百万円",45.7,http://corp.world.co.jp/,
2024-07-01,雪印メグミルク株式会社,食品・飲料メーカー（原料含む）,1,牛乳、乳製品及び食品の製造・販売等,〒160-8575 東京都新宿区四谷本塩町5番1号,2009,プライム市場,5715,200億円,,http://www.meg-snow.com/,代表取締役社長 佐藤 雅俊
2024-06-01,ＫＰＰグループホールディングス株式会社,製紙・パルプメーカー,1,■事業概要：紙・板紙・紙加工品・パルプ・古紙・化成品・紙関連機械・包装資材・その他関連商品の売買及び輸出入ならびに不動産の保有、賃貸、倉庫業を行っています。,東京都中央区明石町6-24,1924,プライム市場,570,350百万円,43.2,http://www.kppc.co.jp/ja/top.html,
2024-08-01,株式会社レゾナック,石油化学メーカー,24,◇プライム市場上場の大手総合化学メーカーです。昭和電工マテリアルズ（旧：日立化成）との完全統合し、「化学の力で社会を変える」を会社の存在意義（パーパス）とし、ワンストップ型先端材料パートナーとなり、製造業を超えたソリューション提供カンパニーとなることを目指した事業運営が行われています。また、社員が大切にすべき4つのバリュー（価値観）として、｢プロフェッショナルとしての成果へのこだわり｣｢機敏さと柔軟性｣｢枠を超える、オープンマインド｣｢未来への先見性と高い倫理観｣を定め、これらを上記存在意義（パーパス）と併せて経営理念としました。,東京都港区東新橋1-9-1,1962,プライム市場,23840,"182,146百万円",41.9,https://www.resonac.com/jp,
2024-08-01,カルビー株式会社,食品・飲料メーカー（原料含む）,7,菓子・食品の製造・販売,東京都千代田区丸の内1-8-3 丸の内トラストタワー本館22階,1949,プライム市場,4607,"12,046百万円",,http://www.calbee.co.jp/,代表取締役社長 兼 CEO 江原 信
2024-08-01,富士フイルム株式会社,機能性化学（有機・高分子）メーカー,99+,■グループパーパス：地球上の笑顔の回数を増やしていく。わたしたちは、多様な「人・知恵・技術」の融合と独創的な発想のもと、様々なステークホルダーと共にイノベーションを生み出し、世界をひとつずつ変えていきます。世界中の人々の笑顔を見つめてきた富士フイルムグループは、これからも幅広い事業領域で人々に寄り添い、従業員一人ひとりが「アスピレーション（志）」を持って、このグループパーパスの実現を目指すことで、地球上の笑顔の回数を増やしていきます。■コーポレートスローガン：Value from Innovation,東京都港区赤坂9-7-3,1934,プライム市場,39010,"40,000百万円",,http://www.fujifilm.co.jp/,
2024-07-01,株式会社ロッテ,食品・飲料メーカー（原料含む）,7,■事業内容：菓子、アイスクリーム、健康食品、雑貨の製造・販売キシリトールガム、ガーナミルクチョコレート、コアラのマーチなど、これまで数々のヒット商品を世に送り出してきた“お口の恋人”ロッテ。菓子以外にも幅広い分野で事業を展開し、お客様の生活を豊かに彩る企業です。,東京都新宿区西新宿3-20-1,1948,,2409,217百万円,38.9,http://www.lotte.co.jp/top.html,
2024-08-01,ＹＫＫ株式会社,住宅設備・建材メーカー,29,■YKK株式会社について：衣料品のみならず、鞄、靴、ひいては自動車の内装製品などあらゆる製品についているファスナー。そこには必ずといっていいほど「YKK」の文字があります。私達がほぼ毎日のように使っているファスナーは、同社が圧倒的なシェアを持っています。徹底した品質管理と一貫生産思想、そして様々なお客様のニーズに応じた供給体制のもと世界中で同一の高品質を提供する事で、ファスニング＝YKKという地位を確立してきました。,東京都千代田区神田和泉町1YKKビル,1934,,44510,"11,992百万円",41.7,http://www.ykk.co.jp/japanese/index.html,
2024-07-01,株式会社ワコール,ファッション・アパレル・アクセサリーメーカー,1,■インナーウェア（主に婦人のファンデーション、ランジェリー、ナイトウェア及びリトルインナー）■アウターウェア、スポーツウェア、その他の繊維製品および関連製品の製造、卸売販売および一部製品の消費者への直接販売,京都府京都市南区吉祥院中島町29,2005,,3830,"5,000百万円",,https://www.wacoal.jp/about/,代表取締役 社長執行役員 川西 啓介
2024-07-01,株式会社ポーラ・オルビスホールディングス,化粧品メーカー,2,■概要「POLA」「ORBIS」ブランドなど化粧品を中心とした事業を展開する企業グループとして、2007年1月1日より新たな体制をスタートさせました。1929年のポーラ創業以来、化粧品事業を通じて常に新しい価値を提供する努力を続けてきました。現在は「POLA」「ORBIS」を中心に、百貨店ブランド「THREE」、敏感肌専門ブランド「DECENCIA」、パーソナライズビューティケアブランド「FUJIMI」、海外ブランド「Jurlique」といった個性豊かなブランドを持ち、世界各国において多様な販売チャネル・価格帯で事業を展開。,東京都品川区西五反田2-2-3,2006,プライム市場,221,"10,000百万円",45.1,http://www.po-holdings.co.jp/,
2024-08-01,ピー・アンド・ジー株式会社,化粧品メーカー,1,■事業概要■P&Gは世界180カ国以上、48億人の人々に製品を提供している、世界最大の消費財メーカーです。高い価値と品質をもつ幅広い製品ブランドが、世界の人々から信頼され、愛されています。日本のP&Gは、P&Gグループの重要拠点として、グローバルなビジネスを推進していく役割を担っています。世界でも競争が最も厳しく、消費者のニーズも最も高いと言われる日本での知識と経験は、世界市場に通じるイノベーションを次々に生み出しています。,兵庫県神戸市中央区小野柄通7-1-18,2000,,450,"11,520百万円",40.0,https://jp.pg.com/,
2024-08-01,日鉄テクノロジー株式会社,金属・製綱・鉱業・非鉄金属メーカー,11,■事業内容：材料・解析、環境、計測エンジニアリング、検査・ソリューション、自動車部品、エレクトロニクス部品、エネルギー産業機械、事故解析、高圧評価試験、調査・研究、教育・研修、人材派遣、各種事業支援,東京都千代田区大手町1-6-1大手町ビル3F,2013,,3700,100百万円,,https://www.nstec.nipponsteel.com/,
2024-08-01,株式会社アルビオン,化粧品メーカー,4,■事業内容： 高級化粧品（スキンケア・メイクアップ・フレグランス・ヘアケア等）全般の開発、製造および全国の一流百貨店・有力化粧品専門店を通じての販売,東京都中央区京橋1-12-2,1956,,3388,760百万円,36.6,http://www.albion.co.jp/,
2024-08-01,ＪＸ金属株式会社,金属・製綱・鉱業・非鉄金属メーカー,21,■事業内容： ・非鉄金属資源の開発・採掘・非鉄金属製品（銅、金、銀等）の製造・販売・電解・圧延銅箔の製造・販売・薄膜材料（ターゲット材、表面処理剤、化合物半導体材料等）の製造・販売・精密圧延品の製造・販売・精密加工品の製造・販売・非鉄金属リサイクルおよび産業廃棄物処理,東京都港区虎ノ門2-10-4オークラ プレステージタワー,1905,,3041,"75,000百万円",40.3,http://www.nmm.jx-group.co.jp/,
2024-08-01,三和シヤッター工業株式会社,住宅設備・建材メーカー,99+,■事業内容各種シャッター、ドア、オーバーヘッドドア、住宅用窓シャッター、エクステリア製品、ステンレス製品、間仕切製品等の製造、販売事業,東京都板橋区新河岸2-3-5,2007,,3054,500百万円,,https://www.sanwa-ss.co.jp/,
2024-08-01,株式会社日本アクセス,食品・飲料メーカー（原料含む）,25,■事業内容：同社は伊藤忠商事グループに属する日本を代表する食品専門商社です。高度な情報機能を兼ね備えた『次世代卸』として、心豊かで笑顔あふれる食生活の創造に貢献します。,東京都品川区西品川1-1-1住友不動産大崎ガーデンタワー,1993,,4002,"2,620百万円",,http://www.nippon-access.co.jp/,
