更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,上場市場名,代表者
2024-07-01,日ポリ化工株式会社,住宅設備・建材メーカー,10,当社は、ユニットバスを中心とした住宅設備機器の製造・販売を行う会社です。ユニットバスに関しては、お客様の細かなご要望にオーダーメイドで応える特注の依頼も多く、高級ホテル、高級分譲マンションなどへの納品実績が豊富で、技術力の高さには定評があります。,奈良県山辺郡山添村大字切幡126-4,1968,41.0,240,40百万円,https://www.nippori.co.jp/,,
2024-08-01,大京化学株式会社,機能性化学（有機・高分子）メーカー,2,■事業内容： 1. 自社開発の繊維用機能付与薬剤を製造販売しています。 2. 中でも防炎加工薬剤については国内トップクラスのシェアを誇り、自動車内装材、インテリア、建材、IT部品等の産業資材や繊維製品に幅広く 利用されています。 3. 当社が開発した非ハロゲン型製品は国内・海外の多くの自動車メーカーでシート、内装材に使用され他社の追随を許さない程のヒット商品と なっています。,京都府亀岡市大井町並河3-25-1,1947,40.0,29,31百万円,http://www.daikyo-chemical.co.jp/,,
2024-07-01,ファイテン株式会社,ファッション・アパレル・アクセサリーメーカー,1,■概要：「すべては健康を支えるために」をコンセプトに事業展開を行う健康サポート商品メーカー。アスリートをはじめ学生から主婦、お年寄まで幅広く同社の製品が愛用されています。※主要製品：RAKUWAネックは、トップアスリートが多数使用していることで有名。,京都府京都市中京区烏丸通錦小路角手洗水町678四谷学院京都ビル5F,1983,36.7,571,30百万円,http://www.phiten.com/,,
2024-08-01,内外ゴム株式会社,石油化学メーカー,6,■事業内容：同社では、現在大きく分けて下記の4つの事業を行っております。1）自動車用タイヤチューブ2）工業用品（ハネナイト・フロート・ガス膜・配管器材)3）スポーツ用品（野球ボール・ソフトボール）4）履物（業務用シューズ・サンダル類） 最近は、加速度センサの開発も行っており、主な使用用途としては、エレベーターに設置されている地震探知機として活用されています。,兵庫県明石市魚住町西岡2050,1913,44.0,250,24百万円,http://www.naigai-rubber.co.jp/,,
2024-07-01,株式会社神戸風月堂,食品・飲料メーカー（原料含む）,1,■事業内容：洋菓子の製造販売・喫茶,兵庫県神戸市中央区元町通3-3-10,1976,46.0,517,80百万円,http://www.kobe-fugetsudo.co.jp/index.html,,
2024-07-01,山陽特殊製鋼株式会社,金属・製綱・鉱業・非鉄金属メーカー,1,■事業概要：「特殊鋼」「金属粉末」「素形材」の開発・製造・加工・販売■詳細：軸受鋼、構造用合金鋼、炭素鋼、快削鋼、ステンレス鋼・耐熱鋼、超合金、電磁鋼、工具鋼、金属粉末・成形品、素形材などの用途にあった形状の製品を、軸受、自動車、造船、プラントなど各種産業機械メーカーへ、更にアメリカ、中国、東南アジア、メキシコ等に海外拠点を設置、また、インド、スウェーデンの鉄鋼メーカーを子会社化するなど、独自の操業技術に関するノウハウを広く海外に供与、グローバルな視点で事業展開を行っています。,兵庫県姫路市飾磨区中島字一文字3007,1935,40.5,1623,"53,800百万円",http://www.sanyo-steel.co.jp/,プライム市場,
2024-07-01,日本丸天醤油株式会社,食品・飲料メーカー（原料含む）,1,■事業内容醤油・つゆ・たれ類（液体加工調味料）、ぽん酢、粉末調味料、加工食品の製造及び販売,兵庫県たつの市揖保川町半田672,1907,38.7,95,98百万円,https://www.marten-fi.co.jp/,,
2024-07-01,昭和瀝青工業株式会社,機能性化学（有機・高分子）メーカー,4,■事業内容：・アスファルト乳剤の製造販売（タイヤ付着抑制型アスファルト乳剤等）、改質アスファルトの製造販売（排水性用高機能改質アスファルト等）・アスファルト合材の製造販売（加熱合材、再生加熱合材、全天候型常温合材等）、ストレートアスファルトの貯蔵販売（油槽所、コンテナアスファルト）・道路舗装工事及び土木工事の諸請負施工、再生路盤材／再生骨材の製造販売、産業廃棄物中間処理（アスファルト合材殻、コンクリート殻）・メタノールの貯蔵出荷業務（新潟上越油槽所）、道路用舗装資材の輸出入、道路用舗装資材の研究開発,兵庫県姫路市北条口4-26,1965,44.5,126,99百万円,https://www.shoreki.co.jp/,,
2024-08-01,西日本衛材株式会社,製紙・パルプメーカー,求人なし,,兵庫県たつの市龍野町大道566,1963,,,90 百万円,"Failed to retrieve page, status code: 410",,代表取締役 合田 康人
2024-06-01,山陽鋼業株式会社,金属・製綱・鉱業・非鉄金属メーカー,2,■設備の特徴：・ベル型無酸化焼鈍炉…冷間圧造用鋼線で過酷な加工を施すものや、中高炭素鋼線、合金鋼などの焼鈍をするための炉です。同社の炉はユーザーから要求されるさまざまな品質特性に応じられるよう、全自動制御により、常に最適な熱処理条件で稼働しています。・全自動鉄筋加工機…ビル建築に使用されるせん断補強筋を異形線材コイルから連続して、色んな形状に加工します。普通鉄筋だけでなく高強度鉄筋まで加工できるのが特徴です。同社の補強筋は、日本建築センターの認定を取得し「タフリング」の商標で市場の実績を積み上げています。・ピット型焼鈍炉…同社で製造された普通鉄筋を焼線するための炉です。・大型伸線機,東京都港区赤坂2-13-5,1949,,52,50百万円,なし,,
2024-08-01,ＮＧＫエレクトロデバイス株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,20,■企業概要：1970年7月山口県美祢市に鳴海製陶(株)が電子セラミックス専門工場「美祢電子磁器製作所」を建設し操業開始。「世界3大セラミックパッケージメーカー」と呼ばれるまで成長。2015年1月に日本ガイシグループの一員となり、エレクトロニクス事業の一翼を担い、最先端の技術を展開しております。※パッケージ：CPU等を保護し電気信号を伝える重要な電子部品で、パソコン/携帯電話/TVゲーム/デジタル家電等に実装。,山口県美祢市大嶺町東分2701-1,1991,44.0,488,"3,450百万円",https://www.ngked.co.jp/,,
2024-06-01,上野株式会社,住宅設備・建材メーカー,2,■事業内容： 壁装用クロス、カーペット、カーテン、ブラインド、木質・石質・塩ビ系床材、家具、照明器具、その他のインテリア商品の卸販売,宮城県仙台市宮城野区中野1-5-13,1932,36.0,165,80百万円,http://interior-ueno.co.jp/,,
2024-07-01,カシュー株式会社,石油化学メーカー,1,■更なるグローバル展開を目指す世界トップクラスの技術力を持つ家電・自動車塗料を中心に展開する塗料メーカー。■やりがいのある仕事と人に優しい企業風土で自分の可能性を発揮できる企業です。,埼玉県さいたま市北区吉野町1-407-1,1948,41.0,165,145百万円,https://www.cashew.co.jp/,,
2024-07-01,株式会社メイト,金属・製綱・鉱業・非鉄金属メーカー,3,■事業概要：フェライト系磁石コンパウンド製造希土類系磁石コンパウンド製造高比重材、電磁波シールド材など各種複合材料コンパウンド製造成型支援,岡山県和気郡和気町佐伯526-3,1970,,114,95百万円,https://www.mate.co.jp/index.html,,
2024-06-01,内外化学製品株式会社,その他メーカー,3,■事業内容： ・水処理薬品の製造販売・水処理装置の設計・施工管理・水質分析■当社について：・1918年、当時の(内閣)鉄道院に国内で初めて蒸気機関車のボイラ用の清缶剤を販売して以来、一世紀に渡り、限りある資源水を見つめ、水を研き、水を活かす製品を開発販売してきました。今日では、あらゆる水処理の総合メーカーとしてお客様に安心を提供し続けています。【経営理念】1. 社員が活き活きと全力を発揮できる職場をめざす。2. 社員の創意工夫に基づく特色有る商品、サービスを提供する。3. 顧客の円滑な企業活動に寄与する事を通して社会に貢献する。,東京都品川区南大井5-12-2,1918,,120,20百万円,https://www.naigai-chem.co.jp,,
2024-07-01,コタ株式会社,化粧品メーカー,10,●美容室向け頭髪用化粧品、医薬部外品の製造・販売,京都府久世郡久御山町田井新荒見77番地,1979,34.5,385,3億8780万円,https://www.cota.co.jp/,プライム市場,代表取締役社長 小田 博英
2024-07-01,アサヒフーズ株式会社,食品・飲料メーカー（原料含む）,3,■事業内容： （１）チョコレート・デザート及び焼き菓子の企画・製造・販売L高価格帯のチョコレート（トリュフ、生チョコ等）、焼き菓子、カップデザート等（２）乳製品の企画・製造・販売L 洋菓子用ホイップクリーム、冷凍ホイップクリーム、調理用クリーム等◎主な販売先：洋菓子メーカー・食品メーカー・百貨店・大手菓子問屋 等,京都府久世郡久御山町下津屋北野1,1982,,147,95百万円,http://www.afoods.jp/,,
2024-08-01,石井食品株式会社,食品・飲料メーカー（原料含む）,5,食品の開発・製造・販売,千葉県船橋市本町2-7-17,1945,43.1,388,9億1960万円,https://www.ishiifood.co.jp/,スタンダード市場,代表取締役社長執行役員 石井 智康
2024-08-01,萩原工業株式会社,石油化学メーカー,1,■事業内容： ・ポリエチレン／ポリプロピレンを主原料とした合成樹脂繊維「フラットヤーン」を用いた関連製品・フラットヤーン技術を応用したスリッター等、産業機械の製造・販売,岡山県倉敷市水島中通1-4,1962,,479,"1,778百万円","Failed to retrieve page, status code: 410",,
2024-07-01,津田駒工業株式会社,繊維メーカー,2,■事業内容：繊維機械（エアジェットルーム、ウォータジェットルーム、レピアルーム、準備機械、自動化システム）開発製造・販売 工作機械関連機器（NC円テーブル、マシンバイス、ミーリングヘッド、スピンドル）開発製造・販売その他事業（鋳造事業、コンポジット機械（炭素繊維複合素材加工機）の開発製造・販売、航空機部品委託加工、生産用自動化システム構築事業）,石川県金沢市野町5-18-18,1939,,838,"121,316百万円",https://www.tsudakoma.co.jp/,スタンダード市場,
2024-06-01,オシキリ食品株式会社,食品・飲料メーカー（原料含む）,1,■事業内容：納豆･こんにゃく･白滝･ところ天･もやし・豆腐･油揚げの製造及び販売,北海道江別市工栄町5-7,1953,,258,55百万円,http://www.oshikiri-foods.jp/,,
2024-08-01,東北特殊鋼株式会社,金属・製綱・鉱業・非鉄金属メーカー,5,■特徴：・鉄鋼／金属学研究の世界的権威であった東北大学、本多光太郎博士の提言により、東北特殊鋼は誕生しました。創立80周年を迎える歴史の中で、東北大学および同金属材料研究所等との間に密接なパートナーシップを構築し、相互の研究交流のもと、多くの新合金／新技術を製品化してきました。その開発分野は自動車関連部品を中心に、精密機器、電子機器、OA機器、医療機器まで多岐にわたります。高級特殊鋼の専門メーカーとして顧客の信頼に応えるために、また特殊鋼のさらなる可能性を切り開くため、熱処理、表面処理、冷温間鍛造加工、精密加工を含めた総合エンジニアリング企業を目指しています。,宮城県柴田郡村田町大字村田字西ケ丘23,1937,40.4,371,827百万円,http://www.tohokusteel.com,スタンダード市場,
2024-07-01,三和油脂株式会社,食品・飲料メーカー（原料含む）,2,■事業内容：業務用油（こめ油）を中心とした食用油を製造しています。その他、こめ油の生成過程で産出される脱脂糠を有効活用したRBセミックス等の開発・製造や米糠を使った栄養補助食品の製造も行っています。,山形県天童市一日町4-1-2,1949,41.9,100,100百万円,http://sanwa-yushi.co.jp/,,
2024-07-01,昭和電気鋳鋼株式会社,金属・製綱・鉱業・非鉄金属メーカー,2,■事業内容：鋳鋼、普通鋳鋼、低合金鋼鋳鋼、ステンレス鋳鋼、耐熱鋳鋼,群馬県高崎市倉賀野町3250,1983,37.0,94,100百万円,http://www.showadenki-chuko.co.jp/index.html,,
2024-08-01,株式会社極洋,食品・飲料メーカー（原料含む）,10,■事業内容： 1937年設立。漁撈会社からスタートし、魚を中心とした総合食品企業グループへと成長してまいりました。安心・安全でおいしい商品をご提供し、消費者の皆様に満足と信頼を得られるよう日々努力を積み重ねております。当社グループは、水産事業には長年の経験を持っており、これまでも皆様に良質の商品をお届けしてきております。,東京都港区赤坂3-3-5,1937,40.8,704,"7,527百万円",https://www.kyokuyo.co.jp,プライム市場,
2024-08-01,三愛オブリ株式会社,石油化学メーカー,8,■事業内容当社は1952年に羽田空港における航空事業から創業した独立系の専門商社です。航空燃料取扱事業や石油、LPガス、化学品、天然ガスなど、 インフラ系の事業を中心に事業を拡大してきました。 強固な顧客基盤・財務基盤を強みとし、 幅広く、エネルギーやサービスを提供しております。,東京都品川区東大井5-22-5,1952,40.9,501,"10,127百万円",https://www.san-ai-obbli.com/,プライム市場,
2024-07-01,株式会社フローリック,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,1,■事業内容： ・コンクリート用化学混和剤、工業薬品の製造、販売,東京都豊島区東池袋1-10-1住友池袋駅前ビル5F,1964,,220,172百万円,https://www.flowric.co.jp/,,
2024-08-01,株式会社タバタ,スポーツ・アウトドア用品メーカー,7,■事業内容： ダイビング、マリン、スイミング、ゴルフ用品などの製造から販売まで手掛けるスポーツ・レジャー用品のメーカーです。企画・開発段階から製造・マーケティング・物流・アフターサービスに至るまで、自社一貫体制のモノづくりを行っています。,東京都墨田区東駒形1-3-17,1952,,208,100百万円,https://tabata.jp/,,
2024-08-01,JFEケミカル株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,1,～JFEスチール100％子会社／福利厚生充実で安定した就業環境～■事業内容：コールタールやコークス炉ガスなどを主原料とした化学製品の研究開発、製造、販売,東京都台東区蔵前2-17-4JFE蔵前ビル4F,2003,,596,"6,000百万円",http://www.jfe-chem.com/,,
2024-06-01,株式会社森田鉄工所,金属・製綱・鉱業・非鉄金属メーカー,1,■事業内容： ・上下水道、農水、治水、産業用の各種バルブ及び制水扉の製造と販売及び施工・製紙プラント用パルプクリーナーの製造と販売,埼玉県幸手市大字上吉羽2100-33,1943,,187,73百万円,https://morita-v.co.jp,,
2024-07-01,株式会社フコク,石油化学メーカー,12,■主な事業内容：ゴム製品の製造販売／金属・合成樹脂製品の製造販売／セラミックス・医療用具の製造販売／バイオ、医療関連製品の製造販売,埼玉県上尾市菅谷3-105,1953,42.1,1157,"1,395百万円",https://www.fukoku-rubber.co.jp/,プライム市場,
2024-08-01,越ヶ谷製氷冷蔵株式会社,食品・飲料メーカー（原料含む）,1,■会社概要：1960年設立、埼玉県に本社を置き、氷の製造、卸売り販売を行っております。■事業内容：・氷の製造及び卸小売販売・寄託物品の保管及び冷蔵保管,埼玉県越谷市平方999-4,1960,45.0,20,11百万円,http://www.king-ice.com/,,
2024-08-01,株式会社美山,食品・飲料メーカー（原料含む）,26,■事業内容： 国内トップクラスのシェアを誇る、キムチの自社生産、輸入販売事業を展開する食品メーカーです。「イチオシキムチ」「尹家自慢のキムチ」「好好キムチ」など豊富な製品ラインナップを揃えています。製品は大手スーパーなどで販売されており、多くのお客様に支持されています。時代のニーズを素早くキャッチアップし、自社製品の開発や本場韓国製品の輸入販売などにより、 強い美山ブランドを確立しています。■トレンド：健康食品ブームにより、国内マーケットが拡大し、波に乗る形で急成長を遂げています。売上の約8割を占める国内生産キムチを軸に、今後も更なるブランド力の強化を図っていきます。,千葉県船橋市葛飾町2-340フロントンビル6F,1980,35.0,105,10百万円,http://kimuchi-miyama.co.jp/,,
2024-08-01,クロスプラス株式会社,ファッション・アパレル・アクセサリーメーカー,4,■事業内容：衣料品・服飾雑貨全般の企画製造、専門店・店舗・EC等への卸売及び百貨店等での小売,愛知県名古屋市西区花の木3-9-13,1953,43.0,552,"1,944百万円",http://www.crossplus.co.jp/,スタンダード市場,
2024-07-01,ＴＯＴＯサニテクノ株式会社（ＴＯＴＯグループ）,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,1,衛生陶器の製造,大分県中津市大字是則700,1957,,1070,1億円,https://tst.jp.toto.com/,,代表取締役社長 山﨑 政男
2024-07-01,株式会社いかるが牛乳,食品・飲料メーカー（原料含む）,1,■事業内容： ・牛乳、加工乳、乳飲料、発酵乳、学校給食用牛乳などの製造販売、相手先ブランドによる製造■特徴：大阪市に本社を構える立地を活かして近畿圏内の小売点やスーパー、学校、給食会社、病院に販売しています。*牛乳の生産量：20万本/日(毎日10万人の学校生徒の方に飲んでいただいています)■企業方針：健康への使命感・開拓魂・初心忘れず■環境への取り組み：宅配で使用している瓶は、洗浄してくり返し利用できます。さらに、割れてしまったものや古くなった瓶も、溶かして新しい瓶に生まれかわることができます。環境に大変やさしい容器です。,大阪府大阪市住之江区新北島4-4-12,1950,41.0,104,92百万円,"Failed to retrieve page, status code: 410",,
2024-08-01,大阪富士工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,8,■事業内容：高炉メーカーの鉄鋼工程作業、特殊溶接・溶射、機械加工、スライシング加工 他,兵庫県尼崎市常光寺1-9-1,1955,41.0,2257,94百万円,http://www.ofic.co.jp,,
2024-08-01,合同インキ株式会社,機能性化学（有機・高分子）メーカー,4,■事業内容：各種印刷インキの開発・製造・販売、及び印刷関連商品の販売,大阪府八尾市北久宝寺2-2-45,1948,48.0,37,70百万円,http://www.godoink.co.jp/,,
