更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-08-01,株式会社ヤマモト,食品・飲料メーカー（原料含む）,2,■概要：国内でも有数の総合養鶏企業とて養鶏に関するスペシャリストとして事業展開を行っております。,京都府亀岡市保津町上火無66-2,1952,45,98百万円,,http://www.yamamoto-corp.jp/,,
2024-07-01,株式会社光製作所,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,4,■事業内容： コンクリー卜製品製造～多様なニーズに答えるコンクリート製品を製造しています～,京都府亀岡市旅籠町17,1973,101,10百万円,,http://www.hikariseisakusyo.net/index.html,,
2024-08-01,株式会社田村工機,製紙・パルプメーカー,1,■事業内容： 段ボール・紙器用抜型製造、販売関連資材・装置製造、販売段ボール・紙器製品企画、設計デザイン、販売 ■事業の特徴：ダンボール用抜型 製造・販売…私たちは創業以来一貫して、主たる事業である抜型製作に取り組んで参りました。より良いものを創るために、日々の試行錯誤は怠りません。材料販売…抜型製作に必要な材料や取引先の機械に取り付ける部品の販売も行っております。ダンボール製品企画/設計/デザイン…地域の企業様と手を組み、ダンボールを使って様々なものを設計・製作しております。,神奈川県川崎市高津区下作延5-38-8,1969,58,15百万円,37.0,http://www.tamurakoki.co.jp/,,
2024-07-01,高友繊維株式会社,ファッション・アパレル・アクセサリーメーカー,1,■事業内容： メンズソックス・レディースソックス・キッズソックスの製造販売。企画・提案力に強みを持つファブレスメーカーです。■事業詳細：アジアに提携工場を構えていて、そこで製品の製造を行っています。コストを抑えて製品を製造し、日本の大手優良アパレル企業名へ商品を卸していおり、現地採用した社員をアジアで駐在頂くことで、現場の品質管理・生産管理を徹底しております。,大阪府大阪市北区大淀南2-1-1,1925,35,15百万円,42.0,なし,,
2024-07-01,株式会社アクト,その他メーカー,4,■事業内容印刷技術を核とするサイン・マーキング事業■事業の特徴≪主な事業領域≫（1）車のマーキング（車のフルラッピング業務から、小さなステッカー作成等）トラック及び商用／乗用車両の面図をデザインVI管理し、製作スタッフがデザインの検証を行った上で最適なマーキングレイアウトを提供しています。（2）店舗・商空間のサイン・グラフィック（ディスプレイ／コルトン／ウィンドウ等）苛酷な条件下でその美観や機能を維持する広範囲のノウハウが求められる屋外のビジュアル、サイン類を得意としています。,神奈川県川崎市高津区久地3-15-3,1974,74,70百万円,42.0,https://www.act-com.net/,,
2024-08-01,株式会社サンフェステ,食品・飲料メーカー（原料含む）,3,■事業内容（1）酒類販売 （2）食品小売 （3）業務用卸 （4）飲食営業 （5）FC事業 （6）経営コンサルタント～業務スーパー、コメダ珈琲店、かつやのフランチャイズ店舗を経営し、出店スピードに強み。酒販店の展開や飲食店への卸売業のほか、自社で焼酎の製造販売～,京都府亀岡市東つつじケ丘都台1-12-1,1994,101,90百万円,40.4,http://www.sunfeste.co.jp/,,
2024-08-01,豊味食品株式会社,食品・飲料メーカー（原料含む）,3,■事業内容：・調味料、食品添加物の製造販売・オリジナル商品販売 ■同社の強み：（1）提案力…液体から粉体まで様々な製品を、小ロットからの製造にスピーディに対応します。充填容器・容量などのラインナップも豊富で、細かい点まで顧客の要望に対し、提案します。（2）開発力…和食、洋食、中華、ラーメンなどはもとよりデザートソースまで幅広い開発実績、ノウハウを構築しています。と同社独自の開発チームをもち、様々な資格（管理栄養士、栄養士）・経験を有しています。（3）品質力…ISO22000に基づく徹底した管理体制で品質の安全性の確保に目を光らせています。,京都府城陽市久世荒内183-1,1969,144,90百万円,42.0,https://houmi.co.jp,,
2024-08-01,中島工業株式会社,製紙・パルプメーカー,4,■事業内容：プラスチックフィルムに対するコーティング及び設計・開発最近では電気自動車における車載ディスプレイの需要増加により、ますます当社のフィルムの需要も高まっています。■取扱製品：（1）離型フィルム…電子機器用途等に悪影響を与えやすいシリコーンを使用しない離型フィルムです。※用途…衣料用途、電子部品用途、他（2）遮熱フィルム…熱線を吸収するナノ粒子を含む被膜を透明フィルム上に形成しています。これにより高い透明性を維持しながら熱線をカットします。※用途…住宅やビル等の窓貼り、自動車や電車・飛行機等の窓貼り、ビニールハウス（農業用）やテント等,京都府城陽市平川広田78-1,1977,180,80百万円,35.0,http://www.nakajima-ic.co.jp/,,
2024-08-01,京都精管株式会社,金属・製綱・鉱業・非鉄金属メーカー,2,■事業概要：シームレス・ステンレスパイプ（冷間引抜継目無精密鋼管）製造加工メーカー油圧機器（建機等のバルブに使用）・空圧機器（電車・バス等自動ドアなどのバルブに使用）及び自動車関連等が主要用途に使われており、高精度引き抜き技術の開発により、当社ステンレスをベースとした総合的なパイプメーカーとして、ユーザーからの厚い期待を集めています。■主要製品品目：・冷間引抜継目無精密鋼管・ステンレスシリンダチューブ・油圧・空圧用ソレノイドガイドパイプ・ブルドン管用ステンレスチューブ・航空機・半導体・産業機器用ステンレスパイプ,京都府城陽市市辺西川原83-1,1976,30,10百万円,,https://kyotoseikan.jp/,,
2024-08-01,パネフリ工業株式会社,住宅設備・建材メーカー,11,"■概要：プラスチックを主とした家具部材・建材・住宅内装部材の製造・販売/園芸・菌体事業■詳細：主に家具などの断面を化粧するためにつかわれているエッジバンドの製造、販売を行っております。自社ブランド製品の品揃えでは競合他社の追随を許さず、木目調から金・銀色の金属感まで、その数は大よそ1,000種類。各々のバリエイションまで含めれば、業界内で群を抜く種類を所持しています。製造は三重県に３拠点ある工場にて行っており、主にハウスメーカー、システムキッチンメーカー、家具メーカーに対して販売をしています。グループ会社にジャパンクラフト株式会社という販売会社もございます。",京都府長岡京市一里塚2-11,1979,181,34百万円,45.0,http://www.edgeband.com/,,
2024-07-01,株式会社コーヨ化学研究所,試薬メーカー・受託合成・受託分析,1,■事業内容：有機・無機化合物（有機染料、感光色素、界面活性剤、医薬品中間体、試薬を含む）の受託研究開発、製造及び精製■当社の特徴：・1968年の創業以降、50年以上に渡り数多くの実績と信頼を積み重ねています。化学に精通したプロフェッショナル集団として、様々なニーズに対応しています。・社員の75％が製造経験者であり、高い製造技術を保有。長年培った製造ノウハウ、形式知化された高度な製造手法等を武器にお客様に提供しています。・先端電子材料や各種薬品など高い品質を求められる分野で数多くの大手企業と直接取引し、評価されています。,京都府長岡京市勝竜寺六ノ坪7-6,1981,40,20百万円,,http://www.ko-yochem.co.jp/,,
2024-08-01,株式会社玉井,家具・インテリア・生活雑貨メーカー,15,■事業内容： 寝具小売業、寝具卸売業■同社について： 当社は創業当初より寝具専門店として商いを始め、2017年で早や56周年。その間、多くのお客様に「ありがとう」のお言葉を頂いてきました。「良く眠れる。」「不調だった身体が良くなった、こんないい商品があったんだね。」寝具専門店として、とても有り難いお言葉です。私たちはこれからも、ずっとずっとお客様に喜ばれる会社でありたいと思います。,神奈川県川崎市麻生区高石4-21-27,2000,93,10百万円,,http://www.sleepsquare.jp/,,
2024-08-01,株式会社小北商店,食品・飲料メーカー（原料含む）,2,■事業内容： 1．各種飼料販売業2．鶏卵・鶏肉販売業3．飲食店経営4．食品の卸業5．全各号に付帯する一切の業務,京都府八幡市下奈良小宮10,1952,177,10百万円,,https://job-gear.jp/kogitamago/,,
2024-08-01,株式会社ニッキーフーズ,食品・飲料メーカー（原料含む）,5,■事業内容： 麺類、惣菜類の製造及び販売（冷凍麺類、冷凍食品、惣菜等の食品全般）,大阪府大阪市淀川区西中島4-1-1,1965,111,60百万円,44.0,https://nickyfoods.co.jp/,,
2024-06-01,石川包材産業株式会社,製紙・パルプメーカー,1,■事業内容：・食品業界への包装資材・包装機器の販売・レジスター・ラベルプリンター付き計量器等のOA機器の販売と保守・環境関連機器の販売・店舗用品・POP用品等の販売,愛知県岡崎市伊賀新町35-15,1974,30,10百万円,35.0,http://www.3p3.co.jp,,
2024-07-01,大同化成工業株式会社,機能性化学（有機・高分子）メーカー,1,■事業内容：・塗料用樹脂、接着剤、粘着剤、コーティング材の製造及び販売・医薬及び化粧品用添加剤、原料の製造及び販売・成形品（射出、押出）の製造及び販売,大阪府大阪市西淀川区竹島4-4-28,1940,110,210百万円,42.2,http://www.daido-chem.co.jp/,,
2024-08-01,株式会社山崎シヤーリング,金属・製綱・鉱業・非鉄金属メーカー,3,◆事業内容：・厚板鋼材の切断・加工・販売,大阪府大阪市西淀川区中島2-8-1,1967,65,88百万円,42.8,http://yamasaki-ys.co.jp/,,
2024-08-01,ヤヱガキ酒造株式会社,食品・飲料メーカー（原料含む）,1,■事業内容： 清酒販売（自社醸造酒）,兵庫県姫路市林田町六九谷681,1963,58,30百万円,45.0,"Failed to retrieve page, status code: 410",,
