更新日,名称,業界(小分類),求人有無,事業内容,所在地,従業員数,資本金,設立,平均年齢,企業URL,代表者,上場市場名
2024-08-01,ハルナプロデュース株式会社,食品・飲料メーカー（原料含む）,11,■事業内容： 商品企画開発・営業・ハルナブランド・貿易・購買・生産・SCM・物流・情報・研究開発,群馬県高崎市足門町39-1,465,40百万円,,,http://harunabev.co.jp/,,
2024-08-01,富士山の銘水株式会社,食品・飲料メーカー（原料含む）,3,■事業内容：富士山の麓標高1000m（開発限界地域）から採水される、新鮮で貴重なバナジウム入りの天然水を、ウォーターサーバーにて家庭に宅配する事業を展開しています。 HOD（ホームアンドオフィスデリバリー）と呼ばれるこの業態は、従来ボトルを使った配送・回収が必要な2Way方式が主流でしたが、同社ではウォーターパックを採用することで1Way方式を実現。全国（一部地域を除く）の顧客にスピーディに最高品質のナチュラルミネラルウォーターを届けています。,山梨県富士吉田市上吉田4961-1,350,100百万円,2010,,http://fuji-meisui.co.jp/,,
2024-06-01,株式会社共同スチール,金属・製綱・鉱業・非鉄金属メーカー,1,■事業内容： 金属・軽量鉄骨の製造■特徴：ＣＮＣビームワーカーの導入により、精度の高い商品を安定供給し、各ＦＡＢ（鉄工所）の要望にかなりの範囲で応えられています。Ｃ形鋼・Ｌ形鋼・溝形鋼等を加工。主に母屋・胴縁の加工。■創業理念：「自利利他」を実践できる会社を目指します。,秋田県秋田市土崎港相染町字浜ナシ山113-1,14,2百万円,2003,,なし,,
2024-07-01,北海道新進アグリフーズ株式会社,食品・飲料メーカー（原料含む）,1,■事業内容：ポテト等の野菜チルド製品製造、冷凍食品製造,北海道函館市港町2-13-6,159,10百万円,1990,,なし,,
2024-08-01,木幡興業株式会社,金属・製綱・鉱業・非鉄金属メーカー,3,■事業内容： ・再生重油製造、販売・産業廃棄物収集、運搬、処理・工業用薬品販売・オート事業 等,埼玉県三郷市早稲田2-13-3,110,15百万円,1981,,https://kowatakogyo.jp/,,
2024-08-01,株式会社日榮,金属・製綱・鉱業・非鉄金属メーカー,1,＜企業の特徴＞・当社は産業廃棄物収集運搬および中間処理、砂利採取生産販売、建造物解体等を生業にしている。・当社は都内・神奈川・埼玉の中間処理業者が分別できない産業廃棄物を収集運搬し、当施設内で改めて再利用可能な資源とそうでないものを「分別」し、破砕機や圧縮機、溶融機等により減量化後に、有害物質が溶け出さない状態にする中間処理行っている。・具体的には、受入れた産業廃棄物は関東で展開する産業廃棄物処分業を手掛ける業者の中でも、他社にない独自の大型プラントを使用して改めて「分別」、90％再生可能で10%が仙台市の管理型最終処分場に搬出できることから、同業中間処理業者からのニーズは高い。,栃木県那須塩原市共墾社1-2-21,50,13百万円,1967,58.0,http://nichiei-eco.com,,
2024-07-01,株式会社ＹＡＭＡＧＩＷＡ,家具・インテリア・生活雑貨メーカー,7,■事業内容： (1)照明器具の企画、開発、製造、販売 (2)照明・インテリア計画の実施 (3)照明・家具の輸入、販売,東京都港区芝3-16-13,134,100百万円,2011,,http://www.yamagiwa.co.jp/,,
2024-07-01,株式会社レスタス,文房具・事務・オフィス用品メーカー,2,■technologyと独自のマーケティング理論を用いて、オーダーメイド商品を制作、販売するECサイトを企画・開発・運営■各種紙販促商品印刷販売■名入れカレンダー製作所、名入れタオル製作所、オリジナルうちわ製作所、年賀状印刷製作所、お名前シール製作所の運営,大阪府大阪市北区中之島3丁目2-18 住友中之島ビル4階,,1000万円,2011,33.0,https://corp.lestas.jp/,代表取締役 大脇 晋,
2024-07-01,株式会社ニッケンエンジ,石油化学メーカー,1,■事業内容：当社は、1993年(平成5年)4月の創業以来、鹿島東部ｺﾝﾋﾞﾅｰﾄを中心に石油化学プラント・鋼構造物･機械設備類の非破壊検査を通じて、社会資本の安全管理に貢献してきました。今日の厳しい経済情勢の中、当社は、非破壊検査の品質向上とお客様から更なる信頼を得るため、2009年2月、ISO9001・品質マネジメントシステムの認証を取得しました。 今後もより一層、石油化学工業・プラント建設業界の品質管理に寄与し人と地域の安全のためにその一翼を担って参ります。,茨城県神栖市知手中央3-8-16,21,10百万円,1993,35.0,http://www.nikken-eng.jp/,,
2024-08-01,株式会社チヨダパック,石油化学メーカー,5,■事業内容プラスチック容器の製造・販売■経営理念社会が必要とするオンリーワン企業を目指す■基本理念１．私たちは仕事を通じ心身（魂）を磨き人に優しく、地球・環境に優しい企業・人間になる為成長し続けます。２．私たちはプラスチック容器製造のプロとして最先端のパッケージを研究開発し、提案し続けます。３．私たちはオンリーワン企業を目指し、スキル向上に研鑽し続けます。■社訓・顧客の幸せなくして社員の幸せなし・社員の幸せなくして企業なし・企業の幸せなくして社会貢献なし,広島県山県郡北広島町木次307,,16百万円,1992,,https://c-pack.jp/,,
