更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,事業内容,上場市場名
2024-08-01,日本プラスチック工業株式会社,石油化学メーカー,求人なし,愛知県小牧市大字東田中100-1,1952,代表取締役 蓮井 斉,139,175 百万円,,,,
2024-08-01,日本パリソン株式会社,石油化学メーカー,求人なし,茨城県猿島郡境町大字下小橋880,1997,代表取締役 稲本 弘希,139,"1,530 百万円",,,,
2024-08-01,株式会社ヤマヨテクスタイル,繊維メーカー,求人なし,和歌山県西牟婁郡上富田町岩田2878-1,1970,代表取締役 山下 郁夫,138,50 百万円,,,,
2024-08-01,大木製薬株式会社,ナノテク・バイオメーカー,無,東京都千代田区神田鍛冶町3-3大木ビル 7Ｆ,1970,代表取締役 松井 秀正,138,90 百万円,,,■医薬品、医療機器、医薬部外品、化粧品、健康食品、コンタクトレンズケア用品および衛生用 品、日用品、雑品の製造ならびに販売■医薬品の輸出入■医薬品、医薬部外品、化粧品、健康食品、コンタクトレンズケア用品の受託生産 2024年4月doda掲載求人より引用,
2024-08-01,コイケ酸商株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,東京都台東区日本堤2丁目20番15号,1959,代表取締役社長 大久保 義孝,190,1億円,,,■医療用ガス販売■高圧ガス製造・販売■産業用機械装置■LPG販売業 ■溶接機器・溶接材料販売■機器レンタル業 ■配管工事業,
2024-08-01,イハラニッケイ化学工業株式会社,総合化学メーカー,求人なし,静岡県静岡市清水区蒲原5700-1,1979,代表取締役 松永 勝之,137,780 百万円,,,,
2024-08-01,株式会社アジュバンホールディングス,化粧品メーカー,無,兵庫県神戸市中央区下山手通5-5-5,1990,代表取締役会長兼社長 中村 豊,137,776 百万円,39.5,,,スタンダード
2024-08-01,スイコー株式会社,石油化学メーカー,求人なし,兵庫県尼崎市西向島町86,1963,代表取締役 横山 俊介,137,48 百万円,,,,
2024-08-01,ケイ・アイ化成株式会社,石油化学メーカー,求人なし,静岡県磐田市塩新田328,1975,代表取締役 柴田 卓,137,600 百万円,,,,
2024-08-01,株式会社武蔵野化学研究所,機能性化学（有機・高分子）メーカー,求人なし,東京都千代田区丸の内1-8-2鉄鋼ビルディング 5Ｆ,1949,代表取締役 砂原 三利,135,237 百万円,,,,
2024-08-01,ＡＧＣエスアイテック株式会社,機能性化学（有機・高分子）メーカー,求人なし,福岡県北九州市若松区北湊町13-1,1948,代表取締役 古川 孝則,135,300 百万円,,,,
2024-08-01,九州メタル産業株式会社,その他メーカー,求人なし,福岡県北九州市小倉北区西港町62-4,1972,代表取締役 庄崎 秀昭,135,100 百万円,,,,
2024-08-01,東邦樹脂工業株式会社,石油化学メーカー,無,栃木県下都賀郡野木町大字野木148,1960,代表取締役 田村 敏明,135,100 百万円,,,,
2024-08-01,富士化学株式会社,その他メーカー,求人なし,大阪府大阪市都島区東野田町3-2-33,1948,代表取締役 河本 嘉信,135,80 百万円,,,,
2024-08-01,明鋼材株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,愛知県名古屋市中川区八熊1-11-15,1960,代表取締役 片岡 誠,135,200 百万円,,,,
2024-08-01,株式会社ジュニアー,繊維メーカー,求人なし,愛知県名古屋市中村区黄金通5-28,1961,代表取締役 近藤 直史,135,100 百万円,,,,
2024-08-01,アイワイフーズ株式会社,食品・飲料メーカー（原料含む）,求人なし,埼玉県加須市豊野台2-717-8,1964,代表取締役 惠本 芳尚,134,75 百万円,,,,
2024-08-01,北日本電線サービス株式会社,その他メーカー,求人なし,宮城県角田市君萱字仏供田99,1978,代表取締役 佐藤 正文,133,10 百万円,,,,
2024-08-01,ＳＵＭＣＯテクノロジー株式会社,その他メーカー,求人なし,千葉県野田市西三ケ尾314三菱マテリアルシリコン内,1994,代表取締役 池澤 一浩,133,12 百万円,,,,
2024-08-01,クロダルマ株式会社,ファッション・アパレル・アクセサリーメーカー,求人なし,広島県府中市中須町691,1950,代表取締役 平 慶一郎,131,100 百万円,,,,
2024-08-01,東日本ダントータイル株式会社,住宅設備・建材メーカー,無,東京都中央区日本橋浜町3-7-2,1969,代表取締役 吉田 薫,131,60 百万円,,,,
2024-08-01,日本ソーイング株式会社,ファッション・アパレル・アクセサリーメーカー,求人なし,東京都中央区湊2-4-1ＴＯＭＡＣビル 5Ｆ,1972,代表取締役 高見 光,131,100 百万円,,,,
2024-08-01,株式会社ＭＩＥコーポレーション,金属・製綱・鉱業・非鉄金属メーカー,求人なし,三重県桑名市大字星川1001,2008,代表取締役社長 中山 弥一,131,500 百万円,39.2,,,地方上場
2024-08-01,株式会社秀光,その他メーカー,求人なし,神奈川県川崎市幸区堀川町580ソリッドスクエア東館 5Ｆ,1947,代表取締役 佐久間 悠太,130,100 百万円,,,,
2024-08-01,ミナベ化工株式会社,石油化学メーカー,求人なし,和歌山県日高郡みなべ町気佐藤173-1,1969,代表取締役 藤井 達夫,130,300 百万円,,,,
