更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,高洋電機株式会社,その他メーカー,求人なし,山形県山形市長苗代55,1975,代表取締役 髙橋 章洋,20 百万円,,,,,
2024-08-01,株式会社卯月製麺,食品・飲料メーカー（原料含む）,求人なし,山形県寒河江市中央工業団地164,1978,代表取締役 卯月 亮,50 百万円,,,,,
2024-08-01,株式会社山形県食肉公社,食品・飲料メーカー（原料含む）,求人なし,山形県山形市大字中野字的場936,1979,代表取締役 金澤 淳一,"1,682 百万円",,,,,
2024-08-01,北日本音響株式会社,その他メーカー,求人なし,山形県酒田市東両羽町3-8,1977,代表取締役 丸山 英明,20 百万円,,,,,
2024-08-01,株式会社東北機械製作所,金属・製綱・鉱業・非鉄金属メーカー,求人なし,秋田県秋田市茨島1-2-3,1938,代表取締役 中島 信勝,55 百万円,,,,,
2024-08-01,日本ボーチフレーバー株式会社,食品・飲料メーカー（原料含む）,求人なし,栃木県宇都宮市瑞穂3-1-1,1962,代表取締役 齋藤貞大,10 百万円,,,,,
2024-08-01,那須製紙株式会社,製紙・パルプメーカー,求人なし,栃木県那須塩原市一区町200,1952,代表取締役 城田 和郎,50 百万円,,,,,
2024-08-01,株式会社波里,食品・飲料メーカー（原料含む）,求人なし,栃木県佐野市村上町903,1973,代表取締役 藤波 一博,48 百万円,,,,,
2024-08-01,株式会社藤坂,その他メーカー,求人なし,栃木県佐野市中町1532,1973,代表取締役 古川 恒光,90 百万円,,,,,
2024-08-01,栃木カネカ株式会社,石油化学メーカー,求人なし,栃木県真岡市鬼怒ケ丘14,1974,代表取締役 野澤 秀至,400 百万円,,,,,
2024-08-01,平石化成品工業株式会社,機能性化学（有機・高分子）メーカー,求人なし,栃木県宇都宮市瑞穂3-4-7,1965,代表取締役 平石 公文,14 百万円,,,,,
2024-08-01,栃木乳業株式会社,食品・飲料メーカー（原料含む）,求人なし,栃木県栃木市大平町川連432,1963,代表取締役 松倉 敬士,32 百万円,,,,,
2024-08-01,株式会社石田製作所,その他メーカー,求人なし,群馬県桐生市広沢町1-2588,1948,代表取締役 石田 匡慶,30 百万円,,,,,
2024-08-01,デンカエラストリューション株式会社,その他メーカー,求人なし,群馬県高崎市小八木町306,1963,代表取締役 道盛 徹,30 百万円,,,,,
2024-08-01,株式会社タカハシ乳業,食品・飲料メーカー（原料含む）,求人なし,群馬県前橋市総社町高井49,1963,代表取締役 米田 政弘,31 百万円,,,,,
2024-08-01,マチダコーポレーション株式会社,その他メーカー,求人なし,群馬県前橋市天川原町2-41-12Ｆ,1962,代表取締役 町田 憲昭,33 百万円,,,,,
2024-08-01,マック食品株式会社,食品・飲料メーカー（原料含む）,求人なし,群馬県前橋市力丸町488-1,1975,代表取締役 前原 章宏,94 百万円,,,,,
2024-08-01,東洋硝子株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,群馬県太田市清原町6-2,1964,代表取締役 西田 和生,50 百万円,,,,,
2024-08-01,ひがの製菓株式会社,食品・飲料メーカー（原料含む）,求人なし,茨城県筑西市蓮沼1535-18,1951,代表取締役 日向野 博,18 百万円,,,,,
2024-08-01,ミヤト製菓株式会社,食品・飲料メーカー（原料含む）,求人なし,茨城県古河市下片田841,1965,代表取締役 宮戸 和昭,80 百万円,,,,,
2024-08-01,明利酒類株式会社,食品・飲料メーカー（原料含む）,求人なし,茨城県水戸市元吉田町338,1950,代表取締役 加藤 多彦,96 百万円,,,,,
2024-08-01,草苅木工株式会社,家具・インテリア・生活雑貨メーカー,求人なし,茨城県つくば市赤塚442-1,1971,代表取締役 草苅 宏明,23 百万円,,,,,
2024-08-01,株式会社前島工業所,金属・製綱・鉱業・非鉄金属メーカー,求人なし,茨城県かすみがうら市西成井2560-21,1971,代表取締役 前島 一至,20 百万円,,,,,
2024-08-01,株式会社全農ハイパック,食品・飲料メーカー（原料含む）,求人なし,茨城県常総市内守谷町4365-1,1975,代表取締役 本間 光敏,100 百万円,,,,,
2024-08-01,ライオンケミカル株式会社,機能性化学（有機・高分子）メーカー,求人なし,東京都台東区蔵前1-3-28,1982,代表取締役 岡本 貴弘,"7,800 百万円",,,,,
2024-08-01,株式会社レゾナック・テクノサービス,石油化学メーカー,求人なし,茨城県日立市東町4-13-1,1982,代表取締役 矢吹 孝朗,140 百万円,,,,,
2024-08-01,株式会社エイ・アイ・エス,文房具・事務・オフィス用品メーカー,求人なし,茨城県古河市小堤1881-2,1993,代表取締役 岩本 仁志,20 百万円,,,,,
2024-08-01,イセデリカ株式会社,食品・飲料メーカー（原料含む）,求人なし,茨城県龍ケ崎市馴馬町5167-1,1997,代表取締役 榎並 高志,10 百万円,,,,,
2024-08-01,株式会社内田化工,製紙・パルプメーカー,求人なし,茨城県小美玉市堅倉1579-4,1995,代表取締役 内田 尚武,11 百万円,,,,,
2024-08-01,株式会社リバティーフーズ,食品・飲料メーカー（原料含む）,求人なし,茨城県常総市古間木722-1,1995,代表取締役 鳥山 雅庸,60 百万円,,,,,
2024-08-01,アトミクス株式会社,総合化学メーカー,無,東京都板橋区舟渡3-9-6,1948,代表取締役社長 宮里 勝之,"1,040 百万円",,,,■道路用・床用・屋根用複合防水材など各種塗料の製造および販売■道路用塗料施工機械の設計および販売■交通安全施設維持管理システムの開発および販売 2024年3月doda掲載求人より引用,スタンダード
2024-08-01,味の浜藤株式会社,食品・飲料メーカー（原料含む）,求人なし,東京都江東区東雲2-12-4,1950,代表取締役 森口 江美子,50 百万円,,,,,
2024-08-01,旭コンクリート工業株式会社,住宅設備・建材メーカー,求人なし,東京都中央区築地1-8-2,1923,代表取締役社長 狩野 堅太郎,"1,204 百万円",,,,,スタンダード
2024-08-01,アサヒグループホールディングス株式会社,食品・飲料メーカー（原料含む）,求人なし,東京都墨田区吾妻橋1-23-1アサヒグループ本社ビル,1949,代表取締役社長 兼 ＣＥＯ 勝木 敦志,"220,216 百万円",,,,,プライム
