更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,上場市場名,事業内容
2024-08-01,有限会社パール金属,その他メーカー,求人なし,愛知県名古屋市瑞穂区大喜新町2-28,1973,代表取締役 堀口 武人,10 百万円,,,,,
2024-08-01,ニチフリ食品株式会社,食品・飲料メーカー（原料含む）,求人なし,静岡県静岡市清水区蒲原5190-2,1960,代表取締役社長 野村 恵理子（塩坂恵理子,21 百万円,,,,,
2024-08-01,花王製紙富士株式会社,製紙・パルプメーカー,求人なし,静岡県富士市南松野2329,1969,代表取締役 萬條司,100 百万円,,,,,
2024-08-01,サカイ産業株式会社,繊維メーカー,求人なし,静岡県島田市細島1349-1,1955,代表取締役 酒井 昌浩,20 百万円,,,,,
2024-08-01,河田製帽株式会社,ファッション・アパレル・アクセサリーメーカー,求人なし,岐阜県岐阜市美園町2-1,1973,代表取締役 河田 尚明,10 百万円,,,,,
2024-08-01,艶榮工業株式会社,繊維メーカー,求人なし,愛知県蒲郡市宝町2-29,1948,代表取締役 嶋田 義男,20 百万円,,,,,
2024-08-01,ハリマ化成グループ株式会社,石油化学メーカー,求人なし,東京都中央区日本橋3-8-4日本橋さくら通りビル 5Ｆ,1947,代表取締役社長 長谷川 吉弘,"10,012 百万円",,,,プライム,
2024-08-01,富山製紙株式会社,製紙・パルプメーカー,求人なし,富山県富山市下新西町3-14,1948,代表取締役 寺﨑 敏治,100 百万円,,,,,
2024-08-01,有田食品株式会社,食品・飲料メーカー（原料含む）,無,和歌山県有田市箕島743,1971,代表取締役 永井大善,40 百万円,,,,,
2024-08-01,ソックコウベ株式会社,繊維メーカー,求人なし,兵庫県神戸市東灘区向洋町中6-9神戸ファッションマート 5Ｆ,1991,代表取締役 日ノ本 欽也,50 百万円,,,,,
2024-08-01,カーツ株式会社,その他メーカー,求人なし,岡山県岡山市東区西大寺五明387-1,1979,代表取締役 勝矢 雅一,100 百万円,,,,,
2024-08-01,中山石灰工業株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,岡山県真庭市宮地2252,1959,代表取締役 中山 尚啓,30 百万円,,,,,
2024-08-01,株式会社水内ゴム,その他メーカー,求人なし,岡山県岡山市中区下461,1963,代表取締役 水内 雄一,20 百万円,,,,,
2024-08-01,株式会社高木牧場,食品・飲料メーカー（原料含む）,求人なし,滋賀県近江八幡市宮内町35,1970,代表取締役 髙木 潔,10 百万円,,,,,
2024-08-01,平喜酒造株式会社,食品・飲料メーカー（原料含む）,求人なし,岡山県浅口市鴨方町鴨方1283,1960,代表取締役 戸塚 堅二郎,27 百万円,,,,,
2024-08-01,オタライト株式会社,石油化学メーカー,求人なし,福岡県春日市桜ヶ丘7-79,1939,代表取締役 梅野 千秋,180 百万円,,,,,
2024-08-01,丸大大金畜産株式会社,食品・飲料メーカー（原料含む）,無,北海道札幌市中央区北四条西11-3,1950,代表取締役 大金 弘武,38 百万円,,,,,
2024-08-01,サンダイヤ株式会社,食品・飲料メーカー（原料含む）,無,東京都中央区日本橋浜町1-1-12プラザＡＮＳビル 8Ｆ,1954,代表取締役 木村 徹,90 百万円,,,,,【主な取扱い製品】・食品添加物・香料および染料・医薬品、工業薬品、医薬部外品および医療機器・酒類■上記各製品の製造、販売および輸出入■食品の加工、販売および輸出入■食品製造施設の衛生管理に関する助言、指導および評価 など 2024年2月doda掲載求人より引用
2024-08-01,札幌電鉄工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,北海道札幌市西区発寒十三条13-1-10,1976,代表取締役 川合 信正,97 百万円,,,,,
2024-08-01,くみあい乳業株式会社,食品・飲料メーカー（原料含む）,求人なし,北海道旭川市永山北二条10-1-6,1980,代表取締役 池浦 二郎,200 百万円,,,,,
2024-08-01,株式会社六花亭,食品・飲料メーカー（原料含む）,求人なし,北海道帯広市西二十四条北1-3-19,1975,代表取締役 小田 文英,42 百万円,,,,,
2024-08-01,山形化成工業株式会社,石油化学メーカー,求人なし,山形県西村山郡河北町谷地字真木160-3,1966,代表取締役 後藤 拓也,24 百万円,,,,,
2024-08-01,レンソール株式会社,石油化学メーカー,求人なし,新潟県見附市今町7-3-19,1984,代表取締役 中村 博也,181 百万円,,,,,
2024-08-01,オグラ金属株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,栃木県足利市川崎町1310足利東部工業団地内,1969,代表取締役 小倉勝興,99 百万円,,,,,
2024-08-01,株式会社内田商会,製紙・パルプメーカー,求人なし,茨城県土浦市中央2-6-4,1949,代表取締役 内田 典宏,10 百万円,,,,,
2024-08-01,菊地工業株式会社,その他メーカー,求人なし,静岡県榛原郡吉田町住吉3315,1950,代表取締役 菊地 洋太郎,80 百万円,,,,,
2024-08-01,株式会社信明産業,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,東京都大田区平和島6-1-1東京流通センタービル 531,1966,代表取締役 岡山 信之,30 百万円,,,,,
2024-08-01,大平洋金属株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,東京都千代田区大手町1-6-1大手町ビルヂング 5Ｆ,1949,代表取締役社長 青山 正幸,"13,922 百万円",,,,プライム,
