更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,従業員数,資本金,平均年齢,企業URL,代表者
2024-08-01,パーソルホールディングス株式会社,人材紹介・職業紹介,78,■同社について：＜事業内容＞「はたらいて、笑おう。」というグループビジョンの下、人材サービスを中心に幅広いサービスを提供しているパーソルグループ。同社はそのホールディングスとして約140社のグループ会社における経営計画・管理並びにそれに付帯する業務を行っています。具体的にはグループ全体の人事、財務、IT、経営戦略、広報、法務、監査、営業、総務FMなどを担っています。,東京都渋谷区代々木2-1-1,2008,プライム市場,60675,"17,479百万円",,https://www.persol-group.co.jp/index.html?from_gn,
2024-08-01,ＵＴグループ株式会社,技術系アウトソーシング（特定技術者派遣）,64,■事業概要：製造・設計開発・建設分野等の無期雇用派遣事業■事業詳細：小資源国・日本において最大の資源とは「人」です。同社のミッションとは、その人財が最も輝ける場を提供することで「はたらく力で、イキイキをつくる」ことです。そのために同社は、人と企業のベスト・マッチングを図ることで、すべての働く人にチャレンジの機会と成長の環境を提供します。,東京都品川区東五反田1-11-15電波ビル6F,2007,プライム市場,38527,680百万円,,https://www.ut-g.co.jp/,
2024-08-01,テクノプロ・ホールディングス株式会社,技術系アウトソーシング（特定技術者派遣）,5,～技術系人材サービス企業として国内最大規模のテクノプロ・グループ～■事業内容・機械、電気・電子、組込制御、ITインフラ、ソフト開発・保守、化学、生化学、建築施工管理など幅広い技術領域でワンストップソリューションを提供しています。・技術ソリューションを提供する株式会社テクノプロと株式会社テクノプロ・コンストラクションはプロジェクト規模や工程、作業内容、納期、作業環境といったお客様のご要望を総合的に検討した上で技術者派遣、受託・請負、海外オフショアなど最適なソリューションをご提案しています。,東京都港区六本木6-10-1六本木ヒルズ森タワー35F,2012,プライム市場,257,"6,929百万円",44.0,https://www.technoproholdings.com/,
2024-08-01,日研トータルソーシング株式会社,技術系アウトソーシング（特定技術者派遣）,99+,■事業概要：人材派遣事業、業務請負事業、人材紹介事業■事業詳細：エンジニア派遣、製造派遣、製造アウトソーシング、人材紹介、紹介予定派遣等の、総合人材サービス。メーカーなどとパートナー企業としての関係を築きながら高い技術力を提供し、相互にメリットを享受して成長を続けています。,東京都大田区西蒲田7-23-3日研第一ビル,1981,,23000,50百万円,29.3,"Failed to retrieve page, status code: 410",
2024-08-01,株式会社アウトソーシング,人材派遣,11,■事業内容：・国内技術系アウトソーシング事業・国内製造系アウトソーシング事業・国内サービス系アウトソーシング事業・海外技術系事業・海外製造系及びサービス系事業・労働者派遣事業（許可番号…派13-305267）、有料職業紹介事業（許可番号…13-ユ-305783）,東京都千代田区丸の内1-8-3丸の内トラストタワー本館5F,1997,,126543,"25,293百万円",39.0,https://www.outsourcing.co.jp/,
2024-08-01,株式会社テクノプロ,技術系アウトソーシング（特定技術者派遣）,99+,"■事業内容：正社員として雇用する20,000人を越える技術者・研究者を擁する独立系技術人材サービス企業であり、テクノプロ・ホールディングス（東京証券取引所[プライム市場]上場）の中核企業です。およそ2,000社にものぼる国内外の大手企業、大学、研究機関等の顧客に対し、機械、電気、電子、情報システム、化学、医薬、バイオ、エネルギー、プラントエンジニアリング等さまざまな分野での技術開発、研究開発へ、様々な形で技術を提供しています。",東京都港区六本木6-10-1六本木ヒルズ森タワー35F,1997,,22108,101百万円,35.4,http://www.technopro.com/,
2024-08-01,株式会社ワールドインテック,技術系アウトソーシング（特定技術者派遣）,99+,上場企業を主体とする研究開発、情報、技術、製造分野の総合コンサルティング、人事コンサルティングおよびアウトソーシング■事業内容：○ファクトリー事業（製造分野の請負および派遣事業）○テクノ・SI事業（生産技術・設計開発の請負および派遣事業）○Ｒ＆Ｄ事業（研究開発・臨床開発分野の派遣事業）○リペア事業（修理サービスの請負および派遣事業）○購買事業（半導体関連の部品・部材調達事業）○行政受託事業（産学官連携による共同人材育成・就職支援事業）○パークマネジメント事業（農業公園等の運営管理）○アライアンス事業,福岡県北九州市小倉北区大手町11-2,2014,,17482,450百万円,35.0,https://www.witc.co.jp/,
2024-08-01,ＵＴエイム株式会社,アウトソーシング,20,【プライム上場グループ】■製造業を中心とする人材派遣・請負事業、外国人受入れ支援事業■人材派遣：製造オペレーター、製造設備エンジニア、半導体テストエンジニア■業務請負：製造工程全般、製造設備保全、半導体テスト■外国人受入れ支援：東南アジアを中心とする技能実習生及び特定技能者の受入れ支援・監理代行,東京都品川区東五反田1-11-15 電波ビル6階,1995,,14302,5億円,37.0,https://www.ut-g.co.jp/ut-aim/corporate/history/,代表取締役社長 外村 学
2024-07-01,株式会社パソナグループ,アウトソーシング,1,■エキスパートサービス(人材派遣)■BPOサービス(委託・請負)■HRコンサルティング■教育・研修■グローバルソーシング(海外人材サービス)■キャリアソリューション(人材紹介、キャリア支援)■アウトソーシング■ライフソリューション■地方創生ソリューション,東京都港区南青山3-1-30 PASONA SQUARE,1976,プライム市場,2,50億円,,https://www.pasonagroup.co.jp/,代表取締役グループ代表 南部 靖之
2024-08-01,株式会社メイテック,技術系アウトソーシング（特定技術者派遣）,99+,■事業内容：エンジニアリングソリューション事業（機械設計、電気・電子設計、ソフトウェア開発、ケミカルエンジニアリング、解析・評価）※労働者派遣事業許可番号「派 23-301659」,神奈川県厚木市森の里青山15-1,2023,,8483,800百万円,,http://www.meitec.co.jp/,
