更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,丸徳産業株式会社,人材派遣,求人なし,愛知県稲沢市正明寺2-27-22,1974,代表取締役 久納 英治,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社文化コーポレーション,人材紹介・職業紹介,求人なし,宮崎県宮崎市生目台西3-4-2本社ビル 3Ｆ,1968,代表取締役 齊藤 総一郎,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ラジカル沖縄,求人サイト・求人メディア,求人なし,沖縄県那覇市おもろまち3-7-9（株）ラジカル沖縄ビル 3Ｆ,1994,代表取締役 屋宜 宣光,21 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,冒険王株式会社,求人サイト・求人メディア,求人なし,沖縄県那覇市字銘苅206,1996,代表取締役 佐和田 安行,31 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ホット沖縄,アウトソーシング,求人なし,沖縄県那覇市西1-9-18Ｔ’ｓウエストタウン 2Ｆ,1990,代表取締役 白石 武博,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社りゅうせきビジネスサービス,人材派遣,求人なし,沖縄県那覇市長田2-28-40,1987,代表取締役 上運天清,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社愛知鋼管,人材派遣,求人なし,愛知県東海市名和町南三ケ月8,1970,代表取締役 濵田宏弥,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社毎日ジャーナル,求人サイト・求人メディア,求人なし,兵庫県三田市けやき台4-39-3,1993,代表取締役 小中 晴美,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社東洋相互サービス,アウトソーシング,無,東京都台東区下谷3-10-2太陽ビル 2Ｆ,1975,代表取締役 阿部 剛志,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■エコロジー事業■低濃度戸PCB改修サービス■ランプレシードシステム■工業用クリーンネス資材販売■アウトソーシング■人材派遣＜ 事業所 ＞・川越事業所・埼玉事業所・狭山工場・関東営業所・エコロジー事業部営業課・エコロジー事業部業務課・ウエス部 2022年1月doda掲載求人より引用,
2024-08-01,人財パワー株式会社,人材紹介・職業紹介,求人なし,沖縄県那覇市壺川1-4-15なか商ビル 4Ｆ,1974,代表取締役 平良 あき子,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社南日本ビジネスサービス,人材派遣,求人なし,鹿児島県鹿児島市西千石町11-21鹿児島ＭＳビル 4Ｆ,1986,代表取締役 吉田 健朗,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社求人おきなわ,求人サイト・求人メディア,求人なし,沖縄県那覇市首里末吉町1-192,2015,代表取締役 山城 正文,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,宮内工産株式会社,人材派遣,求人なし,神奈川県大和市中央2-2-11総商セレクトビル,1959,代表取締役 宮内 章男,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,泰朋鉄工株式会社,アウトソーシング,求人なし,神奈川県大和市つきみ野2-1-3泰朋ビル,1985,代表取締役 黒澤 公詞,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社清友,人材派遣,求人なし,鹿児島県鹿児島市大黒町3-27清友ビル,1985,代表取締役 宮之原 明子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,中部ホリー販売株式会社,アウトソーシング,求人なし,愛知県豊明市沓掛町神明21-1,1979,代表取締役 三浦 寛司,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社総商セレクト,人材派遣,無,神奈川県大和市中央2-2-11総商セレクトビル,1990,代表取締役 宮内 章男,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■労働者派遣業 株式会社総商セレクト（本部/平塚/掛川/浜松） 派14-160008 大都工産株式会社（熊谷/越谷） 派11-300013 愛知工産株式会社（名古屋） 派23-301216 宮内工産株式会社（厚木） 派14-300024 光和工業株式会社（横浜） 派14-300009 他2社（立川/川越/町田/久里浜）■業務請負業 2022年5月doda掲載求人より引用,
2024-08-01,株式会社ニューレイバー,人材紹介・職業紹介,求人なし,神奈川県大和市大和南2-5-1ワイエスビル 3Ｆ,1995,代表取締役 菊地 裕,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,寿工業株式会社,人材派遣,求人なし,東京都町田市中町1-2-2森町ビル 4Ｆ Ｃ号室,1985,代表取締役 宮内 章男,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,大都工産株式会社,人材紹介・職業紹介,求人なし,埼玉県熊谷市桜木町1-18,1988,代表取締役 宮内 章男,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社メール,アウトソーシング,求人なし,神奈川県大和市草柳3-7-1,1969,代表取締役 石原 良太,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,日本テクニカル株式会社,人材派遣,求人なし,大阪府大阪市西区江戸堀1-10-8パシフィックマークス肥後橋 8Ｆ,1986,代表取締役 内之倉 清孝,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社学情,人材紹介・職業紹介,無,東京都中央区銀座6-10-1ＧＩＮＺＡ ＳＩＸ 9Ｆ,1977,代表取締役社長 中井 大志,"1,500 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,【人材関連サービス】新卒採用事業、中途採用事業、人材紹介事業【広告関連サービス】一般広告メディア取り扱い・制作、各種SPツール制作 2024年3月doda掲載求人より引用,プライム
2024-08-01,株式会社スタンバイ,人材派遣,求人なし,大阪府大阪市北区天神橋2-4-1ヤマモトビル 2Ｆ,1998,代表取締役 野田 信悦,13 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社オービット,アウトソーシング,求人なし,大阪府大阪市北区中之島3-3-3中之島三井ビルディング 2Ｆ,1998,代表取締役 萩原 光子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ワークスタッフ,人材派遣,求人なし,徳島県徳島市西新町5-17,1985,代表取締役 笹川 茂,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社クラスター,人材派遣,求人なし,大阪府大阪市北区芝田1-10-10芝田グランドビル 5Ｆ,1999,代表取締役 鹿糠 雅博,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社エスアール,人材派遣,求人なし,兵庫県豊岡市日高町国分寺158-1,1988,代表取締役 長谷川 豊,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社白帝エンジニアリング,人材派遣,求人なし,愛知県名古屋市中区錦2-18-5白川第6ビル 4Ｆ,1979,代表取締役 栗本 新治,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ティ・オー・ピー,人材派遣,求人なし,東京都墨田区立川3-1-12,1989,代表取締役 片桐 誠一,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社バンステーション,人材紹介・職業紹介,求人なし,大阪府大阪市北区中之島4-2-28ヒュース中之島,1992,代表取締役 岡田 智文,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
