更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,株式会社グランドライン－マルシゲ,アウトソーシング,求人なし,神奈川県高座郡寒川町岡田1-23-9,2009,代表取締役 島村 盛晶,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ハイブリッドコンサルティング,研修サービス,求人なし,東京都港区港南2-15-1品川インターシティ28ＦＡ棟,2009,代表取締役 吉山 勇樹,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ジックスタッフ,人材派遣,求人なし,東京都千代田区大手町2-2-1新大手町ビル 4Ｆ,2009,代表取締役 三ツ木 研二,90 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,ジョブコレ東日本株式会社,人材派遣,無,神奈川県相模原市緑区橋本6-5-10中屋第2ビル 3Ｆ,2009,代表取締役 佐竹 猛,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,【グループ共通】■労働者派遣事業 許可番号 派14-303397■有料職業紹介事業 許可番号 14-ユ-301959 2023年10月doda掲載求人より引用
2024-08-01,株式会社ＪＭＴＣ,人材紹介・職業紹介,求人なし,宮城県登米市迫町佐沼字沼向10-1,2000,代表取締役 森 繁己,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,ＣＯＬＯＲＳ株式会社,技術系アウトソーシング（特定技術者派遣）,無,愛知県みよし市三好丘緑3-1-1アールビル Ｄ1,2006,代表取締役 平谷 健悟,37 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ロックウェル,人材派遣,求人なし,北海道札幌市中央区大通西13-4-120,1997,代表取締役 濱口 敏博,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,ヴィプランニング株式会社,人材派遣,求人なし,京都府京都市下京区東堀川通下魚棚下る鎌屋町23シンエイビル 2Ｆ,1998,代表取締役 金森 勉,42 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ＭＢＣ,人材紹介・職業紹介,求人なし,兵庫県神戸市中央区中山手通4-3-6ゴールデンサンビル 7Ｆ,2004,代表取締役 山越 和則,15 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,日本ワークサポート株式会社,人材紹介・職業紹介,求人なし,北海道札幌市中央区北二条西3-1敷島ビル 805,2007,代表取締役 高野 冬樹,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ハードワーカー,アウトソーシング,求人なし,東京都渋谷区代々木1-37-7,2007,代表取締役 川口 純,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社オガワ企画,人材紹介・職業紹介,求人なし,宮城県黒川郡大衡村大瓜字中山45-54,2001,代表取締役 小川 榮一,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ＧＯＭＡＸ,アウトソーシング,無,愛知県名古屋市中区丸の内1-13-11ジャルダン桜橋ビル 8Ａ,2009,代表取締役 山田 昌志,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ホットスタッフ一宮,人材派遣,無,愛知県一宮市昭和1-3-29,2002,代表取締役 堤 寛之,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 人材派遣業■労働者派遣事業（派）23-300663■有料職業紹介事業 23-ﾕ-300396★ホットスタッフグループは全国104拠点を構える大規模グループです。各支社で分社化し、それぞれが株式会社として独立しています。 2022年4月doda掲載求人より引用
2024-08-01,株式会社ソーシャルデザイニングクリエイティブ,研修サービス,求人なし,東京都台東区柳橋1-4-3,2009,代表取締役 海老瀬 昌季,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ＮＯＷＶＩＬＬＡＧＥ,研修サービス,求人なし,東京都世田谷区等々力5-1-14プラートリエ 102,2009,代表取締役 今村 充裕,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社新卒採用,アウトソーシング,求人なし,東京都中央区日本橋茅場町2-6-5Ｙ・Ｋビル 5Ｆ,2009,代表取締役 後藤 剛,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,コントラクト株式会社,人材派遣,求人なし,千葉県船橋市前原西2-14-2津田沼駅前安田ビル 3Ｆ,2009,代表取締役 林 宏賢,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社プロジット,人材派遣,求人なし,大阪府大阪市淀川区西中島6-2-3チサンマンション第7新大阪 1014,2009,代表取締役 飯田 一也,4 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社新昭和,人材紹介・職業紹介,無,大阪府堺市堺区栄橋町1-7-5新昭和ビル 5Ｆ,2009,代表取締役 山本 雄輝,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■人材派遣事業部・労働者派遣事業（派27-301678）・有料職業紹介事業（27-ユ-301407）・各種製造アウトソーシング業務・紹介予定派遣業務・アパレル派遣事業・ホテル・レストラン事業■不動産事業部・不動産賃貸業、不動産管財 2023年7月doda掲載求人より引用
2024-08-01,株式会社ライズ・スクウェア,人材派遣,無,大阪府八尾市北本町2-12-24北本町マルシゲビル 3Ｆ,2009,代表取締役 馬場 栄和,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ライトアップ,人材派遣,求人なし,東京都港区西麻布1-11-8森ビル 4Ｆ,1985,代表取締役 横川 哲哉,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社パワーネット・フィールド,技術系アウトソーシング（特定技術者派遣）,求人なし,東京都港区芝大門2-3-6大門アーバニスト 6Ｆ,1998,代表取締役 小川 聡,48 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社００Ｈ,アウトソーシング,求人なし,大阪府大阪市旭区高殿6-18-41エクセレント高殿 505,2002,,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
