更新日,名称,業界(小分類),求人有無,所在地,設立,資本金,平均年齢,従業員数,企業URL,代表者,事業内容
2024-08-01,株式会社ジェーピーアイエス,人材派遣,求人なし,大阪府大阪市西区江戸堀3-1-31Ｒ＆Ｈ 403,2008,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社サンアール,人材派遣,求人なし,埼玉県所沢市東所沢4-15-1,2006,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 遠藤 久,
2024-08-01,株式会社インプルーヴ,人材派遣,求人なし,愛知県豊川市宿町中島97,2007,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 佐竹 学,
2024-08-01,オールマインドサービス株式会社,人材派遣,求人なし,兵庫県神戸市東灘区住吉浜町7,1988,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 岡嶋 真司,
2024-08-01,株式会社ウィルビー,人材紹介・職業紹介,求人なし,東京都中央区新川1-3-21ＢｉｚＳｍａｒｔ茅場町406号室,2006,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 高橋 秀雄,
2024-08-01,株式会社テクノライズ,人材派遣,求人なし,大阪府大阪市西区靱本町1-13-10リヨン．ビル 2Ｆ,2003,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 富田 政輝,
2024-08-01,株式会社アップアンドラン,人材派遣,無,大阪府大阪市北区梅田2-5-6桜橋八千代ビル 7Ｆ,2008,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 福田 伸一郎,
2024-08-01,有限会社シンクロニシティ,アウトソーシング,求人なし,東京都新宿区西新宿3-9-3第三梅村ビル 6Ｆ,2001,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 大橋 浩一,
2024-08-01,株式会社グッドワークス,人材紹介・職業紹介,無,福岡県糟屋郡志免町別府北4-648-2,2011,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 中谷 恵子,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■一般労働派遣事業（派40-300769）■有料職業紹介事業（40-ユ-300671）■物流請負業務■リサイクル事業■外国人雇用促進プログラム事業 2022年6月doda掲載求人より引用
2024-08-01,株式会社プロスタンダード,研修サービス,無,東京都港区浜松町2-2-15浜松町ダイヤビル 2Ｆ,2012,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 若林 雅樹,
2024-08-01,マイルストーン有限会社,人材紹介・職業紹介,求人なし,京都府南丹市美山町長谷墓ノ下17-1,2003,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 植野 卓,
2024-08-01,株式会社キャスコム,人材派遣,求人なし,愛知県岡崎市東明大寺町11-9,2001,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小野 克志,
2024-08-01,株式会社トライポイント,人材紹介・職業紹介,求人なし,大阪府大阪市中央区瓦町4-3-14御堂アーバンライフ 813,2005,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 宮本 陽,
2024-08-01,株式会社ワークアップ,人材派遣,求人なし,大阪府大阪市阿倍野区昭和町1-21-22徳山ビル 202,2007,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 田中 薫,
