更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,上場市場名,代表者
2024-08-01,ヒューマンスターチャイルド株式会社,公社・官公庁・学校・研究施設,1,■事業内容： 認可保育園・学童保育施設の整備、運営※現在35園を運営（2024年4月より新園が3園開園予定）,神奈川県横浜市神奈川区鶴屋町3-29-1第6安田ビル5F,1994,801,90百万円,,http://www.starchild.jp/,,
2024-08-01,株式会社ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,公社・官公庁・学校・研究施設,30,■事業内容： アルゴリズムライセンス事業～2つのソフトウエア事業の相乗効果で企業のビジネス支援や社会の課題解決を目指します～PKSHA Technologyは、主に自然言語処理、画像認識、機械学習/深層学習技術に関わるアルゴリズムソリューションを展開しています。「PKSHA Product」で蓄積した知見・データを「PKSHA ReSearch」に活用、2つの事業の循環を生むことで、さらなる研究・製品品質の向上を図ります。,東京都文京区本郷2-35-10本郷瀬川ビル4F,2012,388,,,https://www.pkshatech.com/,スタンダード市場,
2024-06-01,ユーロフィン日本総研株式会社,公社・官公庁・学校・研究施設,2,"■ユーロフィンについてユーロフィン（Eurofins Scientific）は、食品・製品・環境・アグロ・ジェノミクス・クリニカルダイアグノスティック・医薬品・材料等、幅広い分野に関わる分析及び検査サービスをグローバルに展開しています。 世界59カ国に940以上のグループラボがあり（2022年7月現在）、グループ法人数は1,000社を超え、200,000通りに及ぶ分析項目・手法を採用、年間4億5,000万件を超える試験を実施しています。",静岡県浜松市中央区西島町1325,1971,180,20百万円,,https://www.eurofins.co.jp/,,
2024-07-01,株式会社四国総合研究所,公社・官公庁・学校・研究施設,7,■事業内容： 電気事業への貢献と電気事業で培った技術の提供による地域振興を目的に、1987年10月、四国電力株式会社の技術研究所を母体として分離・独立しました。以降、電力・エネルギーをはじめとして、土木・地質、情報通信、エレクトロニクス、化学、バイオテクノロジーなどの分野にわたって研究開発を行っています。四国の民間研究開発機関として、大学・自治体・地元企業との共同研究などを通じて、地域社会の振興発展に役立つ研究開発にも取り組んでいます。,香川県高松市屋島西町2109-8,1987,120,100百万円,,https://www.ssken.co.jp/,,
2024-08-01,学校法人東北工業大学,公社・官公庁・学校・研究施設,1,■事業内容宮城県仙台市において、東北工業大学および大学院、仙台城南高等学校を運営しています。■設立の目的東北工業大学は、「わが国、特に東北地方の産業界で指導的役割を担う高度の技術者を養成する」ことを建学の精神として掲げています。この精神のもと、人間・環境を重視した、豊かな生活のための学問を創造し、これらの統合を目指す教育・研究により、持続可能な社会の発展に貢献します。,宮城県仙台市太白区八木山香澄町35-1,1960,,,,https://www.tohtech.ac.jp/,,
2024-06-01,コンビウィズ株式会社,公社・官公庁・学校・研究施設,3,■事業内容： ・コンビウィズ株式会社は、お子さま連れでのお出かけを多面的にサポートしている会社です。■事業詳細：1.ベビーケアシステム製品の開発・販売2.保育環境の開発・販売3.保育園の運営4.ベビーシッターサービス事業5.託児施設の企画・提案及び託児施設の運営,東京都台東区元浅草2-6-7,1982,343,30百万円,,http://www.combiwith.co.jp/,,
2024-08-01,学校法人藤田学園,公社・官公庁・学校・研究施設,4,■藤田学園について1964年9月、「よき医療人の育成」のための医療系総合病院を目指して、創設者総長藤田啓介医学博士の「人生究極の事業とは教育である」との確固たる信念のもと設立認可されました。創立より50年以上の歴史を持つ、地域連携医療を牽引する東海地域最大規模の医療系総合大学です。単一の病院としては国内最大の病床数1376床を誇る藤田医科大学病院を始め、愛知県内にばんたね病院、岡崎医療センター、三重県に七栗記念病院の4つの教育病院を有し、実践力のある高度な医療人育成に取り組んでいます。,愛知県豊明市沓掛町田楽ヶ窪1-98,1964,6896,,,https://academy.fujita-hu.ac.jp/,,
2024-06-01,学校法人大阪電気通信大学,公社・官公庁・学校・研究施設,1,1941年に当時の先端技術領域であった電子工学や通信工学といった電気通信技術の学校として発足し、1951年に高等学校を、1961年には大学を設立しました。高等学校のスタートは電子工業科でしたが、その後、普通科を加えてコース選択の幅を広げ、大阪電気通信大学の学びに直結したコースも備えています。また、大学においては工学部電子工学科を設置後、1962年には同学部通信工学科を設置、その後も領域を広げつつ、2024年4月には5学部（工学部、情報通信工学部、建築・デザイン学部、医療健康科学部、総合情報学部）13学科4専攻、大学院3研究科3専攻からなる「技術系総合大学」に成長しました。,大阪府寝屋川市初町18-8,1941,300,,,http://www.osakac.ac.jp/,,
2024-08-01,国立研究開発法人科学技術振興機構（JST／日本科学未来館）,公社・官公庁・学校・研究施設,1,【日本科学未来館】先端科学技術の情報発信、社会との対話・協働の深化、次世代人材の育成,【日本科学未来館】東京都江東区青海2-3-6,2001,1457,1兆3143億1355万7943円（2024年3月時点）,,https://www.miraikan.jst.go.jp/,,理事長 橋本 和仁 ／日本科学未来館館長 浅川 智恵子
2024-07-01,学校法人関西学院,公社・官公庁・学校・研究施設,1,関西学院はキリスト教主義による教育を理念として生まれ、現在は兵庫県西宮市と三田市、宝塚市、大阪府箕面市、大阪梅田、東京丸の内にキャンパスを設け、幼稚園から大学院までを擁する総合学園です。,兵庫県西宮市上ケ原一番町 1番155号,1889,1204,,,https://www.kwansei.ac.jp/index.html,,理事長 村上 一平
2024-07-01,経済産業省 中部経済産業局,公社・官公庁・学校・研究施設,1,経済産業省の地方支分部局である経済産業局。中部5県（愛知県、岐阜県、三重県、富山県、石川県）を管轄し、各種法律や補助制度等の執行、管内企業の調査による産業分析、中部経済の実態に即した各種プロジェクトの企画・立案等を実施しています。,愛知県名古屋市中区三の丸二丁目五番二号,1949,,,,https://www.chubu.meti.go.jp/,,中部経済産業局長 寺村 英信
2024-07-01,警察庁,公社・官公庁・学校・研究施設,1,警察は、個人の生命、身体及び財産の保護に任じ、犯罪の予防、鎮圧及び捜査、被疑者の逮捕、交通の取締その他公共の安全と秩序の維持に当たることをその責務としています。,東京都千代田区霞が関2丁目1番2号,1954,,,,https://www.npa.go.jp,,警察 庁 長官
2024-08-01,財務省 税関,公社・官公庁・学校・研究施設,1,貿易の健全な発展と安全な社会を実現するために、輸出入貨物に対する通関審査や空港・海港において密輸の取締りなどを行います。,東京都千代田区霞が関3-1-1,1872,10000,,,http://www.customs.go.jp/,,財務大臣 鈴木 俊一
2024-08-01,一般財団法人日本自動車研究所,公社・官公庁・学校・研究施設,10,■事業内容：一般財団法人 日本自動車研究所（JARI：Japan Automobile Research Institute）は、自動車に関する総合的な研究を行い、クルマ社会の健全な進展に貢献することを使命とした試験研究機関です。自動車技術は高度化し、自動車技術に関する研究分野は拡大をしています。それらに対応すべく、従来の自動車の安全や環境の改善の課題に加えて、地球温暖化防止のための省エネルギー化、自動車事故を未然に防ぐための予防安全、石油燃料に替わる新たなエネルギーの探索などに関する研究を実施しています。,東京都港区芝大門1-1-30,1969,370,"1,410百万円",47.0,http://www.jari.or.jp/,,
2024-07-01,学校法人拓殖大学,公社・官公庁・学校・研究施設,1,■高等教育機関（大学・短期大学・高等学校の運営）・拓殖大学・拓殖大学北海道短期大学・拓殖大学第一高等学校,＜文京キャンパス＞〒112-8585東京都文京区小日向3-4-14＜八王子国際キャンパス＞〒193-0985東京都八王子市館町815-1,1900,236,,,https://www.takushoku-u.ac.jp/,,理事長 岡戸 巧
2024-06-01,国立研究開発法人国立がん研究センター,公社・官公庁・学校・研究施設,2,昭和37年に、我が国のがんの医療・研究の拠点となる国立機関として誕生した国立がん研究センター。開設以来、がんの診療や研究に多大な成果を上げ、広く世界にも知られています。研究所が目指すのは、病院および行政との密接な連携のもと、がん対策を推進すること。そして我が国におけるがん研究を推進する中核施設としての機能を果たすこと。この2つを主軸に活動しています。,【築地キャンパス】東京都中央区築地5-1-1,1962,,,,https://www.ncc.go.jp/jp/index.html,,理事長 中釜 斉
2024-07-01,国立研究開発法人産業技術総合研究所,公社・官公庁・学校・研究施設,2,"■役割国内最大級の公的研究機関として、産業化を見据えた応用的な研究と、成果を社会や企業に活用してもらう橋渡しにより、社会課題解決と産業競争力強化に貢献する■体制8つの研究領域等、全国13カ所に展開2,000名以上の研究者が、国家戦略等に基づき、ナショナルイノベーションシステムの中核的・先駆的立場で研究開発を行う■グローバル展開世界各国の主要研究機関と包括研究協力覚書（MOU）を締結 等",【東京本部】〒100-8921東京都千代田区霞が関1-3-1【つくば本部】〒305-8560茨城県つくば市梅園1-1-1 つくば本部・情報技術共同研究棟,2001,5818,"2,779億9,141万円",,https://www.aist.go.jp/,,理事長 石村 和彦
2024-06-01,国立研究開発法人物質・材料研究機構,公社・官公庁・学校・研究施設,2,■事業内容： ・物質・材料科学技術に関する基礎研究および基盤的研究開発,茨城県つくば市千現1-2-1,2001,1566,"73,500百万円",,https://www.nims.go.jp/,,
2024-07-01,学校法人博多学園,公社・官公庁・学校・研究施設,1,■事業内容： 幼児教育（博多学園幼稚園グループ７園）・高校教育（博多高等学校）・専門教育（博多メディカル専門学校）の運営,福岡県福岡市東区水谷1-21-1,1941,234,,,https://www.hakata.ed.jp/,,
2024-07-01,学校法人都築育英学園,公社・官公庁・学校・研究施設,1,■本学校法人は付属幼稚園を始め、小学校、中学校、高等学校、大学等、様々な学校を経営・運営しております。世界の第一線で活躍できるグローバル人材の育成に力を入れており、積極的な取り組みの一つとして、学生が能動的に学ぶ「きっかけ」づくりを行っております。本学校法人が運営する大学の一つでは、インキュベーション（起業支援）施設を運営しております。ここからは多くのイノベーティブな企業が巣立って行きました。これらのインキュベーションに17年間携わった実績をもって、今後は海外に進出したいという日本のベンチャー企業と学生とのコラボレーションも考えています。,福岡県太宰府市五条3-11-25,1996,400,10百万円,,なし,,
2024-08-01,学校法人九州国際学園,公社・官公庁・学校・研究施設,1,■九州国際情報ビジネス専門学校について：本校は創立34年目を迎える専門学校です。開校以来、卒業後実社会の要望に応えるべく知識・技能の習得、資格を取得した「スペシャリスト」育成、社会人として社会常識・基本マナーを備えた明るく健康で建設的思考を持った「人間性豊かな人材」育成を教育方針に掲げ、バランスの取れた人材育成を目指しております。学科は4学科7コースから構成されております。,佐賀県佐賀市神野東1-9-32,1987,24,480百万円,,https://cosmet.ac.jp/,,
2024-08-01,学校法人静岡精華学園,公社・官公庁・学校・研究施設,1,■事業内容： 私立学校（大学、高校、中学、幼稚園）,静岡県焼津市本中根549-1,1903,249,,,https://s-seika.jp/index.html,,
2024-07-01,学校法人名古屋電気学園,公社・官公庁・学校・研究施設,1,■事業内容：私立学校（大学・高等学校・中学校・専門学校）の経営,愛知県名古屋市千種区若水3-2-12,1912,1172,,,https://www.nagoyadenki.jp/,,
