更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,学校法人横浜商科大学,公社・官公庁・学校・研究施設,求人なし,神奈川県横浜市鶴見区東寺尾4-11-1,1951,理事長 清水 雅彦,"11,137 百万円",,,,
2024-08-01,学校法人学習院,公社・官公庁・学校・研究施設,求人なし,東京都豊島区目白1-5-1,1947,理事長 耀 英一,"90,290 百万円",,,,
2024-08-01,学校法人昌賢学園,公社・官公庁・学校・研究施設,求人なし,群馬県前橋市元総社町152,1953,理事長 鈴木 利定,"6,874 百万円",,,,
2024-08-01,学校法人札幌学院大学,公社・官公庁・学校・研究施設,求人なし,北海道江別市文京台11,1946,理事長 安孫子 建雄,"28,664 百万円",,,,
2024-08-01,学校法人四天王寺学園,公社・官公庁・学校・研究施設,求人なし,大阪府大阪市天王寺区四天王寺1-11-18,1933,理事長 瀧藤 尊淳,"44,433 百万円",,,,
2024-08-01,学校法人薫英学園,公社・官公庁・学校・研究施設,求人なし,大阪府摂津市正雀1-4-1,1941,理事長 小川 道雄,"6,097 百万円",,,,
2024-08-01,学校法人北辰学堂,公社・官公庁・学校・研究施設,求人なし,北海道稚内市若葉台1-2290-28,1987,理事長 松尾 英孝,"1,816 百万円",,,,
2024-08-01,学校法人長崎学院,公社・官公庁・学校・研究施設,求人なし,長崎県長崎市横尾3-15-1,1948,理事長 粟屋 曠,"3,550 百万円",,,,
2024-08-01,学校法人松商学園,公社・官公庁・学校・研究施設,求人なし,長野県松本市県3-6-1,1919,理事長 丸山 律夫,"12,741 百万円",,,,
2024-08-01,学校法人新潟総合学園,公社・官公庁・学校・研究施設,求人なし,新潟県新潟市北区島見町1398,2000,理事長 池田 弘,"21,546 百万円",,,,
2024-08-01,学校法人聖カタリナ学園,公社・官公庁・学校・研究施設,求人なし,愛媛県松山市北条660,1942,理事長 中田 婦美子,"13,275 百万円",,,,
2024-08-01,学校法人静岡理工科大学,公社・官公庁・学校・研究施設,求人なし,静岡県静岡市葵区御幸町20Ｍ20－13Ｆ,1952,理事長 杉浦 哲,"33,196 百万円",,,,
2024-08-01,学校法人岐阜済美学院,公社・官公庁・学校・研究施設,求人なし,岐阜県関市桐ヶ丘2-1,1944,理事長 片桐 武司,"14,668 百万円",,,,
2024-08-01,学校法人総持学園,公社・官公庁・学校・研究施設,求人なし,神奈川県横浜市鶴見区鶴見2-1-3,1951,理事長 渡辺 啓司,"74,323 百万円",,,,
2024-08-01,学校法人天理大学,公社・官公庁・学校・研究施設,求人なし,奈良県天理市守目堂町213-4,1927,理事長 深谷 善太郎,,,,,
2024-08-01,学校法人東京女学館,公社・官公庁・学校・研究施設,求人なし,東京都渋谷区広尾3-7-16,1930,理事長 福原 孝明,"17,683 百万円",,,,
2024-08-01,学校法人村崎学園,公社・官公庁・学校・研究施設,求人なし,徳島県徳島市寺島本町東1-8,1944,理事長 村崎 正人,,,,,
2024-08-01,学校法人福山大学,公社・官公庁・学校・研究施設,求人なし,広島県福山市東村町字三蔵985-1,1975,理事長 鈴木 省三,"60,985 百万円",,,,
