更新日,名称,業界(小分類),求人有無,所在地,代表者,設立,平均年齢,従業員数,企業URL,資本金,事業内容
2024-08-01,滋賀県守山市役所,公社・官公庁・学校・研究施設,求人なし,滋賀県守山市吉身2-5-22,市長 森中 高史,,,,,,
2024-08-01,滋賀県草津市役所,公社・官公庁・学校・研究施設,求人なし,滋賀県草津市草津3-13-30,市長 橋川 渉,,,,,,
2024-08-01,滋賀県大津市役所,公社・官公庁・学校・研究施設,求人なし,滋賀県大津市御陵町3-1,市長 佐藤 健司,1937,,,,,
2024-08-01,滋賀県長浜市役所,公社・官公庁・学校・研究施設,求人なし,滋賀県長浜市八幡東町632,市長 浅見 宣義,,,,,,
2024-08-01,滋賀県彦根市役所,公社・官公庁・学校・研究施設,求人なし,滋賀県彦根市元町4-2,市長 和田 裕行,,,,,,
2024-08-01,兵庫県芦屋市役所,公社・官公庁・学校・研究施設,求人なし,兵庫県芦屋市精道町7-6,市長 髙島 崚輔,,,,,,
2024-08-01,兵庫県三田市役所,公社・官公庁・学校・研究施設,求人なし,兵庫県三田市三輪2-1-1,市長 田村 克也,,,,,,
2024-08-01,兵庫県三木市役所,公社・官公庁・学校・研究施設,求人なし,兵庫県三木市上の丸町10-30,市長 仲田 一彦,,,,,,
2024-08-01,兵庫県洲本市役所,公社・官公庁・学校・研究施設,求人なし,兵庫県洲本市本町3-4-10,市長 上崎 勝規,,,,,,
2024-08-01,兵庫県小野市役所,公社・官公庁・学校・研究施設,求人なし,兵庫県小野市中島町531,市長 蓬莱 務,,,,,,
2024-08-01,兵庫県西宮市役所,公社・官公庁・学校・研究施設,求人なし,兵庫県西宮市六湛寺町10-3,市長 石井 登志郎,,,,,,
2024-08-01,兵庫県明石市役所,公社・官公庁・学校・研究施設,求人なし,兵庫県明石市中崎1-5-1,市長 丸谷 聡子,,,,,,
2024-08-01,兵庫県播磨町役場,公社・官公庁・学校・研究施設,求人なし,兵庫県加古郡播磨町東本荘1-5-30,町長 清水 ひろ子,,,,,,
