更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,上場市場名,平均年齢,従業員数,資本金,企業URL
2024-06-01,株式会社ノバレーゼ,ブライダル・ウェディング,1,■ブライダル事業 （婚礼プロデュース部門・婚礼衣裳部門・レストラン部門）,東京都中央区銀座1-8-14 銀座YOMIKOビル4F,2000,代表取締役社長 荻野 洋基,スタンダード市場,33.1,820,1億円,https://www.novarese.co.jp/
2024-07-01,アイ・ケイ・ケイホールディングス株式会社,ブライダル・ウェディング,2,■事業内容：持株会社、グループ企業の経営管理・監督、国内外の結婚式場、レストラン、介護施設及びそれに類する施設の企画、運営、経営、顧客の斡旋・紹介及びコンサルタント,佐賀県伊万里市新天町722-5,1995,,プライム市場,28.7,948,351百万円,http://www.ikk-grp.jp/
2024-08-01,株式会社エスクリ,ブライダル・ウェディング,14,■事業内容：挙式披露宴の企画、運営等のブライダル関連事業を展開。2003年6月に設立後、急速な成長を遂げ、2012年11月には東証一部上場を果たし、旧態依然とした体質のブライダル業界において、圧倒的な差別化で成長し続けている業界のイノベーター企業です。「ハードにこだわらない高収益ブライダルオペレーション」を信条に掲げ、ハウスウェディング、ホテルウエディング、レストランウェディング等、ハードの形態は異なっても、高収益が獲得できる仕組み、ハードやスタイルの流行り廃りに左右されない安定的な収益モデルを構築しております。,東京都中央区日本橋小網町6-1山万ビル4F,2003,,スタンダード市場,31.7,794,50百万円,http://www.escrit.jp/
2024-07-01,アイ・ケイ・ケイ株式会社,ブライダル・ウェディング,2,■事業概要：1995年に「株式会社アイ・ケイ・ケイ不動産(現:株式会社アイ・エス)より、結婚式場とホテルの運営を引継ぎ、設立しました。現在は、九州を中心に、国内17都市19施設でウエディングプロデュース事業、ホテル事業を展開。挙式/披露宴に関する企画/運営等のサービスを提供しています。2020年には、インドネシア第二号店を出店、また同年の東京支店出店に伴い東京本部を設置し、2023年4月には関東2号店を水戸にオープンいたします。 2021年11月1日からは持株会社体制へ移行(ホールディングス化)し、今後は婚礼事業に留まらず、事業の多角化をすすめ、更なる発展を目指していきます。,佐賀県伊万里市新天町722-5,2020,,,,896,50百万円,https://www.ikk-grp.jp/group/ikk.html
2024-08-01,株式会社ティア,葬儀,18,～東証スタンダード市場上場・葬儀業界変革のために設立以降連続成長を続ける業界注目のパイオニア～■将来性：高齢化社会の為、国内では市場規模が拡大するという数少ない業界です。国のデータでは死亡人口は増加し年間160万人もお亡くなりになる時代がやってきます。■概要：日本で一番「ありがとう」と言われる葬儀社を目指し業界変革に取組むビジョン型葬儀会社。,愛知県名古屋市北区黒川本通3-35-1ティア黒川4F,1997,,スタンダード市場,39.0,646,"1,892百万円",https://www.tear.co.jp/
2024-06-01,株式会社ベスト‐アニバーサリー （東証スタンダード上場グループ企業）,ブライダル・ウェディング,42,■事業内容1. 婚礼衣装、フォーマルウェア、その他衣装の企画、製作、卸、販売及びレンタル 2. 前号に関連する衣料品雑貨品及び装身具の企画、製作、卸、販売及びレンタル 3. 貴金属、宝石、アクセサリーの卸、販売及びレンタル 4. 挙式、披露宴その他冠婚葬祭、会食、宴会及びパーティーの企画、運営、実施、斡旋及び紹介 5. 結婚式場その他冠婚葬祭に関する施設、ホテルその他宿泊施設、レストラン、カフェの企画、立案、運営、経営及びコンサルタント 6. 挙式、披露宴その他冠婚葬祭、会食、宴会及びパーティーに関する情報、の収集及び提供に関する業務,東京都港区海岸1-16-1ニューピア竹芝サウスタワー12F,2001,,,,720,13百万円,https://www.best-anniversary.co.jp/
2024-08-01,アニヴェルセル株式会社,ブライダル・ウェディング,無,■結婚式場及びパーティ会場の運営■記念日を軸とした商品の販売並びにサービスの提供■カフェの運営【株主：株式会社AOKIホールディングス】アニヴェルセル株式会社はファッション業界でトップクラスのシェアを誇る『株式会社AOKIホールディングス』のグループ企業です。 2024年6月doda掲載求人より引用,東京都港区北青山3-5-30,1986,代表取締役 松田 健一,,,461,100 百万円,"Failed to retrieve page, status code: 410"
2024-07-01,株式会社ウェブ,ブライダル・ウェディング,2,結婚情報サービス事業,千葉県市川市南行徳 1-16-22 ウェブビル2階,1994,代表取締役 鎗光 秀雄,,,390,1000万円,https://www.webclub.co.jp/
2024-07-01,タメニー株式会社,ブライダル・ウェディング,1,■婚活領域（パートナーエージェント・OTOCON など）■カジュアルウエディング領域（スマ婚・2次会くん・studioLUMINOUS など）■テック領域（CONNECT-ship・スマ婚縁結び など）■ライフスタイル領域（Tameny×保険クリニック など）■法人領域（地方自治体向け婚活支援 など）,東京都品川区大崎1-20-3 イマス大崎ビル3F,2006,代表取締役社長 栗沢 研丞,グロース市場,36.0,338,4400万円,https://tameny.jp/
2024-08-01,株式会社ベストブライダル,ブライダル・ウェディング,34,■事業内容： １.国内ゲストハウス、チャペルでの挙式、披露パーティーの企画、立案、運営 ２.宴会、立食、パーティー、イベントの企画、立案、運営 ３.旅館業法に基づくホテル業,東京都港区海岸1-16-1ニューピア竹芝サウスタワー12F,2014,,,,392,100百万円,http://www.bestbridal.co.jp/
2024-07-01,株式会社デコルテ,ブライダル・ウェディング,4,■事業内容： ・ウエディングフォトスタジオの運営・アニバーサリーフォトスタジオの運営■ビジョン： 「挑戦」が成長を支える「写真」を軸に、常に新たな価値を創造2001年の創業以来「Happiness（幸福）・Beauty（美）・Wellness（健康）」をテーマに掲げ、「こんなサービスがあったらいいな」というお客様のニーズに応えつつ新たな価値を生み出す、様々なサービスを手掛けています。,兵庫県芦屋市大桝町1-25アクセシオ芦屋3F,2018,,,,365,100百万円,https://www.decollte.co.jp
2024-08-01,株式会社ＺＷＥＩ,ブライダル・ウェディング,14,■事業概要：CMなどでおなじみの結婚相談所「ZWEI」。「一組でも多くの幸せを育む」というミッションを掲げ、結婚相談所を全国で50店舗経営しています。2020年に経営体制を刷新し、2021年には入会者数170％（前年比）と、業界屈指の成長を遂げています。,東京都中央区銀座5-9-8,1984,,,46.2,295,460百万円,https://www.zwei.com/about/
2024-08-01,株式会社家族葬のファミーユ,葬儀,13,■概要：「人生で最期の時間を、故人様とご家族だけで過ごしていただきたい」という想いから生まれた新しい葬儀ブランド「ファミーユ」は、フランス語で「家族」を意味します。ご家族の気持ちを重視し、温かい気持ちで納得してお別れできるような家族葬をご提供しています。,東京都港区浜松町2-2-12JEI浜松町ビル2F,2000,,,,593,100百万円,https://www.famille-kazokusou.com/
2024-07-01,株式会社備前屋,葬儀,2,■事業内容：葬儀全般・法要・アフターサポート 仏壇・仏具・墓石・墓地販売（全日本葬祭業協同組合連合会岡山県知事認可、岡山県霊柩葬祭事業協同組合、社団法人岡山県トラック協会霊柩支部 岡山県霊柩自動車協会）◇団体契約：日本税理士協同組合連合会、JAM共済統括事業本部、全日本郵政労働組合、NPO法人全国養護共済会、NTT労働組合西日本本部、JA岡山、AEON、イオンリテール株式会社、ちいさなお葬式・全国儀式サービス,岡山県瀬戸内市邑久町豊原90-1,1970,,,,40,,https://www.sougi-bizenya.jp/
2024-07-01,株式会社日比谷花壇,ブライダル・ウェディング,5,■事業内容花卉業界のリーディングカンパニーとして多岐にわたる事業を展開。バンケット事業・ショップ事業・法人事業・EC事業・ライフサポート事業・PPP事業（パブリックプライベートパートナーシップ）※企業hpより https://www.hibiya.co.jp/recruit/business/,東京都港区南麻布1-6-30,1950,,,,1790,100百万円,https://www.hibiya.co.jp/
2024-08-01,株式会社メモリアルアートの大野屋,ブライダル・ウェディング,12,■事業内容：(1)墓所・墓石の販売(2)墓所造営(3)葬祭業(4)仏壇・仏具の販売(5)保険など、葬儀業における「トータルサービス」を行っています。墓所や墓石の販売からスタートし、仏壇、保障プラン、環境事業、葬儀と独創性と先進性で事業領域を広げています。このようにトータル的なサポート体制が整備されているのは、同社のみになります(＝企業優位性)。「万一のときや困ったときには、ここへ相談すれば大丈夫」といった一社完結型のサービス提供により、お客様もご利用しやすく、かつ安心感を持ってお任せいただいております。,東京都小平市美園町3-2-5,1939,,,46.0,295,100百万円,http://www.ohnoya.co.jp/
2024-08-01,燦ホールディングス株式会社,葬儀,6,【総合葬祭サービスの提供】「シニア世代とそのご家族によりそい、ささえるライフエンディングパートナー」として、日本一お客様に満足と感動を与えるサービス提供を根幹とし、国内葬祭業では当社のみプライム上場として成長。今後は新１０年ビジョンをかかげ、既存葬儀事業の競争力強化・葬儀事業の拡大・終活に向けてのサポート～次世代以降の遺族の方々に対するフォローを始めとしたライフエンディングサポート事業の拡大を目指し、数多くの要素を組み合わせたトータルな葬祭サービスを提供をしております。,大阪府大阪市北区天神橋4-6-39,1944,,プライム市場,49.5,47,"2,568百万円",http://www.san-hd.co.jp/
2024-07-01,株式会社ワールドサービス,ブライダル・ウェディング,2,■事業内容：テーブルクロスレンタル事業、ゲストハウスウェディングの運営事業、バンケットスペースの企画・構成・演出、ドレスレンタル事業,大阪府泉佐野市葵町4-6-53,1993,,,35.1,581,70百万円,http://www.wsg-co.com/
2024-08-01,株式会社メモリード,ブライダル・ウェディング,1,◆グループ設立55年目を迎え、グループ全体で全国に187施設を運営、冠婚葬祭を軸に多角的に事業を展開する安定企業です。【事業内容】■婚礼事業■葬祭事業■互助会事業■ホテル事業■貸衣裳（レンタル衣裳）事業■婚活事業■終活事業■レストラン事業■洋菓子販売事業■保険・共済代理店事業■ウェルネス事業■IT事業,群馬県前橋市大友町1-3-14（群馬本社）〒100-0004東京都千代田区大手町 2-1-1 大手町野村ビル9F（東京本社）,1969,代表取締役 吉田 卓史,,,477,4億9500万円（2022年5月現在）,https://kanto.memolead.co.jp/
2024-05-01,株式会社ベルハース,葬儀,1,■会社概要群馬県藤岡市で創業し、地域に根差して116年続く専門葬儀会社です。県内6か所に自社葬儀・家族葬ホールを有し、前橋市・藤岡市・高崎市を中心にお葬式・葬儀・家族葬を行っております。令和4年11月には、前橋市三俣町に前橋市で2ホール目となる「ベルセレモニー前橋三俣」をオープンしました。■事業内容・総合葬祭業（葬儀全般、葬儀施行、葬儀会館運営、霊柩貨物自動車運送業、物販売）,群馬県藤岡市藤岡2434,1907,,,,28,17百万円,https://www.onishido.co.jp/company/
2024-08-01,株式会社渕上ファインズ,ブライダル・ウェディング,1,■ウェディングドレスショップの運営■オリジナルドレス、和装、タキシードの商品企画■神社挙式、写真婚のプロデュース,福岡県福岡市博多区冷泉町6-16,1978,代表取締役社長 渕上 芳亘,,32.0,430,"3,000万円",https://www.ffines.jp/
2024-07-01,株式会社あいプラン,ブライダル・ウェディング,7,■事業内容：・冠婚葬祭の施行を目的とする会員システムの運営（経済産業省許可事業）・結婚式場の経営、葬祭式場の経営、飲食店の経営、仏壇仏具墓石店の経営・貸衣裳事業・旅行業,北海道札幌市中央区南二条西8-12-1,1963,,,,1089,80百万円,http://www.apg-aiplan.com/
