更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,平均年齢,従業員数,資本金,企業URL,代表者
2024-08-01,大塚ホールディングス株式会社,医薬品メーカー業界,8,■事業概要：持株会社大塚グループは、「医療関連事業」「ニュートラシューティカルズ関連事業」「消費者関連事業」「その他の事業」の4つのセグメントで事業を展開しています。,東京都千代田区神田司町2-9,2008,プライム市場,44.1,151,"81,690百万円",https://www.otsuka.com/jp/,
2024-08-01,株式会社 ソラスト,その他医療関連,7,■事業内容：医療関連事業、介護事業、こども事業,東京都港区港南2-15-3,1968,プライム市場,42.4,33884,686百万円,http://www.solasto.co.jp/,
2024-08-01,第一三共株式会社,医薬品メーカー業界,48,「第一三共」と聞くと、どの様な製品を思い浮かべますか？TVCMでお馴染みの「ルル」や「ロキソニンS」でしょうか。これらは薬局などで購入できる一般用医薬品であり、第一三共の全売上の僅か7%に過ぎません。第一三共は、病院や診療所の医師の診断に基づく処方により薬局にて調剤される医療用医薬品を中核とした研究開発型製薬企業です。医療用医薬品の国内売上シェアNo.1であり、世界地域別売上構成比は、日本国内約63%、北米約17%、欧州約10%、その他10%です。,東京都中央区日本橋本町3-5-1,2005,プライム市場,43.4,17435,"50,000百万円",https://www.daiichisankyo.co.jp/,
2024-08-01,株式会社ベネッセスタイルケア,福祉・介護関連サービス,38,■事業内容：（1）高齢者介護サービス事業（くらら、まどか、グラニー＆グランダ、アリア、ボンセジュール、ここち）（2）高齢者住宅事業（サービス付き高齢者向け住宅運営）（3）保育事業（保育園運営）（4）学童クラブ事業（学童クラブ運営）,東京都新宿区西新宿2-3-1新宿モノリスビル,2003,,34.9,18124,100百万円,http://www.benesse-style-care.co.jp/,
2024-08-01,ワタキューセイモア株式会社,その他医療関連,1,■医療機関・社会福祉施設向けサービス業■医療用寝具・カーテン等のリース・販売■医療業務用品のリース・販売■アウトソーシング業務■ホテル事業※約40社のグループ会社が全国の医療・福祉施設の各種業務において信頼を重ねてきました。■事業所：◆本部／京都市下京区烏丸通高辻下ル薬師前町707 烏丸シティ・コアビル◆支店／全国9拠点◆営業所／全国38拠点,京都市下京区烏丸通高辻下ル薬師前町707 烏丸シティ・コアビル,1962,,,17527,"4,850万円",https://www.watakyu.co.jp/,代表取締役社長 村田 清和
2024-08-01,大塚製薬株式会社,医薬品メーカー業界,48,■企業概要：「医療関連事業」と「ニュートラシューティカルズ関連事業」の両輪事業で、世界の人々の健康に貢献するトータルヘルスケアカンパニーです。■1964年に設立した同社は”Otsuka-people creating new products for better health worldwide”を企業理念として、世界の人々の健康に貢献することを目標に、事業活動を営んでいます。「病気の治療に寄与する医療関連事業」と「日々の健康をサポートする消費者関連事業」をビジネスの柱に、世界の人々の健康に役立つ、革新的で創造性に富んだ製品の研究開発、製造、販売を行っています。,東京都千代田区神田司町2-9,1964,,,5827,"20,000百万円",http://www.otsuka.co.jp/company/index.html,
2024-07-01,アース製薬株式会社,医薬品メーカー業界,5,■事業内容：医薬品、医薬部外品、医療用具、家庭用品等の製造販売並びに輸出入,東京都千代田区神田司町2-12-1,1925,プライム市場,,4727,"9,829百万円",http://www.earth.jp,
2024-08-01,Ｉ＆Ｈ株式会社,調剤薬局・ドラッグストア業界,3,【事業内容】■次の事業を営む会社及びこれに相当する事業を営む会社の株式を保有することによる当該会社の事業活動の支配・管理■不動産の売買、賃貸、管理および仲介業務■全各号に附帯関連する一切の業務,兵庫県芦屋市大桝町1-18,2019,,,4610,"4,126百万円",https://i-h-inc.co.jp/,
2024-08-01,株式会社富士薬品,医薬品メーカー業界,29,"■事業内容：複合型医薬品企業を目指し、医薬品の販売・製造・研究という3つの事業を柱に展開しています。・配置薬…「いざ」というときに役立つ救急箱を無料で提供しています。北海道から沖縄まで全国主要都市に約300の事業所を設置し、全国315万軒以上の顧客に愛用されています。・ドラッグストア…美と健康の情報発信基地として、地域で一番信頼されるドラッグストアを目指しています。グループ全体で1,300店舗以上の全国展開をしています。・医療用医薬品…医療用医薬品の製造、販売を通して医療に貢献していきます。",埼玉県さいたま市大宮区桜木町4-383,1954,,,4934,314百万円,http://www.fujiyakuhin.co.jp/,
2024-08-01,キヤノンメディカルシステムズ株式会社,医療機器メーカー業界,79,◆事業概要：医療用機器（X線診断システム、CTシステム、MRIシステム、超音波診断システム、放射線治療装置、核医学診断システム、検体検査システム、ヘルスケアITソリューション など）の開発／製造／販売／技術サービス,栃木県大田原市下石上1385,1948,,44.2,11134,"20,700百万円",https://jp.medical.canon/,
