更新日,名称,業界(小分類),求人有無,所在地,設立,平均年齢,従業員数,企業URL,代表者,資本金,事業内容
2024-08-01,医療法人社団小清水産婦人科クリニック,病院・大学病院・クリニック,求人なし,神奈川県平塚市徳延683-1,1995,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,医療法人光雪会湘南デンタルクリニック,病院・大学病院・クリニック,求人なし,神奈川県平塚市宝町1-1,1995,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 伊藤 光雪,,
2024-08-01,一般財団法人鎌倉病院,病院・大学病院・クリニック,求人なし,神奈川県鎌倉市長谷3-1-8,1949,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表理事 前田 章,,
2024-08-01,医療法人誠翔会,その他医療関連,求人なし,神奈川県藤沢市湘南台2-18-3,1998,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 中澤 京子,413 百万円,
2024-08-01,医療法人未来,病院・大学病院・クリニック,求人なし,神奈川県相模原市中央区田名1953,1995,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 木内 哲也,"1,174 百万円",
2024-08-01,医療法人社団さがみ整形外科,病院・大学病院・クリニック,求人なし,神奈川県相模原市南区南台5-12-28,1991,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 小林 茂明,419 百万円,
2024-08-01,医療法人仁厚会,病院・大学病院・クリニック,求人なし,神奈川県厚木市中町3-8-11,1958,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 前田 清貴,"2,724 百万円",
2024-08-01,医療法人社団鈴木医院,病院・大学病院・クリニック,求人なし,神奈川県南足柄市関本930,1989,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 鈴木 哲,,
2024-08-01,医療法人鴎友会,病院・大学病院・クリニック,求人なし,神奈川県足柄上郡開成町牛島270,1998,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 玉山 容碩,634 百万円,
2024-08-01,特定医療法人フェニックス,病院・大学病院・クリニック,求人なし,岐阜県各務原市鵜沼各務原町6-50,1990,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 長縄 敏毅,,
2024-08-01,医療法人社団しただ,福祉・介護関連サービス,求人なし,新潟県三条市長野337,1997,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 北澤 幹男,19 百万円,
2024-08-01,有限会社杉山薬局,調剤薬局・ドラッグストア業界,求人なし,岐阜県岐阜市鏡島西2-4-47,1997,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 野々村 暢昭,3 百万円,
