更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,社会福祉法人東京ムツミ会,福祉・介護関連サービス,求人なし,東京都新宿区新宿1-16-16テェアーカテリーナ3Ｆ,2002,理事長 徳堂泰作,73 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人新宿あした会,福祉・介護関連サービス,求人なし,東京都新宿区西早稲田2-16-1,2002,理事長 山口 幸子,110 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人本郷の森,福祉・介護関連サービス,求人なし,東京都文京区本郷3-29-6カリテス佐々木 2Ｆ,2003,理事長 瀬川 聖美,323 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人日本盲人社会福祉施設協議会,福祉・介護関連サービス,求人なし,東京都台東区台東3-1-6,1959,理事長 舛尾 政美,231 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人ＩＧＬ学園福祉会,福祉・介護関連サービス,求人なし,広島県広島市安佐南区上安6-31-1,1980,理事長 永見 憲吾,"9,061 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人武蔵野療園,福祉・介護関連サービス,求人なし,東京都中野区江古田2-24-11,1952,理事長 駒野 登志夫,"3,263 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人三原のぞみの会,福祉・介護関連サービス,求人なし,広島県三原市明神3-16-20,1976,理事長 小林 隆伸,"1,527 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人慈生会,福祉・介護関連サービス,求人なし,東京都中野区江古田3-15-2,1943,理事長 田代 嘉子,"7,623 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人中野あいいく会,福祉・介護関連サービス,求人なし,東京都中野区中野1-6-12,2002,理事長 上西 陽子,540 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人尾道さつき会,福祉・介護関連サービス,求人なし,広島県尾道市久保町1786,1982,,"4,808 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
