更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,平均年齢,企業URL,代表者,資本金,上場市場名
2024-08-01,合同会社うえの犬猫病院,その他医療関連,1,■病院概要：うえの犬猫病院は犬、猫専門の動物病院です。市川市、西船橋地域を中心に飼い主さんの立場に寄り添った医療を提供いたします。,千葉県船橋市本中山7-20-4,2006,19,,http://ueno-inuneko.com/,,,
2024-08-01,医療法人社団 悠翔会,福祉・介護関連サービス,12,■事業内容：機能強化型 在宅療養支援診療所（訪問診療／ターミナルケア／訪問看護／訪問リハビリテーション）,東京都港区新橋5-14-10新橋スクエアビル7F,2006,365,,"Failed to retrieve page, status code: 410",,,
2024-05-01,医療法人社団　曙光会　　コンフォガーデンクリニック,病院・大学病院・クリニック,1,クリニック、訪問リハビリ、通所リハビリ施設、小規模多機能ホーム施設の運営●コンフォガーデンクリニック ※外来診療／内・小児・皮膚・整形外科 ※在宅医療／訪問診療・看護、訪問リハビリ●コンフォガーデンデイケアセンター●コンフォメディケア小規模多機能ホーム●介護職員初任者養成研修講座●ケアプランセンター●メディカルフィットネス●介護タクシー,東京都新宿区河田町3-2,1998,70,,http://www.shokoukai.com/,理事長 及川 信哉,,
2024-08-01,株式会社南山堂ホールディングス,調剤薬局・ドラッグストア業界,39,■事業内容：・保険調剤を主とした薬局チェーン店経営・医師新規開業支援業務・保険調剤薬局経営コンサルティング業務,東京都港区港南2-16-4品川グランドセントラルタワー17F,2000,765,35.0,http://www.nanzando-holdings.co.jp/,,50百万円,
2024-06-01,株式会社ゆうホールディングス,調剤薬局・ドラッグストア業界,2,■保険調剤薬局の経営■一般薬品の販売■在宅関連事業,京都府京都市左京区浄土寺下馬場町106,1950,728,,https://www.uno-upd.co.jp/,代表取締役社長 薬剤師 宇野 充俊,,
2024-07-01,株式会社ｄｅｎｔｓｕ　ｈｅａｌｔｈ　Ｊａｐａｎ,医療広告代理店・出版社・マーケティング・リサーチ,1,■事業概要：医療用医薬品のマーケティングプランやコミュニケーション戦略の策定と実施、MR（医薬情報担当者）および医療関係者向け各種ツールや資材の企画・制作、医学系イベント／セミナー／シンポジウム／研究会の企画・運営、国内外における電通グループのヘルスケア関連案件牽引など,東京都港区東新橋1-8-1電通本社ビル,1992,25,,https://dentsuhealth.co.jp,,100百万円,
2024-08-01,株式会社アイメプロ,CRO,10,■事業内容： ・サービス内容：モニタリング／品質管理・データマネジメント／統計解析・メディカルライティング・ファーマコヴィジランス・開発薬事・監査／信頼性保証・教育研修・派遣事業アカデミック臨床研究、製薬企業臨床研究の両面で、臨床研究の着想から戦略策定、実用化までの一連のプロセスをサポートし、効率的な開発を推進します。医療現場の現況・意見等の情報収集による企業への開発テーマ提案、臨床研究実施や各実務に関するコンサルティング、製薬会社・CROにおける新入社員CRA研修や医療機関担当者研修なども行っています。,東京都中央区日本橋小伝馬町1-5PMO日本橋江戸通,2011,,,https://imepro.jp,,12百万円,
2024-08-01,株式会社アスパークメディカル,CRO,27,■事業内容：当社は、外部就労型と受託型の双方を展開しているハイブリッド型CRO（医薬品開発業務受託機関）です。医薬品、医療機器メーカーを中心として外資・内資問わず約60社を超える企業様とのお取引実績があり、様々な医薬品の開発をサポートしています。2011年4月に株式会社アスパークのメディカル事業部より分社設立し、受託案件数も今年６件を予定しています。今後は外部就労型と受託型の比率を5:5へ拡大を予定しています。,大阪府大阪市淀川区宮原4-1-4,2011,200,,https://www.aspark-medical.co.jp/,,40百万円,
2024-06-01,株式会社愛カンパニー,福祉・介護関連サービス,3,■企業概要：・茨城県つくば市にある当社は、全国を対象に、福祉施設などの立ち上げ・運営・管理におけるコンサルティングサービスを提供や、自立支援特化型デイサービス・地域密着型特別養護老人ホームなど、各種介護サービス・施設の運営を展開しております。・当社はデイサービスを全国に80箇所強、健康増進施設を三箇所、介護サービス向けの住宅施設4箇所をオープンに導いた実績があり、心のこもったお手伝いをさせていただいております。,茨城県つくば市高野619,2011,2,,https://ai-company.co.jp/,,10百万円,
2024-05-01,株式会社アルメリアの里,福祉・介護関連サービス,1,■事業内容： ・デイサービス：月に一度民謡・歌謡ショーを実施し、生演奏で歌や踊りを披露しております。その他にも季節に合わせたイベントをスタッフが考え、みなさんに楽しんでいただけるようにしております。また、ご家族のご都合に合わせて柔軟に対応しております。夕食を食べてから帰る、急な都合でお帰りの時間を変更したいなどお気軽にご相談ください。・ショートステイ：普段通りの生活を崩さずに毎日を過ごしてもらいたいと考えています。病院のように一日中パジャマということはなく、朝起きた時には私服に着替え、夜寝るときにはパジャマに着替えて就寝するといった生活を送っています。,秋田県由利本荘市浜三川字西大台137-18,2011,33,,https://armerianosato.com/top.htm,,5百万円,
2024-07-01,株式会社アウルズ・ウイング・コーポレーション,その他医療関連,1,■一般事務・医療事務の受託■健康診断の予約受付・結果報告作業■医療機関様へ業務フローのご提案・コンサルティング業務,東京都北区岸町1-1-7 王子新扇屋ビル4F,2011,45,35.0,https://owlswing-corp.com/,代表取締役社長 松村 基修,"1,000万円",
2024-07-01,株式会社ＩＱＯＬ,福祉・介護関連サービス,1,■事業内容： 愛知県 豊田市でリハビリ特化型デイサービスを行っており、高齢化社会に伴う需要の拡大のため、店舗展開を加速させています。■ビジョン： 働く人の生活の質を革新する。自分で自分の仕事を創造する。「装具を外して歩きたい。外でスポーツを楽しみたい。」など、利用者さんの願い叶えるためのサービス作りを、１人１人が考えて構築する現場主義の体制をとっています。困っている方々に、どんなサービスを提供していくかを自分達で考え自分達で運営・実行していく。そんな自立度を高めた会社作りを目指しています。キャリアアップ次第で業界トップクラスの所得を自ら作り出すことも可能です。,愛知県西尾市上矢田町五反田31-6,,,,なし,,,
2024-07-01,リンク株式会社,福祉・介護関連サービス,1,■高齢者デイサービス「優楽亭」の運営■放課後等デイサービス「ハートリンク」の運営,神奈川県横浜市金沢区富岡西7-2-5 大菊ビル2F,2003,134,,https://link-yokohama.co.jp/,代表取締役 佐々木 敏之,1000万円,
2024-08-01,ベストリハ株式会社,福祉・介護関連サービス,4,■事業内容について： ヘルスケアソリューション事業・通所事業部（デイサービス31拠点／ジュニア3拠点）・訪問事業部（訪問看護23拠点／訪問鍼灸／訪問介護／居宅介護／福祉用具／ナーシングホーム6店舗）LMCAプラットフォーム事業・Systemプラットフォーム部（はやまる／はやまる送迎／ヘルプケア）・Foodプラットフォーム部（メディミール／メディミールPRO／メディミールPRO事業化支援）,東京都台東区上野6-16-17朝日生命上野昭和通ビル6F,2011,800,,https://bestreha.com/,,10百万円,
2024-08-01,ワイズ・インターナショナル株式会社,医療機器卸,1,■事業内容：・美容医療に特化した医薬品・医療機器の輸入代行業務、・医療機関等の運営・コンサルティング、・美容医療・再生医療・アンチエイジングに係るマーケティングリサーチ、・化粧品・雑貨の販売、各種イベントの企画・運営・管理、・学会の運営に関する事務代行業務、通訳、翻訳業務,神奈川県横浜市中区元浜町3-21-2,2011,8,,"Failed to retrieve page, status code: 410",,7百万円,
2024-08-01,有限会社翔薬,調剤薬局・ドラッグストア業界,3,■事業内容： カナリヤ調剤薬局の運営,愛知県津島市橘町2-32-2,,,,なし,,,
2024-07-01,社会福祉法人桐和会（タムスグループ）,病院・大学病院・クリニック,8,■事業内容タムスグループは医療法人社団桐和会を筆頭に現在、東京都内にクリニック、グループホーム、デイケア、訪問医療・看護、病児保育室、老健、保育園、特別養護老人ホーム、病院等を約80以上運営しております。人々の暮らしを守る重要な「柱」の一つとして、医療・リハビリ・介護ケアの充実を位置づけ、ご利用者（患者様）第一の地域に根ざした医療と介護ケアサービスの提供に真摯に取り組んでおります。タムスグループの介護施設では、入居者様が安心して日々の生活を送れるよう、介護の質を高めるとともに、自立支援ケアにも力を入れ、その方らしく生活できるよう支援しています。,埼玉県川口市大字神戸539-5,2009,550,,https://towakai.com/,,,
2024-08-01,アボットメディカルジャパン合同会社,医療機器メーカー業界,12,■事業概要：医療機器の輸入および販売を行っています。カテーテル等循環器系疾患分野の検査、治療用デバイスを取り扱っており、新規事業分野として神経外科領域にも取り組んでいます。■ミッション：世界中に蔓延する疾患に立ち向かい、増加する医療費の低減を実現できる治療法の創出に挑戦する,東京都港区東新橋1-5-2汐留シティセンター,1987,900,,https://www.cardiovascular.abbott/jp/ja/contact-us/company-profile.html,,,
2024-07-01,株式会社日健マネジメント,福祉・介護関連サービス,1,■福祉事業に関する調査・企画・立案・運営・事業資金調達などのコンサルティング■一級建築士事務所（主として有料老人ホーム・グループホーム等の介護関係施設等の設計・管理）■宅地建物取引業（不動産の売買・仲介・賃貸及管理）■介護保険法に基づく居宅サービス事業（ケアプランセンター、在宅ホームヘルプサービス）■損害保険・生命保険の代理店業,大阪府大阪市西区西本町1-10-3 新松岡ビル,1998,1200,,http://www.nikken-m.jp/,代表取締役 船津 秀典,5000万円,
2024-08-01,ＰＩＡ株式会社,医薬品メーカー業界,5,■事業内容： ・医療機器製造販売業・コンタクトレンズの輸入販売 ・医療経営コンサルタント ■企業理念：目覚しい進歩を遂げている医療の正しい知識を国民の皆様に知っていただき、健康的な生活を末永く送ることができるような社会に貢献するのが弊社の願いです。そのため弊社は、医療機器製造販売業としての立場から、皆様に安全性効果の高い医療機器を提供し、QOL(Quality of Life)の向上に寄与します。,東京都品川区大崎1-2-2アートヴィレッジ大崎10F,2011,60,,http://www.pia-corp.co.jp/,,50百万円,
2024-08-01,こまき歯科医院,病院・大学病院・クリニック,無,"歯科医院の運営・一般歯科・口腔外科・インプラント・歯周病科(歯周外科)・小児歯科・矯正歯科・予防歯科・ホワイトニング＜こまキッズ歯科について＞体験型イベント""こまキッズ”を年に1回開催しています。2012年からスタートして、今年で8回目の開院となりました。子どもたちのイキイキした顔を見るのも毎年の楽しみです♪(直近はコロナウイルスの影響により未開催) 2024年5月doda掲載求人より引用",大阪府大阪市淀川区西三国3-18-1三国ホープハウス 101,,,,"Failed to retrieve page, status code: 410",,,
2024-07-01,株式会社フォラケア・ジャパン,医療機器メーカー業界,4,■事業内容：医科向け医療機器・医療用医薬品、試験研究用機器の輸入・販売■フォラケアの特徴：フォラケアは日本をはじめ、ヨーロッパ、アメリカや台湾など世界各地に拠点を持つ、グローバルブランドです。人々に寄り添い、患者のQOLの向上に繋がる、国際品質基準を保証する良質な製品とサービスを提供しています。様々なニーズに対応する製品開発・製造・輸入に取り組み、誰にでも使いやすい、安心安全かつ良質な製品の提供を目指しています。糖尿病医療に特化した製品群は、患者をはじめ、医療現場の利便性と安全性を第一義とします。,東京都港区新橋5-10-8FORAビル3F,2009,9,,https://www.foracare.co.jp/,,100百万円,
2024-06-01,株式会社ツバキファーマシー,調剤薬局・ドラッグストア業界,3,■事業内容： 保険調剤薬局経営■当社の特徴： （1）当社と「株式会社カメリヤ･プランニング」から成るツバキグループの薬局事業を担っています。社員の勤続年数や離職率、有給取得率からライフワークバランスの取りやすい環境です。グループでは薬局事業以外に、太陽光発電事業、介護事業、宅配水事業、温泉事業も展開しております。（2）社全体99人／男性6人（薬剤師6人）＋女性93人（薬剤師48人）,大阪府泉南郡熊取町大久保東1-5-16,1991,99,41.0,http://t-gp.co.jp/index.html,,80百万円,
2024-07-01,医療法人社団墨水会,病院・大学病院・クリニック,2,＜当院最大の特徴は専門外来診療＞大学教授経験者らによる各専門外来を置き、専門機関同様の質を担保した医療・各種検診・ドックにて、癌をはじめとする脳疾患や心疾患などの様々な病気を早期発見し、そのあとの最適な治療選択までバックアップできるようなシステムを構築しております。当院には専門医だけではなく、専門医の更なる指導を実施する指導医も在籍し、都内のクリニックにおいては数少ない内視鏡指導連携施設にも認定されています。従いまして、当院には、様々な病気の早期発見を目指される健康な方から、今現在病気で苦しんでおられる方まで、幅広い対象患者さまが通われております。,東京都中央区日本橋浜町2-31-1浜町センタービル7F,2004,,,https://hamacho-cc.or.jp/index.php,,,
2024-07-01,株式会社しもふさの郷,福祉・介護関連サービス,2,■会社概要・茨城県結城市及び茨城県古河市において介護事業を展開しております。澄んだ空気と森林の中に位置するゆとりある老人ホームを運営しております。■事業内容老人ホーム、デイサービス■当社の特徴連携の医療施設、内科・整形外科・歯科からの訪問診療により、健康管理・治療が居室にて受診できる体制や通院（ケガ・病気等）、外出の際も介護員が付き添う等の入所者様やその家族の安心できる環境含めたサービス提供で支持いただいております。,茨城県結城市大字武井1248,2005,176,51.2,https://shimofusanosato.jp/,,10百万円,
2024-07-01,株式会社千広,福祉・介護関連サービス,1,■事業内容： 【福祉用具販売・レンタル 住宅改修 事業】 福祉用具のレンタル・販売 ／病院・福祉施設への福祉用具・介護用品の販売 ／住環境の提案・施工・監理【福祉施設運営 事業】 住宅型有料老人ホーム運営／居宅介護支援事業所運営／訪問介護事業所運営／訪問看護ステーション運営／通所介護事業所運営／児童発達支援事業運営,熊本県熊本市南区近見1-8-5,2003,,,https://chihiro-fukushi.jp/,,10百万円,
2024-08-01,メディカルインフォマティクス株式会社,その他医療関連,19,■事業内容：在宅医療業界に特化した総合的なクリニック支援事業。在宅医療クリニックの開業・経営に関する関するコンサルティングを行うだけでなく、在宅医療用クラウド型電子カルテ（homis）や、夜間当番医サービスなど、クリニックの課題に応じたサービスを開発・提供。また、2025年までを第二成長フェーズと位置づけ、医療を起点としながらも医療に留まることなく「こんな社会になればいいな」を実現していく新規事業をスピードにこだわって企画・推進しています。※団塊の世代がすべて７５歳以上となる２０２５年には在宅医療を受ける人が１００万人（２０１６年比の約１．５倍）を超える業界（厚生労働省推計）,東京都千代田区丸の内2-1-1明治生命館 4F,2002,130,43.0,https://mics.tokyo/,,100百万円,
2024-07-01,東京ロイヤル株式会社,福祉・介護関連サービス,1,■事業内容： ・高齢者住宅の紹介（東京ロイヤル・埼玉ロイヤル・神奈川ロイヤル）・UR賃貸住宅・住宅供給公社の賃貸住宅の斡旋・不動産の売買仲介・賃貸仲介（ロイヤルハウジング・ロイヤルハウジング販売）・ビル・アパート・マンションの賃貸管理（分譲マンションの一室を含め8400戸）・不動産の企画開発・新規分譲・リゾート不動産（マンション・別荘など）の販売及び仲介（ロイヤルリゾート）・住宅のリフォーム（ロイヤルインテリア）,東京都新宿区西新宿7-10-1O-GUARD新宿10F,2011,130,,https://www.royal-h.jp/company/gaiyou.html,,10百万円,
2024-08-01,株式会社優良館,福祉・介護関連サービス,2,■事業内容： 居宅介護支援、訪問介護、障害福祉、サービス付き高齢者向け住宅の運営堺市、泉大津市にて展開をしています。,大阪府堺市堺区東雲西町1-2-7出原ビル202,2011,15,,https://nanacaresupport.com/aboutus/,,,
2024-07-01,ＷＤＢ株式会社　エウレカ社,大学・研究施設,1,・エウレカ社は、正社員型派遣サービスに特化した、WDBの社内カンパニーです。バイオ・化学といった理化学系分野の研究開発業務において、正社員型派遣事業を行っています。・各種研修制度（HPLC、PCR、細胞培養、有機合成等）あり。実験ブランクがある方へもサポートが充実しています。・全国の研修施設数 32拠点,東京都千代田区丸の内2-3-2 郵船ビルディング2F,2004,1000,27.0,https://www.wdb-eu.com/,エウレカ社 社長 小原 万実,4億5000万円,
2024-06-01,有限会社コミュニティーハウス,福祉・介護関連サービス,2,■事業内容：介護付き有料老人ホーム・グループホーム■会社概要：有限会社コミュニティーハウスは、介護付き有料老人ホームやグループホームを運営しています。愛媛県に介護施設を展開しています。■会社風土：地域の方々を、社員を大切におもう会社当社は、創業以来、地域に密着した活動を展開しています。地域の方々を大切に、そして社員を大切におもう会社です。当社では、社員全員が長く働いていただきたいと考えている為、気持ちよく働けるよう、和気あいあいとした楽しい職場環境作りを目指しています。,愛媛県松山市高砂町4-57-6,2001,70,,なし,,3百万円,
2024-05-01,株式会社オーファンパシフィック,医薬品メーカー業界,5,■会社概要：弊社は希少疾病治療薬（オーファンドラッグ）の開発と製造販売を主たる事業目的とした製薬企業です。私たちの使命は、希少疾病を持つ患者さんとそのご家族に笑顔と幸せを届けること。私たちは、希少疾病を取り巻く課題―新たな治療薬の提供、安定供給、診断率の向上、疾患認知度の向上―に挑戦し続けます。継続的に新薬を提供していくために、長期収載品を取扱い、医薬品製造販売業者としての強みを活かした事業を行うことで売上規模の拡大を目指しています。■事業内容詳細：製造販売承認の維持管理業務製造販売薬事業務営業販売管理業務,東京都港区芝浦1-1-1,2012,50,,http://www.orphanpacific.com/index.html,,"3,087百万円",
2024-07-01,医療法人社団世航会,病院・大学病院・クリニック,1,●歯科●小児歯科●矯正歯科●口腔外科●インプラント●審美●ホワイトニング,東京都世田谷区千歳台5-7-9 グリーンウッド1F世田谷デンタルオフィス本院,2008,,27.0,https://www.setaden.com/,理事長 中島 航輝,,
2024-06-01,ライフィクスアナリティカル株式会社,バイオベンチャー業界,9,ライフィクスアナリティカル株式会社は、バイオテクノロジーにおける情報システムおよび理科学機器の販売・コンサルティング事業を行う会社です。■事業内容： ・バイオテクノロジーにおける情報システムの販売・診断・医療における情報システムの販売・情報システム及び情報サービスの企画・販売・理化学機器販売,大阪府大阪市北区中津1-18-18若杉ビル9F,2011,5,,https://www.reifycsant.com/,,9百万円,
2024-08-01,シミック株式会社,CRO,56,■事業内容：当社はシミックグループのCRO（医薬品開発支援）事業を継承し、2012年1月に設立しました。シミックグループは1992年に医薬品の開発支援業務を提供するCROのリーディングカンパニーとして創業し、顧客の様々なニーズに対応してきました。,東京都港区芝浦1-1-1浜松町ビルディング,2012,2125,,http://www.cmic.co.jp/,,100百万円,
2024-07-01,株式会社ケアシステムズ,福祉・介護関連サービス,2,■福寿会グループについて：◇必要な時に必要な人に必要なだけトータルにサービスを提供していくことを理念として、1992年の設立以来、患者様・ご利用者様が“住み慣れた町で住み慣れた場で患者様が ずっと暮らしていくために必要なもの”の提供に努めてまいりました。患者様が在宅で安心して生活していただけるよう、足立区・葛飾区・北区を中心としたエリアで、外来診療・訪問診療・入院診療をトータルで提供しております。◇地域の皆様からのご要望にこたえ、2022年10月1日に福寿会グループ5番目の病院になる「福寿会病院」を 176床で開院しました。また、2025年夏には足立区に「舎人公園病院」も開設予定です。,東京都足立区梅田7-32-6,,,,https://www.fukujukaigr.or.jp/,,,
2024-06-01,株式会社エスファーマシー,調剤薬局・ドラッグストア業界,1,■事業内容： ・調剤薬局運営・福祉用具の販売、レンタル事業・テナントビルの経営,京都府長岡京市開田4-1-7KSビル3F,2003,48,,https://otokunipharm.jp/company,,10百万円,
2024-08-01,合同会社あおぞら,福祉・介護関連サービス,1,■事業内容： 訪問介護員（ホームヘルパー）などがご自宅に訪問し、介護や日常生活上のお世話を行うサービスを提供しております。ホームヘルパーなどのスタッフが、ご自宅を訪問して必要なサービスを行います。食事や排せつなどの介助を行う「身体介護」、調理や掃除などを行う「生活援助」をはじめ、ご自宅での生活に関するサービスや日常生活でのアドバイスをいたします。,千葉県成田市中台6-1-2,2011,13,,http://hp.kaipoke.biz/1pr/,,,
2024-08-01,ユースタイルラボラトリー株式会社,福祉・介護関連サービス,2,◆医療介護ソリューション事業◆在宅介護・施設介護・医療福祉事業◆人材サービス・メディア事業◆システム開発事業◆資格・研修事業◆フランチャイズ事業,東京都中野区本町1-32-2 ハーモニータワー18階,2012,3231,36.0,https://eustylelab.co.jp/,代表取締役 大畑 健,500万円,
2024-08-01,株式会社綜合キャリアトラスト,福祉・介護関連サービス,8,綜合キャリアトラストは、2012年に設立された「特例子会社」です。精神障がい者を中心に多くの障がいのある方を雇用しており、キャムコムグループ内の仕事だけではなく、外部から受託した業務なども行っています。また、各地で就労移行支援事業所の運営を行っています。そして、設立から「福祉から脱却し、戦力へ」をコンセプトに企業の実務を切り出し、障がい者が戦力として実務に携わることのできるようなソリューションを提供しています。,東京都港区浜松町2-4-1世界貿易センタービルディング南館16F,2012,378,,https://socat.jp/,,"5,000百万円",
2024-07-01,銀座総合美容クリニック(株式会社汐留メディクス ),病院・大学病院・クリニック,6,■事業内容：銀座総合美容クリニックはAGA治療、薄毛治療専門のクリニックです。同クリニックに訪れる患者は、全ての方が、抜け毛・薄毛の悩みを持っています。なかなか打ち明けられない方もおり、誰に相談したら良いかが分からない方、髪の悩みを通じて別のコンプレックスを持ってしまう方、そんな髪の悩みを持っている方が来院します。そのため、少しでも安心して通ってもらうことが同クリニックの務めと考えています。全てのスタッフがこの考えを理解し、実現に向け日々取り組んでいます。,東京都港区新橋1-9-5新橋M-SQUARE Bright 4F・5F・6F,2008,87,,https://www.gincli.jp/,,,
2024-07-01,株式会社かくの木,調剤薬局・ドラッグストア業界,2,■事業内容：▼薬局事業 ・保険調剤、一般用医薬品・健康食品・サプリメント販売、在宅訪問事業 （健康サポート薬局、地域連携薬局認定）▼介護事業・福祉用具貸与・販売、居宅介護支援事業、包括支援センター運営（新座市委託事業）,埼玉県新座市石神2-3-3,1992,75,41.0,https://kakunoki.com/,,36百万円,
2024-06-01,株式会社シラック・ジャパン,医療機器卸,2,■事業内容： 医療用装具、コンディショニング機器（アイシングマシーン）を中心とした高性能な製品の製造・販売・整形外科関連医療用具・乳腺科、皮膚科関連医療機器・救命救急科関連,大阪府泉佐野市南中安松633-1,1994,32,38.4,http://shilacjp.com/,,10百万円,
2024-08-01,Ｅｍａｐｓ株式会社,病院・大学病院・クリニック,2,■事業内容： ＜鍼灸整骨院事業＞てあつい整体院は、根本原因を見極める検査力に基づいて施術を行います。検査によって見立て、最適な施術を行うことこそ、お身体が回復する上で重要なことです。お身体の不調・不安・不満がある方はてあつい独自のパーソナル施術をお勧めします。,広島県広島市西区己斐本町3-17-26,2012,,,"Failed to retrieve page, status code: 410",,8百万円,
2024-06-01,アスタリール株式会社（富士化学グループ）,医薬品メーカー業界,1,・ 当社当社は、世界で初めて天然アスタキサンチンの事業化に成功しました。（1994年 スウェーデンにて）・ アスタリールホールディングス（株）（2016年度売上高57億円、従業員200名）は、創業71年の歴史を持つ富山県の フジケミカルホールディングス（株） ［中核会社： 富士化学工業（株）］の傘下であり、フジケミカルグループ全体の従業員は 600名を超えています。,富山県中新川郡上市町横法音寺55,2000,26,,http://astareal.co.jp/,,10百万円,
2024-07-01,株式会社ＳＥＥＤ,福祉・介護関連サービス,1,■事業内容： 株式会社SEEDは、福祉用具・介護用品のレンタル・販売、デイサービスセンター、訪問介護、有料老人ホームなど、様々な介護サービスの運営・提供を行っております。,熊本県熊本市西区上熊本1-2-36,2012,26,,https://www.seed-hikari2.com/,,1百万円,
2024-06-01,株式会社ドルフィン・エイド,福祉・介護関連サービス,3,■事業内容：高齢者介護事業・障がい者支援事業・保育事業・薬局事業■基本理念：同社が掲げている基本理念は「皆に優しく、共に楽しく」です。幼児から障がい者そして高齢者まで、互いに優しく、心の底から楽しく生きていくことができる「ふつうの暮らし」こそ、かけがえのない素晴らしいものと考えます。同社は、このようなノーマライゼーションの考え方を実践するために、日夜努力を惜しみません。同社の実践を、施設から、町全体へ、日本中へとつなげ、拡げていきます。,岡山県倉敷市新倉敷駅前3-130,1999,157,,http://www.dolphinaid.jp/,,9百万円,
2024-08-01,メディカルホットライン株式会社,医療コンサルティング,18,【事業内容】介護と医療の運営に関わる医療以外の部門を担う事業展開を行っています。中には新規開設、サービスの展開、設営サポート等事業をスタートするための業務も担っています。また、地域の皆様から求められるものに最大限に答えるために、医療以外の分野も幅広く展開しています。私たちは経営、人材、業務効率化、システムの面等、様々な視点から皆様を支援しています。,東京都中央区八重洲1-3-7八重洲ファーストフィナンシャルビル13F,2008,,,https://www.m-hotline.jp/,,,
2024-06-01,株式会社ケイ・クリエイト,調剤薬局・ドラッグストア業界,2,■事業内容：薬局の経営,岡山県岡山市南区並木町2-13-11,1994,101,37.0,https://k-create.jp/,,10百万円,
2024-07-01,株式会社プチモンド,福祉・介護関連サービス,2,■企業概要： クリニックの開業支援「プチモンドメディカル」を展開しています。建設業界の「プチモンド」ブランドの瀟洒で清潔な建物を中心に、初期投資を大きくおさえる豊富なノウハウをもとに、独自路線で開業医のサポートを行なっています。■事業内容： ・医療・介護施設を中心とした事業の企画立案・クリニックの開業支援・クリニック総合コンサルティング・ビル総合運営・管理・高齢者住宅の運営・管理,千葉県千葉市中央区栄町35-14FC千葉ビル 4F,2012,27,45.0,https://www.petitmonde.jp,,8百万円,
2024-07-01,株式会社タカネヒューマンサポート,福祉・介護関連サービス,3,■事業内容： ・介護サービスの提供・無暖房工法による住宅の提供,長野県茅野市玉川3046-1,2006,115,,http://www.takaneh-support.co.jp/,,15百万円,
