更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,平均年齢,従業員数,企業URL,資本金,事業内容
2024-08-01,医療法人社団皆星会,病院・大学病院・クリニック,求人なし,東京都千代田区内神田3-21-6山喜ビル 2Ｆ,2007,理事長 山田 博司,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人社団瑞信会,病院・大学病院・クリニック,求人なし,東京都千代田区外神田6-9-8,1990,理事長 板橋 仁,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人社団央美会,病院・大学病院・クリニック,求人なし,東京都千代田区有楽町1-2-14紫ビル 7Ｆ,2007,理事長 小野 美央子,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,93 百万円,
2024-08-01,医療法人社団栄晴会,病院・大学病院・クリニック,求人なし,東京都中央区日本橋人形町2-7-10中央健診センタービル1Ｆ・2Ｆ・3Ｆ,2007,理事長 村松 弘康,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,122 百万円,
2024-08-01,医療法人社団東会,病院・大学病院・クリニック,求人なし,東京都中央区銀座1-6-13106ＧＩＮＺＡＢＬＤ 4Ｆ,2007,理事長 矢部 利江,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,80 百万円,
2024-08-01,医療法人社団スペクトラム,病院・大学病院・クリニック,無,東京都文京区後楽1-1-1ＴＫ－ＣＥＮＴＲＡＬ 2Ｆ,2007,理事長 簡野 晃次,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人社団雄治会,病院・大学病院・クリニック,求人なし,東京都千代田区神田小川町2-12小川町進興ビルＭＢ1Ｆ,2010,理事長 長尾 まゆみ,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,126 百万円,
2024-08-01,医療法人社団カームガーデン,病院・大学病院・クリニック,求人なし,東京都千代田区神田松永町11ＡＴ第一ビル 7Ｆ,2010,理事長 山田 康,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人社団ＧＭＣ,病院・大学病院・クリニック,無,東京都中央区銀座2-8-4泰明ビル 2Ｆ,2010,理事長 都筑 俊寛,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,82 百万円,"情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ＜耳鼻咽喉科＞当院院長の都筑俊寛は、いびき・睡眠時無呼吸症候群のレーザー治療法の開発に携わり、実に27,000件という症例件数があります。花粉症・アレルギー性鼻炎のレーザー治療・めまい治療の分野の専門医です。診断と治療には定評があり、患者様からも非常に喜ばれています。当院においては、2009年の開院以来1年間で1,500人もの患者様にいびきレーザー治療を受けていただきました。 2022年5月doda掲載求人より引用"
2024-08-01,医療法人社団行智会,その他医療関連,無,東京都中央区銀座3-2-15ギンザ・グラッセ 5Ｆ,2010,理事長 岡田 真理子,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,18 百万円,
2024-08-01,医療法人社団桜緑会,病院・大学病院・クリニック,求人なし,東京都中央区日本橋茅場町1-9-2稲村ビル5Ｆ,2011,理事長 天本 敏昭,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人社団ＴＫＧ会,病院・大学病院・クリニック,求人なし,東京都文京区小日向3-7-4メゾンたかむら 1Ｆ,2011,理事長 是澤 智久,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,41 百万円,
2024-08-01,医療法人社団佳愛会,病院・大学病院・クリニック,求人なし,東京都中央区日本橋堀留町1-10-16第8センタープラザ 1Ｆ,2001,理事長 今坂 幸一,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人社団友輝会,病院・大学病院・クリニック,無,東京都中央区銀座5-5-1マツモトキヨシ銀座5ｔｈビル 4Ｆ,2001,理事長 簡野 晃次,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,13 百万円,
2024-08-01,医療法人社団色空会,病院・大学病院・クリニック,求人なし,東京都千代田区神田駿河台4-1-2ステラお茶の水ビル3Ｆ 4Ｆ,2011,理事長 榎本 光裕,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,27 百万円,
