更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL
2024-08-01,医療法人わはは会,病院・大学病院・クリニック,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■歯科医院の経営■歯科関連会社の経営 2021年12月doda掲載求人より引用,奈良県香芝市真美ヶ丘1-5-11,2014,理事長 吉村 佳博,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人まつおかクリニック,医薬品・医療機器・ライフサイエンス・医療系サービス,求人なし,,奈良県北葛城郡王寺町王寺2-9-15ル・カーラビル 3Ｆ,2014,理事長 松岡 正樹,61 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人せいじ矯正歯科クリニック,病院・大学病院・クリニック,求人なし,,福井県越前市横市町1-57,2014,理事長 服部 誠治,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人幸仁会いちはし整形外科,病院・大学病院・クリニック,求人なし,,福井県敦賀市櫛林9-96,2001,理事長 市橋 幸三,64 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人愛康内科医院,病院・大学病院・クリニック,求人なし,,福岡県久留米市南1-27-28,2000,理事長 石井 文理,37 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人Ｅ．Ｔ．ｗｏｒｌｄ,病院・大学病院・クリニック,求人なし,,福岡県春日市上白水3-51,2015,理事長 安永 智恵,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人正歯会,病院・大学病院・クリニック,求人なし,,福岡県春日市昇町3-264モンテピーノ 2Ｆ,2000,理事長 山廣 正昭,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人井上耳鼻咽喉科,その他医療関連,求人なし,,福岡県福岡市中央区天神2-14-8福岡天神センタービル 5Ｆ,2013,理事長 井上 裕章,26 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人心信会,病院・大学病院・クリニック,求人なし,,福岡県福岡市中央区白金1-20-3紙与薬院ビル 1Ｆ・2Ｆ,2015,理事長 池田 潔,82 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人スリーエム,病院・大学病院・クリニック,求人なし,,福岡県福岡市中央区天神2-3-2天神アイエスビル 6Ｆ,2002,理事長 師井 美樹,66 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人清涼会,病院・大学病院・クリニック,求人なし,,福岡県福岡市中央区大濠公園2-35,2014,理事長 八谷 俊朗,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
