更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,合同会社うゆる,その他医療関連,求人なし,東京都港区東麻布2-35-1ＫＣビル6Ｆ,2018,代表社員 岡村 愛,2 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,メディゼン株式会社,医療機器メーカー業界,求人なし,東京都中央区晴海1-6-11606,2018,,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,医療法人嚶鳴会,病院・大学病院・クリニック,無,愛知県東海市富貴ノ台2-165,2017,理事長 平松 義文,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社Ｓａｖｅ　Ｍｅｄｉｃａｌ,その他医療関連,求人なし,東京都中央区日本橋本町3-3-6ワカ末ビル 2Ｆ,2018,代表取締役 淺野 正太郎,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社メディカルインキュベータジャパン,その他医療関連,求人なし,東京都港区赤坂1-11-28ＪＭＦビル赤坂01－8Ｆ,2018,代表取締役 桂 淳,75 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社セントラルメディエンス,その他医療関連,求人なし,東京都港区虎ノ門2-10-1虎ノ門ツインビルディングＥＡＳＴ棟 8Ｆ,2018,代表取締役 中川 隆太郎,53 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ＳＴＡＹ　ＧＯＬＤ,医療広告代理店・出版社・マーケティング・リサーチ,求人なし,東京都目黒区下目黒3-10-29,2018,代表取締役 加藤 洋司,9 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社照プロ,福祉・介護関連サービス,求人なし,神奈川県川崎市多摩区中野島6-25-5ダイヤビル107,2018,代表取締役 片見 星太,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社Ｓｍａｒｔ１１９,その他医療関連,求人なし,千葉県千葉市中央区中央2-5-1千葉中央ツインビル2号館 7Ｆ,2018,代表取締役 中田 孝明,274 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社サンメド,医療機器メーカー業界,無,愛知県豊橋市下地町字神田118-1,2018,代表取締役 奥村 友和,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,民間、国公立の医療施設（病院・クリニック）への医療機器・医療消耗品卸販売及び開発を行っています。1、医療機器・医療消耗品の開発 2、医療機器・医療消耗品の卸販売3、診療所運営コンサルタント業務 2024年6月doda掲載求人より引用
2024-08-01,ＬＩＦＳ株式会社,福祉・介護関連サービス,求人なし,大阪府東大阪市友井3-3-24,2018,代表取締役 高田 和明,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社リファイン,福祉・介護関連サービス,求人なし,兵庫県尼崎市南武庫之荘5-20-4301,2018,,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社介護サプリ,その他医療関連,求人なし,兵庫県神戸市中央区京町72新クレセントビル 5Ｆ,2018,代表取締役 玉置 慎一,41 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,Ｃｒａｉｆ株式会社,大学・研究施設,求人なし,東京都文京区湯島2-25-7ＩＴＰ本郷オフィス 5Ｆ,2018,代表取締役 小野瀨 隆一,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
