更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,事業内容,上場市場名
2024-08-01,セコムメディファーマ株式会社,調剤薬局・ドラッグストア業界,求人なし,東京都渋谷区神宮前1-5-1,2012,代表取締役 小松 淳,3,10 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社トリムメディカルホールディングス,バイオベンチャー業界,求人なし,大阪府大阪市北区大淀中1-8-34,2007,代表取締役 小川 洋一,2,635 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社メディオ,医療機器卸,求人なし,埼玉県越谷市越ヶ谷1-13-2,1981,代表取締役 品田 啓淳,2,3 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社プロテインテック・ジャパン,大学・研究施設,求人なし,東京都江東区東陽2-2-20東陽駅前ビル 8Ｆ,2016,代表取締役 栃木 淳子,2,20 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アシスト・メディコ,医療コンサルティング,無,福岡県福岡市博多区博多駅東2-6-23博多駅前第二ビル 8Ｆ,2019,代表取締役 嘉村 厚,2,30 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,■医療経営コンサルティング■介護経営コンサルティング■DPCデータ提出コンサルティング■M&A、事業継承コンサルティング■医療介護セミナー 2024年6月doda掲載求人より引用,
2024-08-01,株式会社ヘルスケアコンサルティング,医療コンサルティング,求人なし,東京都千代田区富士見1-8-19住友不動産千代田富士見ビル,2020,代表取締役 小久保 欣哉,2,20 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,エムディーエックス株式会社,医療機器卸,求人なし,福岡県福岡市博多区下川端町2-1,2022,代表取締役 嘉村 厚,2,40 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社マツモトキヨシアセットマネジメント,医薬品卸,求人なし,東京都文京区湯島1-8-2,1946,代表取締役 小部 真吾,1,80 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,不二ライフ株式会社,医療機器卸,求人なし,東京都千代田区神田錦町3-19-1不二ラテックス 4Ｆ,1970,代表取締役 岡本 昌大,1,38 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,北海道和光純薬株式会社,医薬品卸,求人なし,北海道札幌市北区北十五条西4-1-16,1955,代表取締役 横沢 龍朗,,10 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,社会福祉法人北海道リハビリー,福祉・介護関連サービス,求人なし,北海道北広島市西の里507-1,1963,理事長 石崎 岳,,"3,237 百万円",,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社梅川医科器械店,医療機器メーカー業界,求人なし,北海道札幌市東区北九条東2-3-25,1973,代表取締役 梅川 裕一,,10 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人社団北札幌病院,病院・大学病院・クリニック,求人なし,北海道札幌市北区新琴似九条1-1-1,1991,理事長 小川 秀彰,,36 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,北海道システム・サイエンス株式会社,バイオベンチャー業界,求人なし,北海道札幌市北区新川西二条1-2-1,1988,代表取締役 水谷 幸雄,,30 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ノース・メディコ株式会社,医療機器卸,求人なし,北海道苫小牧市しらかば町6-18-6,1989,代表取締役 工藤 大祐,,13 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,仙台和光純薬株式会社,その他医療関連,求人なし,宮城県仙台市若林区卸町東2-2-32,1960,代表取締役 太田 三郎,,20 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,一般財団法人竹田健康財団,病院・大学病院・クリニック,求人なし,福島県会津若松市山鹿町3-27,1950,代表理事 竹田 秀,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,源川医科器械株式会社,医療機器卸,求人なし,新潟県新潟市東区紫竹卸新町1808-22,1963,代表取締役 齋藤 洋,,20 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
