更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,株式会社パルシィー,調剤薬局・ドラッグストア業界,求人なし,埼玉県行田市行田22-6,1965,代表取締役 永沼 敬一郎,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人社団清幸会,病院・大学病院・クリニック,求人なし,埼玉県行田市富士見町2-17-17,1995,理事長 川島 治,618 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,社会福祉法人経山会,福祉・介護関連サービス,求人なし,岡山県総社市久米48-1,1993,理事長 長野 直樹,"3,776 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,社会福祉法人昇栄会,福祉・介護関連サービス,求人なし,埼玉県行田市大字真名板2027,1973,理事長 松村 二郎,586 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社アイ薬局,調剤薬局・ドラッグストア業界,求人なし,岡山県総社市門田507シティハイツムラキＢ棟 211,1997,代表取締役 村木 理英,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人社団祥和会,病院・大学病院・クリニック,求人なし,福岡県豊前市大字四郎丸281,1984,理事長 大川 順司,"1,916 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,社会医療法人聖泉会,病院・大学病院・クリニック,求人なし,岐阜県土岐市泉町久尻2431-160,1972,理事長 田伏 英晶,"1,572 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,太平窯業薬品株式会社,医薬品メーカー業界,求人なし,岐阜県土岐市土岐津町土岐口2374,1962,代表取締役 白岩 伸二,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,社会医療法人母恋,病院・大学病院・クリニック,求人なし,北海道室蘭市新富町1-5-13,1980,理事長 有賀 正,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人社団積信会,病院・大学病院・クリニック,求人なし,北海道札幌市白石区中央三条5-4-30,1980,理事長 新谷 幸義,846 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社石田歯科商会,医療コンサルティング,無,北海道札幌市東区北二十一条東7-1-21,1953,代表取締役 石田 誠,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人中村整形外科医院,病院・大学病院・クリニック,求人なし,福岡県中間市長津2-16-47,1991,理事長 中村 明生,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ニューテンサン,医療機器メーカー業界,求人なし,岐阜県各務原市蘇原興亜町4-1,1974,代表取締役 福西 勤,35 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社スマイルサポート,福祉・介護関連サービス,求人なし,埼玉県秩父市中村町4-1-3,1962,代表取締役 髙橋 信一郎,90 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社丸眞,調剤薬局・ドラッグストア業界,求人なし,埼玉県秩父市宮側町13-3,1954,代表取締役 鬼頭 和久,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人社団慈正会,病院・大学病院・クリニック,求人なし,埼玉県秩父市日野田町2-2-30,1985,,208 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人俊仁会,病院・大学病院・クリニック,求人なし,埼玉県秩父市中村町2-8-14,1995,理事長 井上 敏克,"1,406 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人格心会,病院・大学病院・クリニック,求人なし,福岡県小郡市小郡1348-1,1994,理事長 白川 由佳,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,社会福祉法人長生会,福祉・介護関連サービス,求人なし,福岡県小郡市三沢字花聳881-1,1976,理事長 柳 文生,"4,366 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人牧和会,病院・大学病院・クリニック,求人なし,福岡県筑紫野市大字永岡976-1,1979,理事長 牧 聡,"2,166 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人社団邦生会,病院・大学病院・クリニック,求人なし,福岡県筑紫野市針摺中央2-11-10,1995,理事長 髙山 一生,"1,387 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ヘルス,医療機器卸,求人なし,埼玉県所沢市弥生町2992-3,1971,代表取締役 粕谷 時夫,75 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人社団藤花会,福祉・介護関連サービス,求人なし,北海道江別市幸町22-1,1998,理事長 谷藤 方俊,321 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
