更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,有限会社つぼや食堂,ファーストフード関連,求人なし,徳島県徳島市南矢三町1-5-17,1955,代表取締役 谷 京子,4 百万円,,,,,
2024-08-01,大同門株式会社,ファーストフード関連,求人なし,大阪府吹田市豊津町9-22内田江坂駅前ビル大同門本部ビル 7Ｆ,2004,代表取締役 フォーリー 淳子,50 百万円,,,,,
2024-08-01,株式会社明治軒,ファーストフード関連,求人なし,大阪府大阪市中央区心斎橋筋1-5-32,1957,代表取締役 井本 啓子,10 百万円,,,,,
2024-08-01,有限会社白龍,ファーストフード関連,求人なし,岩手県盛岡市内丸5-15,1979,代表取締役 高階 岑子,3 百万円,,,,,
2024-08-01,株式会社アジヨシ,ファーストフード関連,求人なし,大阪府大阪市天王寺区下味原町2-2,1987,代表取締役 東原 雅典,10 百万円,,,,,
2024-08-01,株式会社ベクトル,ファーストフード関連,無,東京都大田区南馬込5-43-13,1960,代表取締役 田口 義明,17 百万円,,,,,
2024-08-01,株式会社八幡家,ファーストフード関連,求人なし,宮城県石巻市中央2-8-23,1969,代表取締役 阿部 紀代子,10 百万円,,,,,
2024-08-01,有限会社ポルシェ,ファーストフード関連,求人なし,広島県尾道市高須町1351-1,1952,代表取締役社長 樫本英和,48 百万円,,,,,
2024-08-01,有限会社山形一寸亭,ファーストフード関連,求人なし,山形県山形市薬師町2-17-2,1993,代表取締役 佐藤 悟一,5 百万円,,,,,
2024-08-01,株式会社ダイニング・クエスト,ファーストフード関連,求人なし,大阪府大阪市西成区千本南1-17-25,1994,代表取締役 加藤 肇悟,35 百万円,,,,,
2024-08-01,株式会社田季野,ファーストフード関連,求人なし,福島県会津若松市栄町5-31,1981,代表取締役 馬塲 大善,50 百万円,,,,,
2024-08-01,有限会社イズ興産,ファーストフード関連,求人なし,大阪府大阪市城東区今福西5-9-4,1986,取締役 泉本 光央,5 百万円,,,,,
2024-08-01,株式会社ツイキ,居酒屋・バー,求人なし,大阪府大阪市鶴見区鶴見4-5-13,2001,代表取締役 眞山 仁,15 百万円,,,,,
2024-08-01,有限会社はな甚,居酒屋・バー,求人なし,埼玉県川越市中原町2-12-23,1990,代表取締役 立花 義春,3 百万円,,,,,
2024-08-01,有限会社金沢風土家,ファーストフード関連,無,石川県金沢市木倉町1-7,2001,取締役 中野 信,3 百万円,,,,,
2024-08-01,有限会社ドゥシェフ,ファーストフード関連,求人なし,埼玉県さいたま市浦和区仲町1-11-3小林ビルＢ1,1986,取締役 廣田 亮,3 百万円,,,,,
2024-08-01,株式会社ガネーシャ,居酒屋・バー,求人なし,富山県富山市大泉東町1-4-7,1987,代表取締役 本田 大輝,5 百万円,,,,,
2024-08-01,有限会社満壽家,居酒屋・バー,無,埼玉県さいたま市浦和区岸町7-1-3,1952,代表取締役 矢部 貢美子,3 百万円,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 うなぎ料理専門店の運営、ならびにうなぎ関連商品の小売・オンライン販売 2023年4月doda掲載求人より引用,
2024-08-01,ありがとう株式会社,ファーストフード関連,求人なし,富山県高岡市横田本町8-15,2000,代表取締役 谷川 洋司,20 百万円,,,,,
2024-08-01,株式会社山家,ファーストフード関連,求人なし,埼玉県さいたま市大宮区大門町1-24,1954,代表取締役 小林 慎一郎,20 百万円,,,,,
2024-08-01,有限会社いのたに,ファーストフード関連,求人なし,徳島県徳島市西大工町4-25,1976,代表取締役 猪谷 貴雄,3 百万円,,,,,
2024-08-01,株式会社太陽,ファーストフード関連,求人なし,千葉県茂原市腰当1182-5,1989,代表取締役 古川 洋光,10 百万円,,,,,
2024-08-01,株式会社店舗事業センター,ファーストフード関連,求人なし,京都府京都市下京区東境町191-2烏丸七条ビル 5Ｆ,1986,代表取締役 上田 伸二郎,10 百万円,,,,,
2024-08-01,有限会社金時洋食店,居酒屋・バー,求人なし,千葉県成田市上町507-2,1957,代表取締役 加藤 朋之,5 百万円,,,,,
2024-08-01,有限会社華都公司,ファーストフード関連,求人なし,京都府京都市中京区河原町通二条下る一之船入町537,1998,代表取締役 塩見 信豊,15 百万円,,,,,
2024-08-01,株式会社ネクスト・ブレイン,居酒屋・バー,求人なし,京都府京都市伏見区深草西出町37,1991,代表取締役 工藤 順一,10 百万円,,,,,
2024-08-01,有限会社栄山堂,ファーストフード関連,求人なし,京都府京都市東山区清水2丁目226,1978,代表取締役 岩月 傑,3 百万円,,,,,
2024-08-01,有限会社ユーランド,ファーストフード関連,求人なし,京都府宇治市宇治里尻78,1994,代表取締役 今村 成大,3 百万円,,,,,
2024-08-01,有限会社エチオピア,ファーストフード関連,求人なし,東京都千代田区神田小川町3-10-6,1992,代表取締役 鈴木 堅司,3 百万円,,,,,
2024-08-01,株式会社カフェ・ボンフィーノ,ファーストフード関連,求人なし,東京都千代田区神田和泉町1,1988,代表取締役 西村 良二,20 百万円,,,,,
2024-08-01,長浜萬商株式会社,ファーストフード関連,求人なし,滋賀県長浜市南田附町315,1965,代表取締役 清水 大介,10 百万円,,,,,
2024-08-01,三創産業株式会社,ファーストフード関連,無,東京都千代田区三番町1三番町ホテルビル 4Ｆ,1991,代表取締役 田中 半一,50 百万円,,,,,
2024-08-01,福田企業有限会社,ファーストフード関連,求人なし,東京都千代田区紀尾井町1-13,1950,代表取締役 福田 貴之,10 百万円,,,,,
2024-08-01,株式会社ビッグシェフ,ファーストフード関連,求人なし,兵庫県神戸市北区山田町下谷上字かんじや3,1997,代表取締役 和田 重敏,10 百万円,,,,,
2024-08-01,株式会社車力,ファーストフード関連,求人なし,東京都千代田区神田佐久間町2-10飯島ビル 1Ｆ,1958,代表取締役 飯島 慶三,10 百万円,,,,,
2024-08-01,株式会社紀尾井久兵衛,ファーストフード関連,求人なし,東京都千代田区紀尾井町4-1ホテルニューオータニ内,1964,代表取締役 三原 和子,10 百万円,,,,,
2024-08-01,有限会社藪蕎麦,ファーストフード関連,求人なし,東京都千代田区神田淡路町2-10新連雀ビル 201,1952,代表取締役 堀田 康彦,10 百万円,,,,,
2024-08-01,有限会社てっぺん,ファーストフード関連,求人なし,東京都文京区白山2-38-14,1990,代表取締役 犬塚 俊裕,23 百万円,,,,,
2024-08-01,有限会社博多屋,居酒屋・バー,求人なし,愛媛県松山市上高野町甲66-8,1993,代表取締役 石﨑 智也,5 百万円,,,,,
2024-08-01,株式会社フィール,ファーストフード関連,求人なし,東京都中央区八重洲1-5-15田中八重洲ビル 9Ｆ,1993,代表取締役 田中 至,20 百万円,,,,,
2024-08-01,株式会社アルバータダイニング,ファーストフード関連,無,兵庫県姫路市白国1-5-17,1999,代表取締役 牧野 康博,10 百万円,,,,,
2024-08-01,株式会社ヤマタケイ物産,ファーストフード関連,求人なし,東京都中央区日本橋人形町2-21-11山竹・井手口共同ビル 701,1964,代表取締役 竹内 精一,10 百万円,,,,,
2024-08-01,有限会社もんじゃ麦,ファーストフード関連,求人なし,東京都中央区月島1-22-1,1991,代表取締役 清水 学,3 百万円,,,,,
2024-08-01,有限会社よねもと,ファーストフード関連,求人なし,東京都中央区築地4-11-1,1960,代表取締役 米本 謙一,3 百万円,,,,,
2024-08-01,日乃出食品株式会社,ファーストフード関連,求人なし,東京都中央区銀座5-13-18,1948,代表取締役 今里 光子,47 百万円,,,,,
2024-08-01,株式会社高嶋家,ファーストフード関連,求人なし,東京都中央区日本橋小舟町11-5,1948,代表取締役 鴛尾 明,,,,,,
2024-08-01,株式会社トヨトクフーズ,外食産業・飲食業界,求人なし,岡山県岡山市南区三浜町2-17-9,1998,代表取締役 枝松 初,3 百万円,,,,,
2024-08-01,株式会社信濃屋,ファーストフード関連,求人なし,東京都中央区月島1-22-1ミッドタワーグランド122,1952,代表取締役 岡戸 秀樹,10 百万円,,,,,
2024-08-01,株式会社渡辺ハゲ天,ファーストフード関連,無,東京都中央区銀座3-4-6,1955,代表取締役 渡辺 徹,50 百万円,,,,,
2024-08-01,銀座スエヒロカフェテリアサービス株式会社,ファーストフード関連,求人なし,東京都中央区銀座6-14-20,1986,代表取締役 山中 広太郎,20 百万円,,,,,
2024-08-01,有限会社梅林,ファーストフード関連,求人なし,東京都中央区銀座7-8-1渋谷ビル 8Ｆ,1947,代表取締役 渋谷 昌也,3 百万円,,,,,
2024-08-01,株式会社砂場,ファーストフード関連,求人なし,東京都中央区日本橋室町4-1-13,1950,代表取締役 村松 毅,10 百万円,,,,,
2024-08-01,有限会社カミムラ,居酒屋・バー,無,東京都港区新橋3-18-6上村ビル 1Ｆ,1980,,5 百万円,,,,,
2024-08-01,株式会社東京大関会館,ファーストフード関連,求人なし,東京都港区虎ノ門1-8-16第2マスモトビル,1963,代表取締役 篠原 義敏,10 百万円,,,,,
2024-08-01,東湖株式会社,ファーストフード関連,求人なし,東京都港区六本木6-8-15第二五月ビル 2Ｆ,1995,代表取締役 徐 耀華,50 百万円,,,,,
2024-08-01,株式会社伊真沁,ファーストフード関連,求人なし,東京都港区赤坂2-12-24,1988,代表取締役 池橋 敬雄,10 百万円,,,,,
2024-08-01,有限会社勝栄,居酒屋・バー,求人なし,東京都港区芝5-34-7田町センタービルピアタ 1Ｆ,1978,代表取締役 渡邉 慶太,3 百万円,,,,,
2024-08-01,株式会社今朝,ファーストフード関連,求人なし,東京都港区東新橋1-1-21今朝ビル 9Ｆ,1923,代表取締役 藤森 朗,19 百万円,,,,,
2024-08-01,株式会社稲垣,ファーストフード関連,無,東京都港区虎ノ門1-10-6,1966,代表取締役 稲垣 隆俊,10 百万円,,,,,
2024-08-01,株式会社タツノ,居酒屋・バー,求人なし,東京都新宿区神楽坂2-12-1ラインビルド神楽坂 103,1977,代表取締役 中田 覚,40 百万円,,,,,
2024-08-01,有限会社立花うどん,ファーストフード関連,求人なし,福岡県柳川市三橋町高畑265-4,1984,代表取締役 藤丸 由梨恵,5 百万円,,,,,
2024-08-01,株式会社新宿うな鐵,ファーストフード関連,求人なし,東京都新宿区歌舞伎町1-11-2,1987,代表取締役 花澤 健太,8 百万円,,,,,
2024-08-01,株式会社永明,ファーストフード関連,無,東京都新宿区四谷3-10-25永明ビル,1993,代表取締役 呉 永錫,10 百万円,,,,飲食業、食料品（惣菜製造・販売業）イベント業（企画・制作・運営）ファッション製造、販売業務貿易業 2023年9月doda掲載求人より引用,
2024-08-01,株式会社カスタム,ファーストフード関連,求人なし,東京都文京区湯島3-40-7カスタムビル 1Ｆ,1968,代表取締役 櫻井 聖剛,30 百万円,,,,,
2024-08-01,有限会社はし本,ファーストフード関連,求人なし,東京都文京区水道2-5-7,1989,代表取締役 橋本 信二,3 百万円,,,,,
2024-08-01,テン開発株式会社,居酒屋・バー,求人なし,愛媛県松山市二番町1-12-5ＴＥＮビル,1981,代表取締役 新谷 英明,10 百万円,,,,,
2024-08-01,株式会社浅草うな鐵,ファーストフード関連,求人なし,東京都台東区浅草1-43-7建石ビル 1Ｆ,1988,代表取締役 藤野 豊,10 百万円,,,,,
2024-08-01,株式会社中清,ファーストフード関連,求人なし,東京都台東区浅草1-39-13,1966,代表取締役 中川 敬規,10 百万円,,,,,
2024-08-01,株式会社中江,ファーストフード関連,求人なし,東京都台東区日本堤1-9-2,1954,代表取締役 中江 白志,10 百万円,,,,,
2024-08-01,宮代商事有限会社,ファーストフード関連,求人なし,東京都台東区雷門1-15-1,1954,代表取締役 宮代 清子,4 百万円,,,,,
2024-08-01,有限会社満佐,居酒屋・バー,求人なし,福岡県福岡市博多区中洲1-8-25,1970,代表取締役 白藤 フサエ,5 百万円,,,,,
2024-08-01,有限会社福伸,ファーストフード関連,求人なし,熊本県上天草市松島町合津6003-1,2004,代表取締役 福田 丈人,3 百万円,,,,,
2024-08-01,有限会社太郎,居酒屋・バー,求人なし,東京都江東区深川2-1-20ＴＲビルディング,1978,取締役 髙瀨東洋,10 百万円,,,,,
2024-08-01,有限会社サワ,居酒屋・バー,求人なし,東京都品川区大井1-1-16,1988,代表取締役 佐藤 孝,3 百万円,,,,,
2024-08-01,有限会社フードマン,ファーストフード関連,無,福岡県福岡市中央区大名2-6-201Ｆ,2001,取締役 有吉 淳一郎,30 百万円,,,,,
2024-08-01,株式会社古仙,居酒屋・バー,求人なし,福岡県北九州市八幡西区黒崎5-4-24,2001,代表取締役 太田 信博,8 百万円,,,,,
