更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,株式会社太平タイヤ,自動車ディーラー,求人なし,愛知県名古屋市中川区富田町大字包里字東亥寅新田1227-1,1993,代表取締役 松井 重幸,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社エックス,小売業界,求人なし,東京都千代田区神田須田町1-7,2002,代表取締役 前田 明美,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ガレージコンプリート,自動車ディーラー,求人なし,栃木県那須塩原市三区町651-9,2010,代表取締役 八木澤 航,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ピッポッパ,専門店・その他小売,求人なし,福岡県飯塚市若菜259-9,2008,代表取締役 下川 康弘,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社エネコム,専門店・その他小売,求人なし,神奈川県横浜市保土ケ谷区天王町1-11-4,2010,代表取締役 新井 秀光,4 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社ニード,コンビニエンスストア,求人なし,大阪府大東市緑が丘2-9-6,1997,代表取締役 吉川 雅英,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アグレイド,専門店・その他小売,求人なし,新潟県上越市東城町2-3-3,2011,,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社フィオーレ,専門店・その他小売,求人なし,大阪府和泉市黒石町65,2008,代表取締役 髙橋 澄代,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,プルーム株式会社,通信販売・ネット販売,求人なし,愛知県春日井市高山町1-2-22,1984,代表取締役 鳥羽 高彰,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社日商サカエ,食品・GMS・ディスカウントストア,求人なし,埼玉県川口市芝宮根町20-6エテルナ・ルミエーラ芝 1,1980,代表取締役社長 加藤 千秋,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社リュウシン,コンビニエンスストア,無,大阪府大阪市淀川区西中島2-15-14東行ビル 2Ｆ,1993,代表取締役 柳田 進介,45 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社アグリパーク新潟,専門店・その他小売,求人なし,新潟県新潟市東区向陽3-1-6,1997,代表取締役 伊藤 泰子,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社Ｒ＆Ｃ,通信販売・ネット販売,求人なし,東京都港区新橋2-16-1,1993,代表取締役 澤田 匠,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,アニマライフペットケア株式会社,食品・GMS・ディスカウントストア,求人なし,大阪府大阪市西区江戸堀2-1-1江戸堀センタービル 9Ｆ,2010,代表取締役 谷口 隆祐,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社タートルストーン,通信販売・ネット販売,求人なし,神奈川県横浜市戸塚区上倉田町2009-2タートルストーンビル 401,1988,代表取締役 亀石 剣一郎,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,カワハラダ有限会社,専門店・その他小売,求人なし,大阪府堺市堺区東永山園2-30,1991,取締役 川原田 剛,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ケント,専門店・その他小売,求人なし,静岡県静岡市駿河区中原453-3,2002,代表取締役 樋口 貴典,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ジョンティー,専門店・その他小売,求人なし,静岡県静岡市葵区井宮町215-1,1999,代表取締役 伊藤 昌宏,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,埼玉日産自動車株式会社,自動車ディーラー,求人なし,埼玉県さいたま市中央区上落合9-3-6,2011,代表取締役 白土 貴久,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ヘルシーワーク,ドラッグストア・調剤薬局,求人なし,大阪府大阪市北区天満4-6-10合椎ビル 4Ｆ,1996,代表取締役 市原 直樹,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社秋田県物産振興会,専門店・その他小売,求人なし,秋田県秋田市中通2-3-8アトリオン Ｂ1Ｆ,2007,代表取締役 矢本 雅春,27 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
