更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-07-01,株式会社アレーゼ三重,自動車ディーラー,2,■事業内容：イタリアを代表する自動車メーカー、フィアット／アバルトの正規ディーラーとして、新車・中古車の販売、修理、購入後のメンテナンスなどアフターサービスまで完全実施しております。■事業内容詳細：新車販売／中古車販売／車検点検作業／一般修理／車両輸送／レッカー／鈑金修理／用品販売／レンタカー／自動車保険／JAF加入／ローン／リース■勤務地：・フィアット／アバルト四日市・・・三重県 四日市市 茂福町2-27・フィアット／アバルト鈴鹿南・・・三重県鈴鹿市磯山3-12-37,三重県四日市市茂福町2-27,2008,10,5百万円,,https://www.arese-mie.com,,
2024-08-01,株式会社カウデザイン,専門店・その他小売,1,■海外製ヘルスケア機器や健康製品の輸入・販売■海外講師のセミナー開催やイベント企画など。,東京都港区南青山5-13-1 プレファス南青山5階,1996,2,1000万円,36.0,https://caudesign.jp/,代表取締役 寺岡 丈織,
2024-06-01,株式会社ハンズ,自動車ディーラー,2,■事業内容：新車および中古車の販売、買取、輸出、輸入業務、整備、板金塗装、レンタカー、リース、カーシェア、損害保険、生命保険,東京都江戸川区松島1-32-1,2010,15,40百万円,,http://handz.co.jp/,,
2024-06-01,上野自動車株式会社,自動車ディーラー,1,■トラックを主として新車、中古車の販売・買取■いすゞ自動車近畿㈱の販売協力店■修理・鈑金塗装■クレーン取り付け・ボディ載せ替えなど、ボディ架装及びカスタマイズ■トラックレンタカー【事業所】兵庫園田本店 （展示場／本店業務）兵庫篠山支店（大型展示場／レンタカー／工場）関東支店 （展示場／レンタカー）中部支店(岐阜県)（展示場）※全店合わせて400台を超える豊富な在庫,兵庫県尼崎市東園田町2-192,2006,44,"1,000万円",,http://0321.jp/,代表取締役 上野 栄利,
2024-06-01,株式会社新光商会,ホームセンター,1,■企業概要当社は、名古屋市にて配管材料の卸業を行っています。フランジ・パイプ・継手・バルブ・金具・ボルト・パッキン等幅広く取り扱っています。配管材料に関する事は新光商会にお任せ下さい。■事業内容配管卸業,愛知県知多市寺本新町2-56,2007,6,3百万円,,https://shinkou-shokai.com/,,
2024-08-01,株式会社ジャパネットホールディングス,通信販売・ネット販売,3,■通信販売事業、スポーツ・地域創生事業におけるグループ全体の人事戦略、経営戦略、広報戦略、情報システム開発を含む経営戦略、広告企画・映像・グラフィック制作■グループ各社のバックオフィス業務,長崎県佐世保市日宇町2781,2007,456,1000万円,37.0,https://corporate.japanet.co.jp/company/outline/japanetholings/,代表取締役社長 兼 CEO 髙田 旭人,
2024-07-01,有限会社ジョイフルライフ,コンビニエンスストア,2,■事業内容： ⇒ファミリーマートFC、コメダ珈琲店FC、飲食店の運営コンビニ「ファミリーマート」を米子・境港・安来に６店舗運営。飲食店「コメダ珈琲店」を米子に２店舗運営。地域のお客様１人１人にきめ細やかなサービスを提供して参りました。,鳥取県米子市大篠津町690-15,2005,85,3百万円,,https://joyful-kanex.jp/joyful/,,
2024-07-01,株式会社JCトレーディング,食品・GMS・ディスカウントストア,3,■事業内容： ・加工食品の輸出入及び販売,埼玉県さいたま市南区別所1-2-8インテルU302,2009,5,9百万円,,なし,,
2024-08-01,株式会社DOI乳販,専門店・その他小売,1,■事業内容： 牛乳の販売・配達■事業の特徴：同社では、神戸市、芦屋市、西宮市を中心に顧客の自宅に商品を届ける「宅配サービス」を提供しています。白バラ牛乳・メグミルク・ジャージー牛乳の牛乳・乳製品を中心とした豊富な宅配専用商品に加え、デザートから梅干まで顧客のニーズにあった商品を、自宅まで届けています。商品の品質はもちろん、当店独自のメール会員サービスも行い、顧客が楽しんで牛乳を飲めるよう努力しています。,兵庫県神戸市東灘区本庄町3-6-17,1970,28,3百万円,,"Failed to retrieve page, status code: 410",,
2024-06-01,株式会社ブリッジ,自動車ディーラー,1,■事業内容： ・マセラティ／ジャガー・ランドローバーの正規代理店としてのディーラービジネス・輸入車の販売及びアフターセールス・損害保険の販売（東京海上日動火災保険 代理店）・生命保険の販売（東京海上あんしん生命 代理店）・レンタカービジネス車に関連することをトータルでサポートし、中でも特に高額な輸入車を得意として事業を展開しています。上記ブランド以外のその他ブランドも、全国のネットワークを駆使してお客様にとってより良い商品をお届けし、カーライフを楽しんでいただけるよう日々励んでいます。,広島県福山市入船町2-1-24,2009,12,10百万円,,https://www.cb-bridge.co.jp/car/,,
2024-08-01,京越株式会社,専門店・その他小売,4,■事業内容：和装製品のEC製造小売直販／和装問屋筋・小売店・通販など和装製品の卸販売及びOEM受注アパレル製品の卸販売及びEC製造小売直販／ウィッグの製造EC小売直販／きものレンタル／和装製品小売販売,京都府京都市下京区東洞院通綾小路下る扇酒屋町2912F,2009,170,10百万円,,http://www.kyoetsu.co.jp/,,
2024-07-01,株式会社ウサギオンライン,専門店（アパレル・アクセサリー）,6,■事業内容(1)EC事業部：マッシュグループが独占販売権を持つコスメをはじめ、snidel、gelato piqueなど人気ブランドがいっせいに揃うショッピングモール(2)STORE事業部：音楽やアート作品などを取り揃えたファッションやカルチャーを発信するオンラインデパート「USAGI ONLINE」のリアルショップを運営(3)事業開発部：「USAGI ONLINE STORE」限定アイテムの企画ほか,東京都千代田区麹町5-7-2MFPR麹町ビル6F,2013,35,10百万円,,http://www.usagi-online.co.jp/profile.html,,
2024-07-01,イオンリカー株式会社,専門店・その他小売,3,■事業内容：リカー専門店運営事業、リカーのインターネット販売事業、リカーの商品供給事業■事業の特徴：・リカーショップ事業…首都圏を中心にリカー専門店を運営しています。・卸事業…自社直輸入ワインをはじめあらゆるお酒、食品をリカーショップに納入しています。・インターネット事業…イオンリカー独自の商品を中心にネット販売をしています。・コンサルタント事業…イオングループを中心に全国のリカーショップのマーチャンダイジング、運営、企画あらゆる面でサポートしています。,千葉県千葉市美浜区中瀬1-4,2013,230,10百万円,,http://www.aeonliquor.co.jp/,,
