更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,株式会社スズキ自販徳島,自動車ディーラー,求人なし,徳島県徳島市沖浜東2-6-1,1978,代表取締役 織田 隆志,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アイ,専門店・その他小売,求人なし,京都府与謝郡与謝野町字算所440,1990,代表取締役 中西 雄一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社たかまつ楽器,専門店・その他小売,求人なし,香川県高松市伏石町2062-5,1976,取締役 香西 かおり,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ダイコク自動車株式会社,自動車ディーラー,求人なし,大阪府大阪市東成区神路1-5-15,1976,代表取締役 山﨑 登,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,足立石油株式会社,専門店・その他小売,求人なし,京都府与謝郡与謝野町字男山60,1975,代表取締役 足立 経彦,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ホンダ大阪販売株式会社,自動車ディーラー,求人なし,大阪府大阪市東成区玉津2-17-21,1956,代表取締役 松下 真一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社エンジェリーいのこ,専門店（アパレル・アクセサリー）,求人なし,愛知県一宮市大江3-1-21,1996,代表取締役 猪子 誠兒,15 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,小野株式会社,専門店・その他小売,求人なし,香川県高松市塩屋町14-5,1969,代表取締役 小野 兼資,38 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社メガネのセンリ,専門店・その他小売,求人なし,大阪府大阪市東成区大今里西3-5-9,1972,代表取締役 中尾 卓司,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,関西日佛自動車株式会社,自動車ディーラー,求人なし,大阪府大阪市東成区大今里南3-5-28,1965,代表取締役 北川 雅信,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
