更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,資本金,平均年齢,従業員数,企業URL,代表者,上場市場名
2024-08-01,株式会社フヨウサキナ,化粧品メーカー,2,■事業内容：・美容機器・化粧品卸販売、健康食品等卸販売、ウィッグ卸販売,北海道札幌市中央区南一条西12-4扶洋第一ビル,1982,30百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ニッセイ商事株式会社,専門店・その他小売,求人なし,,大阪府大阪市中央区本町3-5-7御堂筋本町ビル 4Ｆ,1988,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 松本 吉弘,
2024-08-01,株式会社須川木工,専門店・その他小売,求人なし,,鹿児島県大島郡天城町大字天城456-13,1988,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 順 利夫,
2024-08-01,佐野味噌醤油株式会社,食品・GMS・ディスカウントストア,無,味噌の仕入れ・販売味噌の関連食品（調味料など）の製造・販売イートイン 2024年3月doda掲載求人より引用,東京都江東区亀戸1-35-8,1961,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 佐野 正明,
2024-08-01,株式会社オーキタ家具,専門店・その他小売,求人なし,,大阪府大阪市中央区本町橋2-23第7松屋ビル 1305,1991,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 植村 剛,
2024-08-01,株式会社芝産業,食品・GMS・ディスカウントストア,求人なし,,大阪府大阪市北区東天満2-7-16インサイドビル 401,1986,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 城家 伸太郎,
2024-08-01,株式会社小松屋,専門店（アパレル・アクセサリー）,求人なし,,愛知県豊川市御津町西方松本86-5,1958,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 松村 庫治,
2024-08-01,株式会社堀口硝子,専門店・その他小売,求人なし,,東京都江東区北砂3-12-5,1947,15 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 堀口 隆,
2024-08-01,有限会社中西自動車,自動車ディーラー,求人なし,,愛知県豊川市御津町御馬塩入130,1985,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 中西 香智,
2024-08-01,株式会社サン・マーク,食品・GMS・ディスカウントストア,求人なし,,東京都江東区木場2-7-15第一びる別館 5Ｆ,1967,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小石川 昭治,
