更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,上場市場名
2024-08-01,株式会社コウワ,内装・インテリア・リフォーム,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ◆店舗内装工事◆防水材・塗床材などの建築資材の販売◆各種建設業（建築工事業／タイル・れんが・ブロック工事業／塗装工事業／防水工事業／内装仕上工事業 ／建具工事業／解体工事業）◆建設業許可番号 国土交通大臣（特-2）第10873号 2023年5月doda掲載求人より引用,大阪府大阪市福島区海老江6-1-22,1975,代表取締役社長 原 千馬,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,阪急阪神エステート・サービス株式会社,不動産管理,求人なし,,大阪府大阪市福島区海老江1-1-31阪神野田センタービルディング 17Ｆ,1961,代表取締役 大﨑 健一,67 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,アトラス建設株式会社,建築設計事務所,求人なし,,三重県三重郡菰野町大字大強原2154,1968,代表取締役 岩田 空展,35 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社山口組,サブコン,求人なし,,愛知県名古屋市港区宝神3-1211-1,1996,代表取締役 山口 栄吉,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,太陽サーブ株式会社,サブコン,求人なし,,大阪府大阪市福島区吉野4-22-9,1978,代表取締役 石井 克侑,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社大橋不動産,不動産仲介,無,■不動産仲介及び管理＜免許＞■愛知県知事（5）19172 2023年10月doda掲載求人より引用,愛知県名古屋市港区東海通3-21-1アマーレ東海道 1Ｂ,2000,代表取締役 森山 修平,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社今井工務店,サブコン,求人なし,,神奈川県横浜市栄区上郷町52-2コープ今井 1Ｆ,1972,代表取締役 今井 松栄,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,日米エンジニアリング株式会社,設備管理・メンテナンス,求人なし,,兵庫県神戸市東灘区住吉南町2-10-17,1958,代表取締役 中尾 二郎,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社頸城建工,建築設計事務所,求人なし,,新潟県上越市頸城区西福島522-3,1970,代表取締役 福田 孝則,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,新開発事業株式会社,サブコン,求人なし,,新潟県上越市頸城区天ケ崎390-1,1981,代表取締役 福島 浩二,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社北陸土建,ゼネコン,求人なし,,新潟県上越市頸城区西福島566-11,1979,代表取締役 佐伯 寿一,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ダン総合設計,建築設計事務所,求人なし,,神奈川県横浜市栄区長尾台町407-1,1980,代表取締役 土方 碩哉,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社源建設,サブコン,求人なし,,新潟県上越市吉川区原之町1856-4,1972,代表取締役 矢澤 源一郎,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社大船住研,ゼネコン,求人なし,,神奈川県横浜市栄区小菅ケ谷2-43-13,1982,代表取締役 畠山 圭造,37 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,山栄地所株式会社,不動産管理,求人なし,,兵庫県神戸市東灘区住吉宮町6-14-14坂本ビル 3Ｆ,1976,代表取締役 山本 和成,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,エイテック株式会社,建築設計事務所,求人なし,,大阪府大阪市福島区吉野4-24-5,1982,代表取締役 増田 浩二,36 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,秀和株式会社,不動産仲介,求人なし,,神奈川県横浜市栄区笠間町1-11ルリエ大船102,1975,代表取締役 谷山 力一,80 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,石井造園株式会社,内装・インテリア・リフォーム,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 造園、土木工事請負、壁面緑化・屋上緑化・民間造園工事設計施工、緑地・民間庭園の維持管理作業、ガレージ・アプローチなどエクステリア工事 2021年9月doda掲載求人より引用,神奈川県横浜市栄区笠間4-11-5,1966,代表取締役 石井 直樹,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,東京炭素工業株式会社,不動産仲介,求人なし,,東京都港区新橋3-4-11山崎ビル,1947,代表取締役 山﨑 利恵,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,東京加工紙株式会社,住宅設備・建材,無,■紙、各種フィルムのグラビア印刷水性フレキソ印刷、ラミネート加工、ホットメルト加工、ワックス加工（パラフィン加工）、スリット加工＜取り扱い品目＞たばこ用包装材料、食品用包装紙、医療用紙、各種巻取ラベル、ウェハーシートなど 2024年4月doda掲載求人より引用,東京都港区浜松町2-9-3ＮＢＣ浜松町ビル 6Ｆ,1935,代表取締役 吉原 宗彦,60 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,野田庄株式会社,不動産管理,求人なし,,大阪府大阪市福島区玉川1-8-9野田庄ビル本館野田庄マンション 201,1959,代表取締役 中 好枝,27 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,大橋庭園株式会社,サブコン,求人なし,,神奈川県横浜市栄区犬山町4-7,1973,代表取締役 大橋 清己,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,東洋海事工業株式会社,ディベロッパー,求人なし,,東京都港区西新橋2-23-1第3東洋海事ビル 7Ｆ,1943,代表取締役 橋元 新平,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社トーマネ,内装・インテリア・リフォーム,求人なし,,東京都中央区銀座1-11-1東京橋ビル,1951,代表取締役 岩下 久起,49 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,ニッシン株式会社,サブコン,求人なし,,兵庫県神戸市東灘区御影本町5-4-10,1991,代表取締役 田上 育宏,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,橋本不動産株式会社,不動産仲介,求人なし,,大阪府大阪市福島区大開1-14-12橋本ビル 1Ｆ,1982,代表取締役 橋本 仁,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,村田興産株式会社,不動産管理,求人なし,,京都府京都市南区東九条室町63-1,1966,代表取締役 村田 元希,15 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社さくら住宅,内装・インテリア・リフォーム,求人なし,,神奈川県横浜市栄区桂台西2-4-3,1997,代表取締役 小林 久祉,98 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社虎ノ門実業会館,不動産仲介,求人なし,,東京都港区虎ノ門1-1-20新虎ノ門実業会館 Ｂ3,1950,代表取締役 河村 恭臣,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,川村装飾株式会社,内装・インテリア・リフォーム,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■インテリア用品一切の卸販売■カーテン、ブラインド工事■壁装工事■カーペット、長尺ビニルシート、タイル等床工事■アコーディオン、パーテイション等間仕切り工事■舞台幕工事■その他、建築内装仕上げ工事全般 2021年10月doda掲載求人より引用,兵庫県神戸市東灘区住吉宮町6-14-6,1992,代表取締役 小田 勝政,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,熱田木材株式会社,住宅設備・建材,求人なし,,愛知県名古屋市熱田区大宝2-4-24,1948,代表取締役 大野 優子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社磯辺建設,ゼネコン,求人なし,,兵庫県神戸市東灘区青木5-6-8磯辺ビル南館,1993,代表取締役 磯邉 正嘉,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,三恭工業有限会社,サブコン,求人なし,,三重県三重郡菰野町大字菰野1363-3,1988,代表取締役 山本 敦,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,シノハタ精工株式会社,設備管理・メンテナンス,求人なし,,大阪府大阪市福島区鷺洲1-8-15,1974,代表取締役 篠畑 宏太郎,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社シンコーワ,ゼネコン,求人なし,,愛知県名古屋市中村区鈍池町2-45,1991,代表取締役 古市 光明,23 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社中村精巧,不動産管理,求人なし,,東京都港区白金1-25-20プレシーズビル 4Ｆ,1948,代表取締役 中村 元彦,87 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,明興産業株式会社,サブコン,求人なし,,愛知県名古屋市港区港楽3-8-16明興産業（株）ビル 302,1952,代表取締役 伊藤 正樹,28 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,臼井不動産株式会社,不動産仲介,求人なし,,神奈川県横須賀市久里浜4-6-17,2001,代表取締役 臼井 達也,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社阪神工作所,サブコン,求人なし,,大阪府大阪市福島区海老江8-5-13,1985,代表取締役 黒松 幸道,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,平尾化建株式会社,サブコン,求人なし,,大阪府豊中市新千里西町1-1-8第一火災千里中央ビル 9Ｆ,1949,代表取締役 平尾 栄助,86 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アーガスコーポレーション,内装・インテリア・リフォーム,求人なし,,兵庫県神戸市中央区脇浜町1-3-33,1991,代表取締役 岸本 弘,26 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,徳栄商事株式会社,不動産仲介,無,,東京都港区芝5-33-11,1948,代表取締役 山田 一行,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,双和テクノ株式会社,サブコン,求人なし,,愛知県名古屋市港区南十一番町5-2,1966,代表取締役 丹羽 和泰,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,日本オートパーク株式会社,設備管理・メンテナンス,求人なし,,東京都千代田区霞が関3-2-5霞が関ビル 19Ｆ,1956,代表取締役 兵頭 晃,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社中央クリーンメンテ,設備管理・メンテナンス,求人なし,,三重県四日市市楠町北五味塚1335-1,1967,代表取締役 岩原 由隆,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,日本室内設備工業株式会社,内装・インテリア・リフォーム,求人なし,,東京都港区赤坂3-21-13ヒューリック赤坂ビル 3Ｆ,1943,代表取締役 椎津 雅夫,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,京都住設株式会社,設備管理・メンテナンス,求人なし,,京都府京都市南区久世大薮町43,1975,代表取締役 西川 高史,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社飯味塗装工業所,サブコン,求人なし,,愛知県名古屋市港区砂美町78,1948,代表取締役 飯味 正幸,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社舩瀬和久工務店,建築設計事務所,求人なし,,兵庫県神戸市東灘区本山北町5-13-6,1995,代表取締役 舩瀬 和久,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社伸和工業所,サブコン,求人なし,,三重県四日市市楠町北五味塚1360-1,1999,代表取締役 加藤 直基,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,東栄工業株式会社,設備管理・メンテナンス,求人なし,,愛知県名古屋市港区東築地町2-44,1968,代表取締役 三宅 容且,22 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,中外建設株式会社,サブコン,求人なし,,兵庫県神戸市東灘区御影石町4-14-20アークコート御影 1Ｆ,1950,代表取締役 片山 博章,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社フルカワ,サブコン,求人なし,,新潟県上越市板倉区曽根田518-2,1995,代表取締役 古川 崇,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社サツマヤ商会,不動産管理,求人なし,,愛知県名古屋市港区名港2-9-19,1953,代表取締役 新原 玲子,52 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,丸正クレーン作業株式会社,サブコン,求人なし,,愛知県名古屋市港区高木町3-54,1968,代表取締役 板津 和博,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,愛三株式会社,住宅（ハウスメーカー）,求人なし,,愛知県名古屋市港区小碓2-141-2,1978,代表取締役 荒尾 孝嘉,35 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ノゼキ,サブコン,求人なし,,愛知県名古屋市港区明正2-400-1,1992,代表取締役 関谷 良孝,80 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,関西シグナルサービス株式会社,設備管理・メンテナンス,求人なし,,京都府京都市南区吉祥院中河原里北町39-6,1972,代表取締役 三ツ野 将弘,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社松原興業,サブコン,求人なし,,愛知県名古屋市港区本宮新町40-1,1987,代表取締役 松原 勲,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社日本アルファ,内装・インテリア・リフォーム,求人なし,,三重県三重郡朝日町大字小向558-14,1983,代表取締役 太田 慎一,18 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,関西塗研工業株式会社,建築設計事務所,求人なし,,大阪府大阪市福島区海老江8-8-7,1988,代表取締役 藤田 廣行,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社せがわ住機,住宅設備・建材,求人なし,,愛知県名古屋市中川区太平通3-23-1パナソニックナゴヤ福祉機器センタービル 3Ｆ,1984,代表取締役 仙波 太朗,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社伊藤建設工業,サブコン,求人なし,,愛知県名古屋市港区正保町6-24,1986,代表取締役 伊藤 貴志,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社三原田組,ゼネコン,求人なし,,新潟県上越市清里区寺脇777-1,1965,代表取締役 三原田 清隆,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,池末建設株式会社,建築設計事務所,求人なし,,大阪府大阪市福島区吉野3-17-9,1970,代表取締役 池末 重明,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,大阪重機株式会社,設備管理・メンテナンス,無,,大阪府摂津市学園町1-1-29,1986,代表取締役 濱本 規之,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,日東機器株式会社,不動産管理,求人なし,,東京都港区三田3-11-36三田日東ダイビル 8Ｆ,1950,代表取締役 北村 均,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,松岡建設株式会社,ゼネコン,求人なし,,三重県三重郡川越町大字亀崎新田51-1,1952,代表取締役 松岡 伸年,60 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,マツオカ建機株式会社,内装・インテリア・リフォーム,求人なし,,三重県三重郡川越町大字当新田17,1958,代表取締役 松岡 賢,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,毎美エンジニアリング株式会社,不動産管理,求人なし,,大阪府大阪市福島区海老江5-4-8Ｐーｃｏｕｒｔ海老江 1Ｆ,1981,代表取締役 植田 隆司,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社橋本潜水興業,サブコン,求人なし,,愛知県名古屋市港区宝神5-3203,1975,代表取締役 橋本 宏,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,日本設備工業株式会社,設備管理・メンテナンス,求人なし,,京都府京都市南区西九条菅田町29,1971,代表取締役 向井 正明,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ヤマサン,住宅設備・建材,求人なし,,愛知県名古屋市港区善進本町367,1997,代表取締役 岩田 恭幸,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,中野建設株式会社,ゼネコン,求人なし,,東京都港区芝3-42-9中野第一ビル,1967,代表取締役 中野 雄仁,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,菊池重機建設株式会社,サブコン,求人なし,,三重県三重郡川越町大字亀崎新田52-12,1974,代表取締役 菊池 美穂子,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,大阪住宅営繕株式会社,住宅（ハウスメーカー）,求人なし,,兵庫県神戸市東灘区御影石町2-17-20,1960,代表取締役 藤原 光浩,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,田口建設株式会社,サブコン,求人なし,,愛知県名古屋市港区小碓4-220,1989,代表取締役 田口 直,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社おがわ,ゼネコン,求人なし,,兵庫県神戸市東灘区深江南町3-8-15,1989,代表取締役 小川 育太郎,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,日本通信システム株式会社,サブコン,求人なし,,京都府京都市南区吉祥院嶋野間詰町503,1977,代表取締役 龍見 洋祐,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社奥知建築事務所,建築設計事務所,求人なし,,兵庫県神戸市東灘区田中町1-15-5コマツビル本山 401,1989,代表取締役 奥知 久,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ミツボシ,住宅設備・建材,求人なし,,三重県三重郡川越町大字亀崎新田52-52,1974,代表取締役 駒田 宗久,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社貢建,住宅設備・建材,求人なし,,神奈川県横浜市栄区笠間5-33-3,1988,代表取締役 砥綿健,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社石松組,ゼネコン,求人なし,,東京都港区高輪3-25-35パーク高輪石松第2ビル 202,1948,代表取締役 石松 肇,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,エビス建販株式会社,ゼネコン,求人なし,,東京都千代田区三番町24-14三番町ＡＢＣビル 7Ｆ,1967,代表取締役 水野 耕一,21 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社西井工業所,設備管理・メンテナンス,求人なし,,神奈川県横浜市栄区小山台1-16-14,1982,代表取締役 西井 周史,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,大塚鈑金工業株式会社,建設・プラント・不動産業界,求人なし,,愛知県名古屋市港区港栄3-21-41,1991,代表取締役 大塚 正次,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社牛木組,ゼネコン,求人なし,,新潟県上越市名立区名立大町1630-1,1963,代表取締役 牛木 善彦,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社全英,設備管理・メンテナンス,求人なし,,三重県三重郡川越町大字亀崎新田50-6,1980,代表取締役 木村 輝秀,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社永真住建,内装・インテリア・リフォーム,求人なし,,愛知県名古屋市港区築三町2-69-2,1987,代表取締役 西出 猛,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社正建工業,サブコン,求人なし,,兵庫県神戸市東灘区田中町3-13-5ケンズハウス 1Ｆ,1993,代表取締役 水口 正造,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社中央技研,サブコン,求人なし,,愛知県名古屋市港区小碓1-67,1989,代表取締役 小島 正寛,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ミサキ,設備管理・メンテナンス,求人なし,,京都府京都市南区吉祥院西ノ内町49-1,1978,代表取締役 吉川 友,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社京都日昭,住宅設備・建材,求人なし,,京都府京都市南区西九条森本町56-1,1982,代表取締役 西川 進治,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社竹部研装社,不動産管理,求人なし,,兵庫県神戸市東灘区住吉宮町6-1-6,1970,代表取締役 竹部 和美,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社入江三宅設計事務所,建築設計事務所,求人なし,,東京都港区赤坂1-12-32アーク森ビル 24Ｆ,1959,代表取締役社長 兼藤 真一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社阪神総合管理,不動産管理,求人なし,,大阪府大阪市福島区吉野1-21-14,1993,代表取締役 岩崎 圭祐,85 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社大成企業,不動産仲介,求人なし,,東京都港区芝浦4-3-4田町きよたビル 6Ｆ,1952,代表取締役 稲数 則光,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,佐佐木工機株式会社,設備管理・メンテナンス,無,,大阪府大阪市福島区海老江8-11-27,2000,代表取締役 佐々木 ルミ子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社司地所,不動産仲介,求人なし,,神奈川県横浜市栄区桂町158-9こみね第二ビル 1Ｆ,1981,代表取締役 郡司 雅之,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社タイヨウ工業,設備管理・メンテナンス,求人なし,,大阪府大阪市北区天満1-7-20弘和産業ビル 3Ｆ,1989,代表取締役 佐藤 友久,60 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,東京技研設計株式会社,建設コンサルタント,求人なし,,東京都港区芝1-4-3ＳＡＮＫＩ芝金杉橋ビル,1963,代表取締役 風間 政之,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,山地電気株式会社,設備管理・メンテナンス,求人なし,,兵庫県神戸市東灘区御影本町1-3-17,1989,代表取締役 山本 聡彦,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
