更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者,上場市場名
2024-08-01,株式会社コバヤシ工業,建設コンサルタント,2,《1933年創業、創業88年を超える老舗総合建築業／創業以来この土地に根を張り、「富士山に恥ずかしくない仕事をすること」をモットーとする会社》■事業内容：建築工事・土木工事の設計施工請負業／ 不動産取引業及び宅地造成事業／建設プロジェクトにかかわる企画立案・調査・メンテナンス・マネージメント業務の請負,山梨県南都留郡富士河口湖町小立1777-1,1964,46.0,30,20百万円,http://www.koba-yashi.co.jp/,,
2024-07-01,藤原鋼材株式会社,住宅設備・建材,9,■事業内容：鋼材全般の販売・加工業務を行っています。,東京都港区麻布十番1-7-3,1955,,65,100百万円,https://www.fk-k.co.jp/,,
2024-08-01,小泉トーヨー住器株式会社,内装・インテリア・リフォーム,2,■事業内容： ⇒サッシ工事、建具工事、エクステリア工事、外構、リフォーム、水廻り,山梨県南都留郡富士河口湖町船津680,1988,,15,10百万円,https://www.koizumi-toyo.com/,,
2024-08-01,有限会社エス・ケー防災,設備管理・メンテナンス,1,【事業内容】様々なビル・建物の消防法で定められた消防用設備(消火器具、屋内消火栓設備、スプリンクラー、自動火災報知器設備、避難器具など)の保守・工事■消防設備の工事・保守点検・火災などに備えるため、消防法により 所定の建物では定期的に消防設備点検。・消火設備・警報設備・防火設備・防排煙設備・避難設備等の建物の防火対象物工事・点検。■火災報知器・消火器・避難器具など防災用品の販売・業務用・家庭用など様々な警報機・警報機システム・火災報知器・消火器・避難器具の販売。,山梨県南都留郡富士河口湖町船津1596-5,1997,40.0,10,3百万円,https://www.sk-bousai.co.jp,,
2024-08-01,エーエフマネジメント株式会社,不動産管理,1,■ファシリティマネジメント事業■プロパティマネジメント事業■リゾート事業,横浜市港北区新横浜2-3-12 新横浜スクエアビル10F,1972,,,5000万円,http://apollofm.co.jp/,代表取締役 計屋 卓摩,
2024-07-01,株式会社角屋ハウジング,住宅（ハウスメーカー）,1,■事業内容： ・リフォーム・注文住宅・不動産物件・不動産買取,山梨県上野原市上野原26,1962,,35,11百万円,https://www.kadoya-group.co.jp/,,
2024-07-01,有限会社山陽化成工業,設備管理・メンテナンス,3,■事業内容：・プラスチック製品加工及び販売・排水管施工、加工工事一式・塩ビパイプ、鋼製パイプ加工及び販売・その他工事一式取り扱い■同社の強み：現在まで数多くの道路が新しく作られて、社会を支えるインフラとして活用されていますが、その道路も定期的に補修が必要となります。同社では、ほとんどの案件が、既存の高架橋の補修に関する工事となるため、社会インフラを支えているという醍醐味が味わえます。,神奈川県横浜市港北区新羽町669,1975,34.5,16,3百万円,なし,,
2024-08-01,中越興業株式会社,サブコン,3,■事業内容：総合建設業（道路等の土木工事一式、建築工事一式、宅地造成工事一式、水道施設工事一式、電気工事、ほ装工事、宅地分譲、のり面工事、管工事、構造物解体工事、造園工事、軌道工事、とび土工工事、新エネルギー事業、防水工事、石工事）を行っています。,富山県南砺市野口800,1946,44.8,92,48百万円,https://www.tyuetsu-kogyo.co.jp,,
2024-06-01,日興基礎株式会社,ゼネコン,3,■事業内容： 建築基礎杭施工業■当社について：当社は昭和53年創業以来、主に共同住宅（マンション）の基礎杭施工を行って来ました。マンションはお客様が安心して一生住めるように頑強でなくてはなりません、そのためにも建物を支える杭が最も重要です。,東京都港区新橋4-25-6ヤスヰビル2 8F,1978,,27,40百万円,https://www.nikkokiso.co.jp/,,
2024-06-01,株式会社ハマツーウェイ,住宅設備・建材,2,■事業内容：不動産の売買、売買・貸仲介、賃貸管理、不動産コンサルティング、住宅の設計・施工・アフター＆リフォーム、,神奈川県横浜市港北区新横浜3-5-1新横浜KTビル2F,1972,,45,50百万円,https://www.hama2way.com/,,
