更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,株式会社開成コミュニティー,不動産仲介,求人なし,東京都新宿区新宿1-20-13,2008,代表取締役 出水 直規,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社今村建装,内装・インテリア・リフォーム,求人なし,大阪府大阪市東淀川区瑞光4-1-24,2008,代表取締役 今村 正司,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社シンコー,サブコン,求人なし,大阪府松原市岡6-45,2008,代表取締役 中田 健一,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,スター・マイカ・レジデンス株式会社,不動産仲介,求人なし,東京都港区虎ノ門4-3-1城山トラストタワー 28Ｆ,2008,代表取締役 水永 政志,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ＴＥＰ,不動産仲介,求人なし,東京都港区新橋1-9-1新橋二光ビル 2Ｆ,2008,代表取締役 竹上 大介,13 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社加瀬ホールディングス,不動産管理,無,神奈川県横浜市港北区新横浜3-19-11加瀬ビル88,2008,代表取締役 谷間 広視,80 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社増子工業,建設・プラント・不動産業界,求人なし,東京都練馬区春日町2-14-29コーポ・ミホ 1Ｆ,2008,代表取締役 増子 昇,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,エスパークマネジメント株式会社,建築設計事務所,求人なし,東京都渋谷区渋谷3-12-22渋谷プレステージ 8Ｆ,2008,代表取締役 八重樫 義男,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アップルアドバイザーズ,不動産仲介,無,東京都渋谷区神泉町1-183Ｆ,2008,代表取締役 松野 龍俊,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ドリームハウス,不動産管理,無,東京都調布市仙川町3-9-22グラン・ジュテ 1Ｆ,2008,代表取締役 野村 優,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,＼16期連続黒字経営！100％反響型・全員未経験入社／◆不動産の売買仲介【免許番号】東京都知事(4)第89073号＜加盟団体＞社団法人 全日本不動産協会＜エリア＞東京・世田谷・調布・三鷹・狛江＜物件＞新築戸建て・中古マンション・土地など… 2024年2月doda掲載求人より引用,
2024-08-01,伸幸工業株式会社,サブコン,求人なし,東京都府中市住吉町4-17-16,2008,代表取締役 上城 正憲,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,新日本信用保証株式会社,不動産金融,無,東京都墨田区江東橋2-19-7富士ソフトビル 1Ｆ,2008,代表取締役 徳丸 健一,95 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,■家賃債務保証業家賃債務保証事業者登録：国土交通大臣（1）第75号 2024年2月doda掲載求人より引用,
2024-08-01,株式会社商業サポート,ディベロッパー,求人なし,東京都足立区一ツ家2-16-13,2008,代表取締役 長谷川 和雄,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ネクスコ東日本トラスティ,土地活用,求人なし,東京都港区東新橋2-3-17ＭＯＭＥＮＴＯ ＳＨＩＯＤＯＭＥ 6Ｆ,2008,代表取締役 光永 宏典,45 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,開設計コンサルタント株式会社,建築設計事務所,求人なし,東京都渋谷区笹塚1-56-10笹塚総栄ビル 406,2008,代表取締役 角谷 貴志,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,Ｇｌｏｂａｌ　Ａｓｓｅｔ　Ｍａｎａｇｅｍｅｎｔ株式会社,不動産仲介,求人なし,東京都世田谷区代田5-16-7,2008,代表取締役 對間 美実子,53 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ユービックス,内装・インテリア・リフォーム,求人なし,東京都中央区日本橋中洲5-8リバーシティ日本橋 101,2008,代表取締役会長 井口 義能,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社みらいアーキテクト,内装・インテリア・リフォーム,無,神奈川県横浜市神奈川区泉町17-1第一泉ビル 5Ｆ,2008,代表取締役 萩原 祐一,99 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■新築住宅の建築・施工、外構工事、リフォーム 2023年7月doda掲載求人より引用,
2024-08-01,瀧本林業株式会社,不動産仲介,求人なし,神奈川県相模原市中央区矢部1-5-20,2008,代表取締役 瀧本 哲洋,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社コミヤマ環境,ゼネコン,求人なし,東京都豊島区南大塚2-40-1大塚中央ビル 606,2008,代表取締役 谷岡 亘,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ケイエスランド,不動産金融,求人なし,東京都杉並区高円寺南3-3-1ＫＳビル 2Ｆ,2008,代表取締役 喜入 隆,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ヒューマンネット,不動産管理,求人なし,東京都足立区千住1-4-1,2008,代表取締役 澤田 浩志,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社リヴシステム,不動産仲介,求人なし,東京都千代田区丸の内2-7-2ＪＰタワー 10Ｆ,2008,代表取締役 福元 恒徳,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,首都高機械メンテナンス株式会社,設備管理・メンテナンス,無,東京都千代田区神田小川町3-9-2,2008,代表取締役社長 高橋 三雅,90 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
