更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,上場市場名,事業内容
2024-08-01,サンテクノ株式会社,サブコン,求人なし,北海道帯広市西二十三条北2-17-8,2003,代表取締役 兼子 賢,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ヤブシタ,サブコン,求人なし,北海道札幌市中央区北一条西9-3-1南大通ビルＮ1－3Ｆ,1963,代表取締役 森 忠裕,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ワイズテック,サブコン,求人なし,北海道札幌市白石区菊水元町六条1-6-8,2000,代表取締役 西谷 由巳子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アーニストホーム,住宅（ハウスメーカー）,求人なし,北海道函館市富岡町3-15-39アーニスト館 1Ｆ,1988,代表取締役 新田 眞幸,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,富良野美瑛テクノ有限会社,設備管理・メンテナンス,求人なし,北海道富良野市字北扇山734,2004,代表取締役 増田 雅士,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ジョイフルホーム,建築設計事務所,求人なし,北海道旭川市永山十四条3-4-13,2006,代表取締役 落合 孝優,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,佐幸内装株式会社,ゼネコン,求人なし,宮城県仙台市太白区柳生字関場57,1981,代表取締役 佐々木 健,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社エスイーテクニカ,ゼネコン,求人なし,宮城県仙台市泉区実沢字清吾12,2000,代表取締役 関口 光昭,68 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社千葉鳶,ゼネコン,求人なし,宮城県塩竈市松陽台1-3-5,1973,代表取締役 千葉 美徳,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社エスコアコーポレーション,不動産管理,求人なし,宮城県仙台市青葉区一番町2-10-26旭開発ビル 4Ｆ,1985,代表取締役 松尾 裕幸,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ホクエイ,サブコン,求人なし,東京都江東区木場5-6-33岩佐ビル,1982,代表取締役 杉原 辰志,80 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,内海工業株式会社,ゼネコン,求人なし,宮城県大崎市鹿島台広長字内ノ浦122-1,2006,代表取締役 内海 桃治,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社あすなろ工房,サブコン,求人なし,宮城県石巻市南中里3-12-21,2005,代表取締役 白出 将基,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ヤマトワーク有限会社,サブコン,求人なし,宮城県仙台市若林区二木字山王3-2,2002,代表取締役 鈴木 伸俊,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,東和通信建設株式会社,設備管理・メンテナンス,求人なし,宮城県仙台市泉区七北田字白水沢111-18,1999,代表取締役 松本 崇,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社岩栄,設備管理・メンテナンス,求人なし,宮城県栗原市金成中町94,2000,代表取締役 岩渕 博文,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社みやぎ造景,サブコン,求人なし,宮城県仙台市宮城野区岩切字堰堀27,2006,代表取締役 鎌田 浩,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,暁志組株式会社,サブコン,求人なし,宮城県仙台市宮城野区中野字柳原25-5,2006,代表取締役 今野 浩,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,オンワ株式会社,不動産管理,求人なし,宮城県仙台市青葉区上杉1-6-10,2004,代表取締役 椎名 昇,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社バーディ空調,住宅設備・建材,無,宮城県仙台市宮城野区鶴ケ谷東2-3-18,2003,代表取締役 山田 茂,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,アクティス株式会社,プラントメーカー・プラントエンジニアリング,求人なし,宮城県刈田郡蔵王町宮字町59,2006,代表取締役 阿部 和広,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社青葉工業,サブコン,求人なし,宮城県名取市愛島北目字切通前266-1,2001,代表取締役 伊深 秀一,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,泰信電気工業有限会社,住宅設備・建材,求人なし,青森県八戸市八太郎2-9-44,2004,代表取締役 久保田 諭,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ライフスタイルカンパニー,内装・インテリア・リフォーム,求人なし,青森県八戸市長苗代2-17-12,2004,代表取締役 三河 幸夫,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社トップテクノ,内装・インテリア・リフォーム,求人なし,青森県八戸市石堂3-11-6,2006,代表取締役 鮫口 昌克,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
