更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者
2024-08-01,株式会社FDS,建築設計事務所,10,■事業概要:土地の購入＞設計・デザイン＞施工＞管理・サポートまでトータルサポートを行っております。■資産運用FDSグループでは不動産を安心の自社一貫体制でご提供できるよう、まずは不動産及び、周辺の調査やマーケットリサーチから募集戦略の査定や賃貸条件の設定などお客様の快適な住まいの提供、不動産投資によるお客様の収益確保できるような物件をご紹介いたします。,大阪府大阪市中央区徳井町2-4-8,2001,39.0,52,99百万円,http://fds.gr.jp/,
2024-05-01,株式会社プロネット,住宅（ハウスメーカー）,4,■事業内容： 建築工事の請負ならびに設計施工、建築資材の販売、不動産の売買および仲介業務■当社について：当社は、少数チームのハウスメーカーながら、設計～施工～アフターサービスまでをワンストップで行う企業です。グループ会社に建築資材の総販売店や不動産コンサルティング会社を持つことで、ローコストかつクオリティの高い注文住宅を提供し、神奈川・東京23区を中心に数え切れないほどの理想の住まいを提供しています。,神奈川県横浜市西区平沼1-3-17宮方ビル 2F,2001,46.0,12,20百万円,https://www.pronet-home.com/,
2024-08-01,株式会社ティ・シー・シー,サブコン,6,■建築事業お客様の「想い」を反映したコンセプトを基に、木造・鉄骨造・RC造で幅広くご提案しています。■空間デザイン施工事業大型商業施設から路面店舗・ホテル・オフィス・クリニックに至るまで、あらゆる空間づくりに携わっています。■イベント事業「集客イベント」と「コンサートイベント」をメインで企画提案を行います。■プロモーション事業総合広告代理店として、コミュニケーション領域全般の戦略・企画提案から各種制作・メディア作業・マーケティング・ブランディングに至るまで行います。■まちづくり事業遊休地の有効活用策を行っています。,岡山県岡山市北区本町6-36第一セントラルビル2F,2008,,100,100百万円,https://www.tcc.works/,
2024-08-01,フィリックス株式会社,建設コンサルタント,18,■投資用アパートメントの開発・販売■ガレージアパートフランチャイズ■賃貸管理■2×4（ツーバイフォー）工法の加工・販売・施工・開発■建築設計・構造設計■IT■建築資材・住宅設備機器販売■保険代理,名古屋市中村区名駅一丁目1番1号 JPタワー名古屋15F,2008,40.0,90,"3,000万円",https://www.felix-group.jp/,代表取締役 水野 秀則
2024-08-01,株式会社Ｇｏｏｄ不動産,不動産仲介,9,"■事業内容：福岡都市圏を中心に総合不動産事業を展開し、賃貸管理・仲介・売買、コンサル事業から相続・遺言まで行なっています。福岡・東京・大阪・愛知にて約24,000戸の管理実績とノウハウを活かし、現在もその管理戸数を着実に伸ばしています。2012年8月には社名をGood不動産に改め、新たなスタートを切りました。テレビCMなどの露出を高め、その知名度を高めています。今まで業界で積み上げた実績は高く、独自のネットワークを持つのも同社の大きな強みです。",福岡県福岡市中央区大名1-14-45QizTENJIN9F,2009,36.0,107,100百万円,http://www.good-fudousan.co.jp/,
2024-08-01,株式会社ジェクトワン,不動産仲介,13,■企業概要創業15年目、100名で売上200億円を達成。メディアでも話題の「社会課題である空き家問題を解決する事業」も展開中！大物有名人を起用したTVCMや動画の配信などマーケにも注力。企業の成長は社員の成長あってこそ、良い仕事はプライベートの充実あってこそという考えを大切にしています。やりたいことにチャレンジでき、不要な残業は無く、オン・オフにメリハリを持てます。年間休日125日、不動産事業でも土日祝休み、フリーアドレス制、保養所、企業年金や退職金制度等、就業環境を整えています。,東京都渋谷区渋谷2-12-19東建インターナショナルビル本館1F,2009,34.0,110,100百万円,https://jectone.jp/,
2024-08-01,株式会社東京アセットソリューション,ディベロッパー,6,■弊社は、収益物件再生事業・開発事業・不動産賃貸業・アセットコンサルティング業を軸に事業を展開している不動産デベロッパーです。 2009年の創業から15年を迎え、近年では、新築賃貸レジデンスの開発事業、物流倉庫事業、太陽光・風力発電事業など事業展開を広げております。 なかでも、新築賃貸レジデンスの開発においては、マンションブランド「Nifit」をリリースし、住まい手、街、環境に配慮した賃貸マンションづくりに力を入れております。 私たちは、手がける事業や社風を通じ、自社役職員から、関係先から、社会から大きな期待を集める集団となることを目指しています。,東京都港区虎ノ門1-16-4,2009,44.0,55,200百万円,https://www.to-as.com/,
2024-08-01,株式会社川村工営,サブコン,7,■事業内容： 当社は総合建設業者としてマンション、オフィスビル、旅館、ホテル、病院、工場、クアハウスなど、さまざまな分野の建築を手がけています。多田建設株式会社の戸建て住宅部門として1971年に設立され、その後独立し、現在まで業容を大きく拡大させてきました。施主様や設計者などから高い評価を得る建造物も多く、日本の建築産業の発展に貢献してきたという自負があります。「堅固で使いよく、美しい完成度の高い作品」は当社の特徴です。,東京都墨田区江東橋2-3-10倉持ビルディング第一2F,1971,34.0,68,90百万円,http://www.kawamurakouei.co.jp/,
2024-07-01,株式会社ヒーバックシステム,住宅設備・建材,1,■事業内容： ・管工事業・機械器具設置工事業・消防設置工事業■事業の特徴：・2004年4月設立、空調・換気設備、恒温恒湿室、高低温機能試験機等 様々な冷熱事業全般のシステム設計から、施工・メンテナンスまでトータルサポートしています。・工場やクリーンルーム等、温度・湿度を一定に保つ技術がある（空間を作る、オンリーワン技術）ため、大手企業から口コミで仕事の依頼があります。※主要工事実績…ＩＨＩ、日立造船、豊田自動織機、住友電気工業、島津製作所、 デンソー、ファナック、三菱電機等多数,静岡県静岡市駿河区小鹿813-1,2004,,10,1百万円,http://www.hvac-system.com/,
2024-08-01,上野グリーンソリューションズ株式会社,建築設計事務所,4,■概要：上野グループの一員である当社は再生可能エネルギー事業と総合建築事業を主体とする会社です。再生可能エネルギー事業では国内外での発電事業およびソーラーシステム販売サービスを提供しており、建築事業では東京メトログループとのお取引を主として駅内清掃および建設・塗装工事を請け負っています。また、近年は新規事業開発の取組みとして東京地下鉄様との協創で「列車混雑計測システム」を開発し、路線拡大と他社向け販売を推進しています。,神奈川県横浜市中区山下町46,1983,,23,50百万円,https://www.uyeno-group.co.jp/group/green/,
