更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,株式会社ライジング・サン,不動産仲介,求人なし,神奈川県大和市中央林間西1-13-15,2008,代表取締役 國方 隆,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社田渕企画,プラントメーカー・プラントエンジニアリング,求人なし,東京都渋谷区南平台町15-1ライオンズマンション南平台 506,1985,代表取締役 田渕 克昭,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社レジデンス,住宅（ハウスメーカー）,求人なし,山口県下関市山の田東町2-34第2レジデンスビル 3Ｆ,1990,代表取締役 小林 泰三,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社オーシャン,ゼネコン,求人なし,神奈川県横浜市港北区新吉田東5-74-22第3リバーハイツ 202,2006,代表取締役 大城 直光,21 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社ホームステージ,不動産仲介,求人なし,宮城県仙台市宮城野区榴岡4-4-7ＳＴＡＧＥ21ビル 2Ｆ,2006,代表取締役 木村 美恵,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社トライ・オン,サブコン,求人なし,愛知県名古屋市西区歌里町326,1990,代表取締役 山村 剛司,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,伸一測量設計株式会社,建設コンサルタント,求人なし,千葉県茂原市八千代3-13-6,1971,代表取締役 山本 秀夫,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社Ｓ．Ｔ．Ｆ,住宅設備・建材,無,愛知県知多市八幡字樹木164-1,2007,代表取締役 大曽根 源徳,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社サラデザイン,建築設計事務所,求人なし,東京都台東区柳橋1-8-52Ｆ,2006,代表取締役 神 良一,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社テイクトラスト,不動産仲介,求人なし,神奈川県横浜市西区楠町27-9横浜ウエストビル 201,2009,代表取締役 大竹 敬介,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社新宏,設備管理・メンテナンス,求人なし,埼玉県新座市馬場3-9-1,2008,代表取締役 新井 正夫,9 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社エース・リフォーム,サブコン,無,長野県下伊那郡高森町牛牧56-1,2005,代表取締役 大谷 公昭,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,アイ・ホームメンテナンス株式会社,内装・インテリア・リフォーム,求人なし,香川県高松市春日町1729-1,2009,代表取締役 高橋元茂,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社代和産業,住宅設備・建材,無,福島県南相馬市原町区国見町2-123-1,1988,代表取締役 垂石 雄久,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社豊後建築工房,住宅（ハウスメーカー）,求人なし,大分県大分市中春日町5-26,2001,代表取締役 佐藤 洋,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ＨＡコンサルタント,建設コンサルタント,求人なし,東京都千代田区内神田2-11-4内神田金子ビル 3Ｆ,2012,代表取締役 小林 剛,11 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
