更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,資本金,平均年齢,従業員数,企業URL,代表者,上場市場名
2024-07-01,株式会社アイシー,土地活用,2,■事業内容： 多岐にわたる不動産の買い取りをはじめ、用地の取得から収益物件の仕入、再生、販売業を主に生活支援サービスおよびリフォームショップのフランチャイズ店舗も展開しております。,愛知県名古屋市中区栄2-9-3,2012,10百万円,,,https://icco2012.com/,,
2024-08-01,株式会社小川重工業,ゼネコン,4,■事業内容：鋼橋架設工事一式／橋梁補修工事一式／鋼構造物製作工事一式／重量物据付工事一式／足場仮設工事一式／鉄骨建方工事一式／鍛冶工事一式■当社について：橋梁架設工事、橋梁補修工事をはじめ、鉄骨工事、足場工事、鍛冶工事を展開しています。2014年創立ですが、2023年時点で本社以外の拠点を多く設立しています。（仙台、盛岡、大阪）1年ほど前に工場を設立しており、発注者の要望に合わせて自社で部材や部品を製造した上で納品、工事が出来る点が強みです。それにより受注できる案件の幅も広がり、案件受注量・売り上げ増加に繋がっています。,福島県郡山市待池台1-39,2014,10百万円,44.0,35,http://o-zyuko.co.jp/,,
2024-08-01,アーバン・スペース株式会社,不動産仲介,6,■事業内容： 「ひよこ」ブランドで4つの事業を展開しています。・住宅事業＜ひよこ住宅＞・土地活用事業＜ひよこ土地活用＞・賃貸管理事業＜ひよこ賃貸・管理＞・不動産売買仲介事業＜ひよこ不動産＞大手企業ではできない「ひよこ」ブランドならではを強みに事業展開をしています。住宅ではローコスト注文住宅で機能性＋デザイン性を兼ね備えた住宅を提供しています。土地活用では狭小地や変形地などの大手建設会社では建設できないような土地に特性を生かした活用方法の提案や福祉施設・保育園などの社会貢献性の高い活用実績も多数あります。,愛知県名古屋市守山区脇田町303,1989,40百万円,40.0,31,http://www.u-space.co.jp/,,
2024-07-01,ティーズガーデンスクエア株式会社,内装・インテリア・リフォーム,2,■事業内容： 住宅の外構工事及び内装・外装工事の設計・施工樹木・花・ガーデニンググッズ等の販売造園工事業／店舗プロデュース／各事業に付随する一切の事業■取扱工事：庭創り、植栽、門扉、ウッドデッキ、ゲート、フェンス、カーポート、テラス、タイル、ブロック、レンガ、左官、表札、ポスト、コンサバトリー、坪庭、物置、外壁塗装、玄関ドア取替え、エクステリア全般または家の外に関わるもの全て■TOPIX：・ガーデニングワールドカップ2012で金賞受賞。■社員数：社員5名、その他職人8名です。,愛知県名古屋市守山区大字上志段味字東谷2081-8,2008,10百万円,,5,http://www.ts-niwa.com,,
2024-06-01,アイクオリティー株式会社,住宅設備・建材,1,■事業内容：マンション外装リフォーム工事を中心としたリフォーム事業,愛知県名古屋市西区新福寺町1-49-2,2007,30百万円,,8,なし,,
2024-07-01,ＪＯＡ株式会社,住宅（ハウスメーカー）,1,■事業内容：・」住宅デザイン開発事業（ビジネスサポート）フランク、ロイド、ライトの「有機的建築」思想を正統に継承した住宅ブランド「オーガニックハウスR」の運営、フランク、ロイド、ライトが提唱した「有機的建築」を具現化するためのデザイン、設計手法、営業手法、技術手法などのシステムの開発・文化社会事業フランク、ロイド、ライトに関する啓蒙活動、環境保護団体、人道的NPO団体の支援,愛知県名古屋市中区金山1-12-14金山総合ビル3F,2004,82百万円,,23,https://www.organichouse.jp,,
2024-07-01,株式会社プレジャー,内装・インテリア・リフォーム,4,■事業内容保育園改修：安心・安全・快適をテーマに様々な園の改修提案を行います。正確な納品は勿論、アフターメンテナンスに重点を置いています。・サンディング＋水性ウレタン塗装工事・フローリング上貼工事・衝撃吸収加工工事・トイレ改修工事・ウッドデッキ設計、設置工事・外壁塗装、防水工事 ほか,神奈川県川崎市川崎区東田町1-2いちご川崎ビル6F,2014,10百万円,,14,http://pleasure-with.co.jp/,,
2024-07-01,株式会社順風不動産,不動産仲介,1,■事業内容： ・不動産事業 … 不動産売買仲介業、不動産買取、不動産管理、不動産コンサルティング、土地活用コンサルティング（新事業）※2022年3月プレオープン・教育事業 … 教育施設「マナビー」の運営。 ロボット教室（幼児～小学生向け) ※ヒューマンアカデミー 科学教室（幼児～小学生向け) ※ヒューマンアカデミー そろばん教室(幼児～小学生向け) ※いしど式そろばん 学習塾(小学生～高校生向け) ※松陰塾,愛知県瀬戸市共栄通5-9-1,2014,3百万円,42.0,8,https://www.jumpooh.com/,,
2024-07-01,株式会社Ｔ‐ｓｔｙｌｅ,サブコン,3,■事業内容：足場工事全般,愛知県一宮市今伊勢町宮後字下苧島34-1,2014,10百万円,,,https://www.t-style2014.co.jp/,,
2024-06-01,株式会社エフォート,サブコン,2,■企業概要：設立以来黒字を続ける橋梁補修・補強のプロ集団です。 ■主な取扱い工事：1：橋梁支承取替工事 老朽化した橋の支え（支承）を鉄鋼支承からゴム支承に交換する工事です。2：落橋防止工事 地震の時にも橋が完全に橋台から落ちないようにするシステムです3：変位制限装置設置工事 橋の動きを制御する装置を設置する工事です。,神奈川県横浜市磯子区杉田5-29-7,2006,40百万円,46.0,21,なし,,
