更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,事業内容,上場市場名
2024-08-01,宇部興産セメントサービス株式会社,住宅設備・建材,求人なし,山口県宇部市大字小串1978-2,1980,代表取締役 石松 隆,228,50 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社北弘電社,サブコン,求人なし,北海道札幌市中央区北十一条西23-2-10,1951,代表取締役社長 髙橋 龍夫,227,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,積水ハウス不動産九州株式会社,不動産仲介,求人なし,福岡県福岡市博多区博多駅前3-26-29九勧博多ビル 5Ｆ,1980,代表取締役 村﨑 浩直,225,263 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,丸磯建設株式会社,サブコン,無,東京都品川区北品川3-6-7,1958,代表取締役 堀江 秀哉,224,98 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,シンヨー株式会社,設備管理・メンテナンス,無,神奈川県川崎市川崎区大川町8-6,1952,代表取締役社長 中尾 祐輔,223,500 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■各種建設・土木工事事業塗装工事業、防水工事業、建築工事業、土木工事業、大工工事業、屋根工事業、左官工事業、ガラス工事業、板金工事業、建具工事業、鋼構造物工事業、熱絶縁工事業、内装仕上工事業、タイル・レンガ・ブロック工事業、石工事業、管工事業、とび・土工工事業■一般労働者派遣事業／厚生労働大臣許可 派 14-300695■有料職業紹介事業／厚生労働大臣許可 14-1-300472 2021年12月doda掲載求人より引用,
2024-08-01,東電不動産株式会社,不動産管理,無,東京都中央区築地5-6-4,1955,代表取締役 織井 亮,223,"7,831 百万円",,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,信幸建設株式会社,サブコン,求人なし,東京都千代田区神田司町2-2-7パークサイド1 8Ｆ,1993,代表取締役 佐藤 隆,223,50 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社関工パワーテクノ,サブコン,求人なし,東京都大田区東六郷3-5-3関電工ビル 2Ｆ,1948,代表取締役 五十嵐 力,221,400 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,パナソニックリビング北海道・東北株式会社,住宅設備・建材,求人なし,宮城県名取市飯野坂字北沖105-1,1995,代表取締役 濱砂 隆史,218,50 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,伊方サービス株式会社,設備管理・メンテナンス,求人なし,愛媛県西宇和郡伊方町九町1-1349-1,1995,代表取締役 公受 弘充,218,20 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,京葉住設株式会社,設備管理・メンテナンス,求人なし,千葉県船橋市市場3-17-1,1956,代表取締役 広瀬 徳和,216,91 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ＮＸ不動産株式会社,不動産管理,求人なし,東京都千代田区神田和泉町2ＮＸグループビル,1960,代表取締役 大槻 秀史,214,240 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社北越エンジニアリング,ゼネコン,求人なし,新潟県新潟市東区榎町57,1971,代表取締役 平石 忠浩,213,150 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,フジタ道路株式会社,サブコン,求人なし,東京都中央区晴海1-8-10晴海アイランドトリトンスクエアオフィスタワーＸ 3Ｆ,1949,代表取締役 吉川 英二,213,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,愛知ＮＤＳ株式会社,サブコン,求人なし,愛知県名古屋市港区正保町8-61,1984,代表取締役 大西 環,213,20 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,広島ガステクノ・サービス株式会社,住宅設備・建材,求人なし,広島県広島市南区皆実町2-6-19,1998,代表取締役 小原 健太郎,212,80 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ツヅキ,住宅設備・建材,無,大阪府東大阪市西石切町5-1-42,1972,代表取締役 髙橋 浩二,212,78 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 アルミ内外装建材や外断熱の供給、アルミ建材と超薄型タイルが融合された住宅の新外壁システムなど関連設備の施工を通して、安全性・機能性・居住性・資産価値の向上を実現しています。・アルミ内外装建材や外断熱の開発、製造、販売、設計、施工・内外装建材の関連部材の販売・製品付帯工事 2023年1月doda掲載求人より引用,
2024-08-01,京急電機株式会社,設備管理・メンテナンス,求人なし,神奈川県川崎市川崎区池田2-2-3,1947,取締役社長 土屋 剛,208,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ジオ・サーチ株式会社,設備管理・メンテナンス,無,東京都大田区西蒲田7-37-10ラウンドクロス蒲田ビル 9Ｆ,1988,代表取締役 雑賀 正嗣,208,30 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社日本空調北陸,ゼネコン,求人なし,富山県富山市稲荷元町1-1-11,1977,代表取締役 西川 博志,207,30 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,大日本商事株式会社,サブコン,求人なし,東京都千代田区飯田橋2-1-11ＤＮＰ飯田橋ビル,1962,代表取締役 高松 徹,205,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ランドビジネス,ディベロッパー,求人なし,東京都千代田区霞が関3-2-5霞が関ビルディング 30Ｆ,1985,代表取締役社長 森作 哲朗,205,"4,969 百万円",53.3,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,スタンダード
2024-08-01,東洋テクノ株式会社,サブコン,無,東京都渋谷区広尾5-4-12大成ビルディング,1949,代表取締役 渡邉 芳春,203,661 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,伊田テクノス株式会社,ゼネコン,求人なし,埼玉県東松山市松本町2-1-1,1946,代表取締役 楢﨑 亘,202,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社カシイ,住宅設備・建材,無,富山県富山市新桜町6-24ＣＯＩ富山新桜町ビル 7Ｆ,1965,代表取締役 北﨑 昭浩,202,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社メルディアＤＣ,不動産管理,無,大阪府大阪市淀川区西宮原2-1-3ＳＯＲＡ新大阪21－9Ｆ,1993,代表取締役社長 田中 一也,201,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,【100年以上の歴史を持つ安定企業】＜事業内容＞■建設工事の設計・施工・監理■マンションおよび戸建住宅の分譲■不動産の売買・賃貸・管理・仲介■商業施設の運営・管理 2023年10月doda掲載求人より引用,
2024-08-01,株式会社ＬＩＸＩＬ住宅研究所,不動産仲介,求人なし,東京都品川区西品川1-1-1大崎ガーデンタワー,2002,代表取締役 加嶋 伸彦,201,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,室蘭環境プラントサービス株式会社,プラントメーカー・プラントエンジニアリング,求人なし,北海道室蘭市茶津町4,2006,代表取締役 吉永 泰,201,10 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社中央ビル管理,不動産仲介,求人なし,埼玉県越谷市南越谷1-20-17,1978,代表取締役 中内 晃次郎,200,40 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ミソノサービス株式会社,不動産仲介,求人なし,愛知県名古屋市北区平安2-15-56ＭＳ1本社ビル,1976,代表取締役 各務 修造,200,30 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ダイキン・ザウアーダンフォス株式会社,設備管理・メンテナンス,無,大阪府摂津市西一津屋1-1,2001,代表取締役 萩原 幸洋,200,400 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,黒沢建設株式会社,建築設計事務所,求人なし,東京都新宿区西新宿2-7-1小田急第一生命ビル 17Ｆ,1966,代表取締役 黒沢 亮平,199,48 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,東日本興業株式会社,不動産管理,求人なし,宮城県仙台市青葉区一番町3-7-1電力ビル 9Ｆ,1953,代表取締役 松岡 利彦,198,"1,000 百万円",,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,石友リフォームサービス株式会社,内装・インテリア・リフォーム,無,富山県高岡市下牧野36-2,1997,代表取締役 石灰 由喜夫,195,20 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ジオファクト株式会社,サブコン,求人なし,埼玉県東松山市大字岡字膳棚1871,1992,代表取締役 端山 真吾,195,30 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,吉忠マネキン株式会社,内装・インテリア・リフォーム,求人なし,京都府京都市中京区御池通高倉西入綿屋町525吉忠（株）本社ビル 6Ｆ,1950,代表取締役 吉田 忠嗣,194,80 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,三信建設工業株式会社,サブコン,求人なし,東京都台東区柳橋2-19-6柳橋ファーストビル 7Ｆ,1944,代表取締役社長 山﨑 淳一,194,500 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社フージャースコーポレーション,ディベロッパー,求人なし,東京都千代田区丸の内2-2-3丸の内仲通りビル 10Ｆ,1994,代表取締役 小川 栄一,193,"2,400 百万円",,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社リガーレ,住宅設備・建材,求人なし,埼玉県さいたま市西区大字指扇403-1（株）ミライト・テクノロジーズ埼玉支店 3Ｆ,1965,代表取締役 生田 光洋,193,41 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,日本システムバンク株式会社,土地活用,無,福井県福井市中央3-5-21セントラルビル,1996,代表取締役社長 野坂 信嘉,191,583 百万円,43.3,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,地方上場
2024-08-01,日鉄物産システム建築株式会社,建築設計事務所,無,東京都港区東新橋1-9-2汐留住友ビル,1986,代表取締役 生井 敏夫,190,200 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
