更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,学校法人聖心学園,学習塾・予備校・専門学校,求人なし,東京都杉並区高円寺南2-32-30,1960,理事長 柿崎 ゆり,"1,246 百万円",,,,,
2024-08-01,学校法人明石学園,その他・各種スクール,求人なし,北海道北広島市若葉町3-11,1975,理事長 室橋 克己,152 百万円,,,,,
2024-08-01,学校法人北海道徳風学園,その他・各種スクール,求人なし,北海道札幌市厚別区厚別北三条5-11-6,1980,,"1,098 百万円",,,,,
2024-08-01,学校法人杜栄学園,その他・各種スクール,求人なし,宮城県仙台市青葉区錦町1-1-32,1976,理事長 渋谷 和邦,881 百万円,,,,,
2024-08-01,学校法人東音学園,その他・各種スクール,求人なし,宮城県仙台市青葉区南吉成4-13-1,1991,理事長 鈴木 雅昭,396 百万円,,,,,
2024-08-01,学校法人栴檀学園,その他・各種スクール,求人なし,山形県山形市八日町2-3-45,1979,,,,,,,
2024-08-01,学校法人正雲寺学園,その他・各種スクール,求人なし,愛知県名古屋市中川区下之一色町字西ノ切61-7,1984,理事長 寿台 順章,252 百万円,,,,,
2024-08-01,学校法人大杉学園,その他・各種スクール,求人なし,愛知県名古屋市北区西味鋺3-815,1958,理事長 水田 泰賢,"1,083 百万円",,,,,
2024-08-01,学校法人深井学園,その他・各種スクール,求人なし,埼玉県さいたま市北区櫛引町2-54,1975,理事長 深井 明友,,,,,,
2024-08-01,学校法人アゼリー学園,その他・各種スクール,求人なし,東京都江戸川区南葛西7-2-54,1979,理事長 来栖 宏二,"9,988 百万円",,,,,
2024-08-01,学校法人新藤学園,その他・各種スクール,求人なし,神奈川県平塚市下島824,1970,理事長 新藤 正樹,,,,,,
2024-08-01,学校法人淑徳学園,その他・各種スクール,求人なし,宮城県加美郡加美町字矢越405,1980,理事長 中村 晶子,116 百万円,,,,,
2024-08-01,学校法人有和学園,その他・各種スクール,求人なし,北海道札幌市北区篠路七条6-3-8,1973,理事長 小林 達彦,25 百万円,,,,,
