更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,産経ヒューマンラーニング株式会社,その他・各種スクール,求人なし,東京都新宿区西新宿7-5-25西新宿木村屋ビル,2012,代表取締役 田中 雄介,50 百万円,,,,
2024-08-01,株式会社ＣＬＡＰ＆ＳＴＯＭＰエンターテイメント,その他・各種スクール,求人なし,東京都日野市南平8-14-151Ｆ,2012,代表取締役 大迫 玲,3 百万円,,,,
2024-08-01,クリエイティブディストラクション株式会社,学習塾・予備校・専門学校,無,東京都千代田区神田小川町3-14-1小川町平木ビル 5Ｆ,2012,代表取締役 神宮 永一,30 百万円,,,,
2024-08-01,メガ・ブルーバード株式会社,その他・各種スクール,求人なし,東京都千代田区紀尾井町1-3東京ガーデンテラス紀尾井町 1Ｆ,2002,代表取締役 末口 靜枝,10 百万円,,,,
2024-08-01,株式会社ケイズ,学習塾・予備校・専門学校,求人なし,高知県南国市片山1233-1,2012,代表取締役 吉田 功,8 百万円,,,,
2024-08-01,株式会社ラピス,その他・各種スクール,求人なし,東京都港区南青山2-2-15ウィン青山ＢＩＺ＋ 2Ｆ,2002,代表取締役 植田 文世,3 百万円,,,,
2024-08-01,公益財団法人業務スーパージャパンドリーム財団,その他・各種スクール,求人なし,兵庫県加古川市加古川町平野125-1,2012,代表理事 沼田 博和,,,,,
2024-08-01,株式会社グリフエデュケーション,学習塾・予備校・専門学校,求人なし,群馬県沼田市西原新町138-9総合エデュケーションビル 2Ｆ,2012,代表取締役 津久井 功,15 百万円,,,,
2024-08-01,ＲＦプランニング株式会社,その他・各種スクール,求人なし,千葉県松戸市五香南2-26-28ケイン・ヒルズ 101,2012,代表取締役 秋谷 憲夫,8 百万円,,,,
2024-08-01,株式会社勧学,学習塾・予備校・専門学校,無,茨城県つくば市春日2-33-4,2012,代表取締役 浅 上浩,,,,,
2024-08-01,クリエイトＪ株式会社,その他・各種スクール,求人なし,神奈川県横浜市保土ケ谷区星川3-21-17607,2012,代表取締役 堀田 孝治,5 百万円,,,,
2024-08-01,東京メディカルスクール株式会社,その他・各種スクール,求人なし,東京都足立区綾瀬3-7-15綾瀬岩崎ビル2ＦＡ1号室,2012,代表取締役 岡田 優一郎,9 百万円,,,,
2024-08-01,株式会社ワイズアカデミー,学習塾・予備校・専門学校,求人なし,東京都品川区上大崎2-11-2,2006,代表取締役 大森 善郎,2 百万円,,,,
2024-08-01,学校法人新井学園,学習塾・予備校・専門学校,無,東京都荒川区東日暮里6-39-12,2005,理事長 新井 時賛,"1,754 百万円",,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 【赤門会日本語学校の運営】下記を通して、留学生の日本での学びを全面的にサポートしています。・日本語教育・進学指導・就職支援・生活、事務手続きサポート・奨学金受給サポート・アルバイト支援・学生寮の管理 など＜各種認定＞・法務省入国管理局認定優良校・法務省告示校・文部科学省準備教育課程指定校 2023年6月doda掲載求人より引用
2024-08-01,有限会社エヌ・ティ・ユー,その他・各種スクール,求人なし,大阪府大阪市平野区長吉長原西2-2-12,1986,代表取締役 新田 悟朗,3 百万円,,,,
2024-08-01,株式会社アイオル,その他・各種スクール,求人なし,神奈川県川崎市麻生区万福寺1-10-11アヴェニール新百合 1Ｆ,2003,代表取締役 増本 真弓,30 百万円,,,,
2024-08-01,学校法人未来創造学園,学習塾・予備校・専門学校,求人なし,熊本県熊本市中央区九品寺2-2-38,2010,理事長 吉山 昌利,532 百万円,,,,
2024-08-01,学校法人実学教育学園,学習塾・予備校・専門学校,求人なし,新潟県新潟市中央区弁天3-1-19,2008,理事長 廣田 靖人,,,,,
2024-08-01,学校法人めぐみ学園,その他・各種スクール,求人なし,三重県松阪市中央町468,2007,理事長 高橋 恵司,360 百万円,,,,
2024-08-01,学校法人ＩＳＩ学園,学習塾・予備校・専門学校,無,東京都豊島区東池袋3-1-1サンシャイン60－9Ｆ,2003,理事長 荻野 正昭,838 百万円,,,,
2024-08-01,学校法人東邦歯科学院,学習塾・予備校・専門学校,求人なし,東京都日野市三沢1-1-1,2004,理事長 吉田 隆一,"1,819 百万円",,,,
2024-08-01,学校法人秋山学園,その他・各種スクール,求人なし,千葉県大網白里市季美の森南1-3579-24,2005,理事長 秋山 清,,,,,
2024-08-01,学校法人コイナ会,その他・各種スクール,求人なし,愛媛県八幡浜市本町2-113,2004,理事長 森分 信基,76 百万円,,,,
2024-08-01,学校法人健友学園,その他・各種スクール,求人なし,東京都足立区平野1-19-16,2010,理事長 寺山 早苗,,,,,
2024-08-01,学校法人かしわ学園,その他・各種スクール,求人なし,東京都八王子市明神町1-20-7,2010,理事長 髙梨 喜美子,,,,,
2024-08-01,学校法人石井学園,その他・各種スクール,求人なし,東京都北区赤羽西1-36-1,2005,理事長 石井 正隆,703 百万円,,,,
2024-08-01,１６ｆｒａｎｃｓ株式会社,学習塾・予備校・専門学校,求人なし,東京都国分寺市南町2-14-6,2012,代表取締役 平澤 成臣,,,,,
2024-08-01,株式会社タップカンパニー,その他・各種スクール,無,福岡県福岡市博多区博多駅東2-5-21博多プラザビル 5Ｆ,2012,代表取締役 下村紀人,9 百万円,,,,◆子ども英会話教室の企画・運営◆英語教材の企画・開発・販売◆グローバル／ネイチャー体験イベントの企画・運営◆留学サポート◆英語クッキング教室の企画・運営 2024年1月doda掲載求人より引用
2024-08-01,株式会社ビジョン・エデュケーション,学習塾・予備校・専門学校,求人なし,千葉県市川市南八幡3-8-11モンヴィラージュ 2Ｆ,2012,代表取締役 桑原 寛,1 百万円,,,,
2024-08-01,株式会社ファミリータイム,その他・各種スクール,求人なし,三重県津市寿町18-15,2012,代表取締役 杉本 健司,10 百万円,,,,
2024-08-01,アイドゥー株式会社,その他・各種スクール,無,広島県広島市中区舟入町2-20三栄広島ビル 7Ｆ,2012,代表取締役 矢野 三登志,9 百万円,,,,●子ども英会話スクールの企画・運営●海外イベント・留学イベントの企画・運営●国内・教室内体験型イベントの企画・運営●英語教育教材の開発・販売 2024年1月doda掲載求人より引用
2024-08-01,こどものまち株式会社,その他・各種スクール,無,愛知県名古屋市北区大曽根2-8-26エステイト大曽根 7Ｆ 701,2012,代表取締役 山田 清隆,10 百万円,,,,
2024-08-01,株式会社マウンハーフジャパン,その他・各種スクール,求人なし,東京都新宿区西新宿2-4-1新宿ＮＳビル 25Ｆ,1996,代表取締役 片山 立志,20 百万円,,,,
2024-08-01,株式会社ホームメイドクッキング,その他・各種スクール,求人なし,東京都大田区平和島6-1-1東京流通センターセンタービル 5Ｆ,2012,代表取締役 小俣 大,100 百万円,,,,
2024-08-01,株式会社東海テック自動車学校,その他・各種スクール,求人なし,愛知県名古屋市南区元塩町3-18,1978,代表取締役 大山 永吉,20 百万円,,,,
2024-08-01,株式会社ＮＥＷＳ,学習塾・予備校・専門学校,求人なし,埼玉県さいたま市浦和区高砂2-5-5ＫＩビル 3Ｆ,2012,代表取締役 小倉 拓也,10 百万円,,,,
2024-08-01,株式会社後成塾,学習塾・予備校・専門学校,求人なし,愛知県豊川市東光町2-1,2012,代表取締役 桂野 智也,5 百万円,,,,
2024-08-01,株式会社ランダムネス,その他・各種スクール,求人なし,愛知県名古屋市中村区名駅3-18-11新明ビル 3Ｆ,2012,代表取締役 市野 将行,3 百万円,,,,
2024-08-01,株式会社立志館桂坂,学習塾・予備校・専門学校,求人なし,京都府京都市西京区御陵大枝山町4丁目32-2,2012,代表取締役 北山 智久,10 百万円,,,,
2024-08-01,株式会社宇宙塾,学習塾・予備校・専門学校,無,愛知県名古屋市南区桜台2-19-12セントラルエール 1Ｆ,2012,代表取締役 木下 富雄,1 百万円,,,,
2024-08-01,株式会社デイツ,その他・各種スクール,求人なし,東京都中央区銀座7-13-20,2012,代表取締役 島村 智子,3 百万円,,,,
2024-08-01,株式会社ラボアンドタウン,その他・各種スクール,求人なし,東京都世田谷区成城2-40-5ヴェルドミール成城 2Ｆ,2012,代表取締役 小田 累,9 百万円,,,,
2024-08-01,株式会社アランワーク,その他・各種スクール,求人なし,兵庫県尼崎市塚口町1-31-9,2012,代表取締役 岸本 知秋,10 百万円,,,,
2024-08-01,株式会社ＫｙｏＭｉ,学習塾・予備校・専門学校,求人なし,愛知県豊田市喜多町5-2-14,2012,代表取締役 柏本 知成,2 百万円,,,,
2024-08-01,株式会社スタディー,学習塾・予備校・専門学校,求人なし,三重県四日市市安島1-2-18,2012,代表取締役 清水 秀樹,3 百万円,,,,
2024-08-01,株式会社東海スクエア,学習塾・予備校・専門学校,求人なし,愛知県安城市今池町2-1-41畑ビル 1Ｆ,2012,代表取締役 築山 博之,3 百万円,,,,
2024-08-01,株式会社アゴラワールドワイド,その他・各種スクール,求人なし,東京都港区海岸1-2-3汐留芝離宮ビル 21Ｆ,2012,代表取締役 田沢 孝博,20 百万円,,,,
2024-08-01,株式会社フィールドジョイ,その他・各種スクール,求人なし,長野県北安曇郡白馬村大字北城3020-961,2009,代表取締役 殿塚 裕紀,20 百万円,,,,
2024-08-01,株式会社ヒューマン,その他・各種スクール,無,鳥取県米子市錦町3-77,2009,代表取締役 白﨑 宏和,17 百万円,,,,
2024-08-01,株式会社エムズグラント,学習塾・予備校・専門学校,無,静岡県静岡市駿河区稲川2-2-1セキスイハイムビルディング 5Ｆ,1998,代表取締役 横山 祐三,3 百万円,,,,
2024-08-01,株式会社イノビジョン,学習塾・予備校・専門学校,求人なし,愛知県名古屋市昭和区川原通2-3,2012,代表取締役 井ノ口 幹博,3 百万円,,,,
