更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-08-01,株式会社 東横イン,旅行・旅行代理業,46,"■企業概要：東横インは、総店舗数354店舗、総客室数77,704室（2024年4月時点）を誇るビジネスホテル事業のリーディングカンパニーです。ホテル運営では支配人をはじめ地元の女性が活躍、地域性を大切にしながらすべての宿泊者様が満足できる「安心・快適・清潔な客室」を提供しています。1986年2月、東京蒲田に第1号店をオープンして以来、北海道から九州・沖縄まで、全国ネットの骨組みができ上がり、近年では積極的な海外展開も行っており、グループ一丸となって取り組んでいます。",東京都大田区新蒲田1-7-4,1986,15878,50百万円,,https://www.toyoko-inn.co.jp/,,
2024-08-01,ルートインジャパン株式会社,ホテル・旅館・宿泊施設,1,■ルートインホテルズの運営・管理・企画、及び旅行企画全般,東京都品川区大井1-35-3,1977,2,5000万円,36.9,"Failed to retrieve page, status code: 410",代表取締役 永山 泰樹,
2024-07-01,東武トップツアーズ株式会社,旅行・旅行代理業,4,■企業概要：当社は2015年4月1日、東武トラベル株式会社とトップツアー株式会社が合併して誕生しました。さまざまな観光資源を持つ東武グループにおいて、バス、ホテル事業とともに、レジャー部門における中心的役割を担っています。■事業目的：旅行業/国際・国内会議の開催に関する企画・立案および運営業務/博覧会・周年行事・スポーツ大会・講演会等催事の開催に関する企画・立案および運営業務/旅行・観光および文化に関するセミナーの開催ならびにコンサルタント業務/観光地の開発に関する企画・立案ならびにコンサルタント業務/各種広告および宣伝に関する事業 等,東京都墨田区押上1-1-2東京スカイツリーイーストタワー,2015,2431,"3,000百万円",,http://www.tobutoptours.co.jp/,,
2024-08-01,株式会社阪急交通社,旅行・旅行代理業,3,■事業内容：メディア販売／個人旅行／団体旅行／訪日外国人旅行／カウンターセールス／官公庁ソリューションビジネス,大阪府大阪市北区梅田2-5-25ハービスOSAKA,2007,2545,100百万円,,https://www.hankyu-travel.co.jp/,,
2024-08-01,東急リゾーツ＆ステイ株式会社,ホテル・旅館・宿泊施設,75,都市型ホテルから会員制リゾートホテル、ゴルフ場、スキー場、複合リゾートまで、私たちは全国各地で多彩な施設を運営し、ビジネスパーソン、ファミリー、外国人旅行者など、多様なお客さまに豊かな時間と体験を提供しています。全国100を超える施設運営を手がける総合運営会社です。長年培ってきた運営スキルとと間・行政での多数の実績を活かして、運営受託、マネジメント契約、コンサルティング契約の3つの運営サポートを行っています,東京都渋谷区道玄坂1-21-1,1979,2235,,,http://www.resortservice.co.jp/,,
2024-08-01,コンパスグループ・ジャパン株式会社,スポーツ・ヘルス関連施設,29,■事業内容：多業態の総合外食企業の実績を活かした質の高い「コントラクトビジネス」と都市型レストラン運営の「コンセッションビジネス」を主軸に展開。● コントラクトビジネス1.B＆I（ビジネス＆インダストリー）領域企業・官公庁・学校などの従業員食堂・カフェテリアの運営2.HC（ヘルスケア）領域病院・高齢者施設でのフードサービス,東京都中央区築地5-5-12浜離宮建設プラザビル4F・5F,1947,2181,100百万円,,https://www.compassgroup-japan.jp/,,
2024-06-01,株式会社ニュー・オータニ,ホテル・旅館・宿泊施設,1,■事業内容：国際観光ホテル整備法に基づくホテル業（「ホテルニューオータニ」「ホテルニューオータニ大阪」「ホテルニューオータニ幕張」の運営）■特徴：同社は日本を代表するホテルとして、国内外より高い評価を得る「ホテルニューオータニ東京（1964年開業）」「ホテルニューオータニ大阪（1986年開業）」「ホテルニューオータニ幕張（1993年開業）」を運営しています。,東京都千代田区紀尾井町4-1,1963,1512,"3,462百万円",,"Failed to retrieve page, status code: 410",,
2024-07-01,メズム東京、オートグラフ コレクション（日本ホテル株式会社）,ホテル・旅館・宿泊施設,2,■ホテル業■料理飲食業■不動産の賃貸および管理業■駐車場業,東京都豊島区西池袋1丁目6番1号,1981,1700,5億円（東日本旅客鉄道株式会社100％出資）,29.0,https://www.mesm.jp/,代表取締役社長 里見 雅行,
2024-08-01,近畿日本ツーリスト株式会社,旅行・旅行代理業,3,■事業内容： ・旅行業：国内・海外旅行、訪日外国人向けの企画・販売、運営事業、および、一般団体、教育旅行やイベント・コンベンションなどの企画・販売・運営事業、 個人旅行の商品企画、店頭販売など・国内・海外・訪日旅行・ＭＩＣＥなどの企画・販売・運営事業,東京都新宿区西新宿2-6-1,2017,1249,100百万円,,"Failed to retrieve page, status code: 410",,
2024-08-01,株式会社コシダカホールディングス,レジャー・アミューズメント,8,■企業概要：コシダカグループでは、「カラオケまねきねこ」を国内はもとより世界各国にチェーン展開を進めている「カラオケ事業」、温浴施設「まねきの湯」を展開する「温浴事業」の２つの分野で店舗を展開し、さらにはそれらに付随する不動産管理事業を行っています。,群馬県前橋市大友町1-5-1,1967,5297,"2,070百万円",,https://www.koshidakaholdings.co.jp/ja/index.html,,プライム市場
