更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,有限会社鶴の湯温泉,ホテル・旅館・宿泊施設,求人なし,秋田県仙北市田沢湖田沢字先達沢国有林50,1989,代表取締役 佐藤 大志,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社大川荘,ホテル・旅館・宿泊施設,求人なし,福島県会津若松市大戸町大字芦牧字下タ平984,1954,代表取締役 渡邉 幸嗣,45 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ホテルグランド東雲,ホテル・旅館・宿泊施設,求人なし,茨城県つくば市小野崎488-1,1969,代表取締役 市川 一隆,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社鹿島アントラーズ・エフ・シー,スポーツ・ヘルス関連施設,無,茨城県鹿嶋市大字粟生2887,1991,代表取締役 小泉 文明,"2,257 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■プロフットボールクラブ『鹿島アントラーズ』の運営■スタジアムの管理・運営■ブランドやキャラクターを軸とした商品の企画開発・販売■アパレルブランド『F.D』の企画開発・販売■スポーツ教室の運営並びにスポーツ指導員の養成、派遣 2022年7月doda掲載求人より引用,
2024-08-01,株式会社エス・デー,レジャー・アミューズメント,求人なし,栃木県那須郡那須町大字高久甲5760,1987,代表取締役 清水 洋信,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社伊香保カントリー倶楽部,スポーツ・ヘルス関連施設,求人なし,群馬県渋川市伊香保町伊香保654,1958,代表取締役社長 原 直道,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,よみうりスポーツ株式会社,スポーツ・ヘルス関連施設,求人なし,千葉県市原市岩1,1987,代表取締役 梅溪通生,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社オアシスグループ,レジャー・アミューズメント,求人なし,千葉県君津市南子安5-29-13,1976,代表取締役 佐藤 慶一朗,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社アーチス,スポーツ・ヘルス関連施設,求人なし,東京都小平市小川町1-2095,1989,代表取締役 中村達良,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社リバーサカワ・ゴルフクラブ,レジャー・アミューズメント,求人なし,神奈川県足柄上郡山北町谷ケ1096,1998,代表取締役 松本 敏博,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
