更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,株式会社インフォキャピタル,ホテル・旅館・宿泊施設,求人なし,東京都中央区日本橋堀留町1-10-14いちご人形町ビル 7Ｆ,2007,代表取締役 早津 憲一郎,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ＺＥＮ　ＰＬＡＣＥ,スポーツ・ヘルス関連施設,無,東京都目黒区青葉台2-20-14青和ビル 2Ｆ,2003,代表取締役 尾崎 成彦,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■ピラティス・ヨガスタジオ運営■BASIピラティス・Yogaworksティーチャートレーニングコース開催■クリニック運営■訪問看護・リハビリ特化型デイサービス■医療従事者向けセミナー開催■ヘルスケアアプリ■オンラインフィットネス■Well-being商品企画・販売 2023年2月doda掲載求人より引用
2024-08-01,ビッグバン株式会社,レジャー・アミューズメント,求人なし,東京都新宿区戸山2-33-105,2007,代表取締役 髙橋 佳嗣,7 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社エリア,レジャー・アミューズメント,求人なし,東京都台東区東上野3-13-6ＭＴビル 601,2007,代表取締役 古川 康治,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社イシン・イケブクロ・オペレーションズ,ホテル・旅館・宿泊施設,求人なし,東京都豊島区東池袋1-39-4,2007,代表取締役 亀井 康,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社メロ・ワークス,レジャー・アミューズメント,求人なし,神奈川県横浜市南区共進町3-63,2003,代表取締役 金本 重徳,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ハンズゴルフ＆リゾート,スポーツ・ヘルス関連施設,無,神奈川県横浜市保土ケ谷区仏向町1558,1990,代表取締役 韓 宇,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,インケアハワイ株式会社,ホテル・旅館・宿泊施設,求人なし,東京都港区浜松町1-18-12山手ビル5号館,2000,代表取締役 山田 繁樹,24 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,マスケン・テニス・サポート株式会社,スポーツ・ヘルス関連施設,求人なし,神奈川県横浜市青葉区鉄町1181,2007,代表取締役 増田 健太郎,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ＢＢＪＣ,旅行・旅行代理業,求人なし,大阪府大阪市福島区吉野3-26-151401,2007,,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社北原,ホテル・旅館・宿泊施設,求人なし,京都府京都市中京区六角通高倉東入堀之上町114,1981,代表取締役 北原 茂樹,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,グランド・メゾンホテルズアンドリゾーツ株式会社,ホテル・旅館・宿泊施設,求人なし,大阪府大阪市阿倍野区阿倍野筋1-1-43,2007,代表取締役 山口 浩,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
