更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,平均年齢,従業員数,資本金,企業URL,代表者
2024-08-01,株式会社アートネイチャー,理容・美容・エステ,23,■事業内容：各種毛髪製品の製造及び販売／育毛、増毛サービスの提供／ヘアケア商品の販売,東京都渋谷区代々木3-40-7,1967,スタンダード市場,42.0,3930,"3,667百万円",http://www.artnature.co.jp/index.html,
2024-08-01,キュービーネット株式会社,理容・美容・エステ,6,■事業内容国内でのヘアカット事業,東京都渋谷区神泉町8-16,2014,プライム市場,,2173,10百万円,https://www.qbnet.jp/,
2024-08-01,株式会社シーボン,理容・美容・エステ,49,■事業内容：化粧品及び医薬部外品並びに美容器具等の製造販売及び輸出入事業を行っています。,東京都港区六本木7-18-12,1966,スタンダード市場,39.5,689,483百万円,http://www.cbon.co.jp/index.html,
2024-08-01,株式会社ビューティガレージ,日用品・雑貨 （商社）,7,■インターネットを利用した通信販売業■インターネットを利用した情報提供サービス■理美容／エステ用品・機器・化粧品の卸販売■サロン店舗設計デザイン・施工■サロンIT化・システム導入支援サービス■クレジットカード決済端末の導入サポート■セミナー・スクールによる人材育成サービス■サロン集客支援サービス■サロン向け保険サービス,東京都世田谷区桜新町1-34-25,2003,プライム市場,36.0,545,7億6838万5250円,http://www.beautygarage.co.jp/,代表取締役CEO兼COO 野村 秀輝
2024-07-01,株式会社AB＆Company,理容・美容・エステ,1,■事業内容：【3つの事業を子会社として展開】・美容室を経営、運営するビューティーサロン事業…Agu.ブランド美容室の展開・フランチャイズチェーンの本部機能としてのFC事業・美容室の内装、施工などを担当するインテリアデザイン事業,東京都新宿区新宿2-16-6新宿イーストスクエアビル6F,2018,グロース市場,43.0,18,194百万円,https://ab-company.co.jp/,
2024-05-01,株式会社オーニシ,理容・美容・エステ,1,■事業内容：・美容業務用品、美容器具一式の販売・サロン開業、リニュアルの相談、宣伝企画・市場調査および物件情報の提供・美容技術セミナーや経営セミナーの開催当社は昭和21年に創業して以来、サロンのためにできることを常に考え、美容師と共に歩んできました。美しいスタイルを生む技術者への尊敬をもとに、美容材料を通してサロンワークをお手伝いをしています。当社は大手総合美容商社「ガモウグループ」の一員として、中国四国エリアのサロンビジネスの発展にこれからも貢献してまいります。,岡山県岡山市北区清輝本町8-13,1960,,,25,42百万円,https://024gamo.co.jp,
2024-06-01,学校法人ハリウッド美容専門学園＜ハリウッドワールド美容専門学校（ハリビ）＞,理容・美容・エステ,1,■美容専門学校・ブライダルサロン・ビューティーサロンの経営,福岡県柳川市三橋町柳河55-1,1957,,,60,,http://www.hbc.ac.jp/,理事長 古賀 英次
2024-07-01,株式会社デイバイデイ,理容・美容・エステ,2,■事業内容について： 国内28店舗、海外7店舗に美容室を展開しています。,千葉県千葉市中央区新田町35-1,1979,,,260,50百万円,https://daybyday.co.jp/,
2024-07-01,株式会社ザ・フォウルビ,理容・美容・エステ,1,【事業内容】 当社は、エステティック、コスメティックを主体とする美と健康の創造産業として、全国にエステティックサロン「ジェイエステティック」を約100店舗展開しています。,栃木県宇都宮市江曽島本町12-6,1979,,,1200,41百万円,https://www.j-esthe.com,
2024-08-01,株式会社ソシエ・ワールド,その他,無,国内・海外の美容サロンの経営関連商品の販売およびそれに附帯する一切の業務オリジナル商品（コスメなど）の製造国内：エステティックサロン（58店※うちネイル併設サロン17店・ホテルスパ2店）ヘアーサロン（32店）アイビューティサロン（15店）スポーツスタジオ（1店）台湾：エステティック（20店）スパ（3店）ヘアーサロン（3店）アイビューティサロン（1店）フランス：ヘアーサロン（1店） 2024年6月doda掲載求人より引用,東京都渋谷区代々木4-33-10トーシンビル 3Ｆ,1971,,,,50 百万円,"Failed to retrieve page, status code: 410",代表取締役 黛 照男
2024-07-01,ＴＢＣグループ株式会社,理容・美容・エステ,2,■事業内容：1.エステティック業女性専用サロン「エステティックTBC」・男性専用サロン「MEN'S TBC」などのエステティックサロンを、全都道府県に約200店舗、直営展開しています。2.化粧品・エステ関連商品の研究開発および販売サロンで使用する粧材や美容機器、またお客様に販売する化粧品・健康食品・美容関連商品は、ほぼすべてが自社研究所で開発されたTBCのオリジナル商品です。,東京都新宿区西新宿1-25-1新宿センタービル43F,1976,,28.0,2300,780百万円,http://www.tbc.co.jp,
2024-07-01,株式会社プロピア,理容・美容・エステ,6,■事業内容：毛髪商品の開発および製造、販売やサービス提供を行っています。■取扱製品・サービスの特徴：髪に関するお悩みを解決するためのサービスや製品を幅広く取り扱っています。,東京都新宿区西新宿7-4-3,1984,,42.0,75,100百万円,https://propia.co.jp/,
2024-07-01,株式会社スリムビューティハウス,理容・美容・エステ,4,■事業内容： エステティックサロン（ボディ、フェイシャル）の経営、オリジナルブランド化粧品、健康食品の会員販売,東京都港区新橋6-4-9,1987,,,500,50百万円,https://slim.co.jp/,
2024-06-01,有限会社フユヒロコーポレーション,理容・美容・エステ,1,■事業内容：・美容室専売品の卸、販売・美容室における総合的なコンサルティング業務【ミルボン･ルベル・資生堂・ホーユー等の各有名メーカーの正規代理店】,京都府京都市東山区大和大路通四条下る三丁目博多町81-1,,,28.0,80,10百万円,http://www.fuyuhiro.co.jp/,
2024-08-01,株式会社フォルテ,理容・美容・エステ,3,■事業内容：（1）サロン事業部…サロン70店舗を運営しています。（2）トータルビューティー事業部…アイラッシュ、ピラティス、エステ、ネイルなどの事業展開をしています。（3）海外事業部…HAWAIでの事業展開を行っています。（4）メビウス事業部…自社オリジナルブランドの展開をしています。（5）プロダクト事業部…書籍出版・DVD販売・各種セミナー・講演などを行っています。（6）メディア事業部…TV出演・企画やタレントアナウンサーのヘアメイクを行っています。（7）ブライダル事業部…ブライダル年間400組のプロデュースをしています。,静岡県静岡市葵区伝馬町9-4一瀬センタービル8F,1986,,26.0,350,10百万円,https://www.forte-group.jp/,
2024-07-01,株式会社ムーランエムーラン,理容・美容・エステ,2,＜企業概要＞■事業内容：業務用美容関係商品の製造販売及び美容室経営総合サポート■事業内容詳細：当社は美容室向けにヘアカラー剤、パーマ剤、ヘアケア商品等の商材を製造、販売する美容商材メーカーです。2003年から、それまでに培ってきた化粧品製造と美容室経営の経験をもとに、いち早く美容室業界にオンライン通販システムを導入し、全国の美容室に高品質、低価格の業務用商材を提供する業界他社に無いビジネスモデルを構築致しました。美容室が「末永く経営を続けられる環境づくり」を目標に、美容業界で働くすべての方の幸せのために、「美容師が夢を持って働ける美容室づくり」の実現を目指しています。,愛知県名古屋市中村区椿町16-8,2003,,37.7,34,100百万円,https://m-moulin.jp/,
2024-08-01,テクノネット株式会社,理容・美容・エステ,1,■フィットネス・エステ・リラクゼーションを併設した複合型のスポーツジム運営■危険物貯蔵タンクの点検・検査■危険物貯蔵タンク施設新設工事・解体工事・配管工事■地下タンク及び配管総合漏洩検査■タンクリペアライニング工事■タンク清掃■土地有効活用提案■配管工事■土壌環境調査・土壌汚染改善工事・バイオ製材土壌改良■バイオ製剤浄化工事■解体工事,愛知県名古屋市守山区向台3-507,2004,,,,1000万円,https://www.techno-nets.co.jp/,代表取締役 石野田 賢次
2024-08-01,株式会社スプレッド,理容・美容・エステ,9,■企業概要： まつ毛エクステを運営する会社です。平成18年の創業より着実に実績を積み重ね現在では19店舗を展開するまでに成長しました。■事業詳細：・まつ毛エクステ専門店「DollyLash（ドーリー ラッシュ）」を運営しています。・イオンやゆめタウンなどの大型商業施設へ出店しています。,福岡県福岡市中央区舞鶴2-1-10天神フロントスクエア6F,2006,,,70,5百万円,https://www.dollylash.co.jp/,
2024-08-01,株式会社ＣＬＥＡ,理容・美容・エステ,2,■事業内容： ・エステティックサロン運営事業・エステティックサロンプロデュース事業・エステティックアカデミー事業,東京都港区南青山3-17-15,2007,,27.2,90,10百万円,"Failed to retrieve page, status code: 410",
2024-08-01,株式会社ｍｉｒｒｏｒ　ｂａｌｌ,理容・美容・エステ,1,■企業概要：「もっと新しい美容の価値を、お客様とスタッフに」をコンセプトに首都圏をはじめ大阪、仙台、福岡等全国に美容室、ヘアサロンを展開しています。2008年に低価格の業務委託サロンからスタートし、中単価のサロンや特徴的なコンセプトサロンを出店してきました。スタッフ達が価格に関わらずお客様を喜ばせ続けてくれた点を自負しており、素晴らしいスタッフ達が作ってくれたこの風土が現在の当社の基礎を作っています。,東京都中央区銀座2-6-16,2008,,29.8,185,"1,615百万円",http://www.co-mirrorball.com/,
