更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,上場市場名
2024-07-01,日本郵便株式会社,道路貨物運送業（宅配便・トラック運送など）,1,■郵便業務■銀行窓口業務■保険窓口業務■印紙の売りさばき■地方公共団体からの受託業務■前記以外の銀行業■生命保険業および損害保険業の代理業務■国内・国際物流業■ロジスティクス事業■不動産業■物販業など,東京都千代田区大手町2-3-1,2007,代表取締役社長 千田 哲也,171804,4000億円,,https://www.post.japanpost.jp/index.html,
2024-08-01,佐川急便株式会社,道路貨物運送業（宅配便・トラック運送など）,8,宅配便など各種輸送にかかわる事業,■本社／京都府京都市南区上鳥羽角田町68番地■東京本社／東京都江東区新砂2丁目2番8号,1965,代表取締役社長 本村 正秀,54076,"112億7,500万円",,https://www.sagawa-exp.co.jp/,
2024-08-01,ＳＧホールディングス株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,,京都府京都市南区上鳥羽角田町68,2006,代表取締役社長 松本 秀一,52309,"11,882 百万円",37.6,"Failed to retrieve page, status code: 410",プライム
2024-07-01,日本航空株式会社,航空運輸業,1,【明日の空へ、日本の翼】 ■定期航空運送事業及び不定期航空運送事業 ■航空機使用事業 ■その他附帯する又は関連する一切の事業,東京都品川区東品川2-4-11 野村不動産天王洲ビル,1951,代表取締役社長 鳥取 三津子,13883,,,https://www.job-jal.com/career/,プライム市場
2024-08-01,日本通運株式会社,道路貨物運送業（宅配便・トラック運送など）,6,■事業内容：各種インフラの重量品輸送及び建設■特徴：「運べないものは、ない」プロジェクト毎に、一般的な車両では運べない超大型品・超重量品・精密機器を、企画・設計・施工・調整・メンテナンスまで一貫して手掛けます。フィールドは、風力発電所・発変電所・石油化学プラント・橋梁架設・半導体精密装置・都市インフラ再開発・鉄道車両輸送・テーマパーク・万国博覧会など幅広い分野になります。国内風力発電輸送建設、新幹線輸送、大型変圧器など取り扱いNo.１企業です。興味のある方ご連絡お待ちしております。,東京都千代田区神田和泉町2NXグループビル,1937,,34449,"70,175百万円",,http://www.nittsu.co.jp/,
2024-08-01,鴻池運輸株式会社,倉庫業・梱包業,11,～東証プライム上場の物流会社／売上右肩上がりに上昇中～■事業内容：複合ソリューション事業、国内物流事業、国際物流事業,大阪府大阪市中央区伏見町4-3-9,1945,,24000,"1,723百万円",42.0,"Failed to retrieve page, status code: 410",プライム市場
2024-07-01,日本交通株式会社,道路旅客運送業,4,一般乗用旅客自動車運送事業／タクシー車両台数6372台（グループ・提携含）★業界最大手＆売上高14年連続No.1の日本交通グループ（出典元：サービス業総合調査／2010～2023年） 日経MJ「第41回サービス業調査」ハイヤー・タクシー部門ランキング1位。,東京都板橋区板橋2-4-41,1928,代表取締役 徳山 正敏,11246,1億円,,https://www.nihon-kotsu.net/,
2024-07-01,北海道旅客鉄道株式会社,鉄道業,3,■旅客鉄道事業■旅客鉄道事業に附帯する事業■その他の関連事業【安全な鉄道サービスで、北海道を支える使命】JR北海道は安全な鉄道輸送サービスの提供を通じて、北海道を支えるという重要な使命を担っています。将来にわたり持続可能な形で安全最優先の鉄道事業を運営する社会的使命を果たし、より便利で快適な交通サービスの提供をこれからも目指します。,北海道札幌市中央区北11条西15-1-1,1987,代表取締役社長 綿貫 泰之,6100,90億円,36.0,https://www.jrhokkaido.co.jp/index.html,
2024-07-01,第一貨物株式会社,道路貨物運送業（宅配便・トラック運送など）,1,貨物自動車運送事業／貨物利用運送事業／物流システムの設計、運用および管理の受託に関する事業／航空運送代理店業／通関業／倉庫業／荷造梱包業／警備業／労働者派遣事業／損害保険代理業／情報処理サービス業／不動産賃貸業／食料品・衣料品・日用雑貨およびこれに関する物品の販売業／など,山形県山形市諏訪町二丁目1番20号,1941,代表取締役社長 米田 総一郎,5640,1億円,,https://www.daiichi-kamotsu.co.jp/,
2024-06-01,ＡＳＫＵＬ　ＬＯＧＩＳＴ株式会社,道路貨物運送業（宅配便・トラック運送など）,2,■一般貨物自動車運送事業■貨物利用運送事業■倉庫業■その他関連事業【プライム市場上場企業／アスクル株式会社100％出資】,東京都江東区豊洲3-2-3 豊洲キュービックガーデン12階,2009,代表取締役社長 天沼 英雄,3607,9000万円,42.0,https://www.askullogist.co.jp/,
2024-08-01,カリツー株式会社,道路貨物運送業（宅配便・トラック運送など）,42,■企業概要：当社は簡単にいうと、「自動車部品を運ぶ」会社です。■事業内容：・貨物自動車運送事業 ・利用運送事業〈JR貨物〉 ・運送取次事業 ・倉庫業 ・荷造包装業 ・代行納入業 ・加工組付け業 ・自家用自動車管理業 ・不動産賃貸業 ・カリツー安全教育研修センター ・作業請負事業 ・特定信書便事業 ・貨物軽自動車運送事業 ・旅行業 ・太陽光発電売電事業 ・通関業 ・産業廃棄物収集運搬業,愛知県安城市三河安城町1-4-4,1950,,2767,75百万円,,http://www.karitsu.co.jp/,
2024-08-01,名鉄運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,1,名鉄運輸株式会社は、1943年（昭和18年）に設立し、特別積み合わせ貨物自動車運送事業をコア事業として、全国の名鉄運輸グループのネットワークを基盤に国内物流を展開しております。■企業理念：高品質の運輸・物流サービスの提供を通じ、より豊かな地域社会の実現に貢献する。■事業内容： ◎混載便◎付加価値配送◎メーカー直送業務◎流通倉庫～北海道から九州までの倉庫を活用した名鉄運輸グループの流通ネットワーク～上記のほか引越（オフィス、ご転勤対応）、3PL、JITBOXをご提供しています。,愛知県名古屋市東区葵2-12-8,1943,,2823,100百万円,,https://www.meitetsuunyu.co.jp/,
2024-07-01,株式会社サンファミリー,道路貨物運送業（宅配便・トラック運送など）,2,・一般区域貨物自動車運送事業・貨物運送取扱事業・梱包荷造りおよび仕分け作業の引受業務・コンビニエンスストア運営業務,埼玉県三郷市上口891-1（三郷営業所内／本社事務所）,2003,代表取締役社長 大江 勝利,2830,9950万円,,https://www.sanfamily.jp/,
2024-07-01,ＤＨＬサプライチェーン株式会社,倉庫業・梱包業,1,・倉庫業・自動車運送取扱業・一般貨物自動車運送事業・物流システムに関するコンサルティング業務,東京都品川区北品川4-7-35 御殿山トラストタワー8F,1970,代表取締役社長 ジェローム ジレ,1800,5000万円,,https://www.dhl.com/jp-ja/home/supply-chain.html,
2024-08-01,株式会社ＪＡＬスカイ,航空運輸業,1,東京国際空港（羽田）、成田国際空港における・JALグループ便・JALが受託する外国航空会社便の旅客サービス業務、およびステーションオペレーション業務,（羽田事業所）東京都大田区羽田空港3-3-2 第1旅客ターミナル4階（成田事業所）千葉県成田市古込字古込1-1 成田国際空港内JALオペレーションセンター6階,1982,代表取締役社長 斉藤 久美子,3505,1億円,,https://www.jalsky.co.jp/,
2024-08-01,株式会社流通サービス,倉庫業・梱包業,3,■梱包業■倉庫業（一般倉庫及び保税倉庫）■運輸業（貨物自動車運送事業)■紙器、梱包用材料の販売業■食品、衣料品、日用雑貨の販売業■不動産の賃貸業■労働者派遣事業■前各号の事業に付帯又は関連する事業,埼玉県草加市遊馬町769-1,1974,代表取締役社長 神田 隆,4953,2億4000万円,40.0,https://www.ryutsu.co.jp/index.html,
2024-08-01,株式会社 ゼロ,道路貨物運送業（宅配便・トラック運送など）,21,■概要：自動車の物流・輸送を中心に整備、オークション関連など周辺事業を全国100拠点展開。自動車流通の川上から川下までトータルでサービスを提供し、クルマというモノの流れを多角的に支える、自動車輸送業界のリーディングカンパニー。,神奈川県川崎市幸区堀川町580ソリッドスクエア西館6F,1961,,1121,"3,390百万円",43.5,http://www.zero-group.co.jp/,スタンダード市場
2024-06-01,株式会社ランテック,倉庫業・梱包業,1,・貨物自動車運送事業・通運事業・自動車運送取扱事業・倉庫業・自動車整備業・損害保険代理業・食品加工業☆★YouTubeランテック配信中★☆,福岡県福岡市博多区古門戸町4-26,1953,代表取締役社長 舛元 健了,2817,"5億1,980万円",,http://www.runtec.co.jp/,
2024-08-01,両備ホールディングス株式会社,鉄道業,24,"■両備グループの特徴：1910年に現在の岡山県岡山市に西大寺鐵道として創立しました。以来、100年を越える歴史の中で水平に垂直に事業展開を進め、現在は40社以上、従業員数約9,500名を擁する企業グループです。両備グループを構成する事業セグメントは、様々な交通モードに対応し旅と移動を楽しく演出する「トランスポーテーション＆トラベル部門」、新たな技術で次代を創る「ICT部門」、暮らしを支え暮らしを楽しくする「くらしづくり部門」、都市再生と新時代のまちづくりに挑む「まちづくり部門」の4つです。",岡山県岡山市錦町6-1,1910,,2000,400百万円,,https://www.ryobi-holdings.jp/,
2024-08-01,Ｐｅａｃｈ・Ａｖｉａｔｉｏｎ株式会社,航空運輸業,13,■事業内容：航空運送事業（国内線・国際線）Peachは、2012年3月に日本初のLCCとして関西空港を拠点とし運航を開始しました。現在、関西空港に加え、新千歳空港、仙台空港、成田空港、中部空港、福岡空港、那覇空港を拠点空港とし、34機の機材で、国内線33路線・国際線17路線に就航しています。「アジアのリーディングLCC」を目指し、2019年11月にバニラエアと統合、国内第3位の航空会社・国内No.1のLCCとなり2022年3月には就航10周年を迎えます。,大阪府泉南郡田尻町泉州空港中1,2011,,1915,100百万円,,https://corporate.flypeach.com/,
2024-08-01,ディー・エイチ・エル・ジャパン株式会社,航空運輸業,1,DHLグループの日本支社として、1972年に日本初となる国際エクスプレス（国際航空貨物輸送）のサービスを開始。現在では、世界規模のあらゆる輸送ニーズに対応するため、世界220以上の国・地域をカバーするグローバルネットワークを有し、集荷から輸出通関、フライト、輸入通関、配達までのプロセスをすべて行う確実な輸送を実現。国際航空貨物の世界のリーディングカンパニーとしてサービスを展開しています。,東京都品川区東品川1-37-8,1979,代表取締役社長 トニー カーン,1900,50百万円,,https://www.logistics.dhl/jp-ja/home.html,
2024-08-01,生活協同組合コープこうべ,特殊法人・財団法人・その他団体・連合会,無,＜創業103周年を迎えたコープこうべ＞■店舗事業（コープ・コープデイズ・シーア・コープミニ・コープリビング）■宅配事業（協同購入、個人宅配、夕食サービスなど）■商品開発・生産事業■福祉事業■「協同学苑」「生活文化センター」運営、生活情報誌発行、共済事業など 2024年7月doda掲載求人より引用,兵庫県神戸市東灘区住吉本町1-3-19,1921,代表理事 馬場 一郎,1866,"40,814 百万円",,"Failed to retrieve page, status code: 410",
2024-08-01,株式会社ギオン,道路貨物運送業（宅配便・トラック運送など）,1,■一般区域貨物自動車運送事業（特別積合せ貨物運送に係るもの）■自動車運送取扱事業■倉庫の賃貸および倉庫保管業務■一般貨物の梱包に関する業務■特定旅客自動車運送事業■自動車整備に関する事業■一般廃棄物収集運搬業■産業廃棄物収集運搬業■警備業（認定番号神奈川県公安委員会 第45001095号）■通関業許可 税関様式Ｂ 第1020号■宅地建物取引業（神奈川県知事（1）第29833号）,神奈川県相模原市中央区南橋本1-5-1,,代表取締役社長 祇園 彬之介,5000,"4,672万円",,https://kk-gion.co.jp/,
2024-08-01,Ｆ－ＬＩＮＥ株式会社,道路貨物運送業（宅配便・トラック運送など）,1,2019年4月に味の素（株）、ハウス食品グループ本社（株）、カゴメ（株）、（株）日清製粉ウェルナ、日清オイリオグループ（株）5社の出資により誕生した会社です。※味の素物流（株）、カゴメ物流（株）、ハウス物流サービス（株）＜事業の一部＞の物流事業を統合■貨物自動車運送事業■貨物利用運送事業■倉庫業■通関業■港湾運送事業 など,東京都中央区晴海一丁目8番1号 晴海トリトンスクエアオフィスタワーY棟30階,1952,代表取締役社長 坂本 次郎,2160,"24億8,000万円",44.5,https://www.f-line.tokyo.jp/,
2024-08-01,大新東株式会社,道路旅客運送業,無,◆車両運行管理事業◆旅客自動車運送事業 2024年5月doda掲載求人より引用,東京都江東区東雲2-11-22ニイチクビル 5Ｆ,1962,代表取締役 森下 哲好,1783,100 百万円,,"Failed to retrieve page, status code: 410",
2024-08-01,ＳＢＳ三愛ロジスティクス株式会社,倉庫業・梱包業,1,1) 一般貨物自動車運送事業2) 貨物運送取扱事業3) コンピューター・事務用機器類及びその消耗品の回収・リサイクル事業4) 倉庫業及び保税上屋業5) 産業廃棄物の収集運搬業及び処理業6) 包装・梱包業7) 事務用機器類その他の古物販売業8) その他定款に定める事業,東京都新宿区西新宿8-17-1 住友不動産新宿グランドタワー 25階,1977,代表取締役社長 蛭間 博信,1660,"3,000万円",,https://www.sbs-ricohlogistics.co.jp/rlsc/sbs-sanai/,
2024-08-01,池田興業株式会社,道路貨物運送業（宅配便・トラック運送など）,1,■事業内容： ・土木建築設計並びにプラント建設保全・総合請負業（生産・管理・出荷）・人材派遣業・貨物自動車運送業 ・倉庫業・通関業・内航運送取扱業・梱包資材改修補修業（包装材、ボビン類の回収補修）・機械器具の製造販売業（省力機械の設計・製造・販売）・国内及び輸出梱包業（JIS規格木枠梱包ほか）・ロータリーキルン設備事業・燻蒸作業及び薬品販売・輸入家電製品販売・宅地建物取引業,福岡県北九州市門司区大里本町2-2-5,1904,,1650,100百万円,44.9,https://www.ikeda-kogyo.co.jp/,
2024-08-01,遠州鉄道株式会社,鉄道業,14,"■事業内容：（1）鉄道部門…新浜松駅から西鹿島駅間（18駅）に列車を運行し、年間およそ1000万人の顧客が利用しています。近年は省エネタイプの新型車両の導入や高架駅へのエレベーター・エスカレーターの設置、非接触ICカードの導入等積極的な投資を行っています。（2）乗合バス部門…浜松市を中心とする静岡県西部地域を事業区域とし、年間約3,000万人の顧客を輸送しています。全国で初めてオムニバスタウンに指定されました。また、2004年には、こちらも全国初のバス電車共通ICカード「ナイスパス」を導入したほか、様々なバス利用を促進しています。",静岡県浜松市中央区旭町12-1,1943,,1975,"3,800百万円",43.0,http://www.entetsu.co.jp,
